"""Remember Me"" Cookie Lifetime","""Me Lembrar"" Cookie Vitalício"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validation has failed.","Falha na validação."
"Value must be a string.","Valor deve ser uma sequência de caracteres."
"Value must be between %d and %d","Valor deve ser entre %d e %d"
"Variable Code must be unique.","Código da variável deve ser único."
"VAT Number","Número de IVA"
"View Entry","Visualizar Item"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Aviso! Ativar este recurso não é recomendado em ambientes de produção porque representa um potencial risco de segurança."
"Web","Web"
"Website","site"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Código do site só pode conter letras (a-z), números (0-9) ou underscore(_), o primeiro caractere deve ser uma letra"
"Website Information","Informações do Site"
"Website Name","Nome do site"
"Website with the same code","Site com o mesmo código"
"Weekend Days","Fim de semana"
"Welcome Text","Texto de Boas-Vindas"
"When enabled, all sent emails are logged for debugging and auditing purposes.","Quando ativado, todos os e-mails enviados são registrados para fins de depuração e auditoria."
"When enabled, emails are queued for background sending. Automatically disabled in developer mode for immediate feedback.","Quando ativado, e-mails são colocados na fila para envio em segundo plano. Desativado automaticamente no modo de desenvolvedor para receber feedback imediato."
"Without this setting, a page could be accessible with both URLs: ""example.com/category"" and ""example.com/category/"". This creates duplicate content issues for SEO. Use this setting to automatically redirect to a canonical URL format.","Sem essa configuração, uma página pode ser acessível com ambos os URLs: ""exemplo.com/category"" e ""exemplo.com/categoriy/"". Isto cria problemas duplicados de conteúdo para SEO. Use esta configuração para redirecionar automaticamente para um formato de URL canônico."
"Wrong file info format","Formato errado do arquivo"
"Wrong number of arguments for %s","Número errado de argumentos para %s"
"X (Twitter) URL","URL X (Twitter)"
"XML data is invalid.","Dados XML inválidos."
"XML object is not instance of ""\Maho\Simplexml\Element"".","Objeto XML não é instância de ""\Maho\Simplexml\Element""."
"Yes","sim"
"Your design change for the specified store intersects with another one, please specify another date range.","Sua alteração de design para a loja especificada cruza com outra, por favor especifique outro intervalo de datas."
"You will have to log in after you save your custom admin path.","Você terá que fazer login depois de salvar o seu caminho de admin personalizado."
