"%s (Default Template from Locale)","%s (Modelo Padrão do Local)"
"%s cache type(s) disabled.","%stype(s) de cache desativado(s)."
"%s cache type(s) enabled.","%stype(s) de cache habilitado(s)."
"%s cache type(s) refreshed.","%s tipo(s) de cache atualizado(s)."
"No search keywords.","Nenhuma palavra-chave de busca."
"No search modules were registered","Nenhum módulo de pesquisa registrado"
"Not allowed","Não permitido"
"Not authenticated","Not authenticated"
"Note:","Nota:"
"No Templates Found","Nenhum modelo foi encontrado"
"NOTICE","AVISO"
"Notice","Aviso"
"notice","aviso"
"Notifications","Notificações"
"Number of Orders","Número de pedidos"
"Number of records:","Número de registros:"
"Number of Uses","Número de Usos"
"Number of Views","Número de visitas"
"OAuth authorization for admin","Autorização OAuth para admin"
"OAuth authorization simple for admin","Autorização OAuth simples para admin"
"OAuth Consumers","Consumidores OAuth"
"OK","CONFIRMAR"
"Old rate:","Taxa antiga:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Uma vez logado na sua conta PayPal Avançado, navegue em Configurações de Serviço - Páginas Hosted Checkout - Configurar e marque as opções abaixo"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Uma vez logado na sua conta Payflow Link, navegue em Configurações de Serviço - Páginas Hosted Checkout - Configurar e marque as opções abaixo"
"One or more media files failed to be synchronized during the media storages syncronization process. Refer to the log file for details.","Um ou mais arquivos de mídia falharam ao serem sincronizados durante o processo de sincronização dos armazenamentos de mídia. Consulte o arquivo de log para obter detalhes."
"One or more of the Cache Types are invalidated:","Um ou mais dos Tipos de Cache foram invalidados:"
"Online Customers","Clientes On-line"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Somente atributos com escopo ""Global"", tipo de entrada ""Dropdown"" e utilidade para criar produto configurável ""Sim"" estão disponíveis."
"Only from same domain","Only from same domain"
"Only mapped fields","Apenas campos mapeados"
"Only Once (version upgrade)","Apenas uma vez (atualização de versão)"
"Optional","Opcional"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Optional region for providers that support it (e.g. us-east-1 for AWS)"
"Options","Opções"
"Options is required","Opções são obrigatórias"
"Order","Pedido"
"Order #%s","Pedido número %s"
"Order #%s (%s)","Pedido número %s (%s)"
"Order Created Date","Data de Criação do Pedido"
"Order ID","ID do Pedido"
"Orders","Pedidos"
"Order Totals","Total do pedido"
"Order Updated Date","Data de Atualização do Pedido"
"Order Updated Date report is real-time, does not need statistics refreshing.","Relatório de Data de Atualização do Pedido é em tempo real, não precisa de atualização de estatísticas."
"Orphaned Role Resource","Recurso de Papel Órfão"
"Orphaned Role Resources","Recursos de Função Órfãos"
"Out of stock","Fora de estoque"
"Pages","Páginas"
"Parent Product Thumbnail","Miniatura de Produto Mãe"
"Parent Transaction ID","ID da Transacção pai"
"Passive mode","Modo passivo"
"Passkey Active","Passkey Active"
"Passkey Authentication","Passkey Authentication"
"Passkey credential already registered to another user.","Passkey credential already registered to another user."
"Passkey will be deleted upon saving.","Passkey will be deleted upon saving."
"Passkey will be registered upon saving.","Passkey will be registered upon saving."
"Password","Senha"
"Password:","Senha:"
"Password Confirmation","Confirmação de Senha"
"Password confirmation must be same as password.","A confirmação de senha deve ser a mesma que a senha."
"Password must be at least of %d characters.","Senha deve ter pelo menos %d caracteres."
"Password must include both numeric and alphabetic characters.","Senha deve incluir caracteres numéricos e alfabéticos."
"Path:","Caminho:"
"Payment method instance is not available.","Instância de método de pagamento não está disponível."
"Payment method is not available.","Método de pagamento não está disponível."
"Payment method must be specified.","Método de pagamento deve ser especificado."
"Pending Reviews","Comentários pendentes"
"Pending Tags","Tags pendentes"
"Percent","Por cento"
"Performed At","Feito em"
"Period","Período"
"Per Item","Por Item"
"Permanent (301)","Permanente (301)"
"Permissions","Permissões"
"Per Order","Por pedido"
"Personal Information","Informações Pessoais"
"Phone:","Fone:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme a mudança de escopo. Todos os dados que ainda não foram salvos serão perdidos."
"Please enter 6 or more characters.","Por favor, insira 6 ou mais caracteres."
"Please enter another credit card number to complete your purchase.","Por favor, insira outro número de cartão de crédito para concluir sua compra."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um montante de R$ válido. Por exemplo, R$100,00."
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid date.","Por favor insira uma data válida."
"Please enter a valid email.","Por favor insira um e-mail válido."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, insira um endereço de e-mail válido. Por exemplo, joao@dominio.com.br"
"Please enter a valid number in this field.","Por favor insira um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo (+35) 21 1234 1234"
"Please enter a valid social security number. For example 123-45-6789.","Por favor, insira um número de seguro social válido. Por exemplo 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, insira um URL válido. Por exemplo http://www.exemplo.com.br ou www.exemplo.com.br"
"Please enter a valid URL. http:// is required","Por favor, insira um URL válido. http:// é obrigatório"
"Please enter a valid value, ex: 10,20,30","Por favor insira um valor válido, ex: 10,20,30"
"Please enter a valid value from list","Por favor, insira um valor válido para a lista"
"Please enter a valid zip code.","Por favor informe um Cep válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90602123 ou 90602-123."
"Please enter valid password.","Por favor, insira uma senha válida."
"Please make sure that all global admin search modules are installed and activated.","Por favor, certifique-se de que todos os módulos de pesquisa de escopo global estão instalados e ativados."
"Please make sure that your changes were saved before running the profile.","Por favor, tenha certeza que suas modificações foram salvas antes de executar o perfil."
"Please make sure your passwords match.","Verifique se suas senhas estão iguais."
"Please Select","Por Favor Selecione"
"Please select a customer.","Selecione um cliente."
"Please select an option.","Por favor selecione uma opção."
"Please select a store.","Selecione uma loja."
"Please select catalog searches.","Selecione pesquisas de catálogo."
"Please select customer(s).","Por favor, selecione o(s) cliente(s)."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please select review(s).","Por favor, selecione uma ou mais avaliações."
"Please select State/Province.","Por favor selecione o estado."
"Please select tag(s).","Selecione tag(s)."
"Please specify the admin custom URL.","Por favor, especifique uma URL personalizada para de admin."
"Please try to logout and sign in again.","Por favor, tente fazer logout e entrar novamente."
"Please use in this field only ""a-z,0-9,_"".","Por favor, use somente ""a-z,0-9,_"" neste campo."
"Please use letters only (a-z) in this field.","Por favor, use somente letras (a-z) neste campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Por favor, use apenas números neste campo. Evite espaços ou outros caracteres, como pontos ou vírgulas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use somente letras (a-z) ou números (0-9) neste campo. Espaços ou outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use somente letras (a-z), números (0-9) ou espaços e # neste campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 de 17 de março de 2006."
"Please wait, loading...","Por favor aguarde, carregando..."
"Please wait...","Por favor, aguarde..."
"Please wait while the indexes are being refreshed.","Aguarde enquanto os índices estão sendo atualizados."
"Popular","Populares"
"Position","Relevância"
"Position of Watermark for %s","Posição da marca d'água para %s"
"Pregenerated configurable swatches image files.","Arquivos de imagem de amostras configuráveis pré-gerados."
"Pregenerated product images files.","Arquivos de imagens de produtos pré-gerados."
"Preview","Pré-visualização"
"Preview Template","Visualizar template"
"Price","Preço"
"Price:","Preço:"
"Price alert subscription was saved.","Inscrição de alerta de preço foi salva."
"Processed <strong>%s%% %s/%d</strong> records","Processou <strong>%s%% %s/%d</strong> registros"
"Processing","Processando"
"Product","Produto"
"Product:","Produto:"
"Product is not loaded.","Produto não carregado."
"Product Name","Nome do produto"
"Product Reviews","Avaliações do Produto"
"Products","Produtos"
"Products Bestsellers Report","Relatório de Produtos Mais Vendidos"
"Products in Carts","Produtos no Carrinho"
"Products Most Viewed Report","Relatório dos produtos mais vistos"
"Products Ordered","Produtos comprados"
"Product Tax Classes","Classes de impostos de produto"
"Product Thumbnail Itself","Miniatura de Produto Em Si"
"Profile Action","Ação do perfil"
"Profile Actions XML","XML de ações de perfis"
"Profile Direction","Direção de perfil"
"Profile History","Histórico de perfil"
"Profile Information","Informações de perfil"
"Profile Name","Nome do perfil"
"Profile Payments","Perfil Pagamentos"
"Profiles","Perfis"
"Profile Schedule","Agendamento de Perfil"
"Profile Wizard","Assistente de perfil"
"Promo","Promoção"
"Promotions","Promoções"
"Purchased Item","Item Comprado"
"QR Code","QR Code"
"Quantity","Quantidade"
"Queued... Cancel","Cancelar fila"
"Queue Refresh","Atualizar fila"
"Radio Buttons","Botões de radio"
"Rates","Taxas"
"Read details","Ler detalhes"
"Rebuild","Recriar"
"Rebuild Catalog Index","Reconstruir Índice do Catálogo"
"Rebuild Flat Catalog Category","Reconstruir Tabela Flat de Categoria"
"Rebuild Flat Catalog Product","Reconstruir Tabela Flat de Produtos"
"Recent Orders","Pedidos Recentes"
"Recent statistics have been updated.","Estatísticas recentes foram atualizadas."
"Recurring Profile View","Visualização de Perfil Recorrente"
"Redirect","Redirecionar"
"Redirect to URL without trailing slash","Redirect to URL without trailing slash"
"Redirect to URL with trailing slash","Redirect to URL with trailing slash"
"Reference","Referência"
"Reference ID","ID de referência"
"Refresh","Atualizar"
"Refresh Now*","Atualizar agora*"
"Refresh Roles","Atualizar Funções"
"Refresh Statistics","Atualizar estatísticas"
"Region","Region"
"Region/State","Região/estado"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary."
"Register New Passkey","Register New Passkey"
"Register Passkey","Register Passkey"
"Regular Price:","Preço normal:"
"Reject","Rejeitar"
"Rejection Of Authorization","Negação de Autorização"
"Reject token authorization for admin","Rejeitar token de autorização para admin"
"Reject token authorization Pop Up for admin","Rejeitar token de autorização Pop Up para admin"
"Remote FTP","FTP Remoto"
"Remove","Remover"
"Remove Passkey","Remove Passkey"
"Rename","Rename"
"Reports","Relatórios"
"Request Path","Caminho da Solicitação"
"Required","Obrigatório"
"Reset","Redefinir"
"Reset a Password","Redefinir uma senha"
"Reset Filter","Limpar Filtro"
"Reset Password","Redefinir Senha"
"Resource Access","Acesso a Recursos"
"Resources","Recursos"
"REST Roles","Funções REST"
"Results","Resultados"
"Retrieve Password","Recuperar senha"
"Return Html Version","Retornar a versão Html"
"Revenue","Receita"
"Reviews","Avaliações"
"Reviews and Ratings","Opiniões e avaliações"
"Rewrite Rules","Regras de Reescrita"
"Role ID","ID do cargo"
"Role Info","Informação de Permissão"
"Role Information","Informações de Acesso"
"Role Name","Nome da Permissão"
"Role Resources","Permissões a Recursos"
"Roles","Permissões"
"Roles Resources","Permissões a Recursos"
"Role Users","Permissões a Usuários"
"Root Category","Categoria Principal"
"Run","Executar"
"Running... Kill","Executando... Terminar"
"Run Profile","Executar perfil"
"Run Profile in Popup","Executar Perfil em Popup"
"Sales","Vendas"
"Sales Report","Relatório de vendas"
"Samples","Exemplos"
"Save","Salvar"
"Save & Generate","Salvar e gerar"
"Save Account","Salvar Conta"
"Save and Continue Edit","Salvar e Continuar Editando"
"Save Block","Salvar bloco"
"Save Cache Settings","Salvar Configurações de Cache"
"Save Config","Gravar Configuração"
"Save Currency Rates","Gravar Taxas de Câmbio"
"Save Profile","Salvar perfil"
"Save Role","Salvar Permissão"
"Save Template","Salvar Template"
"Save User","Salvar Usuário"
"Save Variable","Salvar Variável"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)"
"Search","Buscar"
"Search entire store here...","Pesquisa em toda loja..."
"Search Index","Índice de Pesquisa"
"Search Term","Termo de pesquisa"
"Search Terms","Termos de Pesquisa"
"Select","Selecionar"
"Select All","Selecionar Todos"
"Select Category","Selecionar categoria"
"Selected allowed currency ""%s"" is not available in installed currencies.","Moeda permitida selecionada ""%s"" não está disponível nas moedas instaladas."
"Selected base currency is not available in installed currencies.","Moeda base selecionada não está disponível nas moedas instaladas."
"Selected default display currency is not available in allowed currencies.","Moeda de exibição padrão selecionada não está disponível nas moedas permitidas."
"Selected default display currency is not available in installed currencies.","Moeda de exibição padrão selecionada não está disponível nas moedas instaladas."
"Select Range","Selecionar intervalo"
"Self-assigned roles cannot be deleted.","Os papéis auto-designados não podem ser excluídos."
"Sender","Remetente"
"Separate Email","Separar o E-mail"
"Serialized data is incorrect","Dados serializados estão incorretos"
"Shipment #%s comment added","Comentário da postagem número %s adicionado"
"Shipment #%s created","Postagem número %s criado"
"Shipment Comments","Comentários sobre o envio"
"Shipment History","Histórico da Entrega"
"Shipments","Postagens"
"Shipping","Frete"
"Shipping Address","Endereço de entrega"
"Shipping Address: ","Endereço de entrega: "
"Shipping address selection is not applicable","Endereço de envio não é aplicável"
"Shipping method must be specified.","Método de envio deve ser especificado."
"Shipping method selection is not applicable","Método de envio não é aplicável"
"Shipping Origin","Origem da Expedição"
"Shipping Price","Preço do envio"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart from %s","Carrinho de compras de %s"
"Shopping Cart Price Rules","Regras de preço do carrinho de compras"
"Show By","Mostrar por"
"Show Report For:","Mostre relatório para:"
"Show Reviews","Permitir Comentários"
"Sitemap Information","Informações de mapa do site"
"Size for %s","Tamanho para %s"
"Skip Category Selection","Pular Seleção de Categoria"
"SKU","Código de Produto:"
"SKU:","ID do produto:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens neste pedido contém faturas e postagens diferentes. Você pode criar a postagem somente depois de faturar o pedido."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Alguns dos itens ordenados não existem mais no catálogo e serão removidos se você tentar editar o pedido."
"Special Price:","Preço especial:"
"Specific Countries","Países específicos"
"Specified","Especificado"
"Specified profile does not exist.","Perfil especificado não existe."
"Spreadsheet Name:","Nome da planilha:"
"SSL Error: Invalid or self-signed certificate","Erro de SSL: certificado inválido"
"Start Date","Data de Início"
"Starting at:","A partir de:"
"Starting profile execution, please wait...","Iniciando execução do perfil, por favor aguarde..."
"State/Province:","Estado/Cidade:"
"Static Blocks","Blocos estáticos"
"Status","Situação"
"Status:","Estado:"
"Stock notification was saved.","Notificação de estoque foi salva."
"Stock Quantity:","Quantidade em estoque:"
"Store","Loja"
"store(%s) scope","escopo da loja(%s)"
"Store:","Loja:"
"Stores","Lojas"
"Store View","Visão de Loja"
"Subject","Assunto"
"Submit","Enviar"
"Subtotal","Sub-total"
"successful","bem sucedido"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Synchronization is required.","Sincronização é necessária."
"Synchronization of media storages has been successfully completed.","Sincronização dos armazenamentos de mídia foi concluída com sucesso."
"Synchronize","Sincronizar"
"Synchronizing %s to %s","Sincronizando %s para %s"
"Synchronizing...","Sincronizando..."
"System","Sistema"
"System busy","Sistema ocupado"
"Tags","Marcadores"
"Target Path","Caminho de Destino"
"Tax","Taxa"
"Tb","Tubarão"
"Template","Tema"
"Template Content","Conteúdo do Template"
"Template Information","Informações do template"
"Template Name","Nome do template"
"Template Styles","Estilos de template"
"Template Subject","Assunto do Template"
"Template Type","Tipo de modelo"
"Temporary (302)","Temporário (302)"
"Terms and Conditions","Termos e Condições"
"Text","Texto"
"The account has been saved.","A conta foi salva."
"The attribute set has been removed.","O conjunto de atributos foi removido."
"The billing agreement has been canceled.","O acordo de faturamento foi cancelado."
"The billing agreement has been deleted.","O acordo de faturamento foi excluído."
"The block has been saved.","O bloco foi salvo."
"The cache storage has been flushed.","O armazenamento de cache foi esvaziado."
"The carrier needs to be specified.","O transportador precisa ser especificado."
"The catalog index has been rebuilt.","O índice de catálogo foi reconstruído."
"The CatalogInventory Stock Status has been rebuilt.","O status de estoque do Catálogo de Inventário foi reconstruído."
"The catalog rewrites have been refreshed.","Os rewrites do catálogo foram atualizados."
"The Catalog Rewrites were refreshed.","Os Reescritos de Catálogo foram atualizados."
"The Comment Text field cannot be empty.","O campo de texto de Comentário não pode estar vazio."
"The configurable swatches image cache was cleaned.","O cache de imagem de amostras configuráveis foi limpo."
"The configuration has been saved.","A configuração foi salva."
"The credit memo has been canceled.","O memorando de crédito foi cancelado."
"The credit memo has been created.","O memorando de crédito foi criado."
"The credit memo has been voided.","O nota de crédito foi anulada."
"The credit memo no longer exists.","O nota de crédito não existe mais."
" The customer does not exist in the system anymore."," O cliente não existe mais no sistema."
"The customer has been deleted.","O cliente foi excluído."
"The customer has been saved.","O cliente foi salvo."
"The custom variable has been deleted.","A variável personalizada foi excluída."
"The custom variable has been saved.","A variável personalizada foi salva."
"The design change has been deleted.","A alteração de design foi excluída."
"The design change has been saved.","A alteração de design foi salva."
"The email address is empty.","O endereço de email está vazio."
"The email template has been deleted.","O modelo de email foi excluído."
"The email template has been saved.","O modelo de email foi salvo."
"The flat catalog category has been rebuilt.","O catálogo de categoria plano foi reconstruído."
"The Flat Catalog Product was rebuilt","O Catálogo de Produto Plano foi reconstruído"
"The following role resource(s) are not orphaned: %s","Os seguintes recursos de papel não estão órfãos: %s"
"The group node name must be specified with field node name.","O nome do nó de grupo deve ser especificado com o campo nome do nó."
"The image cache was cleaned.","O cache de imagem foi limpo."
"The image cache was cleared.","O cache de imagem foi limpo."
"The invoice and shipment have been created.","A fatura e o envio foram criados."
"The invoice and the shipment  have been created. The shipping label cannot be created at the moment.","A fatura e o envio foram criados. A etiqueta de envio não pode ser criada no momento."
"The invoice has been canceled.","A fatura foi cancelada."
"The invoice has been captured.","A fatura foi capturada."
"The invoice has been created.","A fatura foi criada."
"The invoice has been voided.","A fatura foi anulada."
"The invoice no longer exists.","O número da fatura não existe mais."
"The item %s (SKU %s) does not exist in the catalog anymore.","O item %s (SKU %s) não existe mais no catálogo."
"The Layered Navigation indexing has been queued.","A indexação de Navegação em Camadas foi adicionada à fila."
"The Layered Navigation indexing queue has been canceled.","A fila de indexação de Navegação em Camadas foi cancelada."
"The Layered Navigation indices were refreshed.","Os índices de Navegação por Camadas foram atualizados."
"The Layered Navigation process has been queued to be killed.","O processo de Navegação em Camadas foi colocado em fila para ser morto."
"The Maho cache has been flushed and updates applied.","O cache do Maho foi esvaziado e as atualizações foram aplicadas."
"The minified CSS/JS cache was cleaned.","The minified CSS/JS cache was cleaned."
"The order does not allow creating an invoice.","O pedido não permite criar uma fatura."
"The order no longer exists.","O pedido não existe mais."
"The profile has been deleted.","O perfil foi deletado."
"The profile has been saved.","O perfil foi salvo."
"The profile has been updated.","O perfil foi atualizado."
"The profile has no changes.","O perfil não tem alterações."
"The profile you are trying to save no longer exists","O perfil que você está tentando salvar não existe mais"
"The rating has been deleted.","A avaliação foi excluída."
"The rating has been saved.","A avaliação foi salva."
"There is an error in one of the option rows.","Há um erro em uma das linhas de opções."
"The role has been deleted.","O papel foi deletado."
"The role has been saved.","O papel foi salvo."
"The role has been successfully saved.","O papel foi salvo com sucesso."
"The roles have been refreshed.","Os papéis foram atualizados."
"The search index has been rebuilt.","O índice de busca foi reconstruído."
"The shipment has been created.","A remessa foi criada."
"The shipment has been sent.","O envio foi enviado."
"The shipment no longer exists.","O número de envio não existe mais."
"The shipping label has been created.","A etiqueta de envio foi criada."
"The Special Price is active only when lower than the Actual Price.","O Preço Especial está ativo apenas quando for menor que o Preço Real."
"The tag has been deleted.","A tag foi excluída."
"The tag has been saved.","A tag foi salva."
"The transaction details have been updated.","Os detalhes da transação foram atualizados."
"The URL Rewrite has been deleted.","A URL Rewrite foi excluído."
"The URL Rewrite has been saved.","A reescrita de URL foi salva."
"The user has been deleted.","O usuário foi excluído."
"The user has been saved.","O usuário foi salvo."
"The variable has been saved.","A variável foi salva."
"This Account is","Essa Conta é"
"This account is","Esta conta é"
"This account is inactive.","Esta conta está inativa."
"This attribute set does not have attributes which we can use for configurable product","Este conjunto de atributos não tem atributos que podemos usar para produto configurável"
"This attribute shares the same value in all the stores","Este atributo compartilha o mesmo valor em todas lojas"
"This block no longer exists.","Este bloco não existe mais."
"This Email template no longer exists.","Este modelo de email não existe mais."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é a Loja de Demonstração. Quaisquer pedidos feitos nesta loja não serão honrados ou realizados."
"This is a required field.","Este é um campo obrigatório."
"This product is currently disabled.","Este produto está atualmente desativado."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Este relatório depende da configuração de fuso horário. Uma vez que o fuso horário é alterado, as estatísticas de lifetime precisam ser atualizadas."
"This Role no longer exists","Este papel não existe mais"
"This Role no longer exists.","Este papel não existe mais."
"This section is not allowed.","Esta seção não é permitida."
"This user no longer exists.","Este usuário não existe mais."
"This variable no longer exists.","Essa variável não existe mais."
"Time","Tempo"
"Timeout limit for response from synchronize process was reached.","Limite de tempo de resposta do processo de sincronizar foi alcançado."
"To","Até"
"to","para"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Para cancelar autorizações pendentes e liberar montantes que já foram processados durante este pagamento, clique em Cancelar."
"Tools","Ferramentas"
"Top 5 Search Terms","Top 5 termos de busca"
"Total","Total:"
"Total Invoiced","Total faturado"
"Total of %d record(s) have been deleted.","Total de %d registro(s) foram excluídos."
"Total of %d record(s) have been updated.","Total de %d registro(s) foram atualizados."
"Total of %d record(s) were deleted","Total de %d registro(s) foram excluídos"
"Total of %d record(s) were deleted.","Total de %d registro(s) foram excluídos."
"Total of %d record(s) were updated","Total de %d registro(s) foram atualizados"
"Total of %d record(s) were updated.","Total de %d registro(s) foram atualizados."
"Total Order Amount","Valor total do pedido"
"Total Refunded","Total reembolsado"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Para usar o PayPal Payflow Link, deve configurar sua conta de pagamentos PayPal Payflow Link no site do PayPal."
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","Para usar Pagamentos Avançados do PayPal, você deve configurar sua conta do PayPal Payments Advanced no site do PayPal."
"Tracking number %s for %s assigned","Número de rastreamento %s para %s associado"
"Tracking number cannot be empty.","Número de rastreamento não pode ser vazio."
"Track Order","Rastrear Pedido"
"Track this shipment","Rastrear esta entrega"
"Trailing Slash Behavior","Trailing Slash Behavior"
"Transactional Emails","E-mails transacionais"
"Transaction Data","Dados da Transação"
"Transaction Details","Detalhes da transação"
"Transaction ID","ID Transação"
"Transactions","Transações"
"Transaction Type","Tipo de Transação"
"Two-Factor Authentication","Two-Factor Authentication"
"Type","Tipo"
"Type:","Tipo:"
"Unable to cancel the credit memo.","Não é possível cancelar o crédito de nota fiscal."
"Unable to find a block to delete.","Não foi possível encontrar um bloco para excluir."
"Unable to find a Email Template to delete.","Não foi possível encontrar um Modelo de Email para excluir."
"Unable to find a tag to delete.","Não foi possível encontrar uma tag para excluir."
"Unable to find a user to delete.","Não foi possível encontrar um usuário para excluir."
"Unable to find a variable to delete.","Não foi possível encontrar uma variável para excluir."
"Unable to initialize import model","Não foi possível inicializar modelo de importação"
"Unable to refresh lifetime statistics.","Não é possível atualizar estatísticas de vida útil."
"Unable to refresh recent statistics.","Não é possível atualizar estatísticas recentes."
"Unable to save the cron expression.","Não é possível salvar a expressão cron."
"Unable to save the invoice.","Não é possível salvar a fatura."
"Unable to send the invoice email.","Não é possível enviar o e-mail da fatura."
"Unable to send the shipment email.","Não é possível enviar o e-mail de remessa."
"Unable to update transaction details.","Não é possível atualizar detalhes da transação."
"Unable to void the credit memo.","Não é possível anular o memorando de crédito."
"Unknown","Desconhecido"
"Unlimited","Ilimitado"
"Update","Atualizar"
"Updated At","Atualizado por"
"Uploaded file is larger than %.2f kilobytes allowed by server","Arquivo carregado é maior que %.2f quilobytes permitidos pelo servidor"
"Upload File","Enviar Arquivo"
"Upload Files","Enviar Arquivo"
"Upload HTTP Error","Erro de carregamento HTTP"
"Upload I/O Error","Erro de carregamento de entrada/saída"
"Upload Security Error","Erro de carregamento de segurança"
"URL Rewrite","Reescrita de URL"
"URL Rewrite Information","Informação de Reescrita de URL"
"URL Rewrite Management","Gerenciamento de Reescrita de URL"
"Use All Available Attributes","Usar todos os atributos disponíveis"
"Use Config Settings","Usar Configurações padrão"
"Used as Default For","Usado como Padrão Para"
"Used Currently For","Atualmente Utilizado Para"
"Use Default","Usar Padrão"
"Use Default Value","Utilizar Valor Padrão"
"Use Default Variable Values","Usar valores padrões da variável"
"User Email","E-mail de Usuário"
"User ID","ID de Usuário"
"User Info","Informações de Usuário"
"User Information","Informações do Usuário"
"User Name","Nome de Usuário"
"User name","Nome de usuário"
"User Name:","Nome de usuário:"
"User Name is required field.","Nome de Usuário é um campo obrigatório."
"User Password","Senha de usuário"
"User Role","Permissões de Acesso"
"User Roles","Papeis do Usuário"
"User Roles Information","Informações das Permissões do Usuário"
"Users","Usuários"
"User Type Resources","Recursos de Tipo de Usuário"
"Use Website","Usar Website"
"Validation Results","Resultados da Validação"
"Value","Valor"
"Value Delimiter:","Delimitador de valores:"
"Variable","Variável"
"Variable Code","Código da variável"
"Variable Details","Detalhes da Variável"
"Variable has been deleted.","Variável foi excluída."
"Variable HTML Value","Valor da variável HTML"
"Variable ID","Variável ID"
"Variable Name","Nome da variável"
"Variable Name is incorrect.","Nome de Variável está incorreto."
"Variable Name is required field.","Nome da Variável é um campo obrigatório."
"Variable Plain Value","Valor de variável em texto simples"
"Variables","Variáveis"
"VAT Number is Invalid","Número de IVA é Inválido"
"VAT Number is Valid","Número de IVA é Válido"
"Verification Code","Verification Code"
"Verifier code: %s","Código de verificação: %s"
"View Actions XML","Visualizar XML de ações"
"View Full Size","Ver Tamanho Completo"
"View Statistics For:","Exibir Estatísticas para:"
"Visibility:","Visibilidade:"
"Warning","Atenção"
"Warning! Empty value can cause problems with CSV format.","Alerta! Valor vazio pode causar problemas com o formato CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Aviso!\r\nEsta ação removerá este usuário do papel já atribuído\r\nVocê tem certeza?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Aviso!\r\nEssa ação removerá esses usuários de funções já atribuídas\r\nVocê tem certeza?"
"Warning: Please do not close the window during importing/exporting data","Aviso: Por favor, não feche a janela durante a importação/exportação de dados"
"Watermark File for %s","Arquivo de marca d'água para %s"
"Web Services","Serviços web"
"Web services","Serviços web"
"Website","Site"
"website(%s) scope","escopo do website(%s)"
"What is this?","O que é isso?"
"Wishlist item is not loaded.","Item da lista de desejos não carregado."
"Wishlist Report","Relatório de lista de desejos"
"Wrong account specified.","Conta errada especificada."
"Wrong billing agreement ID specified.","ID de acordo de faturamento incorreto especificado."
"Wrong column format.","Formato de coluna incorreto."
"Wrong field specified.","Campo errado especificado."
"Wrong newsletter template.","Modelo de newsletter incorreto."
"Wrong quote item.","Item de cotação errado."
"Wrong tab configuration.","Configuração de guia incorreta."
"Wrong tab configuration for %s %s.","Configuração de guia incorreta para %s %s."
"Wrong tag was specified.","Etiqueta errada foi especificada."
"Wrong transaction ID specified.","ID de transação especificado incorretamente."
"XML","XML"
"XML data is invalid.","Os dados XML são inválidos."
"XML object is not instance of ""Varien_Simplexml_Element"".","Objeto XML não é uma instância de ""Varien_Simplexml_Element""."
"Year","Ano"
"Yes","Sim"
