"%d product(s) were updated","%d produkt(er) blev opdateret"
"%s (Default Template from Locale)","%s (Standard skabelon fra Locale)"
"%s cache type(s) disabled.","%s cache type(r) deaktiveret."
"%s cache type(s) enabled.","%s cache type(r) aktiveret."
"%s cache type(s) refreshed.","%s cache type(r) opdateret."
"MS Excel XML","MS Excel XML"
"Multiple Select","Vælg Flere"
"My Account","Min Konto"
"My Applications","Mine Applikationer"
"N/A","N/A"
"Name","Navn"
"Name:","Navn:"
"Name on Card","Navn på kort"
"Network Error. Please refresh the page.","Netværksfejl. Genindlæs venligst siden."
"Never (production)","Aldrig (produktion)"
"New ","Ny "
"New Accounts","Nye Konti"
"New API Key","Ny API-nøgle"
"New Attribute","Ny Attribut"
"New Block","Ny Blok"
"New block","Ny blok"
"New Category","Ny Kategori"
"New Class","Ny Klasse"
"New Condition","Ny Betingelse"
"New Customer","Ny Kunde"
"New Customers","Nye Kunder"
"New Custom Variable","Ny Brugerdefineret Variabel"
"New Design Change","Nyt Design Ændring"
"New Email Template","Ny E-Mail Skabelon"
"New Group","Ny Gruppe"
"New Invoice","Ny Faktura"
"New Memo","Nyt Notat"
"New Memo for #%s","Nyt notat til #%s"
"New Page","Ny Side"
"New Password","Ny Adgangskode"
"New Password Confirmation","Bekræftelse Af Ny Adgangskode"
"New password field cannot be empty.","Feltet for ny adgangskode må ikke være tomt."
"New Profile","Ny Profil"
"New Rate","Ny Rate"
"New Rating","Ny Bedømmelse"
"New Review","Ny Anmeldelse"
"New Role","Ny Rolle"
"New Rule","Ny Regel"
"New Search","Ny Søgning"
"New Set","Nyt Sæt"
"New Shipment","Ny Forsendelse"
"New Sitemap","Ny Sitemap"
"Newsletter","Nyhedsbrev"
"Newsletter Problems","Nyhedsbrev Problemer"
"Newsletter Queue","Nyhedsbrev Kø"
"Newsletter Subscribers","Nyhedsbrev Abonnenter"
"Newsletter Templates","Nyhedsbrev Skabeloner"
"New Store View","Ny Butik Visning"
"New System Template","Ny Systemskabelon"
"New Tag","Nyt Tag"
"New Template","Ny Skabelon"
"New User","Ny Bruger"
"New Variable","Ny Variabel"
"New Website","Ny Hjemmeside"
"No","Nej"
"No (price without tax)","Nej (pris uden moms)"
"No change","Ingen ændring"
"No customer id defined.","Intet kundenummer defineret."
"No Data Found","Ingen Data Fundet"
"No information available.","Ingen information tilgængelig."
"None","Ingen"
"No Passkey Created","Ingen Passkey Oprettet"
"No profile loaded...","Ingen profil indlæst..."
"No records found.","Ingen poster fundet."
"No records found for this period.","Ingen poster fundet for denne periode."
"No report code specified.","Ingen rapportkode angivet."
"No search keywords.","Ingen søgeord."
"No search modules were registered","Ingen søgemoduler blev registreret"
"Not allowed","Ikke tilladt"
"Not authenticated","Ikke godkendt"
"Note:","Bemærk:"
"No Templates Found","Ingen Skabeloner Fundet"
"NOTICE","BEMÆRKNING"
"Notice","Bemærk"
"notice","varsel"
"Notifications","Notifikationer"
"Number of Orders","Antal ordrer"
"Number of records:","Antal poster:"
"Number of Uses","Antal anvendelser"
"Number of Views","Antal visninger"
"OAuth authorization for admin","OAuth godkendelse til admin"
"OAuth authorization simple for admin","OAuth godkendelse enkel for admin"
"OAuth Consumers","OAuth Forbrugere"
"Old rate:","Gammel sats:"
"One or more of the Cache Types are invalidated:","En eller flere af cache typerne er ugyldiggjort:"
"Online Customers","Online Kunder"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Kun attributter med anvendelsesområde ""Global"", inputtype ""Dropdown"" og brug til at oprette konfigurerbare produkt ""Ja"" er tilgængelige."
"Only from same domain","Kun fra samme domæne"
"Only mapped fields","Kun kortlagte felter"
"Only Once (version upgrade)","Kun én gang (versionsopgradering)"
"Optional","Valgfri"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Valgfri region for udbydere, der støtter den (f.eks. us-east-1 for AWS)"
"Options","Indstillinger"
"Options is required","Indstillinger er påkrævet"
"Order","Ordre"
"Order #%s","Ordre #%s"
"Order #%s (%s)","Ordre #%s (%s)"
"Order Created Date","Ordre Oprettet Dato"
"Order ID","Ordre ID"
"Orders","Ordrer"
"Order Totals","Ordre I Alt"
"Order Updated Date","Ordre Opdateret Dato"
"Order Updated Date report is real-time, does not need statistics refreshing.","Ordre opdateret Dato rapport er realtid, behøver ikke statistik opdatere."
"Original Magento attribute names in first row:","Oprindelige Magento attribut navne i første række:"
"Orphaned API Role Resource","Forældreløs API-rolle Ressource"
"Orphaned API Role Resources","Forældreløse API Rolle Ressourcer"
"Orphaned Resources","Forældreløse Ressourcer"
"Orphaned Role Resource","Forældreløs Rolleressource"
"Orphaned Role Resources","Forældreløse Rolleressourcer"
"Out of stock","Ikke på lager"
"Pages","Sider"
"Parent Product Thumbnail","Overordnet Produkt Miniaturebillede"
"Parent Transaction ID","Overordnet Transaktions-Id"
"Passive mode","Passiv tilstand"
"Passkey Active","Passkey Aktiv"
"Passkey Authentication","Passkey Godkendelse"
"Passkey credential already registered to another user.","Passkey legitimationsoplysninger allerede registreret til en anden bruger."
"Passkey will be deleted upon saving.","Passkey vil blive slettet når du gemmer."
"Passkey will be registered upon saving.","Passkey vil blive registreret ved lagring."
"Password","Adgangskode"
"Password:","Adgangskode:"
"Password Confirmation","Bekræftelse Af Adgangskode"
"Password confirmation must be same as password.","Adgangskodebekræftelse skal være den samme som adgangskode."
"Password must be at least of %d characters.","Adgangskoden skal være mindst på %d tegn."
"Password must include both numeric and alphabetic characters.","Adgangskoden skal indeholde både numeriske og alfabetiske tegn."
"Path:","Sti:"
"Payment method instance is not available.","Betalingsmetode instans er ikke tilgængelig."
"Payment method is not available.","Betalingsmetode er ikke tilgængelig."
"Payment method must be specified.","Betalingsmetode skal angives."
"Pending Reviews","Afventende Anmeldelser"
"Pending Tags","Afventende Tags"
"Percent","Procent"
"Performed At","Udført Ved"
"Period","Periode"
"Per Item","Pr. Vare"
"Permanent (301)","Permanent (301)"
"Permissions","Rettigheder"
"Per Order","Pr. Ordre"
"Personal Information","Personlige Oplysninger"
"Phone:","Telefon:"
"PHP attribute recompilation failed: %s","PHP attribut genkompilering mislykkedes: %s"
"PHP attributes were recompiled.","PHP attributter blev genkompileret."
"Please confirm site switching. All data that hasn't been saved will be lost.","Bekræft venligst skift af websted. Alle data, der ikke er gemt, vil gå tabt."
"Please enter 6 or more characters.","Indtast 6 eller flere tegn."
"Please enter another credit card number to complete your purchase.","Indtast venligst et andet kreditkortnummer for at gennemføre dit køb."
"Please enter a number greater than 0 in this field.","Angiv et tal større end 0 i dette felt."
"Please enter a valid $ amount. For example $100.00.","Angiv et gyldigt $ beløb. For eksempel $100.00."
"Please enter a valid credit card number.","Indtast et gyldigt kreditkortnummer."
"Please enter a valid date.","Angiv en gyldig dato."
"Please enter a valid email.","Angiv venligst en gyldig e-mail."
"Please enter a valid email address. For example johndoe@domain.com.","Angiv venligst en gyldig e-mailadresse. For eksempel johndoe@domain.com."
"Please enter a valid number in this field.","Please enter a valid number in this field. (Automatic Copy)"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Indtast et gyldigt telefonnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Indtast et gyldigt socialsikringsnummer. For eksempel 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Angiv en gyldig URL. For eksempel http://www.example.com eller www.example.com"
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required"
"Please enter a valid zip code.","Angiv et gyldigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Angiv et gyldigt postnummer. For eksempel 90602 eller 90602-1234."
"Please enter valid password.","Indtast venligst gyldig adgangskode."
"Please make sure that all global admin search modules are installed and activated.","Sørg for, at alle globale admin søgemoduler er installeret og aktiveret."
"Please make sure that your changes were saved before running the profile.","Sørg for, at dine ændringer blev gemt, før du kører profilen."
"Please make sure your passwords match.","Sørg venligst for, at dine adgangskoder stemmer overens."
"Please Select","Vælg Venligst"
"Please select a customer.","Vælg venligst en kunde."
"Please select an option.","Vælg venligst en mulighed."
"Please select a store.","Vælg venligst en butik."
"Please select catalog searches.","Vælg venligst katalogsøgninger."
"Please select customer(s).","Vælg venligst kunde(r)."
"Please select one of the above options.","Vælg en af ovenstående muligheder."
"Please select one of the options.","Vælg venligst en af mulighederne."
"Please select review(s).","Vælg venligst anmeldelse(r)."
"Please select State/Province.","Vælg venligst Stat/provins."
"Please select tag(s).","Vælg venligst tag(s)."
"Please select URL rewrite(s).","Vælg venligst URL omskrivning."
"Please specify the admin custom URL.","Please specify the admin custom URL. (Automatic Copy)"
"Please try to logout and sign in again.","Prøv at logge ud og logge ind igen."
"Please use in this field only ""a-z,0-9,_"".","Benyt kun i dette felt ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Brug kun bogstaver (a-z) i dette felt."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Brug kun tal i dette felt. Undgå mellemrum eller andre tegn såsom prikker eller kommaer."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Brug kun bogstaver (a-z) eller tal (0-9) i dette felt. Ingen mellemrum eller andre tegn er tilladt."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Brug kun bogstaver (a-z) eller tal (0-9) eller mellemrum og # kun i dette felt."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Brug venligst dette datoformat: dd/mm/åååå. For eksempel 17/03/2006 for 17. marts 2006."
"Please wait, loading...","Vent venligst, indlæser..."
"Please wait...","Vent venligst..."
"Please wait while the indexes are being refreshed.","Vent venligst mens indekserne opdateres."
"Popular","Populær"
"Position","Placering"
"Position of Watermark for %s","Placering af vandmærke for %s"
"Pregenerated configurable swatches image files.","Prægenererede konfigurerbare surches billedfiler."
"Pregenerated product images files.","Prægenererede produkt billeder filer."
"Preview","Eksempelvisning"
"Preview Template","Forhåndsvis Skabelon"
"Price","Pris"
"Price:","Pris:"
"Price alert subscription was saved.","Prisadvarselsabonnement blev gemt."
"Processed <strong>%s%% %s/%d</strong> records","Behandlede <strong>%s%% %s/%d</strong> poster"
"Processing","Behandler"
"Product","Produkt"
"Product:","Produkt:"
"Product is not loaded.","Produktet er ikke indlæst."
"Product Name","Produkt Navn"
"Product Reviews","Produkt Anmeldelser"
"Products","Produkter"
"Products Bestsellers Report","Produkter Bestsellers Rapport"
"Products in Carts","Produkter i kurve"
"Products Most Viewed Report","Produkter Mest Sete Rapport"
"Products Ordered","Produkter Bestilt"
"Product Tax Classes","Produkt Momsklasser"
"Product Thumbnail Itself","Produkt Miniature Selv"
"Profile Action","Profil Handling"
"Profile Actions XML","Profil Handlinger XML"
"Profile Direction","Profil Retning"
"Profile History","Profil Historik"
"Profile Information","Profil Information"
"Profile Name","Profilnavn"
"Profile Payments","Profil Betalinger"
"Profiles","Profiles"
"Profile Schedule","Profil Skema"
"Profile Wizard","Profil Guide"
"Promo","Promo"
"Promotions","Kampagner"
"Purchased Item","Købt Element"
"QR Code","QR Code"
"Quantity","Mængde"
"Queued... Cancel","Kø... Annullér"
"Queue Refresh","Genopfrisk Kø"
"Radio Buttons","Radioknapper"
"Rates","Satser"
"Read details","Læs detaljer"
"Rebuild","Genbyg"
"Rebuild Catalog Index","Genopbyg Katalogindeks"
"Rebuild Flat Catalog Category","Genopbyg Flad Katalog Kategori"
"Rebuild Flat Catalog Product","Genopbyg Fladt Katalog Produkt"
"Recent Orders","Seneste Ordrer"
"Recent statistics have been updated.","De seneste statistikker er blevet opdateret."
"Recipient email address","Modtager e-mail adresse"
"Recompile PHP Attributes","Genoptag PHP-attributter"
"Recurring Profile View","Tilbagevendende Profilvisning"
"Redirect","Omdiriger"
"Redirect to URL without trailing slash","Omdiriger til URL uden efterfølgende skråstreg"
"Redirect to URL with trailing slash","Omdiriger til URL med efterfølgende skråstreg"
"Reference","Reference"
"Reference ID","Reference ID"
"Refresh","Opdater"
"Refresh Now*","Opdater Nu*"
"Refresh Roles","Opdater Roller"
"Refresh Statistics","Opdater Statistik"
"Region","Region"
"Region/State","Region/stat"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","Registrering af en adgangsnøgle deaktiverer automatisk adgangskodegodkendelse. Af sikkerhedsmæssige årsager anbefaler vi, at den holdes deaktiveret, selvom du kan genaktivere den om nødvendigt."
"Register New Passkey","Registrer Ny Passkey"
"Register Passkey","Registrer Passkey"
"Regular Price:","Regelmæssig Pris:"
"Reject","Afvis"
"Rejection Of Authorization","Afvisning Af Tilladelse"
"Reject token authorization for admin","Afvis token godkendelse for admin"
"Reject token authorization Pop Up for admin","Afvis token godkendelse Pop Up for admin"
"Remote FTP","Ekstern FTP"
"Remove","Fjern"
"Remove Passkey","Fjern Passkey"
"Rename","Omdøb"
"Reports","Rapporter"
"Request Path","Anmod Om Sti"
"Required","Påkrævet"
"Reset","Reset"
"Reset a Password","Nulstil en adgangskode"
"Reset Filter","Nulstil Filter"
"Reset Password","Nulstil Adgangskode"
"Resource Access","Ressource Adgang"
"Resources","Ressourcer"
"REST Roles","REST Roller"
"Results","Resultater"
"Retrieve Password","Hent Adgangskode"
"Return Html Version","Returnér HTML-version"
"Revenue","Indtægter"
"Reviews","Anmeldelser"
"Reviews and Ratings","Anmeldelser og vurderinger"
"Rewrite Rules","Omskriv Regler"
"Role ID","Rolle ID"
"Role Info","Rolle Info"
"Role Information","Rolle Information"
"Role Name","Rolle Navn"
"Role Resources","Rolle Ressourcer"
"Roles","Roller"
"Roles Resources","Roller Ressourcer"
"Role Users","Rolle Brugere"
"Root Category","Rod Kategori"
"Run","Kør"
"Running... Kill","Kører... Dræb"
"Run Profile","Kør Profil"
"Run Profile in Popup","Kør profil i Popup"
"Sales","Salg"
"Sales Overview","Salgs Oversigt"
"Sales Report","Salgs Rapport"
"Samples","Prøver"
"Save","Gem"
"Save & Generate","Gem Og Generér"
"Save Account","Gem Konto"
"Save and Continue Edit","Gem og fortsæt redigering"
"Save Block","Gem Blok"
"Save Cache Settings","Gem Cache-Indstillinger"
"Save Config","Gem Konfiguration"
"Save Currency Rates","Gem Valutakurser"
"Save Profile","Gem Profil"
"Save Role","Gem Rolle"
"Save Template","Gem Skabelon"
"Save User","Gem Bruger"
"Save Variable","Gem Variabel"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Scan denne QR-kode med din autentificerings-app (Google Authenticator, Authy, etc.)"
"Search","Søg"
"Search entire store here...","Søg i hele butikken her..."
"Search Index","Søg Indeks"
"Search results","Søgeresultater"
"Search Term","Søgeterm"
"Search Terms","Søg Vilkår"
"Select","Vælg"
"Select All","Vælg Alle"
"Select Category","Vælg Kategori"
"selected","valgt"
"Selected allowed currency ""%s"" is not available in installed currencies.","Valgte tilladte valuta ""%s"" er ikke tilgængelig i installerede valutaer."
"Selected base currency is not available in installed currencies.","Valgte basisvaluta er ikke tilgængelig i installerede valutaer."
"Selected default display currency is not available in allowed currencies.","Valgte standard display valuta er ikke tilgængelig i tilladte valutaer."
"Selected default display currency is not available in installed currencies.","Valgte standard display valuta er ikke tilgængelig i installerede valutaer."
"Select Range","Vælg Interval"
"Self-assigned roles cannot be deleted.","Selv-tildelte roller kan ikke slettes."
"Send","Send"
"Sender","Afsender"
"Sending...","Sender..."
"Separate Email","Adskil E-Mail"
"Serialized data is incorrect","Serialiseret data er forkert"
"Shipment #%s comment added","Forsendelse #%s kommentar tilføjet"
"Shipment #%s created","Levering #%s oprettet"
"Shipment Comments","Kommentarer Til Forsendelse"
"Shipment History","Forsendelse Historik"
"Shipments","Forsendelse"
"Shipping","Forsendelse"
"Shipping Address","Leverings Adresse"
"Shipping Address: ","Leveringsadresse: "
"Shipping address selection is not applicable","Valg af leveringsadresse er ikke relevant"
"Shipping method must be specified.","Leveringsmetode skal angives."
"Shipping method selection is not applicable","Valg af forsendelsesmetode er ikke relevant"
"Shipping Origin","Forsendelse Oprindelse"
"Shipping Price","Forsendelse Pris"
"Shopping Cart","Indkøbskurv"
"Shopping Cart from %s","Indkøbskurv fra %s"
"Shopping Cart Price Rules","Prisregler For Indkøbskurv"
"Show By","Vis Af"
"Show Report For:","Vis Rapport For:"
"Show Reviews","Vis Anmeldelser"
"Sitemap Information","Sitemap Information"
"Size for %s","Størrelse for %s"
"Skip Category Selection","Spring Kategori Valg Over"
"SKU","Varenummer"
"SKU:","Varenummer:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Nogle varer i denne ordre har forskellige fakturaer og pakketyper. Du kan kun oprette pakke, når fakturaen er oprettet."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Nogle af de bestilte varer findes ikke længere i kataloget og vil blive fjernet, hvis du forsøger at redigere ordren."
"Special Price:","Speciel Pris:"
"Specific Countries","Specifikke Lande"
"Specified","Angivet"
"Specified profile does not exist.","Den angivne profil findes ikke."
"Spreadsheet Name:","Regneark Navn:"
"Start Date","Start Dato"
"Starting profile execution, please wait...","Starter profiludførelse. Vent venligst..."
"State/Province:","Stat/provins:"
"Static Blocks","Statiske Blokke"
"Status","Status"
"Status:","Status:"
"Stock notification was saved.","Lager notifikation blev gemt."
"Stock Quantity:","Lager Mængde:"
"Store","Butik"
"store(%s) scope","butik(%s) anvendelsesområde"
"Store:","Butik:"
"Stores","Butikker"
"Store View","Butik Visning"
"Subject","Emne"
"Submit","Indsend"
"Subtotal","Subtotal"
"successful","lykkedes"
"Switch/Solo/Maestro Only","Kun Skifte/Solo/Maestro"
"System","System"
"System busy","Systemet er optaget"
"Tags","Mærker"
"Target Path","Mål Sti"
"Tax","Moms"
"Template","Skabelon"
"Template Content","Skabelon Indhold"
"Template Information","Skabelon Information"
"Template Name","Skabelon Navn"
"Template Styles","Template Styles"
"Template Subject","Skabelon Emne"
"Template Type","Skabelon Type"
"Temporary (302)","Midlertidig (302)"
"Terms and Conditions","Vilkår og betingelser"
"Test email sent successfully to %s.","Test e-mail sendt succesfuldt til %s."
"Test Email Settings","Test E-Mail Indstillinger"
"Text","Tekst"
"The account has been saved.","Kontoen er blevet gemt."
"The attribute set has been removed.","Attributten sæt er blevet fjernet."
"The billing agreement has been canceled.","Faktureringsaftalen er blevet annulleret."
"The billing agreement has been deleted.","Faktureringsaftalen er blevet slettet."
"The block has been saved.","Blokken er blevet gemt."
"The cache storage has been flushed.","Cache lageret er blevet skyllet."
"The carrier needs to be specified.","Transportøren skal specificeres."
"The catalog index has been rebuilt.","Katalog indekset er blevet genopbygget."
"The CatalogInventory Stock Status has been rebuilt.","Lagerstatus for kataloginventar er blevet genopbygget."
"The catalog rewrites have been refreshed.","Kataloget omskriver er blevet opdateret."
"The Catalog Rewrites were refreshed.","Katalog omskrivning blev genopfrisket."
"The Comment Text field cannot be empty.","Feltet Kommentar Tekst kan ikke være tomt."
"The configurable swatches image cache was cleaned.","Den konfigurerbare swatches billede cache blev renset."
"The configuration has been saved.","Konfigurationen er blevet gemt."
"The credit memo has been canceled.","Kreditnotaen er blevet annulleret."
"The credit memo has been created.","Kreditnotaen er blevet oprettet."
"The credit memo has been voided.","Kreditnotaen er blevet annulleret."
"The credit memo no longer exists.","Kreditnotaen findes ikke længere."
" The customer does not exist in the system anymore."," Kunden findes ikke længere i systemet."
"The customer has been deleted.","Kunden er blevet slettet."
"The customer has been saved.","Kunden er blevet gemt."
"The custom variable has been deleted.","Den brugerdefinerede variabel er blevet slettet."
"The custom variable has been saved.","Den brugerdefinerede variabel er blevet gemt."
"The design change has been deleted.","Designændringen er blevet slettet."
"The design change has been saved.","Designændringen er blevet gemt."
"The email address has been updated successfully.","E-mailadressen er blevet opdateret korrekt."
"The email address is empty.","E-mailadressen er tom."
"The email template has been deleted.","E-mail skabelonen er blevet slettet."
"The email template has been saved.","E-mail skabelonen er blevet gemt."
"The flat catalog category has been rebuilt.","Den flade katalog kategori er blevet genopbygget."
"The Flat Catalog Product was rebuilt","The Flat Catalog Product was rebuilt"
"The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Følgende API-rolleressourcer er ikke længere tilgængelige i systemet: %s. Du kan slette dem ved at <a href=""%s"">klikke her</a>."
"The following role resource(s) are not orphaned: %s","The following role resource(s) are not orphaned: %s (Automatic Copy)"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","The following role resources are not longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>."
"The group node name must be specified with field node name.","Navnet på gruppeknude skal angives med navnet på feltknude."
"The image cache was cleaned.","Billedcachen blev renset."
"The image cache was cleared.","Billedcachen blev ryddet."
"The invoice and shipment have been created.","Faktura og forsendelse er blevet oprettet."
"The invoice cannot be canceled.","Faktura kan ikke annulleres."
"The invoice cannot be captured.","Faktura kan ikke gemmes."
"The invoice cannot be voided.","Fakturaen kan ikke annulleres."
"The invoice has been canceled.","Fakturaen er blevet annulleret."
"The invoice has been captured.","Fakturaen er blevet gemt."
"The invoice has been created.","Fakturaen er blevet oprettet."
"The invoice has been voided.","Fakturaen er blevet annulleret."
"The invoice no longer exists.","Fakturaen findes ikke længere."
"The item %s (SKU %s) does not exist in the catalog anymore.","Elementet %s (SKU %s) findes ikke længere i kataloget."
"The Layered Navigation indexing has been queued.","Den lagdelte Navigation indeksering er blevet sat i kø."
"The Layered Navigation indexing queue has been canceled.","Den lagdelte navigationskø er blevet annulleret."
"The Layered Navigation indices were refreshed.","De lagdelte navigationsindeks blev genopfrisket."
"The Layered Navigation process has been queued to be killed.","Den lagdelte navigationsproces er blevet sat i kø til at blive dræbt."
"The Maho cache has been flushed and updates applied.","Maho cache er blevet skyllet og opdateringer anvendt."
"The minified CSS/JS cache was cleaned.","Den minified CSS/JS cache blev renset."
"The order does not allow creating an invoice.","Ordren tillader ikke at oprette en faktura."
"The order no longer exists.","Ordren eksisterer ikke længere."
"The profile has been deleted.","Profilen er blevet slettet."
"The profile has been saved.","Profilen er blevet gemt."
"The profile has been updated.","Profilen er blevet opdateret."
"The profile has no changes.","Profilen har ingen ændringer."
"The profile you are trying to save no longer exists","Den profil, du forsøger at gemme, findes ikke længere"
"The rating has been deleted.","Bedømmelsen er blevet slettet."
"The rating has been saved.","Vurderingen er blevet gemt."
"There is an error in one of the option rows.","Der er en fejl i en af indstillingsrækkerne."
"The role has been deleted.","Rollen er blevet slettet."
"The role has been saved.","Rollen er blevet gemt."
"The role has been successfully saved.","Rollen er blevet gemt."
"The roles have been refreshed.","Rollerne er blevet genopfrisket."
"The search index has been rebuilt.","Søgeindekset er blevet genopbygget."
"The shipment has been created.","Pakken er blevet oprettet."
"The shipment has been sent.","Pakken er blevet sendt."
"The shipment no longer exists.","Pakken eksisterer ikke længere."
"The shipping label has been created.","Leveringsmærket er blevet oprettet."
"The Special Price is active only when lower than the Actual Price.","Specialprisen er kun aktiv, når den er lavere end den faktiske pris."
"The tag has been deleted.","Tagget er blevet slettet."
"The tag has been saved.","Tagget er blevet gemt."
"The transaction details have been updated.","Transaktionsoplysningerne er blevet opdateret."
"The URL Rewrite has been deleted.","URL omskrivning er blevet slettet."
"The URL Rewrite has been saved.","URL omskrivning er blevet gemt."
"The user has been deleted.","Brugeren er blevet slettet."
"The user has been saved.","Brugeren er blevet gemt."
"The variable has been saved.","Variablen er blevet gemt."
"This Account is","Denne konto er"
"This account is","Denne konto er"
"This account is inactive.","Denne konto er inaktiv."
"This attribute set does not have attributes which we can use for configurable product","Dette attribut sæt har ikke attributter, som vi kan bruge til konfigurerbart produkt"
"This block no longer exists.","Denne blok eksisterer ikke længere."
"This Email template no longer exists.","Denne e-mail-skabelon findes ikke længere."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demo butik. Eventuelle ordrer, der afgives gennem denne butik, vil ikke blive hædret eller opfyldt."
"This is a required field.","Dette er et obligatorisk felt."
"This is a test email from Maho admin.","Dette er en test e-mail fra Maho admin."
"This product is currently disabled.","Denne vare er i øjeblikket deaktiveret."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Denne rapport afhænger af tidszonekonfiguration. Når tidszonen er ændret, skal statistikkerne for levetid opdateres."
"This Role no longer exists","Denne rolle findes ikke længere"
"This Role no longer exists.","Denne rolle eksisterer ikke længere."
"This section is not allowed.","Dette afsnit er ikke tilladt."
"This user no longer exists.","Denne bruger eksisterer ikke længere."
"This variable no longer exists.","Denne variabel eksisterer ikke længere."
"Time","Tid"
"To","Til"
"to","til"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","For at annullere ventende godkendelser og frigive beløb, der allerede er blevet behandlet under denne betaling, klik på Annullér."
"Tools","Værktøjer"
"Top 5 Search Terms","Top 5 Søgevilkår"
"Total","I Alt"
"Total Invoiced","Total Faktureret"
"Total of %d record(s) have been deleted.","Total af %d post(er) er blevet slettet."
"Total of %d record(s) have been updated.","Total af %d post(er) er blevet opdateret."
"Total of %d record(s) were deleted","Total af %d post(er) blev slettet"
"Total of %d record(s) were deleted.","Total af %d post(er) blev slettet."
"Total of %d record(s) were updated","Total af %d post(er) blev opdateret"
"Total of %d record(s) were updated.","Total af %d post(er) blev opdateret."
"Total of %d URL rewrite(s) have been deleted.","Total af %d URL omskrivning er blevet slettet."
"Total Order Amount","Samlet Ordre Beløb"
"Total Refunded","Refunderet I Alt"
"Tracking number %s for %s assigned","Tracking nummer %s for %s tildelt"
"Tracking number cannot be empty.","Sporingsnummer må ikke være tomt."
"Track Order","Spor Ordre"
"Track this shipment","Spor denne forsendelse"
"Trailing Slash Behavior","Efterfølgende Slash Opførsel"
"Transactional Emails","Transaktionelle E-Mails"
"Transaction Data","Transaktionsdata"
"Transaction Details","Transaktion Detaljer"
"Transaction ID","Transaktion ID"
"Transactions","Transaktioner"
"Transaction Type","Transaktions Type"
"Two-Factor Authentication","To-Faktor Godkendelse"
"Type","Type"
"Type:","Type:"
"Unable to cancel the credit memo.","Kan ikke annullere kreditnota."
"Unable to find a block to delete.","Kan ikke finde en blok at slette."
"Unable to find a Email Template to delete.","Kan ikke finde en e-mail-skabelon til at slette."
"Unable to find a tag to delete.","Kan ikke finde et tag at slette."
"Unable to find a user to delete.","Kan ikke finde en bruger at slette."
"Unable to find a variable to delete.","Kan ikke finde en variabel at slette."
"Unable to initialize import model","Kan ikke initialisere importmodel"
"Unable to refresh lifetime statistics.","Kan ikke opdatere livstidsstatistik."
"Unable to refresh recent statistics.","Kan ikke opdatere seneste statistik."
"Unable to save the cron expression.","Kan ikke gemme cron udtrykket."
"Unable to save the invoice.","Kan ikke gemme fakturaen."
"Unable to send the invoice email.","Kan ikke sende faktura e-mailen."
"Unable to send the shipment email.","Kan ikke sende pakkens e-mail."
"Unable to update transaction details.","Kan ikke opdatere transaktionsoplysninger."
"Unable to void the credit memo.","Kan ikke annullere kreditnota."
"Unknown","Ukendt"
"Unlimited","Ubegrænset"
"Update","Opdater"
"Updated At","Opdateret Den"
"Uploaded file is larger than %.2f kilobytes allowed by server","Uploadet fil er større end %.2f kilobytes tilladt af serveren"
"Upload File","Upload Fil"
"Upload Files","Upload Filer"
"URL Rewrite","URL Omskriv"
"URL Rewrite Information","URL Omskriv Information"
"URL Rewrite Management","URL Omskriv Håndtering"
"Use All Available Attributes","Brug Alle Tilgængelige Attributter"
"Use Config Settings","Brug Konfigurationsindstillinger"
"Used as Default For","Brugt som standard for"
"Used Currently For","Brugt I øjeblikket For"
"Use Default","Brug Standard"
"Use Default Value","Brug Standardværdi"
"Use Default Variable Values","Brug Standard Variable Værdier"
"User Email","Bruger Email"
"User ID","Bruger ID"
"User Info","Bruger Info"
"User Information","Bruger Information"
"User Name","Bruger Navn"
"User name","Bruger navn"
"User Name:","Bruger Navn:"
