"# of Use","# af brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s-%s of %s","%s-%s af %s"
"%s and above","%s og derover"
"%s Item(s)","%s Element(er)"
"Product Alerts","Produkt Advarsler"
"Product API","Produkt API"
"Product Attribute","Produkt Attribut"
"Product Attributes","Produkt Attributter"
"Product attributes API","Produkt attributter API"
"Product attribute sets API","Produkt attribut sæt API"
"Product Categories","Produkt Kategorier"
"Product collection expected.","Produkt samling forventet."
"Product Extra Info","Produkt Ekstra Info"
"Product Flat Data","Produkt Flad Data"
"Product ID","Produkt ID"
"Product Image","Produkt Billede"
"Product Image Placeholders","Produkt Billede Pladsholdere"
"Product Images","Produkt Billeder"
"Product Images API","Produkt Billeder API"
"Product Image Watermarks","Produkt Billede Vandmærker"
"Product Info Column","Produkt Info Kolonne"
"Product Information","Produkt Information"
"Product In Websites","Produkt På Websites"
"Product is not loaded","Produktet er ikke indlæst"
"Product Link Block Template","Produkt Link Blok Skabelon"
"Product Link Inline Template","Produkt Link Inline Skabelon"
"Product links API (related, cross sells, up sells)","Produkt links API (relateret, cross sells, up sells)"
"Product Listing Sort by","Produktliste sorteret efter"
"Product Name","Produkt Navn"
"Product Prices","Produkt Priser"
"Product Reviews","Produkt Anmeldelser"
"Products","Produkter"
"products","produkter"
"Products Comparison List","Produkt Sammenligningsliste"
"Products count","Antal produkter"
"Products Information","Produkter Information"
"Products only","Kun produkter"
"Products per Page on Grid Allowed Values","Produkter pr. side på gitter Tilladte værdier"
"Products per Page on Grid Default Value","Produkter pr. side på gitter Standardværdi"
"Products per Page on List Allowed Values","Produkter pr. side på liste Tilladte værdier"
"Products per Page on List Default Value","Produkter pr. side på liste Standardværdi"
"Products Reviews","Produkter Anmeldelser"
"Products Sitemap","Produkter Sitemap"
"Product Tags","Produkt Tags"
"Product Tier Price API","Produkt Niveau Pris API"
"Product Type","Produkt Type"
"Product types API","Produkttyper API"
"Product URL Suffix","Produkt Url Suffiks"
"Product View Extra Hint","Produktvisning Ekstra Tip"
"Product with this combination of attributes already associated to configurable.","Produkt med denne kombination af attributter, der allerede er tilknyttet konfigurerbar."
"Properties","Egenskaber"
"px.","px."
"Qty","Antal"
"Qty:","Antal:"
"Qty for Item's Status to Become Out of Stock","Antal for varens status at blive Ikke på lager"
"Qty Increments","Antal Intervaller"
"Qty Uses Decimals","Antal Bruger Decimaler"
"Quantity","Mængde"
"Quick Create","Hurtig Oprettelse"
"Quick simple product creation","Hurtig simpel produktoprettelse"
"Records for ""%s"" store found.","Records for ""%s"" butik fundet."
"Redirect","Omdiriger"
"Redirect URL","Omdiriger URL"
"Regular Price:","Regelmæssig Pris:"
"Related Products","Relaterede Produkter"
"Remove","Fjern"
"Remove attribute from attribute set","Fjern attribut fra attribut sæt"
"Remove attribute set","Fjern attribut sæt"
"Remove custom option","Fjern brugerdefineret indstilling"
"Remove filter: %s","Fjern filter: %s"
"Remove group from attribute set","Fjern gruppe fra attribut sæt"
"Remove option","Fjern indstilling"
"Remove product assignment","Fjern produkttildeling"
"Remove Product From Websites","Fjern Produkt Fra Websites"
"Remove product image","Fjern produktbillede"
"Remove product link","Fjern produktlink"
"Remove value from custom option","Fjern værdi fra brugerdefineret indstilling"
"Rename existing group","Omdøb eksisterende gruppe"
"Rename group","Omdøb gruppe"
"Reorganize EAV category structure to flat structure","Omorganiser EAV kategori struktur til flad struktur"
"Reorganize EAV product structure to flat structure","Omorganiser EAV produkt struktur til flad struktur"
"Reset","Reset"
"Results","Resultater"
"Results per page","Resultater pr. side"
"Retrieve attribute data","Hent attributdata"
"Retrieve attribute list","Hent attributliste"
"Retrieve attribute options","Hent attribut indstillinger"
"Retrieve categories tree","Hent kategoritræ"
"Retrieve category attributes","Hent kategori attributter"
"Retrieve category data","Hent kategoridata"
"Retrieve hierarchical tree","Hent hierarkisk træ"
"Retrieve linked products","Hent linkede produkter"
"Retrieve list of assigned products","Hent liste over tildelte produkter"
"Retrieve list of option values","Hent liste over indstillingsværdier"
"Retrieve list of product custom options","Hent liste over brugerdefinerede produktindstillinger"
"Retrieve one level of categories by website/store view/parent category","Hent et niveau af kategorier efter hjemmeside/butik vis/overordnet kategori"
"Retrieve option value info","Hent oplysninger om værdi af indstillingen"
"Retrieve product","Hent produkt"
"Retrieve product attribute sets","Hent produkt attribut sæt"
"Retrieve product image","Hent produktbillede"
"Retrieve product image list","Hent produktbilledliste"
"Retrieve product image types","Hent produkttyper"
"Retrieve product link type attributes","Hent produkt link type attributter"
"Retrieve product link types","Hent produktlinktyper"
"Retrieve products data","Hent produktdata"
"Retrieve products list by filters","Hent produktliste efter filtre"
"Retrieve product tier prices","Hent produkt tier priser"
"Retrieve product types","Hent produkttyper"
"Reviews","Anmeldelser"
"Roll Over for preview","Roll Over for forhåndsvisning"
"Root","Rod"
"Save","Gem"
"save","gem"
"Save and Continue Edit","Gem og fortsæt redigering"
"Save Attribute","Gem Egenskab"
"Save Attribute Set","Gem Attributsæt"
"Save Category","Gem Kategori"
"Saved %d record(s)","Gemte %d post(er)"
"Save Search","Gem Søgning"
"Scope","Anvendelsesområde"
"Scope must not be changed, because the attribute is used in configurable products.","Scope må ikke ændres, fordi attributten bruges i konfigurerbare produkter."
"Search","Søg"
"Searchable","Søgbar"
"Search Engine Optimizations","Søgemaskine Optimeringer"
"Search Information","Søg Information"
"Search Query","Søg Forespørgsel"
"Search Term with such search query already exists.","Søgeterm med en sådan søgeforespørgsel findes allerede."
"See price before order confirmation.","Se pris før ordrebekræftelse."
"select all","vælg alle"
"Select Category...","Vælg Kategori..."
"Select Configurable Attributes ","Vælg Konfigurerbare Attributter "
"Selected Product Types","Valgte Produkttyper"
"Select Product...","Vælg Produkt..."
"Select type of option","Vælg type af mulighed"
"Select type options required values rows.","Vælg type indstillinger krævede værdier rækker."
"Send Count","Send Antal"
"Set/Get current store view","Indstilling/Hent aktuel butiksvisning"
"Set Ascending Direction","Sæt Stigende Retning"
"Set Descending Direction","Sæt Faldende Retning"
"Set Name","Sæt Navn"
"Set Root Category for Store","Sæt rodkategori for butik"
"Set root category for this store in the <a href=""%s"">configuration</a>","Sæt rodkategori for denne butik i <a href=""%s"">konfiguration</a>"
"Set special price","Angiv specialpris"
"Settings","Indstillinger"
"Show","Vis"
"Show count","Vis antal"
"Show Details","Vis Detaljer"
"Show ID","Vis ID"
"Show Tags","Vis Tags"
"Signals crawlers not to prioritize filter combination URLs.","Signaler crawlers ikke at prioritere filter kombination URL'er."
"Simple","Simpel"
"Site Map","Side Kort"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import række, er ikke gyldig værdi ""%s"" for feltet ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import række, obligatorisk felt ""%s"" for den nye kunde er ikke defineret."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Skip import række, værdien ""%s"" er ugyldig for feltet ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Springer over import række, obligatorisk felt ""%s"" for nye produkter er ikke defineret."
"Skipping import row, required field ""%s"" is not defined.","Springer over import række, obligatorisk felt ""%s"" er ikke defineret."
"Skipping import row, store ""%s"" field does not exist.","Skipper import række, butik ""%s"" feltet eksisterer ikke."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Springer over import række, værdien ""%s"" er ikke gyldig for ""%s"" feltet."
"SKU","Varenummer"
"SKU length should be %s characters maximum.","Varenummer længde skal højst være %s tegn."
"Small Image Width","Lille Billedbredde"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Nogle af de forarbejdede produkter har ingen SKU værdi defineret. Udfyld den før udførelse af operationer på disse produkter."
"Some of the selected item options are not currently available.","Nogle af de valgte emneindstillinger er ikke tilgængelige i øjeblikket."
"Sort By","Sortér Efter"
"Sort Order","Sortér Ordre"
"Special Expires On: %s","Særlige Udløber På: %s"
"Special Price:","Speciel Pris:"
"Special Price: %s","Specialpris: %s"
"Static","Statisk"
"Static block and products","Statisk blok og produkter"
"Static block only","Kun statisk blok"
"Status","Status"
"Stock Availability","Lager Tilgængelighed"
"Store","Butik"
"Store View","Butik Visning"
"Stretch","Stræk"
"Subscribe to RSS Feed","Abonner på RSS Feed"
"Super product attributes configuration","Konfiguration af superproduktattributter"
"Synonym For","Synonym For"
"System Properties","Systemets Egenskaber"
"Tag Name","Tag Navn"
"Tax","Moms"
"Template","Skabelon"
"Text","Tekst"
"The attribute code '%s' is reserved by system. Please try another attribute code","Attribut koden '%s' er reserveret af systemet. Prøv venligst en anden attribut kode"
"The attribute model is not defined","Attributmodellen er ikke defineret"
"The attribute set has been saved.","Attributten sæt er blevet gemt."
"The base directory to upload file is not specified.","Basismappen der skal uploades filen er ikke angivet."
"The category has been deleted.","Kategorien er blevet slettet."
"The category has been saved.","Kategorien er blevet gemt."
"The comparison list was cleared.","Sammenligningslisten blev ryddet."
"The file claims to be an image but does not contain valid image data.","Filen hævder at være et billede, men indeholder ikke gyldige billeddata."
"The file content type ""%s"" is not allowed for security reasons.","Filindholdstypen ""%s"" er ikke tilladt af sikkerhedsmæssige årsager."
"The file was only partially uploaded. Please try again.","Filen blev kun delvist uploadet. Prøv venligst igen."
"The file you uploaded is larger than %s Megabytes allowed by server","Filen du uploadede er større end %s Megabytes tilladt af serveren"
"The filters must be an array.","Filtrene skal være et array."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. (Automatic Copy) I øjeblikket er der %1$d af dem. Reducer antallet af filtrerbare / sorterbare attributter for at bruge dette modul"
"The following file extensions are not allowed for security reasons: %s","Følgende filtypenavne er ikke tilladt af sikkerhedsgrunde: %s"
"The From Date value should be less than or equal to the To Date value.","Fra dato værdien skal være mindre end eller lig med til dato værdien."
"The image contents is not valid base64 data.","Billedindholdet er ikke gyldigt base64-data."
"The image is not specified.","Billedet er ikke angivet."
"The model collection resource name is not defined.","Navnet på modelsamlingsressourcen er ikke defineret."
"The product %s has been added to comparison list.","Produktet %s er sat på sammenligningslisten."
"The product %s has been removed from comparison list.","Produktet %s er fjernet fra sammenligningslisten."
"The product attribute has been deleted.","Produktattributten er blevet slettet."
"The product attribute has been saved.","Produktattributten er blevet gemt."
"The product has been created.","Produktet er blevet oprettet."
"The product has been deleted.","Produktet er blevet slettet."
"The product has been duplicated.","Produktet er blevet duplikeret."
"The product has been saved.","Produktet er blevet gemt."
"The product has required options","Produktet har krævede indstillinger"
"There are no %s available.","Der er ingen %s tilgængelige."
"There are no customers for this alert","Der er ingen kunder for denne advarsel"
"There are no customers for this alert.","Der er ingen kunder til denne advarsel."
"There are no products matching the selection.","Der er ingen produkter, der matcher valget."
"The review has been deleted","Gennemgangen er blevet slettet"
"The review has been saved.","Gennemgangen er blevet gemt."
"The review was removed by another user or does not exist.","Gennemgangen blev fjernet af en anden bruger eller eksisterer ikke."
"There was an error while request processing.","Der opstod en fejl under forespørgsel behandling."
"The search was deleted.","Søgningen blev slettet."
"The text is too long","Teksten er for lang"
"This attribute cannot be deleted.","Denne attribut kan ikke slettes."
"This attribute cannot be edited.","Denne attribut kan ikke redigeres."
"This attribute cannot be updated.","Denne attribut kan ikke opdateres."
"This attribute is used in configurable products.","Denne attribut bruges i konfigurerbare produkter."
"This Attribute no longer exists","Denne attribut findes ikke længere"
"This attribute no longer exists","Denne attribut findes ikke længere"
"This attribute set no longer exists.","Denne attribut findes ikke længere."
"This category no longer exists.","Denne kategori eksisterer ikke længere."
"This is a required option","Dette er en nødvendig mulighed"
"This product no longer exists.","Dette produkt findes ikke længere."
"This search no longer exists.","Denne søgning eksisterer ikke længere."
"This setting will be applied when all prices in the specific price interval are equal.","Denne indstilling finder anvendelse, når alle priser i det specifikke prisinterval er ens."
"Thumbnail","Thumbnail"
"Tier Pricing","Niveau Priser"
"Tile","Flise"
"Title","Titel"
"To","Til"
"Top/Left","Top/Venstre"
"Top/Right","Top/Højre"
"To reindex the enabled product(s), the store or product must be specified","For at genindeksere de(t) aktiverede produkt(er), skal butikken eller produktet angives"
"To see product price, add this item to your cart. You can always remove it later.","For at se vareprisen, kan du tilføje denne vare til din kurv. Du kan altid fjerne den senere."
"Total incl. Tax: %1$s","Total inkl. moms: %1$s"
"Total of %d record(s) have been deleted.","Total af %d post(er) er blevet slettet."
"Total of %d record(s) have been updated.","Total af %d post(er) er blevet opdateret."
"Total of %d record(s) were updated","Total af %d post(er) blev opdateret"
"Type","Type"
"Unable to complete this request.","Kan ikke fuldføre denne anmodning."
"Unable to find an attribute to delete.","Kan ikke finde en attribut at slette."
"Unable to find a search term to delete.","Kan ikke finde et søgeord at slette."
"Unable to get the product ID.","Kan ikke hente produkt-ID'et."
"Unassigned Attributes","Ikke-tildelte Attributter"
"Unknown EAV indexer type ""%s"".","Ukendt EAV indeksering type ""%s""."
"unselect all","fravælg alle"
"Unsupported product type ""%s"".","Ikke understøttet produkttype ""%s""."
"Up-sells","Op-salg"
"Update","Opdater"
"Update assigned product","Opdater tildelte produkt"
"Update attribute","Opdater attribut"
"Update Attributes","Opdater Attributter"
"Update attributes","Opdater attributter"
"Update category","Opdater kategori"
"Update custom option of product","Opdater brugerdefineret mulighed for produkt"
"Update product","Opdater produkt"
"Update product image","Opdater produktbillede"
"Update product link","Opdater produktlink"
"Update product tier prices","Opdater produkt tier priser"
"Update Tier Price","Opdater Niveau Pris"
"Update value of custom option","Opdatér værdien af brugerdefineret indstilling"
"Upload new product image ","Upload nyt produktbillede "
"URL Rewrite Management","URL Omskriv Håndtering"
"Use Canonical Link Meta Tag For Categories","Brug Canonical Link Meta Tag Til Kategorier"
"Use Canonical Link Meta Tag For Products","Brug Canonical Link Meta Tag For Produkter"
"Use Categories Path for Product URLs","Brug kategoriernes sti til produkt URL'er"
"Use config","Brug config"
"Use Config Settings","Brug Konfigurationsindstillinger"
"Use default","Brug standard"
"Use Default Value","Brug Standardværdi"
"Used for Sorting in Product Listing","Brugt til sortering i produktliste"
"Used in Product Listing","Brugt i produktliste"
"Used to fill the frame when Keep Frame is enabled","Bruges til at udfylde rammen når Behold Frame er aktiveret"
"Use Flat Catalog Category","Brug Flad Katalog Kategori"
"Use Flat Catalog Product","Brug Fladt Katalog Produkt"
"Use for Promo Rule Conditions","Brug til Promo regel betingelser"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Brug fire-cifret års-format. Bruges til min/maks attributter på indfødte dato-indgange."
"Use in Advanced Search","Brug i avanceret søgning"
"Use In Layered Navigation","Brug I Lagdelt Navigation"
"Use in Layered Navigation","Brug i lagdelt navigation"
"Use in Layered Navigation<br>(Can be used only with catalog input type 'Dropdown')","Brug i lagdelt Navigation<br>(Brug kun med katalog inputtype 'Dropdown')"
"Use in Quick Search","Brug i hurtig søgning"
"Use In Search Results Layered Navigation","Brug I Søgeresultater Lagdelt Navigation"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Brug Statiske URL'er til medieindhold i WYSIWYG til katalog"
"Use To Create Configurable Product","Brug Til At Opret Konfigurerbart Produkt"
"Use Tree Like Category Sitemap","Brug Tree Like Kategori Sitemap"
"Value for ""%s"" is invalid.","Værdien for ""%s"" er ugyldig."
"Value for ""%s"" is invalid: %s","Værdi for ""%s"" er ugyldig: %s"
"Varchar","Varchar"
"View All Products","Se Alle Produkter"
"View as","Vis som"
"View Details","Vis Detaljer"
"View image %s","Vis billede %s"
"Virtual","Virtuel"
"Visibility","Synlighed"
"Visible","Synlig"
"Visible on Catalog Pages on Front-end","Synlig på katalog sider på front-end"
"Visible on Product View Page on Front-end","Synlig på produktvisningssiden i front-end"
"Watermark","Vandmærke"
"Watermark Opacity, Percent","Vandmærke Gennemsigtighed, Procent"
"Watermark Position","Vandmærke Position"
"Website","Hjemmeside"
"Websites","Websider"
"What's this?","Hvad er dette?"
"When enabled, associated products are automatically recalculated when reindex runs.","Når aktiveret, genberegnes tilknyttede produkter automatisk, når reindex kører."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Om ""Alle"" skal vises i dropdown ""Vis X Per Page""."
"Will make search for the query above return results for this search.","Vil gøre søgning efter forespørgslen ovenfor returnerer resultater for denne søgning."
"Wrong BuyRequest instance in options group.","Forkert BuyRequest instans i valgmuligheder gruppe."
"Wrong configuration item instance in options group.","Forkert konfigurationselement instans i valgmuligheder gruppe."
"Wrong configuration item option instance in options group.","Forkert konfigurationselement mulighed instans i valgmuligheder gruppe."
"Wrong option instance type in options group.","Forkert valgmulighed instans type i valgmuligheder gruppe."
"Wrong option type to get group instance.","Forkert valgmulighed type for at få gruppe instans."
"Wrong product instance type in options group.","Forkert produkt instans type i valgmuligheder gruppe."
"Wrong product type filter specified","Forkert produkttype filter angivet"
"Wrong product type to extract configurable options.","Forkert produkttype for at udtrække konfigurerbare indstillinger."
"WYSIWYG Editor","WYSIWYG Editor"
"x","x"
"Year Range","Årsinterval"
"Yes","Ja"
"Yes, with images","Ja, med billeder"
"You have no items to compare.","Du har ingen elementer at sammenligne."
"You may also be interested in the following product(s)","Du kan også være interesseret i følgende produkt(er)"
"You saved the search term.","Du gemte søgeudtrykket."
