"""Remember Me"" Cookie Lifetime","""Husk Mig"" Cookie Levetid"
"Unable to proceed. Please, try again.","Kan ikke fortsætte. Prøv venligst igen."
"Unable to save file ""%s"" at ""%s""","Kan ikke gemme filen ""%s"" på ""%s"""
"Unable to save file: %s","Kan ikke gemme filen: %s"
"Unknown scope ""%s"".","Ukendt anvendelsesområde ""%s""."
"Unsecure","Usikker"
"Url Options","URL Indstillinger"
"Use Custom Admin Path","Brug Brugerdefineret Administrationssti"
"Use Custom Admin URL","Brug Brugerdefineret Admin URL"
"Use HTTP Only","Brug Kun Http"
"Use Secure URLs in Admin","Brug Sikker URL'er i Admin"
"Use Secure URLs in Frontend","Brug sikre URL'er i frontend"
"Use SID on Frontend","Brug SID på frontend"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Validér HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validation has failed.","Validering mislykkedes."
"Value must be a string.","Værdien skal være en streng."
"Value must be between %d and %d","Værdi skal være mellem %d og %d"
"Variable Code must be unique.","Variabel kode skal være unik."
"VAT Number","CVR-nummer"
"View Entry","Vis Indgang"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Advarsel! Aktivering af denne funktion anbefales ikke i produktionsmiljøer, da den udgør en potentiel sikkerhedsrisiko."
"Web","Web"
"Website","Hjemmeside"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Hjemmesidekode må kun indeholde bogstaver (a-z), tal (0-9) eller understregning(_), det første tegn skal være et bogstav"
"Website Information","Websted Information"
"Website Name","Websted Navn"
"Website with the same code","Hjemmeside med samme kode"
"Weekend Days","Weekend Dage"
"Welcome Text","Velkommen Tekst"
"When enabled, all sent emails are logged for debugging and auditing purposes.","Når aktiveret, logges alle sendte e-mails til fejlfindings- og revisionsformål."
"When enabled, emails are queued for background sending. Automatically disabled in developer mode for immediate feedback.","Når aktiveret, bliver e-mails sat i kø til baggrundsudsendelse. Automatisk deaktiveret i udviklertilstand for øjeblikkelig feedback."
"Without this setting, a page could be accessible with both URLs: ""example.com/category"" and ""example.com/category/"". This creates duplicate content issues for SEO. Use this setting to automatically redirect to a canonical URL format.","Uden denne indstilling kunne en side være tilgængelig med begge URL'er: ""example.com/category"" og ""example.com/category/"". Dette skaber problemer med duplikeret indhold for SEO. Brug denne indstilling til automatisk at omdirigere til et kanonisk URL-format."
"Wrong file info format","Forkert filinfo- format"
"Wrong number of arguments for %s","Forkert antal argumenter for %s"
"X (Twitter) URL","X (Twitter) URL"
"XML data is invalid.","XML-data er ugyldige."
"XML object is not instance of ""\Maho\Simplexml\Element"".","XML-objektet er ikke forekomst af ""\Maho\Simplexml\Element""."
"Yes","Ja"
"Your design change for the specified store intersects with another one, please specify another date range.","Dit design ændring for den angivne butik skæringspunkter med en anden, angiv venligst et andet datointerval."
"You will have to log in after you save your custom admin path.","Du bliver nødt til at logge ind, når du gemmer din brugerdefinerede admin sti."
