"""Remember Me"" Default Value","""Husk Mig"" Standardværdi"
"VAT number format is valid. VIES validation is not available for this country.","CVR-nummerformat er gyldigt. VIES-validering er ikke tilgængelig for dette land."
"VAT number is not valid.","CVR-nummer er ikke gyldigt."
"VAT number is required.","CVR-nummer er påkrævet."
"VAT number is valid.","CVR-nummer er gyldigt."
"VAT Number Validation","CVR-nummer Validering"
"VAT Request Date","Dato For Momsanmodning"
"VAT Request Identifier","Moms Anmodning Identifikator"
"VAT validation is not available for this country.","Moms validering er ikke tilgængelig for dette land."
"Verification Code","Bekræftelseskode"
"VIES service is unavailable. VAT format is valid.","VIES service er ikke tilgængelig. Moms format er gyldigt."
"View","Vis"
"View Order","Vis Ordre"
"Visitor","Besøgende"
"Visitors Only","Kun Besøgende"
"Warning: email containing password in plaintext will be sent.","Advarsel: E-mail der indeholder adgangskode i klartekst vil blive sendt."
"Website","Hjemmeside"
"Welcome, %s!","Velkommen, %s!"
"Welcome Email","Velkommen E-Mail"
"When disabled, only guest checkout is available. Customer registration, login, and account pages are disabled.","Når deaktiveret, er det kun gæstebetaling, der er tilgængelig. Kunderegistrering, login og kontosider er deaktiveret."
"Wishlist","Ønskeliste"
"Wishlist - %d item(s)","Ønskeliste - %d vare(r)"
"Would you like to change the Customer Group for this order?","Ønsker du at ændre kundegruppen for denne ordre?"
"Wrong confirmation key.","Forkert bekræftelsesnøgle."
"Wrong customer account specified.","Forkert kundekonto angivet."
"Wrong email.","Forkert e-mail."
"Wrong transactional account email type","Forkert transaktionskonto e-mail type"
"Year","År"
"You are currently subscribed to our newsletter.","Du abonnerer i øjeblikket på vores nyhedsbrev."
"You are not subscribed to our newsletter.","Du er ikke tilmeldt vores nyhedsbrev."
"You are now logged out","Du er nu logget ud"
"You have been successfully logged in.","Du er blevet logget ind."
"You have exceeded magic link requests per hour from this email address.","Du har overskredet magiske link anmodninger i timen fra denne e-mailadresse."
"You have exceeded magic link requests per hour from this IP address.","Du har overskredet magiske link anmodninger i timen fra denne IP-adresse."
"You have exceeded requests to times per 24 hours from 1 e-mail.","Du har overskredet anmodninger til gange pr 24 timer fra 1 e-mail."
"You have exceeded requests to times per hour from 1 IP.","De har overskredet anmodninger til gange i timen fra 1 IP."
"You have logged out and will be redirected to our homepage in 5 seconds.","Du har logget ud og vil blive omdirigeret til vores hjemmeside på 5 sekunder."
"You have no additional address entries in your address book.","Du har ingen yderligere adresseposter i din adressebog."
"You have no default billing address in your address book.","Du har ingen standard faktureringsadresse i din adressebog."
"You have no default shipping address in your address book.","Du har ingen standard leveringsadresse i din adressebog."
"You have not set a default billing address.","Du har ikke angivet en standard faktureringsadresse."
"You have not set a default shipping address.","Du har ikke angivet en standard leveringsadresse."
"Your account balance is: %s","Din kontosaldo er: %s"
"Your login link has expired. Please request a new one.","Dit login-link er udløbet. Anmod venligst om et nyt."
"Your Tax ID cannot be validated.","Dit momsnummer kan ikke valideres."
"Your VAT ID was successfully validated.","Dit momsnummer blev valideret."
"You will be charged tax.","Du vil blive opkrævet moms."
"You will not be charged tax.","Du vil ikke blive opkrævet moms."
"YYYY","ÅÅÅÅ"
"ZIP","Postnummer"
"Zip/Postal Code","Postnummer"
"ZIP/Post Code","Postnummer"
