"""Remember Me"" Default Value","""Muista Minut"" Oletusarvo"
"Type","Tyyppi"
"Unable to validate VAT number. Please try again later.","Alv-numeroa ei voitu vahvistaa. Yritä myöhemmin uudelleen."
"Unknown","Tuntematon"
"Unsubscribe from Newsletter","Peruuta uutiskirjeen tilaus"
"Update","Päivitä"
"Update customer address data","Päivitä asiakasosoitteen tiedot"
"Update customer data","Päivitä asiakkaan tiedot"
"Use as My Default Billing Address","Käytä oletuslaskutusosoitteena"
"Use as my default billing address","Käytä minun oletuslaskutusosoitteena"
"Use as My Default Shipping Address","Käytä oletuksena toimitusosoitteena"
"Use as my default shipping address","Käytä minun oletustoimitusosoitteena"
"Validate on Each Transaction","Vahvista jokaisessa tapahtumassa"
"Validate VAT Number","Vahvista ALV-numero"
"Validate VAT numbers against the EU VIES service in real time on address forms.","Varmistetaan alv-numerot EU:n VIES-palveluun reaaliaikaisesti osoitelomakkeissa. @ info"
"Validation Error Group","Vahvistuksen Virheryhmä"
"VAT Number","ALV-numero (ALV-numero)"
"VAT number format is valid.","ALV-numeron muoto on voimassa."
"VAT number format is valid. VIES validation is not available for this country.","ALV-numeron muoto on voimassa. VIES validointi ei ole käytettävissä tässä maassa."
"VAT number is not valid.","ALV-numero ei kelpaa."
"VAT number is required.","ALV-numero on pakollinen."
"VAT number is valid.","ALV-numero on voimassa."
"VAT Number Validation","Alv-Numeron Vahvistus"
"VAT Request Date","Alv-Pyyntöjen Päivämäärä"
"VAT Request Identifier","Alv-Pyynnön Tunniste"
"VAT validation is not available for this country.","Alv-vahvistus ei ole käytettävissä tässä maassa."
"VIES service is unavailable. VAT format is valid.","VIES-palvelu ei ole käytettävissä. ALV-muoto on voimassa."
"View","Näytä"
"View Order","Näytä Tilaus"
"Visitor","Vierailija"
"Visitors Only","Vain Vierailijat"
"Warning: email containing password in plaintext will be sent.","Varoitus: lähetetään sähköpostiosoite, joka sisältää salasanan plaintextissä."
"Website","Sivusto"
"Welcome, %s!","Tervetuloa, %s!"
"Welcome Email","Tervetuloa Sähköposti"
"When disabled, only guest checkout is available. Customer registration, login, and account pages are disabled.","Kun pois päältä, vain vieraskirjautuminen on käytettävissä. Asiakkaiden rekisteröinti, kirjautuminen ja tilisivut ovat pois päältä."
"Wishlist","Toivelista"
"Wishlist - %d item(s)","Toivelista - %d tuotetta"
"Would you like to change the Customer Group for this order?","Haluaisitko muuttaa asiakasryhmän tätä tilausta varten?"
"Wrong confirmation key.","Väärä vahvistusavain."
"Wrong customer account specified.","Väärä asiakastili määritetty."
"Wrong email.","Väärä sähköposti."
"Wrong transactional account email type","Väärä tapahtumatilin sähköpostityyppi"
"Year","Vuosi"
"You are currently subscribed to our newsletter.","Olet tällä hetkellä tilannut uutiskirjeemme."
"You are not subscribed to our newsletter.","Et ole tilannut uutiskirjeemme."
"You are now logged out","Olet nyt kirjautunut ulos"
"You have been successfully logged in.","Olet onnistuneesti kirjautunut sisään."
"You have exceeded magic link requests per hour from this email address.","Olet ylittänyt taikalinkkien pyynnöt tunnissa tästä sähköpostiosoitteesta."
"You have exceeded magic link requests per hour from this IP address.","Olet ylittänyt taikalinkkien pyynnöt tunnissa tästä IP-osoitteesta."
"You have exceeded requests to times per 24 hours from 1 e-mail.","Olet ylittänyt pyynnöt 24 tuntia kohden yhdestä sähköpostiosoitteesta."
"You have exceeded requests to times per hour from 1 IP.","Olet ylittänyt pyynnöt kerran tunnissa 1 IP-osoitteesta."
"You have logged out and will be redirected to our homepage in 5 seconds.","Olet kirjautunut ulos ja ohjataan meidän kotisivu 5 sekunnissa."
"You have no additional address entries in your address book.","Sinulla ei ole muita osoitemerkintöjä osoitekirjassasi."
"You have no default billing address in your address book.","Sinulla ei ole oletuslaskutusosoitetta osoitekirjassasi."
"You have no default shipping address in your address book.","Sinulla ei ole oletustoimitusosoitetta osoitekirjassasi."
"You have not set a default billing address.","Et ole asettanut oletuslaskutusosoitetta."
"You have not set a default shipping address.","Et ole asettanut oletustoimitusosoitetta."
"Your account balance is: %s","Tilisi saldo on: %s"
"Your login link has expired. Please request a new one.","Kirjautumislinkki on vanhentunut. Pyydä uutta linkkiä."
"Your Tax ID cannot be validated.","Verotunnusta ei voi vahvistaa."
"Your VAT ID was successfully validated.","Alv-tunnuksesi on vahvistettu onnistuneesti."
"You will be charged tax.","Sinulta veloitetaan veroa."
"You will not be charged tax.","Sinulta ei veloiteta veroa."
"YYYY","VVVV"
"ZIP","Postinumero"
"Zip/Postal Code","Postinumero"
"ZIP/Post Code","Postinumero"
