"%d product(s) were updated","%d tuotetta päivitettiin"
"%s (Default Template from Locale)","%s (Oletusmalli Locale)"
"%s cache type(s) disabled.","%s välimuistityyppi poistettu käytöstä."
"%s cache type(s) enabled.","%s välimuistityyppi(t) käytössä."
"%s cache type(s) refreshed.","%s välimuistityyppi(t) päivitetty."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Viimeksi päivitetty: %s. Päivittääksesi viime päivän <a href=""%s"">tilastot</a>, klikkaa <a href=""%s"">tästä</a>."
"Latest Message:","Viimeisin Viesti:"
"Layered Navigation Indices","Kerrostuneet Navigointiindeksit"
"Layered Navigation Indices were refreshed.","Layered Navigation Indices was refresed. (Automatic Copy)"
"Leave empty to use tax identifier","Jätä tyhjäksi käyttääksesi veromerkkiä"
"Lifetime","Elinikä"
"Lifetime Sales","Elinikäiset Myynnit"
"Lifetime statistics have been updated.","Elinikäisiä tilastoja on päivitetty."
"Links","Linkit"
"Links with associated products will retain only after saving current product.","Linkit liitännäisiin tuotteisiin säilyttävät vain nykyisen tuotteen tallentamisen jälkeen."
"List (default) / Grid","Lista (oletus) / Ruudukko"
"List Only","Vain Luettelo"
"Load default template","Lataa oletusmalli"
"Loading...","Ladataan..."
"Load Template","Lataa Malli"
"Local/Remote Server","Paikallinen/Etäpalvelin"
"Locale","Lokaatio"
"Local Server","Paikallinen Palvelin"
"Log In","Kirjaudu Sisään"
"Login","Kirjaudu"
"Log in to Admin Panel","Kirjaudu sisään hallintapaneeliin"
"Log into Maho Admin Page","Kirjaudu Mahon hallintasivulle"
"Log in to use <strong>%s</strong>","Kirjaudu sisään käyttääksesi <strong>%s</strong>"
"Login with Passkey","Kirjaudu sisään salasanalla"
"Log Out","Kirjaudu Ulos"
"Low Stock","Matala Varasto"
"Maho Admin","Maho Admin"
"Maho Test Email","Maho Testi Sähköposti"
"MAJOR","MAJOR"
"major","suuri"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Varmista, että tiedostojen koodaus on johdonmukainen ja tallennettu yhteen tuetuista koodauksista (UTF-8 tai ANSI)."
"Manage Attributes","Hallinnoi Attribuutteja"
"Manage Attribute Sets","Hallinnoi Attribuuttiasetuksia"
"Manage Categories","Kategorioiden Hallinta"
"Manage Content","Hallitse Sisältöä"
"Manage Currency Rates","Hallitse Valuuttakursseja"
"Manage Customers","Hallinnoi Asiakkaita"
"Manage Options (values of your attribute)","Hallitse valintoja (attribuutin arvoja)"
"Manage Ratings","Hallitse Arvostelut"
"Manage Stores","Hallitse Kauppoja"
"Manage Tax Rules","Hallitse Verosääntöjä"
"Manage Tax Zones and Rates","Hallitse verovyöhykkeitä ja verokantoja"
"Manage Titles (Size, Color, etc.)","Hallitse otsikoita (koko, väri jne.)"
"Manual","Manuaalinen"
"Matched Expression","Hyväksytty Lauseke"
"Maximum sender name length is 255. Please correct your settings.","Lähettäjän nimen enimmäispituus on 255. Korjaa asetukset."
"Messages Inbox","Viestien Saapuneet-Kansio"
"Minified CSS and JavaScript files.","Minioidut CSS ja JavaScript-tiedostot."
"MINOR","MINORI"
"minor","vähäinen"
"Missing required fields","Pakolliset kentät puuttuvat"
"Month","Kuukausi"
"Most Viewed","Eniten Katsotut"
"Most Viewed Products","Eniten Katsotut Tuotteet"
"MS Excel XML","MS Excel XML"
"Multiple Select","Useita Valintoja"
"My Account","Oma Tili"
"My Applications","Omat Sovellukset"
"N/A","E/A"
"Name","Nimi"
"Name:","Nimi:"
"Name on Card","Nimi kortissa"
"Network Error. Please refresh the page.","Verkon virhe. Ole hyvä ja päivitä sivu."
"Never (production)","Ei Koskaan (tuotanto)"
"New ","Uusi "
"New Accounts","Uudet Tilit"
"New API Key","Uusi API-avain"
"New Attribute","Uusi Attribuutti"
"New Block","Uusi Lohko"
"New block","Uusi lohko"
"New Category","Uusi Kategoria"
"New Class","Uusi Luokka"
"New Condition","Uusi Ehto"
"New Customer","Uusi Asiakas"
"New Customers","Uudet Asiakkaat"
"New Custom Variable","Uusi Mukautettu Muuttuja"
"New Design Change","Uusi Ulkoasun Muutos"
"New Email Template","Uusi Sähköpostimalli"
"New Group","Uusi Ryhmä"
"New Invoice","Uusi Lasku"
"New Memo","Uusi Muistio"
"New Memo for #%s","Uusi muistio #%s"
"New Page","Uusi Sivu"
"New Password","Uusi Salasana"
"New Password Confirmation","Uuden Salasanan Vahvistus"
"New password field cannot be empty.","Uusi salasanakenttä ei voi olla tyhjä."
"New Profile","Uusi Profiili"
"New Rate","Uusi Hinta"
"New Rating","Uusi Arvostelu"
"New Review","Uusi Arvostelu"
"New Role","Uusi Rooli"
"New Rule","Uusi Sääntö"
"New Search","Uusi Haku"
"New Set","Uusi Sarja"
"New Shipment","Uusi Lähetys"
"New Sitemap","Uusi Sivukartta"
"Newsletter","Uutiskirje"
"Newsletter Problems","Uutiskirjeen Ongelmat"
"Newsletter Queue","Uutiskirjeen Jono"
"Newsletter Subscribers","Uutiskirjeen Tilaajat"
"Newsletter Templates","Uutiskirjeen Mallit"
"New Store View","Uusi Kauppanäkymä"
"New System Template","Uusi Järjestelmämalli"
"New Tag","Uusi Tagi"
"New Template","Uusi Malli"
"New User","Uusi Käyttäjä"
"New Variable","Uusi Muuttuja"
"New Website","Uusi Sivusto"
"No","Ei"
"No (price without tax)","Ei (hinta ilman veroja)"
"No change","Ei muutosta"
"No customer id defined.","Asiakkaan tunnusta ei ole määritelty."
"No Data Found","Tietoja Ei Löytynyt"
"No information available.","Tietoja ei ole saatavilla."
"None","Ei Mitään"
"No Passkey Created","Salasanaa Ei Luotu"
"No profile loaded...","Profiilia ei ladattu..."
"No records found.","Tietueita ei löytynyt."
"No records found for this period.","Tälle kaudelle ei löytynyt tietueita."
"No report code specified.","Raportin koodia ei ole määritelty."
"No search keywords.","Ei hakuavainsanoja."
"No search modules were registered","Yhtään hakumoduulia ei rekisteröity"
"Not allowed","Ei sallittu"
"Not authenticated","Ei todennettu"
"Note:","Huomautus:"
"No Templates Found","Sivupohjia Ei Löytynyt"
"NOTICE","ILMOITUS"
"Notice","Huomautus"
"notice","ilmoitus"
"Notifications","Ilmoitukset"
"Number of Orders","Tilausten määrä"
"Number of records:","Tietueiden määrä:"
"Number of Uses","Käyttöjen määrä"
"Number of Views","Näyttöjen määrä"
"OAuth authorization for admin","OAuth valtuutus ylläpito"
"OAuth authorization simple for admin","OAuth valtuutus yksinkertainen järjestelmänvalvojalle"
"OAuth Consumers","Oauth Kuluttajat"
"Old rate:","Vanha korko:"
"One or more of the Cache Types are invalidated:","Yksi tai useampi välimuistin tyyppi on mitätöitu:"
"Online Customers","Online-asiakkaat"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Vain attribuutit, jotka sisältävät ""Global"", syöttötyypin ""Dropdown"" ja joiden avulla voit luoda konfiguroitavissa olevan tuotteen ""Kyllä""."
"Only from same domain","Vain samasta verkkotunnuksesta"
"Only mapped fields","Vain yhdistetyt kentät"
"Only Once (version upgrade)","Vain kerran (päivitys)"
"Optional","Valinnainen"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Valinnainen alue sitä tukeville palveluntarjoajille (esim. us-east-1 AWS)"
"Options","Valinnat"
"Options is required","Valinnat vaaditaan"
"Order","Tilaus"
"Order #%s","Tilaus #%s"
"Order #%s (%s)","Tilaus #%s (%s)"
"Order Created Date","Tilaus Luotu Päivämäärä"
"Order ID","Tilauksen Tunnus"
"Orders","Tilaukset"
"Order Totals","Tilaus Yhteensä"
"Order Updated Date","Tilaus Päivitetty Päivämäärä"
"Order Updated Date report is real-time, does not need statistics refreshing.","Tilaus päivitetty Päivämäärä raportti on reaaliaikainen, ei tarvitse tilastoja päivittää."
"Original Magento attribute names in first row:","Alkuperäiset Magento attribuuttien nimet ensimmäisellä rivillä:"
"Orphaned API Role Resource","Orvot API Rooli Resurssi"
"Orphaned API Role Resources","Orvot API-roolit"
"Orphaned Resources","Orvot Resurssit"
"Orphaned Role Resource","Orvot Rooli Resurssi"
"Orphaned Role Resources","Orvot Roolit Resurssit"
"Out of stock","Ei varastossa"
"Pages","Sivut"
"Parent Product Thumbnail","Vanhemman Tuotteen Pikkukuva"
"Parent Transaction ID","Vanhemman Tapahtuman Tunnus"
"Passive mode","Passiivinen tila"
"Passkey Active","Salasanan Aktiivinen"
"Passkey Authentication","Salasanan Todennus"
"Passkey credential already registered to another user.","Salasanan tunnusluku on jo rekisteröity toiselle käyttäjälle."
"Passkey will be deleted upon saving.","Salasana poistetaan tallennuksen yhteydessä."
"Passkey will be registered upon saving.","Passkey rekisteröidään tallennuksen yhteydessä."
"Password","Salasana"
"Password:","Salasana:"
"Password Confirmation","Vahvista Salasana"
"Password confirmation must be same as password.","Salasanan vahvistuksen on oltava sama kuin salasana."
"Password must be at least of %d characters.","Salasanan tulee olla vähintään %d merkkiä pitkä."
"Password must include both numeric and alphabetic characters.","Salasanassa on oltava sekä numeerisia että aakkosnumeerisia merkkejä."
"Path:","Polku:"
"Payment method instance is not available.","Maksutavan instanssi ei ole käytettävissä."
"Payment method is not available.","Maksutapa ei ole käytettävissä."
"Payment method must be specified.","Maksutapa on määritettävä."
"Pending Reviews","Odottavat Arvostelut"
"Pending Tags","Odottavat Tunnisteet"
"Percent","Prosenttia"
"Performed At","Suoritettu Kohteessa"
"Period","Aikaväli"
"Per Item","Per Tuote"
"Permanent (301)","Pysyvä (301)"
"Permissions","Käyttöoikeudet"
"Per Order","Per Tilaus"
"Personal Information","Henkilökohtaiset Tiedot"
"Phone:","Puhelin:"
"PHP attribute recompilation failed: %s","PHP-attribuuttien uudelleenkokoaminen epäonnistui: %s"
"PHP attributes were recompiled.","PHP-attribuutit on käännetty uudelleen."
"Please confirm site switching. All data that hasn't been saved will be lost.","Vahvista sivuston vaihtaminen. Kaikki tiedot, joita ei ole tallennettu, menetetään."
"Please enter 6 or more characters.","Syötä 6 tai useampia merkkejä."
"Please enter another credit card number to complete your purchase.","Syötä toinen luottokortin numero suorittaaksesi ostoksesi loppuun."
"Please enter a number greater than 0 in this field.","Syötä tähän kenttään numero, joka on suurempi kuin 0."
"Please enter a valid $ amount. For example $100.00.","Syötä kelvollinen $ summa. Esimerkiksi $ 100,00."
"Please enter a valid credit card number.","Syötä voimassa oleva luottokortin numero."
"Please enter a valid date.","Syötä kelvollinen päivämäärä."
"Please enter a valid email.","Syötä voimassa oleva sähköpostiosoite."
"Please enter a valid email address. For example johndoe@domain.com.","Anna voimassa oleva sähköpostiosoite. Esimerkiksi johndoe@domain.com."
"Please enter a valid number in this field.","Syötä kelvollinen numero tähän kenttään."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Syötä kelvollinen puhelinnumero. Esimerkiksi (123) 456-7890 tai 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Syötä voimassa oleva sosiaaliturvatunnus. Esimerkiksi 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Anna kelvollinen URL. Esimerkiksi http://www.example.com tai www.example.com"
"Please enter a valid URL. http:// is required","Anna kelvollinen URL. http:// on pakollinen"
"Please enter a valid zip code.","Syötä kelvollinen postinumero."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Syötä kelvollinen postinumero. Esimerkiksi 90602 tai 90602-1234."
"Please enter valid password.","Syötä kelvollinen salasana."
"Please make sure that all global admin search modules are installed and activated.","Varmista, että kaikki järjestelmänvalvojan hakumoduulit on asennettu ja aktivoitu."
"Please make sure that your changes were saved before running the profile.","Varmista, että muutoksesi on tallennettu ennen kuin suoritat profiilin."
"Please make sure your passwords match.","Varmista, että salasanat täsmäävät."
"Please Select","Valitse"
"Please select a customer.","Ole hyvä ja valitse asiakas."
"Please select an option.","Ole hyvä ja valitse vaihtoehto."
"Please select a store.","Ole hyvä ja valitse kauppa."
"Please select catalog searches.","Valitse luettelohaut."
"Please select customer(s).","Valitse asiakas/asiakkaat."
"Please select one of the above options.","Valitse yksi yllä olevista vaihtoehdoista."
"Please select one of the options.","Ole hyvä ja valitse yksi vaihtoehdoista."
"Please select review(s).","Valitse arvostelu(t)."
"Please select State/Province.","Valitse osavaltio/maakunta."
"Please select tag(s).","Valitse tag(t)."
"Please select URL rewrite(s).","Valitse URL-osoitteiden uudelleenkirjoitus."
"Please specify the admin custom URL.","Määritä järjestelmänvalvojan mukautettu URL."
"Please try to logout and sign in again.","Yritä kirjautua ulos ja kirjautua sisään uudelleen."
"Please use in this field only ""a-z,0-9,_"".","Käytä vain tässä kentässä ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Käytä vain kirjaimia (a-z) tässä kentässä."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Käytä vain numeroita tässä kentässä. Vältä välilyöntejä tai muita merkkejä, kuten pisteitä tai pilkkuja."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Käytä vain kirjaimia (a-z) tai numeroita (0-9) tässä kentässä. Välilyöntejä tai muita merkkejä ei sallita."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Käytä vain kirjaimia (a-z) tai numeroita (0-9) tai välilyöntejä ja vain # tässä kentässä."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Käytä tätä päivämäärän muotoa: pp/kk/vvvv.. Esimerkiksi 17/03/2006 17. maaliskuuta 2006."
"Please wait, loading...","Odota, ladataan..."
"Please wait...","Odota hetki..."
"Please wait while the indexes are being refreshed.","Ole hyvä ja odota kun indeksejä päivitetään."
"Popular","Suosittu"
"Position","Sijainti"
"Position of Watermark for %s","Vesileiman sijainti %s"
"Pregenerated configurable swatches image files.","Pregeneroidut konfiguroitavat swatches kuvatiedostot."
"Pregenerated product images files.","Sivustetut tuotekuvatiedostot."
"Preview","Esikatselu"
"Preview Template","Esikatsele Mallia"
"Price","Hinta"
"Price:","Hinta:"
"Price alert subscription was saved.","Hintahälytys on tallennettu."
"Processed <strong>%s%% %s/%d</strong> records","Processed <strong>%s%% %s/%d</strong> records"
"Processing","Käsitellään"
"Product","Tuote"
"Product:","Tuote:"
"Product is not loaded.","Tuotetta ei ole ladattu."
"Product Name","Tuotteen Nimi"
"Product Reviews","Tuotteiden Arvostelut"
"Products","Tuotteet"
"Products Bestsellers Report","Tuotteiden Myydyimmät Raportti"
"Products in Carts","Tuotteet ostoskorissa"
"Products Most Viewed Report","Eniten Katsotut Tuotteet"
"Products Ordered","Tilatut Tuotteet"
"Product Tax Classes","Tuotteen Veroluokat"
"Product Thumbnail Itself","Tuotteen Pikkukuva Itseään"
"Profile Action","Profiilin Toiminto"
"Profile Actions XML","Profiilin Toiminnot XML"
"Profile Direction","Profiilin Suunta"
"Profile History","Profiilin Historia"
"Profile Information","Profiilin Tiedot"
"Profile Name","Profiilin Nimi"
"Profile Payments","Profiilin Maksut"
"Profiles","Profiles"
"Profile Schedule","Profiilin Aikataulu"
"Profile Wizard","Ohjattu Profiili"
"Promo","Promo"
"Promotions","Kampanjat"
"Purchased Item","Ostettu Tuote"
"QR Code","QR Code"
"Quantity","Määrä"
"Queued... Cancel","Jono... Peruuta"
"Queue Refresh","Jonon Päivitys"
"Radio Buttons","Radion Painikkeet"
"Rates","Hinnat"
"Read details","Lue lisätietoja"
"Rebuild","Rakenna"
"Rebuild Catalog Index","Luo Luettelon Indeksi Uudelleen"
"Rebuild Flat Catalog Category","Rakenna Flat Katalogikategoria Uudelleen"
"Rebuild Flat Catalog Product","Rakenna Flat Katalogi Tuote"
"Recent Orders","Viimeisimmät Tilaukset"
"Recent statistics have been updated.","Viimeaikaiset tilastot on päivitetty."
"Recipient email address","Vastaanottajan sähköpostiosoite"
"Recompile PHP Attributes","Suosittele PHP-attribuutteja"
"Recurring Profile View","Toistuva Profiilinäkymä"
"Redirect","Uudelleenohjaus"
"Redirect to URL without trailing slash","Uudelleenohjaa URL ilman perään kauttaviivaa"
"Redirect to URL with trailing slash","Uudelleenohjaa URL-osoitteeseen perusiivillä"
"Reference","Viite"
"Reference ID","Viite ID"
"Refresh","Päivitä"
"Refresh Now*","Päivitä Nyt*"
"Refresh Roles","Päivitä Roolit"
"Refresh Statistics","Päivitä Tilastot"
"Region","Alue"
"Region/State","Alue/osavaltio"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","Salasanan rekisteröinti poistaa salasanan todennuksen automaattisesti. Turvallisuussyistä suosittelemme sen pitämistä pois käytöstä, vaikka voit tarvittaessa ottaa sen uudelleen käyttöön."
"Register New Passkey","Rekisteröi Uusi Salasana"
"Register Passkey","Rekisteröi Salasana"
"Regular Price:","Säännöllinen Hinta:"
"Reject","Hylkää"
"Rejection Of Authorization","Lupakirjan Hylkääminen"
"Reject token authorization for admin","Hylkää tunnisteen valtuutus järjestelmänvalvojalle"
"Reject token authorization Pop Up for admin","Hylkää tunnisteen valtuutus Pop Up järjestelmänvalvojalle"
"Remote FTP","Etäinen FTP"
"Remove","Poista"
"Remove Passkey","Poista Salasana"
"Rename","Uudelleennimeä"
"Reports","Raportit"
"Request Path","Pyydä Polku"
"Required","Pakollinen"
"Reset","Reset"
"Reset a Password","Nollaa salasana"
"Reset Filter","Nollaa Suodatin"
"Reset Password","Nollaa Salasana"
"Resource Access","Resurssien Käyttöoikeus"
"Resources","Resurssit"
"REST Roles","REST Roolit"
"Results","Tulokset"
"Retrieve Password","Hae Salasana"
"Return Html Version","Palauta HTML-versio"
"Revenue","Tulot"
"Reviews","Arvostelut"
"Reviews and Ratings","Arvostelut ja arvostelut"
"Rewrite Rules","Uudelleenkirjoita Säännöt"
"Role ID","Roolin Tunnus"
"Role Info","Roolin Tiedot"
"Role Information","Roolin Tiedot"
"Role Name","Roolin Nimi"
"Role Resources","Roolin Resurssit"
"Roles","Roolit"
"Roles Resources","Roolien Resurssit"
"Role Users","Roolien Käyttäjät"
"Root Category","Juuren Kategoria"
"Run","Suorita"
"Running... Kill","Käynnissä... Tapa"
"Run Profile","Suorita Profiili"
"Run Profile in Popup","Suorita profiili ponnahdusikkunassa"
"Sales","Myynti"
"Sales Overview","Myynti Yleiskatsaus"
"Sales Report","Myynti Raportti"
"Samples","Näytteet"
"Save","Tallenna"
"Save & Generate","Tallenna & Luo"
"Save Account","Tallenna Tili"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Save Block","Tallenna Lohko"
"Save Cache Settings","Tallenna Välimuistin Asetukset"
"Save Config","Tallenna Asetukset"
"Save Currency Rates","Tallenna Valuuttakurssit"
"Save Profile","Tallenna Profiili"
"Save Role","Tallenna Rooli"
"Save Template","Tallenna Malli"
"Save User","Tallenna Käyttäjä"
"Save Variable","Tallenna Muuttuja"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Skannaa tämä QR-koodi todennussovelluksellasi (Google Authenticator, Authy, jne.)"
"Search","Etsi"
"Search entire store here...","Etsi koko kaupasta täältä..."
"Search Index","Hae Indeksiä"
"Search results","Haun tulokset"
"Search Term","Hae Termiä"
"Search Terms","Hae Termejä"
"Select","Valitse"
"Select All","Valitse Kaikki"
"Select Category","Valitse Kategoria"
"selected","valittu"
"Selected allowed currency ""%s"" is not available in installed currencies.","Valittu valuutta ""%s"" ei ole käytettävissä asennetuissa valuutoissa."
"Selected base currency is not available in installed currencies.","Valittu perusvaluutta ei ole käytettävissä asennetuissa valuutoissa."
"Selected default display currency is not available in allowed currencies.","Valittu oletusnäyttö valuutta ei ole käytettävissä sallituissa valuutoissa."
"Selected default display currency is not available in installed currencies.","Valittu oletusnäyttö valuutta ei ole käytettävissä asennetuissa valuutoissa."
"Select Range","Valitse Alue"
"Self-assigned roles cannot be deleted.","Itse määritettyjä rooleja ei voi poistaa."
"Send","Lähetä"
"Sender","Lähettäjä"
"Sending...","Lähetetään..."
"Separate Email","Erillinen Sähköposti"
"Serialized data is incorrect","Sarjalisoidut tiedot ovat virheellisiä"
"Shipment #%s comment added","Lähetyksen #%s kommentti lisätty"
"Shipment #%s created","Lähetys #%s luotu"
"Shipment Comments","Lähetyksen Kommentit"
"Shipment History","Lähetyksen Historia"
"Shipments","Lähetykset"
"Shipping","Toimitus"
"Shipping Address","Toimitusosoite"
"Shipping Address: ","Toimitusosoite: "
"Shipping address selection is not applicable","Toimitusosoitteen valinta ei ole käytössä"
"Shipping method must be specified.","Toimitustapa on määritettävä."
"Shipping method selection is not applicable","Toimitustavan valinta ei ole käytössä"
"Shipping Origin","Toimituksen Alkuperä"
"Shipping Price","Toimituksen Hinta"
"Shopping Cart","Ostoskori"
"Shopping Cart from %s","Ostoskori paikasta %s"
"Shopping Cart Price Rules","Ostoskorin Hintasäännöt"
"Show By","Näytä Mukaan"
"Show Report For:","Näytä Raportti:"
"Show Reviews","Näytä Arvostelut"
"Sitemap Information","Sivukartan Tiedot"
"Size for %s","Koko %s"
"Skip Category Selection","Ohita Kategorian Valinta"
"SKU","Tuotenro"
"SKU:","Tuotenro:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Joillakin tämän tilauksen kohteilla on erilaisia lasku- ja lähetystyyppejä. Voit luoda lähetyksen vasta laskun syntymisen jälkeen."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Joitakin tilattuja kohteita ei ole enää luettelossa, ja ne poistetaan, jos yrität muokata tilausta."
"Special Price:","Erityishinta:"
"Specific Countries","Tietyt Maat"
"Specified","Määritelty"
"Specified profile does not exist.","Määriteltyä profiilia ei ole olemassa."
"Spreadsheet Name:","Taulukkolaskenta Nimi:"
"Start Date","Aloitus Päivämäärä"
"Starting profile execution, please wait...","Aloitetaan profiilin suoritusta, odota hetki..."
"State/Province:","Osavaltio/Maakunta:"
"Static Blocks","Staattiset Lohkot"
"Status","Tila"
"Status:","Tila:"
"Stock notification was saved.","Varastoilmoitus on tallennettu."
"Stock Quantity:","Varastomäärä:"
"Store","Kauppa"
"store(%s) scope","Kaupan (%s) laajuus"
"Store:","Kauppa:"
"Stores","Kaupat"
"Store View","Kaupan Näkymä"
"Subject","Aihe"
"Submit","Lähetä"
"Subtotal","Välisumma"
"successful","onnistui"
"Switch/Solo/Maestro Only","Kytkin/Solo/Maestro Vain"
"System","Järjestelmä"
"System busy","Järjestelmä varattu"
"Tags","Tunnisteet"
"Target Path","Kohteen Polku"
"Tax","Vero"
"Template","Malli"
"Template Content","Mallin Sisältö"
"Template Information","Sivupohjan Tiedot"
"Template Name","Mallin Nimi"
"Template Styles","Template Styles"
"Template Subject","Mallin Aihe"
"Template Type","Mallin Tyyppi"
"Temporary (302)","Väliaikainen (302)"
"Terms and Conditions","Ehdot ja ehdot"
"Test email sent successfully to %s.","Testi sähköposti lähetetty onnistuneesti %s."
"Test Email Settings","Testaa Sähköpostiasetukset"
"Text","Teksti"
"The account has been saved.","Tili on tallennettu."
"The attribute set has been removed.","Attribuuttijoukko on poistettu."
"The billing agreement has been canceled.","Laskutussopimus on peruutettu."
"The billing agreement has been deleted.","Laskutussopimus on poistettu."
"The block has been saved.","Lohko on tallennettu."
"The cache storage has been flushed.","Välimuistin tallennustila on huuhdeltu."
"The carrier needs to be specified.","Liikenteenharjoittaja on määriteltävä."
"The catalog index has been rebuilt.","Katalogiindeksi on rakennettu uudelleen."
"The CatalogInventory Stock Status has been rebuilt.","CatalogInventory Stock Status on uudelleenrakennettu."
"The catalog rewrites have been refreshed.","Katalogin uudelleenkirjoitukset on päivitetty."
"The Catalog Rewrites were refreshed.","Luettelon uudelleenkirjoitukset päivitettiin."
"The Comment Text field cannot be empty.","Kommentti Teksti kenttä ei voi olla tyhjä."
"The configurable swatches image cache was cleaned.","Konfiguroitavissa oleva swatches image cache puhdistettiin."
"The configuration has been saved.","Konfiguraatio on tallennettu."
"The credit memo has been canceled.","Hyvityslasku on peruutettu."
"The credit memo has been created.","Luoton muistio on luotu."
"The credit memo has been voided.","Luoton muistio on mitätöity."
"The credit memo no longer exists.","Luotto muistiota ei ole enää olemassa."
" The customer does not exist in the system anymore."," Asiakasta ei enää ole järjestelmässä."
"The customer has been deleted.","Asiakas on poistettu."
"The customer has been saved.","Asiakas on tallennettu."
"The custom variable has been deleted.","Muokattu muuttuja on poistettu."
"The custom variable has been saved.","Mukautettu muuttuja on tallennettu."
"The design change has been deleted.","Suunnittelun muutos on poistettu."
"The design change has been saved.","Suunnittelun muutos on tallennettu."
"The email address has been updated successfully.","Sähköpostiosoite on päivitetty onnistuneesti."
"The email address is empty.","Sähköpostiosoite on tyhjä."
"The email template has been deleted.","Sähköpostimalli on poistettu."
"The email template has been saved.","Sähköpostipohja on tallennettu."
"The flat catalog category has been rebuilt.","Tasainen katalogi-kategoria on rakennettu uudelleen."
"The Flat Catalog Product was rebuilt","Flat Catalog Tuote rakennettiin uudelleen"
"The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Seuraavat API-roolit eivät ole enää käytettävissä järjestelmässä: %s. Voit poistaa ne <a href=""%s"">klikkaamalla tästä</a>."
"The following role resource(s) are not orphaned: %s","Seuraavat rooliresurssit eivät ole orpoja: %s"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Seuraavat rooliresurssit eivät ole enää käytettävissä järjestelmässä: %s. Voit poistaa ne <a href=""%s"">klikkaamalla tästä</a>."
"The group node name must be specified with field node name.","Ryhmän solmun nimi on määritettävä kentän solmun nimellä."
"The image cache was cleaned.","Kuvan välimuisti puhdistettiin."
"The image cache was cleared.","Kuvan välimuisti tyhjennettiin."
"The invoice and shipment have been created.","Lasku ja lähetys on luotu."
"The invoice cannot be canceled.","Laskua ei voi peruuttaa."
"The invoice cannot be captured.","Laskua ei voida tallentaa."
"The invoice cannot be voided.","Laskua ei voi mitätöidä."
"The invoice has been canceled.","Lasku on peruutettu."
"The invoice has been captured.","Lasku on tallennettu."
"The invoice has been created.","Lasku on luotu."
"The invoice has been voided.","Lasku on mitätöity."
"The invoice no longer exists.","Laskua ei enää ole olemassa."
"The item %s (SKU %s) does not exist in the catalog anymore.","Kohteen %s (SKU %s) ei ole enää luettelossa."
"The Layered Navigation indexing has been queued.","Layered Navigation indeksointi on jonossa."
"The Layered Navigation indexing queue has been canceled.","Layered Navigation indexing -jono on peruutettu."
"The Layered Navigation indices were refreshed.","Layered Navigation indeksit päivitettiin."
"The Layered Navigation process has been queued to be killed.","Layered Navigation -prosessi on asetettu jonoon, joka on tapettava."
"The Maho cache has been flushed and updates applied.","Mahon välimuisti on huuhdeltu ja sitä on päivitetty."
"The minified CSS/JS cache was cleaned.","Minifioitu CSS/JS välimuisti puhdistettiin."
"The order does not allow creating an invoice.","Tilaus ei salli laskun luomista."
"The order no longer exists.","Tilausta ei ole enää olemassa."
"The profile has been deleted.","Profiili on poistettu."
"The profile has been saved.","Profiili on tallennettu."
"The profile has been updated.","Profiili on päivitetty."
"The profile has no changes.","Profiilissa ei ole muutoksia."
"The profile you are trying to save no longer exists","Profiilia, jota yrität tallentaa, ei enää ole olemassa"
"The rating has been deleted.","Arvostelu on poistettu."
"The rating has been saved.","Arvostelu on tallennettu."
"There is an error in one of the option rows.","Yhden vaihtoehdon rivin kohdalla on virhe."
"The role has been deleted.","Tehtävä on poistettu."
"The role has been saved.","Tehtävä on tallennettu."
"The role has been successfully saved.","Tehtävä on onnistuneesti tallennettu."
"The roles have been refreshed.","Rooleja on virkistetty."
"The search index has been rebuilt.","Hakuindeksi on rakennettu uudelleen."
"The shipment has been created.","Lähetys on luotu."
"The shipment has been sent.","Lähetys on lähetetty."
"The shipment no longer exists.","Lähetystä ei enää ole."
"The shipping label has been created.","Toimitustunnus on luotu."
