"# of Use","# käyttö"
"%1$s incl tax.","%1$s sis. veron."
"%s-%s of %s","%s-%s %s"
"%s and above","%s ja yli"
"%s Item(s)","%s Kohde(t)"
"Pad resized images to exact dimensions with background color","Pad kokoon kuvia tarkkoja mittoja taustavärillä"
"Page Title Separator","Sivun Otsikon Erotin"
"Parent category is equal to child category.","Vanhempainluokka on yhtä suuri kuin lapsiluokka."
"Parent category was not found.","Vanhemman kategoriaa ei löytynyt."
"Parent Products","Vanhemmat Tuotteet"
"Pending","Odottaa"
"Pending Reviews RSS","Odottavat Arvostelut RSS"
"Percentage","Prosenttiosuus"
"per page","per sivu"
"Please add rows to option.","Ole hyvä ja lisää rivejä vaihtoehtoon."
"Please click on the Close Window button if it is not closed automatically.","Napsauta Sulje ikkuna -painiketta, jos sitä ei suljeta automaattisesti."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Ole hyvä ja päivitä ""Verkkoluettelon URL-uudelleenkirjoitus"" ja ""Tuoteominaisuudet"" System -&gt; <a href=""%s"">Index Management</a>"
"Please select a file for the required option ""%s"".","Valitse tiedosto vaaditusta vaihtoehdosta ""%s""."
"Please select a parent category before adding a new one.","Valitse yläkategoria ennen uuden kategorian lisäämistä."
"Please select a static block ...","Valitse staattinen lohko..."
"Please select items.","Valitse kohteet."
"Please select one or more attributes.","Valitse yksi tai useampi attribuutti."
"Please select product(s).","Valitse tuote (tuotteet)."
"Please select products for attributes update","Valitse tuotteet attribuuttien päivitystä varten"
"Please specify date required option <em>%s</em>.","Määritä päivämäärä vaadittu vaihtoehto <em>%s</em>."
"Please specify the number of products, that will not be divided into subintervals.","Ole hyvä ja määrittele tuotteiden määrä, jota ei jaotella osaväleihin."
"Please specify the product's option(s).","Ole hyvä ja määrittele tuotteen vaihtoehto(t)."
"Please specify the product's required option(s).","Täsmentäkää tuotteen vaadittu vaihtoehto."
"Please specify the product required option(s)","Määritä tuote vaaditut vaihtoehdot"
"Please specify the product required option <em>%s</em>.","Määritä vaadittu tuote <em>%s</em>."
"Please specify the quantity of product(s).","Ilmoittakaa tuotteen (tuotteiden) määrä."
"Please specify time required option <em>%s</em>.","Määritä vaadittu aika <em>%s</em>."
"Please wait...","Odota hetki..."
"Position","Sijainti"
"Position in Layered Navigation","Sijainti sijoitetussa navigoinnissa"
"Position of attribute in layered navigation block","Attribuutin sijainti kerroksisen navigoinnin lohkossa"
"Prev","Edellinen"
"Prevents indexing of pages after the first page (p > 1).","Estää sivujen indeksoinnin ensimmäisen sivun jälkeen (p > 1)."
"Prevents indexing of pages with active filters to avoid duplicate content.","Estää sivujen indeksoinnin aktiivisilla suodattimilla, jotta vältytään päällekkäisiltä sisällöiltä."
"Previous","Edellinen"
"Price","Hinta"
"Price:","Hinta:"
"Price: %s","Hinta: %s"
"Price Navigation Step Calculation","Hinnanalennuksen Vaiheen Laskeminen"
"Price Type","Hinta Tyyppi"
"Price values for options should be specified in system base currency.","Vaihtoehtojen hintaarvot olisi määriteltävä järjestelmän perusvaluutassa."
"Product","Tuote"
"Product Alerts","Tuotteen Hälytykset"
"Product API","Tuotteen API"
"Product Attribute","Tuotteen Attribuutti"
"Product Attributes","Tuotteen Ominaisuudet"
"Product attributes API","Tuotteen attribuutit API"
"Product attribute sets API","Tuotteen attribuuttisarjat API"
"Product Categories","Tuoteryhmät"
"Product collection expected.","Tuotteen keruu odotettavissa."
"Product Extra Info","Tuotteen Lisätiedot"
"Product Flat Data","Tuotteen Tasainen Tiedot"
"Product ID","Tuotteen Tunnus"
"Product Image","Tuotteen Kuva"
"Product Image Placeholders","Tuotekuvan Paikkamerkit"
"Product Images","Tuotteen Kuvat"
"Product Images API","Tuotekuvien API"
"Product Image Watermarks","Tuotekuvan Vesileimat"
"Product Info Column","Tuotteen Tiedot Sarake"
"Product Information","Tuotteen Tiedot"
"Product In Websites","Tuote Sivustoilla"
"Product is not loaded","Tuotetta ei ole ladattu"
"Product Link Block Template","Tuotelinkin Lohkon Malli"
"Product Link Inline Template","Tuotteen Linkin Sisäinen Malli"
"Product links API (related, cross sells, up sells)","Tuotelinkit API (liittyy, ristikkämyynti, up sells)"
"Product Listing Sort by","Tuotelistauksen järjestys mukaan"
"Product Name","Tuotteen Nimi"
"Product Prices","Tuotteen Hinnat"
"Product Reviews","Tuotteiden Arvostelut"
"Products","Tuotteet"
"products","tuotteet"
"Products Comparison List","Tuotteiden Vertailulista"
"Products count","Tuotteiden määrä"
"Products Information","Tuotteiden Tiedot"
"Products only","Vain tuotteet"
"Products per Page on Grid Allowed Values","Tuotetta per sivu ruudukon sallituissa arvoissa"
"Products per Page on Grid Default Value","Tuotetta per sivu ruudukon oletusarvolla"
"Products per Page on List Allowed Values","Tuotetta per sivu luettelossa sallitut arvot"
"Products per Page on List Default Value","Tuotetta per sivu listassa Oletusarvo"
"Products Reviews","Tuotteiden Arvostelut"
"Products Sitemap","Tuotteiden Sivukartta"
"Product Tags","Tuotteen Tunnisteet"
"Product Tier Price API","Tuotteen Määrän Hinta-Api"
"Product Type","Tuotteen Tyyppi"
"Product types API","Tuotetyypit API"
"Product URL Suffix","Tuotteen URL-jälkiliite"
"Product View Extra Hint","Tuotteen Näkymän Lisävihje"
"Product with this combination of attributes already associated to configurable.","Tuote tällä attribuuttien yhdistelmällä on jo liitetty konfiguroitavaksi."
"Properties","Ominaisuudet"
"px.","px."
"Qty","Määrä"
"Qty:","Määrä:"
"Qty for Item's Status to Become Out of Stock","Tuotteiden tila tulla ulos varastosta on määrä"
"Qty Increments","Määrä Lisäykset"
"Qty Uses Decimals","Määrä Käyttää Desimaaleja"
"Quantity","Määrä"
"Quick Create","Nopea Luominen"
"Quick simple product creation","Yksinkertainen tuotteiden luonti"
"Records for ""%s"" store found.","Tietueet kohteelle ""%s"" löytyi."
"Redirect","Uudelleenohjaus"
"Redirect URL","Uudelleenohjaus URL"
"Regular Price:","Säännöllinen Hinta:"
"Related Products","Liittyvät Tuotteet"
"Remove","Poista"
"Remove attribute from attribute set","Poista attribuutti attribuutista"
"Remove attribute set","Poista attribuuttijoukko"
"Remove custom option","Poista mukautettu vaihtoehto"
"Remove filter: %s","Poista suodatin: %s"
"Remove group from attribute set","Poista ryhmä attribuuttiryhmästä"
"Remove option","Poista vaihtoehto"
"Remove product assignment","Poista tuotteen tehtävä"
"Remove Product From Websites","Poista Tuote Sivustoilta"
"Remove product image","Poista tuotekuva"
"Remove product link","Poista tuotelinkki"
"Remove value from custom option","Poista arvo mukautetusta asetuksesta"
"Rename existing group","Nimeä olemassa oleva ryhmä uudelleen"
"Rename group","Nimeä ryhmä uudelleen"
"Reorganize EAV category structure to flat structure","Järjestä EAV kategorian rakenne tasaiseen rakenteeseen"
"Reorganize EAV product structure to flat structure","Järjestä EAV tuoterakenne tasaiseen rakenteeseen"
"Reset","Reset"
"Results","Tulokset"
"Results per page","Tuloksia per sivu"
"Retrieve attribute data","Hae attribuutin tiedot"
"Retrieve attribute list","Hae attribuuttiluettelo"
"Retrieve attribute options","Hae attribuutin asetukset"
"Retrieve categories tree","Hae kategorioiden puu"
"Retrieve category attributes","Hae kategorian attribuutit"
"Retrieve category data","Nouda kategoriatietoja"
"Retrieve hierarchical tree","Nouda hierarkkinen puu"
"Retrieve linked products","Hae linkitettyjä tuotteita"
"Retrieve list of assigned products","Nouda luettelo annetuista tuotteista"
"Retrieve list of option values","Nouda lista vaihtoehtojen arvoista"
"Retrieve list of product custom options","Nouda luettelo tuotteen mukautetuista asetuksista"
"Retrieve one level of categories by website/store view/parent category","Hae yksi taso kategorioita verkkosivuilla/myymälällä näkymä/yläkategorian mukaan"
"Retrieve option value info","Nouda valinnan arvon tiedot"
"Retrieve product","Hae tuote"
"Retrieve product attribute sets","Hae tuotteen attribuuttiasetelmat"
"Retrieve product image","Hae tuotekuva"
"Retrieve product image list","Nouda tuotekuvan lista"
"Retrieve product image types","Nouda tuotekuvatyypit"
"Retrieve product link type attributes","Hae tuotelinkin tyypin attribuutit"
"Retrieve product link types","Hae tuotelinkin tyypit"
"Retrieve products data","Hae tuotteiden tiedot"
"Retrieve products list by filters","Hae tuoteluettelo suodattimien mukaan"
"Retrieve product tier prices","Nouda tuotteen tasoiset hinnat"
"Retrieve product types","Nouda tuotetyypit"
"Reviews","Arvostelut"
"Roll Over for preview","Rullaa yli esikatselua varten"
"Root","Juuri"
"Save","Tallenna"
"save","tallenna"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Save Attribute","Tallenna Attribuutti"
"Save Attribute Set","Tallenna Attribuuttiryhmä"
"Save Category","Tallenna Kategoria"
"Saved %d record(s)","Tallennetut %d tietueet"
"Save Search","Tallenna Haku"
"Scope","Soveltamisala"
"Scope must not be changed, because the attribute is used in configurable products.","Soveltamisalaa ei saa muuttaa, koska attribuuttia käytetään muokattavissa olevissa tuotteissa."
"Search","Etsi"
"Searchable","Haettavissa"
"Search Engine Optimizations","Hakukoneen Optimoinnit"
"Search Information","Hae Tietoja"
"Search Query","Hae Kyselystä"
"Search Term with such search query already exists.","Hakutermi, jolla on tällainen haku, on jo olemassa."
"See price before order confirmation.","Katso hinta ennen tilausvahvistusta."
"select all","valitse kaikki"
"Select Category...","Valitse Kategoria..."
"Select Configurable Attributes ","Valitse Konfiguroitavat Attribuutit "
"Selected Product Types","Valitut Tuotetyypit"
"Select Product...","Valitse Tuote..."
"Select type of option","Valitse vaihtoehdon tyyppi"
"Select type options required values rows.","Valitse tyyppivalinnat vaaditut arvot rivejä."
"Send Count","Lähetyksen Määrä"
"Set/Get current store view","Aseta/Hanki nykyinen kauppasäkymä"
"Set Ascending Direction","Aseta Nouseva Suunta"
"Set Descending Direction","Aseta Laskeva Suunta"
"Set Name","Aseta Nimi"
"Set Root Category for Store","Aseta Juurikategoria kaupalle"
"Set root category for this store in the <a href=""%s"">configuration</a>","Aseta pääkategoria tälle kaupalle <a href=""%s"">konfiguraatiossa</a>"
"Set special price","Aseta erikoishinta"
"Settings","Asetukset"
"Show","Näytä"
"Show count","Näytä määrä"
"Show Details","Näytä Yksityiskohdat"
"Show ID","Näytä Tunniste"
"Show Tags","Näytä Tagit"
"Signals crawlers not to prioritize filter combination URLs.","Signaalit crawlers ei priorisoida suodatinyhdistelmän URL-osoitteita."
"Simple","Yksinkertainen"
"Site Map","Sivukartta"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ohita tuontirivi, ei ole kelvollinen arvo ""%s"" kentälle ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Ohita tuontirivi, pakollinen kenttä ""%s"" uudelle asiakkaalle ei ole määritelty."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Ohita tuontirivi, arvo ""%s"" ei kelpaa kenttään ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Ohitetaan tuontirivi, pakollinen kenttä ""%s"" uusille tuotteille ei ole määritelty."
"Skipping import row, required field ""%s"" is not defined.","Ohitetaan tuontirivi, pakollinen kenttä ""%s"" ei ole määritelty."
"Skipping import row, store ""%s"" field does not exist.","Ohitetaan tuontirivi, tallentaa ""%s"" -kenttää ei ole olemassa."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Ohitetaan tuontirivi, arvo ""%s"" ei ole kelvollinen ""%s"" kenttään."
"SKU","Tuotenro"
"SKU length should be %s characters maximum.","SKU pituus pitäisi olla %s merkkiä enintään."
"Small Image Width","Pieni Kuvan Leveys"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Joillakin käsitellyillä tuotteilla ei ole SKU-arvoa määritelty. Täytä se ennen näiden tuotteiden suorittamista."
"Some of the selected item options are not currently available.","Jotkin valitun kohteen vaihtoehdot eivät ole tällä hetkellä käytettävissä."
"Sort By","Järjestä Mukaan"
"Sort Order","Järjestä Järjestys"
"Special Expires On: %s","Erityiset Vanhenee: %s"
"Special Price:","Erityishinta:"
"Special Price: %s","Erikoishinta: %s"
"Static","Staattinen"
"Static block and products","Staattinen lohko ja tuotteet"
"Static block only","Vain staattinen lohko"
"Status","Tila"
"Stock Availability","Varaston Saatavuus"
"Store","Kauppa"
"Store View","Kaupan Näkymä"
"Stretch","Venytä"
"Subscribe to RSS Feed","Tilaa RSS-syöte"
"Super product attributes configuration","Super tuotteen attribuuttien asetukset"
"Synonym For","Synonyymi"
"System Properties","Järjestelmän Ominaisuudet"
"Tag Name","Tagin Nimi"
"Tax","Vero"
"Template","Malli"
"Text","Teksti"
"The attribute code '%s' is reserved by system. Please try another attribute code","Attribuuttikoodi '%s' on varattu järjestelmällä. Ole hyvä ja kokeile toista attribuuttikoodia"
"The attribute model is not defined","Attribuuttimallia ei ole määritelty"
"The attribute set has been saved.","Attribuuttijoukko on tallennettu."
"The base directory to upload file is not specified.","Tiedostoa ladattavaa perushakemistoa ei ole määritelty."
"The category has been deleted.","Kategoria on poistettu."
"The category has been saved.","Kategoria on tallennettu."
"The comparison list was cleared.","Vertailulista päästiin eroon."
"The file was only partially uploaded. Please try again.","Tiedosto ladattiin vain osittain. Yritä uudelleen."
"The file you uploaded is larger than %s Megabytes allowed by server","Ladattu tiedosto on suurempi kuin %s Megatavua jonka palvelin sallii"
"The filters must be an array.","Suodattimien on oltava taulukko."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The following file extensions are not allowed for security reasons: %s","Seuraavat tiedostopäätteet eivät ole sallittuja turvallisuussyistä: %s"
"The From Date value should be less than or equal to the To Date value.","Alkaen päivämäärä arvon on oltava pienempi tai yhtä suuri kuin päivämäärä arvo."
"The image contents is not valid base64 data.","Kuvan sisältö ei ole kelvollinen base64-tieto."
"The image is not specified.","Kuvaa ei ole määritelty."
"The model collection resource name is not defined.","Mallin kokoelman nimeä ei ole määritelty."
"The product %s has been added to comparison list.","Tuote %s on lisätty vertailulistaan."
"The product %s has been removed from comparison list.","Tuote %s on poistettu vertailulistasta."
"The product attribute has been deleted.","Tuotteen attribuutti on poistettu."
"The product attribute has been saved.","Tuotteen attribuutti on tallennettu."
"The product has been created.","Tuote on luotu."
"The product has been deleted.","Tuote on poistettu."
"The product has been duplicated.","Tuote on kopioitu."
"The product has been saved.","Tuote on tallennettu."
"The product has required options","Tuotteella on vaaditut vaihtoehdot"
"There are no %s available.","%s ei ole saatavilla."
"There are no customers for this alert","Tälle hälytykselle ei ole asiakkaita"
"There are no customers for this alert.","Tällä hälytyksellä ei ole asiakkaita."
"There are no products matching the selection.","Valintaa vastaavia tuotteita ei ole."
"The review has been deleted","Arvostelu on poistettu"
"The review has been saved.","Tarkistus on tallennettu."
"The review was removed by another user or does not exist.","Arvostelu poistettiin toinen käyttäjä tai sitä ei ole olemassa."
"There was an error while request processing.","Tapahtui virhe pyynnön käsittelyn aikana."
"The search was deleted.","Haku on poistettu."
"The text is too long","Teksti on liian pitkä"
"This attribute cannot be deleted.","Tätä attribuuttia ei voi poistaa."
"This attribute cannot be edited.","Tätä attribuuttia ei voi muokata."
"This attribute cannot be updated.","Tätä attribuuttia ei voi päivittää."
"This attribute is used in configurable products.","Tätä attribuuttia käytetään muokattavissa olevissa tuotteissa."
"This Attribute no longer exists","Attribuuttia ei enää ole olemassa"
"This attribute no longer exists","Attribuutti ei ole enää olemassa"
"This attribute set no longer exists.","Attribuuttijoukkoa ei ole enää olemassa."
"This category no longer exists.","Tuoteryhmää ei ole enää olemassa."
"This is a required option","Tämä on pakollinen vaihtoehto"
"This product no longer exists.","Tuotetta ei ole enää olemassa."
"This search no longer exists.","Tätä hakua ei enää ole."
"This setting will be applied when all prices in the specific price interval are equal.","Tätä asetusta sovelletaan, kun kaikki tietyn hintavälin hinnat ovat samanlaiset."
"Thumbnail","Thumbnail"
"Tier Pricing","Määrän Hinnoittelu"
"Tile","Teltta"
"Title","Otsikko"
"To","Vastaanottaja"
"Top/Left","Ylä/Vasen"
"Top/Right","Ylhäällä/Oikealla"
"To reindex the enabled product(s), the store or product must be specified","Jotta käytössä olevien tuotteiden uudelleenindeksoiminen onnistuisi, myymälä tai tuote on eriteltävä"
"To see product price, add this item to your cart. You can always remove it later.","Jos haluat nähdä tuotteen hinnan, lisää tämä tuote ostoskoriin. Voit aina poistaa sen myöhemmin."
"Total incl. Tax: %1$s","Yhteensä sis. veron: %1$s"
"Total of %d record(s) have been deleted.","Yhteensä %d tietuetta on poistettu."
"Total of %d record(s) have been updated.","Yhteensä %d tietuetta on päivitetty."
"Total of %d record(s) were updated","Yhteensä %d tietuetta päivitettiin"
"Type","Tyyppi"
"Unable to complete this request.","Tätä pyyntöä ei voitu suorittaa."
"Unable to find an attribute to delete.","Poistettavaa attribuuttia ei löydy."
"Unable to find a search term to delete.","Poistettavaa hakutermiä ei löydy."
"Unable to get the product ID.","Tuotteen tunnusta ei voitu hakea."
"Unassigned Attributes","Määrittämättömät Attribuutit"
"Unknown EAV indexer type ""%s"".","Tuntematon EAV-indeksointityyppi ""%s""."
"unselect all","poista kaikki valinnat"
"Unsupported product type ""%s"".","Tuotetyyppiä ei tueta ""%s""."
"Up-sells","Ylösmyynti"
"Update","Päivitä"
"Update assigned product","Päivitä määritetty tuote"
"Update attribute","Päivitä attribuutti"
"Update Attributes","Päivitä Ominaisuudet"
"Update attributes","Päivitä attribuutit"
"Update category","Päivitä kategoria"
"Update custom option of product","Päivitä mukautettu vaihtoehto tuotteelle"
"Update product","Päivitä tuote"
"Update product image","Päivitä tuotekuva"
"Update product link","Päivitä tuotteen linkki"
"Update product tier prices","Päivitä tuotteen tasohinnat"
"Update Tier Price","Päivitä Määrän Hinta"
"Update value of custom option","Päivitä mukautetun vaihtoehdon arvo"
"Upload new product image ","Lataa uusi tuotekuva "
"URL Rewrite Management","Url-Uudelleenkirjoituksen Hallinta"
"Use Canonical Link Meta Tag For Categories","Käytä Canonical Link Meta Tagia Luokkiin"
"Use Canonical Link Meta Tag For Products","Käytä Canonical Link Meta Tag Tuotteille"
"Use Categories Path for Product URLs","Käytä tuoteryhmäpolkua tuotteen URL-osoitteille"
"Use config","Käytä konfigurointia"
"Use Config Settings","Käytä Kokoonpanon Asetuksia"
"Use default","Käytä oletusta"
"Use Default Value","Käytä Oletusarvoa"
"Used for Sorting in Product Listing","Käytetään lajittelussa tuotteen listauksessa"
"Used in Product Listing","Käytetään tuotelistauksessa"
"Used to fill the frame when Keep Frame is enabled","Käytetään täytettäessä kehystä, kun Pidä kehys päällä"
"Use Flat Catalog Category","Käytä Flat Katalog Kategoria"
"Use Flat Catalog Product","Käytä Flat Catalog -tuotetta"
"Use for Promo Rule Conditions","Käyttö Promo sääntöjen ehdoissa"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Käytä nelinumeroista vuosimuotoa. Käytetään min/max attribuuteille natiivina päivämäärinä."
"Use in Advanced Search","Käytä tarkistetussa haussa"
"Use In Layered Navigation","Käytä Layered Navigation -palvelussa"
"Use in Layered Navigation","Käytä kerroksisessa navigoinnissa"
"Use in Layered Navigation<br>(Can be used only with catalog input type 'Dropdown')","Käytä Layered Navigation<br>(Käytä vain katalogin syöttötyypillä 'Dropdown')"
"Use in Quick Search","Käytä pikahaussa"
"Use In Search Results Layered Navigation","Käytä Hakutuloksissa Layered Navigation"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Käytä staattisia URL-osoitteita mediasisältölle WYSIWYGissä kuvastoon"
"Use To Create Configurable Product","Käytä Muokattavan Tuotteen Luomiseen"
"Use Tree Like Category Sitemap","Käytä Puunkaltaista Kategorian Sivukarttaa"
"Value for ""%s"" is invalid.","Arvo kohteelle ""%s"" on virheellinen."
"Value for ""%s"" is invalid: %s","Arvo kohteelle ""%s"" on virheellinen: %s"
"Varchar","Varchar"
"View All Products","Näytä Kaikki Tuotteet"
"View as","Näytä nimellä"
"View Details","Näytä Yksityiskohdat"
"View image %s","Näytä kuva %s"
"Virtual","Virtuaalinen"
"Visibility","Näkyvyys"
"Visible","Näkyvä"
"Visible on Catalog Pages on Front-end","Näkyy katalogin sivuilla etupäässä"
"Visible on Product View Page on Front-end","Näkyvissä tuotenäkymän sivulla etupäässä"
"Watermark","Vesileima"
"Watermark Opacity, Percent","Vesileiman Läpinäkyvyys, Prosenttia"
"Watermark Position","Vesileiman Sijainti"
"Website","Sivusto"
"Websites","Sivustot"
"What's this?","Mikä tämä on?"
"When enabled, associated products are automatically recalculated when reindex runs.","Kun käytössä, liittyvät tuotteet lasketaan automaattisesti, kun uudelleenindeksointi päättyy."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Näytetäänkö ""Kaikki"" vaihtoehto ""Näytä X Per Page"" -pudotusvalikossa."
"Will make search for the query above return results for this search.","Tehdään hakua edellä palauttaa tulokset tämän haun."
"Wrong BuyRequest instance in options group.","Väärä BuyRequest instanssi vaihtoehtoryhmässä."
"Wrong configuration item instance in options group.","Väärä asetusnimikkeen instanssi valitsimien ryhmässä."
"Wrong configuration item option instance in options group.","Väärä konfiguraatio kohteen valinta instanssi vaihtoehtoja ryhmässä."
"Wrong option instance type in options group.","Väärä vaihtoehdon instanssityyppi vaihtoehtoryhmässä."
"Wrong option type to get group instance.","Väärä valitsintyyppi saadaksesi ryhmän instanssin."
"Wrong product instance type in options group.","Väärä tuotetyyppi vaihtoehtojen ryhmässä."
"Wrong product type filter specified","Väärä tuotetyyppisuodatin määritetty"
"Wrong product type to extract configurable options.","Väärä tuotetyyppi poimia konfiguroitavia vaihtoehtoja."
"WYSIWYG Editor","WYSIWYG Editor"
"x","x"
"Year Range","Vuosi Alue"
"Yes","Kyllä"
"Yes, with images","Kyllä, kuvien kanssa"
"You have no items to compare.","Sinulla ei ole kohteita vertailtavaksi."
"You may also be interested in the following product(s)","Voit olla kiinnostunut myös seuraavista tuotteista"
"You saved the search term.","Olet tallentanut hakutermin."
