"""Remember Me"" Default Value","Valor predeterminado ""Recordarme"""
"You have exceeded requests to times per hour from 1 IP.","Ha excedido las solicitudes a veces por hora desde 1 IP."
"You have logged out and will be redirected to our homepage in 5 seconds.","Has cerrado sesión y serás redirigido a nuestra página principal en 5 segundos."
"You have no additional address entries in your address book.","No tiene entradas de direcciones adicionales en su libreta de direcciones."
"You have no default billing address in your address book.","No tiene ninguna dirección de facturación por defecto en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene ninguna dirección de envío por defecto en su libreta de direcciones."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"Your account balance is: %s","El saldo de tu cuenta es: %s"
"Your login link has expired. Please request a new one.","Su enlace de acceso ha caducado. Por favor, solicite uno nuevo."
"Your Tax ID cannot be validated.","Su ID de impuesto no puede ser validado."
"Your VAT ID was successfully validated.","Su ID de IVA fue validado con éxito."
"You will be charged tax.","Se le cobrará impuestos."
"You will not be charged tax.","No se le cobrará impuestos."
"YYYY","AAAA"
"ZIP","ZIP"
"Zip/Postal Code","Código postal"
"ZIP/Post Code","Código postal"
