"%d product(s) were updated","%d prodotto(i) aggiornato(i)"
"%s (Default Template from Locale)","%s (modello predefinito da locale)"
"%s cache type(s) disabled.","%s tipi di cache disabilitati."
"%s cache type(s) enabled.","%s tipi di cache abilitati."
"%s cache type(s) refreshed.","%s tipi di cache aggiornati."
"Minified CSS and JavaScript files.","File CSS e JavaScript ridotti."
"MINOR","MINORE"
"minor","minore"
"Missing required fields","Campi obbligatori mancanti"
"Month","Mese"
"Most Viewed","Più Visti"
"Most Viewed Products","Prodotti Più Visti"
"MS Excel XML","MS Excel XML"
"Multiple Select","Selezione Multipla"
"My Account","Il Mio Account"
"My Applications","Mie Applicazioni"
"N/A","N/A"
"Name","Nome"
"Name:","Nome:"
"Name on Card","Nome sulla carta"
"Network Error. Please refresh the page.","Errore di rete. Si prega di aggiornare la pagina."
"Never (production)","Mai (produzione)"
"New ","Nuovo "
"New Accounts","Nuovi Account"
"New API Key","Nuova Chiave Api"
"New Attribute","Nuovo Attributo"
"New Block","Nuovo Blocco"
"New block","Nuovo blocco"
"New Category","Nuova Categoria"
"New Class","Nuova Classe"
"New Condition","Nuova Condizione"
"New Customer","Nuovo Cliente"
"New Customers","Nuovi Clienti"
"New Custom Variable","Nuova Variabile Personalizzata"
"New Design Change","Nuovo Cambiamento Di Design"
"New Email Template","Nuovo Modello Email"
"New Group","Nuovo Gruppo"
"New Invoice","Nuova Fattura"
"New Memo","Nuovo Memo"
"New Memo for #%s","Nuovo memo per #%s"
"New Page","Nuova Pagina"
"New Password","Nuova Password"
"New Password Confirmation","Conferma Nuova Password"
"New password field cannot be empty.","Il nuovo campo password non può essere vuoto."
"New Profile","Nuovo Profilo"
"New Rate","Nuova Tariffa"
"New Rating","Nuovo Punteggio"
"New Review","Nuova Revisione"
"New Role","Nuovo Ruolo"
"New Rule","Nuova Regola"
"New Search","Nuova Ricerca"
"New Set","Nuovo Set"
"New Shipment","Nuova Spedizione"
"New Sitemap","Nuova Sitemap"
"Newsletter","Newsletter"
"Newsletter Problems","Problemi Newsletter"
"Newsletter Queue","Coda Newsletter"
"Newsletter Subscribers","Iscritti Alla Newsletter"
"Newsletter Templates","Modelli Newsletter"
"New Store View","Nuova Vista Negozio"
"New System Template","Nuovo Modello Di Sistema"
"New Tag","Nuovo Tag"
"New Template","Nuovo Modello"
"New User","Nuovo Utente"
"New Variable","Nuova Variabile"
"New Website","Nuovo Sito Web"
"No","No"
"No (price without tax)","No (prezzo senza imposte)"
"No change","Nessun cambiamento"
"No customer id defined.","Nessun ID cliente definito."
"No Data Found","Nessun Dato Trovato"
"No information available.","Nessuna informazione disponibile."
"None","Nessuno"
"No profile loaded...","Nessun profilo caricato..."
"No records found.","Nessun record trovato."
"No records found for this period.","Nessun record trovato per questo periodo."
"No report code specified.","Nessun codice di segnalazione specificato."
"No search keywords.","Nessuna parola chiave di ricerca."
"No search modules were registered","Nessun modulo di ricerca è stato registrato"
"Not allowed","Non consentito"
"Not authenticated","Non autenticato"
"Note:","Nota:"
"No Templates Found","Nessun Template Trovato"
"NOTICE","AVVISO"
"Notice","Avviso"
"notice","avviso"
"Notifications","Notifiche"
"Number of Orders","Numero di ordini"
"Number of records:","Numero di record:"
"Number of Uses","Numero di utilizzi"
"Number of Views","Numero di viste"
"OAuth authorization for admin","Autorizzazione OAuth per admin"
"OAuth authorization simple for admin","Autorizzazione OAuth semplice per l'amministratore"
"OAuth Consumers","Consumatori OAuth"
"Old rate:","Vecchio tasso:"
"One or more of the Cache Types are invalidated:","Uno o più tipi di cache sono invalidati:"
"Online Customers","Clienti Online"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Sono disponibili solo attributi con ambito ""Global"", tipo di input ""Dropdown"" e Usa per creare prodotto configurabile ""Sì""."
"Only from same domain","Solo dallo stesso dominio"
"Only mapped fields","Solo campi mappati"
"Only Once (version upgrade)","Solo una volta (aggiornamento versione)"
"Optional","Facoltativo"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Regione facoltativa per i fornitori che la supportano (ad esempio us-east-1 per AWS)"
"Options","Opzioni"
"Options is required","Le opzioni sono richieste"
"Order","Ordine"
"Order #%s","Ordine #%s"
"Order #%s (%s)","Ordine #%s (%s)"
"Order Created Date","Data Creazione Ordine"
"Order ID","Id Ordine"
"Orders","Ordini"
"Order Totals","Totali Ordine"
"Order Updated Date","Data Aggiornamento Ordine"
"Order Updated Date report is real-time, does not need statistics refreshing.","Il report della data aggiornata dell'ordine è in tempo reale, non ha bisogno di aggiornare le statistiche."
"Original Magento attribute names in first row:","Nomi originali degli attributi di Magento nella prima riga:"
"Orphaned API Role Resource","Risorsa Ruolo API Orfano"
"Orphaned API Role Resources","Risorse Ruolo API Orfane"
"Orphaned Resources","Risorse Orfane"
"Orphaned Role Resource","Risorsa Del Ruolo Orfano"
"Orphaned Role Resources","Risorse Del Ruolo Orfano"
"Out of stock","Non disponibile"
"Pages","Pagine"
"Parent Product Thumbnail","Miniatura Prodotto Principale"
"Parent Transaction ID","Id Transazione Genitore"
"Passive mode","Modalità passiva"
"Passkey Active","Passkey Active"
"Passkey Authentication","Autenticazione Della Passkey"
"Passkey credential already registered to another user.","Credenziali di password già registrate su un altro utente."
"Passkey will be deleted upon saving.","La chiave di accesso verrà eliminata al momento del salvataggio."
"Passkey will be registered upon saving.","La chiave di accesso sarà registrata al momento del salvataggio."
"Password","Password"
"Password:","Password,"
"Password Confirmation","Conferma Password"
"Password confirmation must be same as password.","La conferma della password deve essere la stessa della password."
"Password must be at least of %d characters.","La password deve essere almeno di caratteri %d."
"Password must include both numeric and alphabetic characters.","La password deve includere caratteri sia numerici che alfabetici."
"Path:","Percorso:"
"Payment method instance is not available.","L'istanza del metodo di pagamento non è disponibile."
"Payment method is not available.","Il metodo di pagamento non è disponibile."
"Payment method must be specified.","Il metodo di pagamento deve essere specificato."
"Pending Reviews","Recensioni In Attesa"
"Pending Tags","Etichette In Sospeso"
"Percent","Percentuale"
"Performed At","Eseguito Il"
"Period","Periodo"
"Per Item","Per Articolo"
"Permanent (301)","Permanente (301)"
"Permissions","Permessi"
"Per Order","Per Ordine"
"Personal Information","Informazioni Personali"
"Phone:","Telefono:"
"PHP attribute recompilation failed: %s","Ricostruzione attributo PHP non riuscita: %s"
"PHP attributes were recompiled.","Gli attributi PHP sono stati ricompilati."
"Please confirm site switching. All data that hasn't been saved will be lost.","Conferma la modifica del sito. Tutti i dati che non sono stati salvati andranno persi."
"Please enter 6 or more characters.","Inserisci 6 o più caratteri."
"Please enter another credit card number to complete your purchase.","Inserisci un altro numero di carta di credito per completare l'acquisto."
"Please enter a number greater than 0 in this field.","Inserisci un numero maggiore di 0 in questo campo."
"Please enter a valid $ amount. For example $100.00.","Inserisci un importo $ valido. Per esempio $100.00."
"Please enter a valid credit card number.","Inserisci un numero di carta di credito valido."
"Please enter a valid date.","Inserisci una data valida."
"Please enter a valid email.","Inserisci un'email valida."
"Please enter a valid email address. For example johndoe@domain.com.","Inserisci un indirizzo email valido. Per esempio johndoe@domain.com."
"Please enter a valid number in this field.","Inserisci un numero valido in questo campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Inserisci un numero di telefono valido. Per esempio (123) 456-7890 o 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Inserisci un numero di previdenza sociale valido. Per esempio 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Inserisci un URL valido. Per esempio http://www.example.com o www.example.com"
"Please enter a valid URL. http:// is required","Inserisci un URL valido. http:// è richiesto"
"Please enter a valid zip code.","Inserisci un codice postale valido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserisci un codice zip valido. Per esempio 90602 o 90602-1234."
"Please enter valid password.","Inserisci una password valida."
"Please make sure that all global admin search modules are installed and activated.","Assicurarsi che tutti i moduli di ricerca admin globali siano installati e attivati."
"Please make sure that your changes were saved before running the profile.","Assicurarsi che le modifiche siano state salvate prima di eseguire il profilo."
"Please make sure your passwords match.","Assicurati che le password corrispondano."
"Please Select","Seleziona Per Favore"
"Please select a customer.","Seleziona un cliente."
"Please select an option.","Seleziona un'opzione."
"Please select a store.","Seleziona un negozio."
"Please select catalog searches.","Seleziona le ricerche di catalogo."
"Please select customer(s).","Si prega di selezionare (i)."
"Please select one of the above options.","Seleziona una delle opzioni sopra riportate."
"Please select one of the options.","Seleziona una delle opzioni."
"Please select review(s).","Seleziona recensioni."
"Please select State/Province.","Seleziona Stato/Provincia."
"Please select tag(s).","Seleziona tag(i)."
"Please select URL rewrite(s).","Seleziona riscrittura URL."
"Please specify the admin custom URL.","Specifica l'URL personalizzato dell'amministratore."
"Please try to logout and sign in again.","Si prega di provare a disconnettersi e accedere di nuovo."
"Please use in this field only ""a-z,0-9,_"".","Si prega di utilizzare in questo campo solo ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Utilizza solo lettere (a-z) in questo campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Si prega di utilizzare i numeri solo in questo campo. Si prega di evitare spazi o altri caratteri come punti o virgole."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Usa solo lettere (a-z) o numeri (0-9) in questo campo. Non sono ammessi spazi o altri caratteri."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Utilizzare solo lettere (a-z) o numeri (0-9) o spazi e # solo in questo campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Si prega di utilizzare questo formato di data: gg/mm/aaaa. Per esempio 17/03/2006 per il 17 marzo 2006."
"Please wait, loading...","Attendere prego, caricamento..."
"Please wait...","Attendere prego..."
"Please wait while the indexes are being refreshed.","Attendere mentre gli indici sono in fase di aggiornamento."
"Popular","Popolare"
"Position","Posizione"
"Position of Watermark for %s","Posizione della filigrana per %s"
"Pregenerated configurable swatches image files.","Pregenerated configurable swatches image files."
"Pregenerated product images files.","File di immagini di prodotto pregenerati."
"Preview","Anteprima"
"Preview Template","Anteprima Template"
"Price","Prezzo"
"Price:","Prezzo:"
"Price alert subscription was saved.","È stato salvato l'abbonamento all'avviso di prezzo."
"Processed <strong>%s%% %s/%d</strong> records","Processato <strong>%s%% %s/%d</strong> record"
"Processing","Elaborazione"
"Product","Prodotto"
"Product:","Prodotto:"
"Product is not loaded.","Il prodotto non è caricato."
"Product Name","Nome Prodotto"
"Product Reviews","Recensioni Prodotto"
"Products","Prodotti"
"Products Bestsellers Report","Report Prodotti Bestseller"
"Products in Carts","Prodotti nei carrelli"
"Products Most Viewed Report","Report Prodotti Più Visti"
"Products Ordered","Prodotti Ordinati"
"Product Tax Classes","Classi Tasse Prodotto"
"Product Thumbnail Itself","Miniatura Prodotto Stessa"
"Profile Action","Azione Del Profilo"
"Profile Actions XML","Azioni Del Profilo Xml"
"Profile Direction","Direzione Del Profilo"
"Profile History","Cronologia Profilo"
"Profile Information","Informazioni Sul Profilo"
"Profile Name","Nome Del Profilo"
"Profile Payments","Pagamenti Profilo"
"Profiles","Profiles"
"Profile Schedule","Pianificazione Profilo"
"Profile Wizard","Assistente Profilo"
"Promo","Promo"
"Promotions","Promozioni"
"Purchased Item","Articolo Acquistato"
"QR Code","QR Code"
"Quantity","Quantità"
"Queued... Cancel","Accodato... Annulla"
"Queue Refresh","Aggiornamento Coda"
"Radio Buttons","Pulsanti Scelta"
"Rates","Tariffe"
"Read details","Leggi dettagli"
"Rebuild","Ricostruisci"
"Rebuild Catalog Index","Ricostruisci Indice Catalogo"
"Rebuild Flat Catalog Category","Ricostruisci Categoria Catalogo Piatto"
"Rebuild Flat Catalog Product","Ricostruisci Prodotto Catalogo Piatto"
"Recent Orders","Ordini Recenti"
"Recent statistics have been updated.","Statistiche recenti sono state aggiornate."
"Recipient email address","Indirizzo email del destinatario"
"Recompile PHP Attributes","Ricompila Attributi PHP"
"Recurring Profile View","Vista Profilo Ricorrente"
"Redirect","Reindirizzamento"
"Redirect to URL without trailing slash","Reindirizza all'URL senza slash finale"
"Redirect to URL with trailing slash","Reindirizza all'URL con lo slash finale"
"Reference","Riferimento"
"Reference ID","Id Di Riferimento"
"Refresh","Aggiorna"
"Refresh Now*","Aggiorna Ora"
"Refresh Roles","Aggiorna Ruoli"
"Refresh Statistics","Aggiorna Statistiche"
"Region","Regione"
"Region/State","Regione/Stato"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","La registrazione di una chiave di accesso disabilita automaticamente l'autenticazione con password. Per motivi di sicurezza, si consiglia di mantenerla disabilitata, anche se è possibile riattivarla se necessario."
"Register New Passkey","Registra Nuova Passkey"
"Register Passkey","Registra Passkey"
"Regular Price:","Prezzo Regolare:"
"Reject","Rifiuta"
"Rejection Of Authorization","Rifiuto Autorizzazione"
"Reject token authorization for admin","Rifiuta l'autorizzazione token per l'amministratore"
"Reject token authorization Pop Up for admin","Reject token authorization Pop Up for admin"
"Remote FTP","Ftp Remoto"
"Remove","Rimuovi"
"Remove Passkey","Rimuovi Passkey"
"Rename","Rinomina"
"Reports","Relazioni"
"Request Path","Richiedi Percorso"
"Required","Richiesto"
"Reset","Reset"
"Reset a Password","Reimposta una password"
"Reset Filter","Ripristina Filtro"
"Reset Password","Reimposta Password"
"Resource Access","Accesso Alle Risorse"
"Resources","Risorse"
"REST Roles","Ruoli REST"
"Results","Risultati"
"Retrieve Password","Recupera Password"
"Return Html Version","Restituisce Versione HTML"
"Revenue","Entrate"
"Reviews","Recensioni"
"Reviews and Ratings","Recensioni e valutazioni"
"Rewrite Rules","Riscrivi Regole"
"Role ID","Id Ruolo"
"Role Info","Informazioni Ruolo"
"Role Information","Informazioni Sul Ruolo"
"Role Name","Nome Ruolo"
"Role Resources","Risorse Ruolo"
"Roles","Ruoli"
"Roles Resources","Risorse Ruoli"
"Role Users","Ruolo Utenti"
"Root Category","Categoria Root"
"Run","Esegui"
"Running... Kill","Esecuzione... Uccidi"
"Run Profile","Esegui Profilo"
"Run Profile in Popup","Esegui il profilo in popup"
"Sales","Vendite"
"Sales Overview","Panoramica Delle Vendite"
"Sales Report","Report Vendite"
"Samples","Campioni"
"Save","Salva"
"Save & Generate","Salva E Genera"
"Save Account","Salva Account"
"Save and Continue Edit","Salva e continua a modificare"
"Save Block","Salva Blocco"
"Save Cache Settings","Salva Impostazioni Cache"
"Save Config","Salva Configurazione"
"Save Currency Rates","Salva Tassi Di Valuta"
"Save Profile","Salva Profilo"
"Save Role","Salva Ruolo"
"Save Template","Salva Modello"
"Save User","Salva Utente"
"Save Variable","Salva Variabile"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Scansiona questo codice QR con la tua app di autenticazione (Google Authenticator, Authy, ecc.)"
"Search","Cerca"
"Search entire store here...","Cerca qui tutto il negozio..."
"Search Index","Indice Di Ricerca"
"Search Term","Termine Di Ricerca"
"Search Terms","Termini Di Ricerca"
"Select","Seleziona"
"Select All","Seleziona Tutto"
"Select Category","Seleziona Categoria"
"Selected allowed currency ""%s"" is not available in installed currencies.","La valuta selezionata ""%s"" non è disponibile nelle valute installate."
"Selected base currency is not available in installed currencies.","La valuta di base selezionata non è disponibile nelle valute installate."
"Selected default display currency is not available in allowed currencies.","La valuta di visualizzazione predefinita selezionata non è disponibile nelle valute consentite."
"Selected default display currency is not available in installed currencies.","La valuta di visualizzazione predefinita selezionata non è disponibile nelle valute installate."
"Select Range","Seleziona Intervallo"
"Self-assigned roles cannot be deleted.","I ruoli auto-assegnati non possono essere eliminati."
"Send","Invia"
"Sender","Mittente"
"Sending...","Invio..."
"Separate Email","Email Separata"
"Serialized data is incorrect","I dati serializzati sono errati"
"Shipment #%s comment added","Spedizione #%s commento aggiunto"
"Shipment #%s created","Spedizione #%s creata"
"Shipment Comments","Commenti Spedizione"
"Shipment History","Cronologia Spedizioni"
"Shipments","Spedizioni"
"Shipping","Spedizione"
"Shipping Address","Indirizzo Di Spedizione"
"Shipping Address: ","Indirizzo Di Trasporto: "
"Shipping address selection is not applicable","La selezione dell'indirizzo di spedizione non è applicabile"
"Shipping method must be specified.","Il metodo di spedizione deve essere specificato."
"Shipping method selection is not applicable","La selezione del metodo di spedizione non è applicabile"
"Shipping Origin","Origine Di Spedizione"
"Shipping Price","Prezzo Di Spedizione"
"Shopping Cart","Carrello Della spesa"
"Shopping Cart from %s","Carrello da %s"
"Shopping Cart Price Rules","Regole Prezzo Carrello"
"Show By","Mostra Per"
"Show Report For:","Mostra Report Per:"
"Show Reviews","Mostra Recensioni"
"Sitemap Information","Informazioni Sitemap"
"Size for %s","Dimensione per %s"
"Skip Category Selection","Salta Selezione Categoria"
"SKU","SKU"
"SKU:","COD:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alcuni articoli in questo ordine hanno diversi tipi di fattura e spedizione. È possibile creare la spedizione solo dopo che la fattura è stata creata."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Alcuni degli elementi ordinati non esistono più nel catalogo e saranno rimossi se provi a modificare l'ordine."
"Special Price:","Prezzo Speciale:"
"Specific Countries","Paesi Specifici"
"Specified","Specificato"
"Specified profile does not exist.","Il profilo specificato non esiste."
"Spreadsheet Name:","Nome Del Spreadsheet:"
"Start Date","Data Di Inizio"
"Starting profile execution, please wait...","Avvio esecuzione profilo, attendere prego..."
"State/Province:","Stato/Provincia:"
"Static Blocks","Blocchi Statici"
"Status","Stato"
"Status:","Stato:"
"Stock notification was saved.","Notifica stock salvata."
"Stock Quantity:","Quantità Di Magazzino:"
"Store","Negozio"
"store(%s) scope","Ambito di archiviazione (%s)"
"Store:","Negozio:"
"Stores","Negozi"
"Store View","Vista Negozio"
"Subject","Oggetto"
"Submit","Invia"
"Subtotal","Subtotale"
"successful","riuscito"
"Switch/Solo/Maestro Only","Solo Switch/Solo/Maestro"
"System","Sistema"
"System busy","Sistema occupato"
"Tags","Etichette"
"Target Path","Percorso Destinazione"
"Tax","Tasse"
"Template","Modello"
"Template Content","Contenuto Template"
"Template Information","Informazioni Modello"
"Template Name","Nome Modello"
"Template Styles","Template Styles"
"Template Subject","Oggetto Template"
"Template Type","Tipo Di Modello"
"Temporary (302)","Temporaneo (302)"
"Terms and Conditions","Termini e condizioni"
"Test email sent successfully to %s.","Email di prova inviata con successo a %s."
"Test Email Settings","Impostazioni Email Di Prova"
"Text","Testo"
"The account has been saved.","L'account è stato salvato."
"The attribute set has been removed.","Il set di attributi è stato rimosso."
"The billing agreement has been canceled.","L'accordo di fatturazione è stato annullato."
"The billing agreement has been deleted.","L'accordo di fatturazione è stato cancellato."
"The block has been saved.","Il blocco è stato salvato."
"The cache storage has been flushed.","La cache storage è stata risciacquata."
"The carrier needs to be specified.","Il corriere deve essere specificato."
"The catalog index has been rebuilt.","L'indice del catalogo è stato ricostruito."
"The CatalogInventory Stock Status has been rebuilt.","Lo stato delle scorte di inventario è stato ricostruito."
"The catalog rewrites have been refreshed.","Le riscritture del catalogo sono state aggiornate."
"The Catalog Rewrites were refreshed.","Le riscritture del catalogo sono state aggiornate."
"The Comment Text field cannot be empty.","Il campo Testo commento non può essere vuoto."
"The configurable swatches image cache was cleaned.","La cache delle immagini configurabili è stata pulita."
"The configuration has been saved.","La configurazione è stata salvata."
"The credit memo has been canceled.","La nota di credito è stata annullata."
"The credit memo has been created.","La nota di credito è stata creata."
"The credit memo has been voided.","La nota di credito è stata annullata."
"The credit memo no longer exists.","La nota di credito non esiste più."
" The customer does not exist in the system anymore."," Il cliente non esiste più nel sistema."
"The customer has been deleted.","Il cliente è stato cancellato."
"The customer has been saved.","Il cliente è stato salvato."
"The custom variable has been deleted.","La variabile personalizzata è stata eliminata."
"The custom variable has been saved.","La variabile personalizzata è stata salvata."
"The design change has been deleted.","La modifica del design è stata eliminata."
"The design change has been saved.","La modifica del design è stata salvata."
"The email address has been updated successfully.","L'indirizzo email è stato aggiornato correttamente."
"The email address is empty.","L'indirizzo email è vuoto."
"The email template has been deleted.","Il modello di email è stato eliminato."
"The email template has been saved.","Il modello di email è stato salvato."
"The flat catalog category has been rebuilt.","La categoria catalogo piatto è stata ricostruita."
"The Flat Catalog Product was rebuilt","Il Catalogo Flat Product è stato ricostruito"
"The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Le seguenti risorse di ruolo API non sono più disponibili nel sistema: %s. È possibile eliminarle da <a href=""%s"">cliccando qui</a>."
"The following role resource(s) are not orphaned: %s","Le seguenti risorse ruolo non sono orfane: %s"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Le seguenti risorse di ruolo non sono più disponibili nel sistema: %s. È possibile eliminarle da <a href=""%s"">cliccando qui</a>."
"The group node name must be specified with field node name.","Il nome del nodo del gruppo deve essere specificato con il nome del nodo del campo."
"The image cache was cleaned.","La cache dell'immagine è stata pulita."
"The image cache was cleared.","La cache delle immagini è stata cancellata."
"The invoice and shipment have been created.","La fattura e la spedizione sono state create."
"The invoice has been canceled.","La fattura è stata annullata."
"The invoice has been captured.","La fattura è stata acquisita."
"The invoice has been created.","La fattura è stata creata."
"The invoice has been voided.","La fattura è stata annullata."
"The invoice no longer exists.","La fattura non esiste più."
"The item %s (SKU %s) does not exist in the catalog anymore.","L'elemento %s (SKU %s) non esiste più nel catalogo."
"The Layered Navigation indexing has been queued.","L'indicizzazione di navigazione a livelli è stata accodata."
"The Layered Navigation indexing queue has been canceled.","La coda di indicizzazione di navigazione a livelli è stata annullata."
"The Layered Navigation indices were refreshed.","Gli indici di navigazione a strati sono stati aggiornati."
"The Layered Navigation process has been queued to be killed.","Il processo di navigazione a strati è stato messo in coda per essere ucciso."
"The Maho cache has been flushed and updates applied.","La cache di Maho è stata risciacquata e gli aggiornamenti applicati."
"The minified CSS/JS cache was cleaned.","La cache CSS/JS minificata è stata pulita."
"The order does not allow creating an invoice.","L'ordine non consente di creare una fattura."
"The order no longer exists.","L'ordine non esiste più."
"The profile has been deleted.","Il profilo è stato eliminato."
"The profile has been saved.","Il profilo è stato salvato."
"The profile has been updated.","Il profilo è stato aggiornato."
"The profile has no changes.","Il profilo non ha modifiche."
"The profile you are trying to save no longer exists","Il profilo che stai cercando di salvare non esiste più"
"The rating has been deleted.","Il voto è stato cancellato."
"The rating has been saved.","La valutazione è stata salvata."
"There is an error in one of the option rows.","C'è un errore in una delle righe dell'opzione."
"The role has been deleted.","Il ruolo è stato eliminato."
"The role has been saved.","Il ruolo è stato salvato."
"The role has been successfully saved.","Il ruolo è stato salvato con successo."
"The roles have been refreshed.","I ruoli sono stati aggiornati."
"The search index has been rebuilt.","L'indice di ricerca è stato ricostruito."
"The shipment has been created.","La spedizione è stata creata."
"The shipment has been sent.","La spedizione è stata inviata."
"The shipment no longer exists.","La spedizione non esiste più."
"The shipping label has been created.","L'etichetta di spedizione è stata creata."
"The Special Price is active only when lower than the Actual Price.","Il prezzo speciale è attivo solo quando è inferiore al prezzo effettivo."
"The tag has been deleted.","Il tag è stato eliminato."
"The tag has been saved.","Il tag è stato salvato."
"The transaction details have been updated.","I dettagli della transazione sono stati aggiornati."
"The URL Rewrite has been deleted.","L'URL Rewrite è stato eliminato."
"The URL Rewrite has been saved.","L'URL Rewrite è stato salvato."
"The user has been deleted.","L'utente è stato eliminato."
"The user has been saved.","L'utente è stato salvato."
"The variable has been saved.","La variabile è stata salvata."
"This Account is","Questo account è"
"This account is","Questo account è"
"This account is inactive.","Questo account è inattivo."
"This attribute set does not have attributes which we can use for configurable product","Questo set di attributi non ha attributi che possiamo usare per il prodotto configurabile"
"This block no longer exists.","Questo blocco non esiste più."
"This Email template no longer exists.","Questo template email non esiste più."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Questo è un negozio demo. Qualsiasi ordine effettuato attraverso questo negozio non sarà onorato o eseguito."
"This is a required field.","Questo è un campo obbligatorio."
"This is a test email from Maho admin.","Questa è un'email di prova dall'amministratore di Maho."
"This product is currently disabled.","Questo prodotto è attualmente disabilitato."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Questo report dipende dalla configurazione del fuso orario. Una volta che il fuso orario è cambiato, le statistiche di vita devono essere aggiornate."
"This Role no longer exists","Questo ruolo non esiste più"
"This Role no longer exists.","Questo ruolo non esiste più."
"This section is not allowed.","Questa sezione non è consentita."
"This user no longer exists.","Questo utente non esiste più."
"This variable no longer exists.","Questa variabile non esiste più."
"Time","Tempo"
"To","A"
"to","a"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Per annullare le autorizzazioni in sospeso e gli importi di rilascio che sono già stati elaborati durante questo pagamento, fare clic su Annulla."
"Tools","Strumenti"
"Top 5 Search Terms","Top 5 Termini Di Ricerca"
"Total","Totale"
"Total Invoiced","Totale Fatturato"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Totale di %d record(s) sono stati aggiornati."
"Total of %d record(s) were deleted","Total of %d record(s) were deleted"
"Total of %d record(s) were deleted.","Totale dei record %d sono stati eliminati."
"Total of %d record(s) were updated","Totale dei record di %d sono stati aggiornati"
"Total of %d record(s) were updated.","Totale dei record %d sono stati aggiornati."
"Total of %d URL rewrite(s) have been deleted.","Totale di riscrittura URL %d sono stati eliminati."
"Total Order Amount","Importo Totale Ordine"
"Total Refunded","Totale Rimborsato"
"Tracking number %s for %s assigned","Numero di tracciamento %s per %s assegnato"
"Tracking number cannot be empty.","Il numero di tracciamento non può essere vuoto."
"Track Order","Traccia Ordine"
"Track this shipment","Traccia questa spedizione"
"Trailing Slash Behavior","Trailing Slash Comportamento"
"Transactional Emails","Email Transazionali"
"Transaction Data","Dati Transazione"
"Transaction Details","Dettagli Transazione"
"Transaction ID","Id Transazione"
"Transactions","Transazioni"
"Transaction Type","Tipo Di Transazione"
"Two-Factor Authentication","Autenticazione A Due Fattori"
"Type","Tipo"
"Type:","Tipo:"
"Unable to cancel the credit memo.","Impossibile annullare la nota di credito."
"Unable to find a block to delete.","Impossibile trovare un blocco da eliminare."
"Unable to find a Email Template to delete.","Impossibile trovare un modello di posta elettronica da eliminare."
"Unable to find a tag to delete.","Impossibile trovare un tag da eliminare."
"Unable to find a user to delete.","Impossibile trovare un utente da eliminare."
"Unable to find a variable to delete.","Impossibile trovare una variabile da eliminare."
"Unable to initialize import model","Impossibile inizializzare il modello di importazione"
"Unable to refresh lifetime statistics.","Impossibile aggiornare le statistiche di vita."
"Unable to refresh recent statistics.","Impossibile aggiornare le statistiche recenti."
"Unable to save the cron expression.","Impossibile salvare l'espressione cron."
"Unable to save the invoice.","Impossibile salvare la fattura."
"Unable to send the invoice email.","Impossibile inviare l'email della fattura."
"Unable to send the shipment email.","Impossibile inviare l'email di spedizione."
"Unable to update transaction details.","Impossibile aggiornare i dettagli della transazione."
"Unable to void the credit memo.","Impossibile annullare la nota di credito."
"Unknown","Sconosciuto"
"Unlimited","Illimitato"
"Update","Aggiorna"
"Updated At","Aggiornato Il"
"Uploaded file is larger than %.2f kilobytes allowed by server","Il file caricato è più grande di %.2f kilobyte consentiti dal server"
"Upload File","Carica File"
"Upload Files","Carica File"
"URL Rewrite","URL Rewrite"
"URL Rewrite Information","URL Rewrite Informazioni"
"URL Rewrite Management","URL Rewrite Management"
"Use All Available Attributes","Usa Tutti Gli Attributi Disponibili"
"Use Config Settings","Usa Impostazioni Di Configurazione"
"Used as Default For","Usato come predefinito per"
"Used Currently For","Usato Attualmente Per"
"Use Default","Usa Predefinito"
"Use Default Value","Usa Valore Predefinito"
"Use Default Variable Values","Usa Valori Variabili Predefiniti"
"User Email","Email Utente"
"User ID","Id Utente"
"User Info","Informazioni Utente"
"User Information","Informazioni Utente"
"User Name","Nome Utente"
