"# of Use","# di Utilizzo"
"%1$s incl tax.","%1$s tasse incluse."
"%s-%s of %s","%s-%s di %s"
"%s and above","%s e oltre"
"%s Item(s)","%s Articolo(i)"
"Please specify time required option <em>%s</em>.","Si prega di specificare il tempo richiesto opzione <em>%s</em>."
"Please wait...","Attendere prego..."
"Position","Posizione"
"Position in Layered Navigation","Posizione nella navigazione a livelli"
"Position of attribute in layered navigation block","Posizione dell'attributo nel blocco di navigazione a livelli"
"Prev","Precedente"
"Prevents indexing of pages after the first page (p > 1).","Previene l'indicizzazione delle pagine dopo la prima pagina (p > 1)."
"Prevents indexing of pages with active filters to avoid duplicate content.","Impedisce l'indicizzazione delle pagine con filtri attivi per evitare contenuti duplicati."
"Previous","Precedente"
"Price","Prezzo"
"Price:","Prezzo:"
"Price: %s","Prezzo: %s"
"Price Navigation Step Calculation","Calcolo Fase Di Navigazione Prezzo"
"Price Type","Tipo Di Prezzo"
"Price values for options should be specified in system base currency.","I valori dei prezzi per le opzioni dovrebbero essere specificati nella valuta di base del sistema."
"Product","Prodotto"
"Product Alerts","Avvisi Prodotto"
"Product API","API Prodotto"
"Product Attribute","Attributo Prodotto"
"Product Attributes","Attributi Prodotto"
"Product attributes API","Attributi prodotto API"
"Product attribute sets API","Attributo prodotto imposta API"
"Product Categories","Categorie Di Prodotti"
"Product collection expected.","Collezione di prodotti prevista."
"Product Extra Info","Informazioni Extra Prodotto"
"Product Flat Data","Dati Flat Prodotto"
"Product ID","Id Prodotto"
"Product Image","Immagine Prodotto"
"Product Image Placeholders","Segnaposto Immagine Prodotto"
"Product Images","Immagini Del Prodotto"
"Product Images API","API Immagini Prodotto"
"Product Image Watermarks","Filigrane Immagine Prodotto"
"Product Info Column","Colonna Info Prodotto"
"Product Information","Informazioni Sul Prodotto"
"Product In Websites","Prodotto Nei Siti Web"
"Product is not loaded","Il prodotto non è caricato"
"Product Link Block Template","Modello Blocco Link Prodotto"
"Product Link Inline Template","Template Inline Link Prodotto"
"Product links API (related, cross sells, up sells)","Link prodotto API (relativo, cross sells, up sells)"
"Product Listing Sort by","Lista prodotti Ordina per"
"Product Name","Nome Prodotto"
"Product Prices","Prezzi Prodotto"
"Product Reviews","Recensioni Prodotto"
"Products","Prodotti"
"products","prodotti"
"Products Comparison List","Elenco Confronto Prodotti"
"Products count","Conteggio prodotti"
"Products Information","Informazioni Prodotti"
"Products only","Solo prodotti"
"Products per Page on Grid Allowed Values","Prodotti per pagina sui valori consentiti della griglia"
"Products per Page on Grid Default Value","Prodotti per pagina sul valore predefinito della griglia"
"Products per Page on List Allowed Values","Prodotti per pagina nella lista valori consentiti"
"Products per Page on List Default Value","Prodotti per pagina sulla lista Valore predefinito"
"Products Reviews","Recensioni Prodotti"
"Products Sitemap","Sitemap Prodotti"
"Product Tags","Tag Prodotto"
"Product Tier Price API","Product Tier Price API"
"Product Type","Tipo Di Prodotto"
"Product types API","Tipi di prodotto API"
"Product URL Suffix","Suffisso Url Prodotto"
"Product View Extra Hint","Visualizza Prodotto Suggerimento Extra"
"Product with this combination of attributes already associated to configurable.","Prodotto con questa combinazione di attributi già associati a configurabile."
"Properties","Proprietà"
"px.","px."
"Qty","Qtà"
"Qty:","Qtà:"
"Qty for Item's Status to Become Out of Stock","Qtà per lo stato dell'oggetto per diventare esaurito"
"Qty Increments","Incrementi Qtà"
"Qty Uses Decimals","Qtà Usa Decimali"
"Quantity","Quantità"
"Quick Create","Creazione Veloce"
"Quick simple product creation","Creazione rapida e semplice del prodotto"
"Records for ""%s"" store found.","Records for ""%s"" store trovato."
"Redirect","Reindirizzamento"
"Redirect URL","Reindirizza URL"
"Regular Price:","Prezzo Regolare:"
"Related Products","Prodotti Correlati"
"Remove","Rimuovi"
"Remove attribute from attribute set","Rimuovi attributo dal set di attributi"
"Remove attribute set","Rimuovi set di attributi"
"Remove custom option","Rimuovi opzione personalizzata"
"Remove filter: %s","Rimuovi filtro: %s"
"Remove group from attribute set","Rimuovi gruppo dal set di attributi"
"Remove option","Rimuovi opzione"
"Remove product assignment","Rimuovi assegnazione prodotto"
"Remove Product From Websites","Rimuovi Prodotto Da Siti Web"
"Remove product image","Rimuovi immagine prodotto"
"Remove product link","Rimuovi link prodotto"
"Remove value from custom option","Rimuovi valore dall'opzione personalizzata"
"Rename existing group","Rinomina gruppo esistente"
"Rename group","Rinomina gruppo"
"Reorganize EAV category structure to flat structure","Riorganizza la struttura della categoria EAV a struttura piatta"
"Reorganize EAV product structure to flat structure","Riorganizzare la struttura del prodotto EAV a struttura piatta"
"Reset","Reset"
"Results","Risultati"
"Results per page","Risultati per pagina"
"Retrieve attribute data","Recupera dati attributi"
"Retrieve attribute list","Recupera lista attributi"
"Retrieve attribute options","Recupera opzioni attributo"
"Retrieve categories tree","Recupera albero categorie"
"Retrieve category attributes","Recupera attributi categoria"
"Retrieve category data","Recupera dati categoria"
"Retrieve hierarchical tree","Recupera albero gerarchico"
"Retrieve linked products","Recupera prodotti collegati"
"Retrieve list of assigned products","Recupera la lista dei prodotti assegnati"
"Retrieve list of option values","Recupera l'elenco dei valori delle opzioni"
"Retrieve list of product custom options","Recupera l'elenco delle opzioni personalizzate del prodotto"
"Retrieve one level of categories by website/store view/parent category","Recupera un livello di categorie per sito web/store view/parent category"
"Retrieve option value info","Recupera informazioni valore opzione"
"Retrieve product","Recupera prodotto"
"Retrieve product attribute sets","Recupera set di attributi prodotto"
"Retrieve product image","Recupera immagine prodotto"
"Retrieve product image list","Recupera elenco immagini prodotto"
"Retrieve product image types","Recupera i tipi di immagine prodotto"
"Retrieve product link type attributes","Recupera attributi tipo link prodotto"
"Retrieve product link types","Recupera tipi di link prodotto"
"Retrieve products data","Recupera dati prodotti"
"Retrieve products list by filters","Recupera l'elenco dei prodotti per filtri"
"Retrieve product tier prices","Recupera i prezzi di livello del prodotto"
"Retrieve product types","Recupera tipi di prodotto"
"Reviews","Recensioni"
"Roll Over for preview","Roll Over per l'anteprima"
"Root","Root"
"Save","Salva"
"save","salva"
"Save and Continue Edit","Salva e continua a modificare"
"Save Attribute","Salva Attributo"
"Save Attribute Set","Salva Set Attributi"
"Save Category","Salva Categoria"
"Saved %d record(s)","%d record salvati"
"Save Search","Salva Ricerca"
"Scope","Ambito"
"Scope must not be changed, because the attribute is used in configurable products.","L'ambito di applicazione non deve essere modificato, perché l'attributo è utilizzato in prodotti configurabili."
"Search","Cerca"
"Searchable","Ricercabile"
"Search Engine Optimizations","Ottimizzazioni Motori Di Ricerca"
"Search Information","Cerca Informazioni"
"Search Query","Query Di Ricerca"
"Search Term with such search query already exists.","Il termine di ricerca con tale query di ricerca esiste già."
"See price before order confirmation.","Vedi il prezzo prima della conferma dell'ordine."
"select all","seleziona tutto"
"Select Category...","Seleziona Categoria..."
"Select Configurable Attributes ","Seleziona Attributi Configurabili "
"Selected Product Types","Tipi Di Prodotto Selezionati"
"Select Product...","Seleziona Prodotto..."
"Select type of option","Seleziona il tipo di opzione"
"Select type options required values rows.","Seleziona le opzioni di tipo righe di valori richieste."
"Send Count","Invia Contatore"
"Set/Get current store view","Imposta/Ottieni la vista corrente del negozio"
"Set Ascending Direction","Imposta Direzione Crescente"
"Set Descending Direction","Imposta Direzione Decrescente"
"Set Name","Imposta Nome"
"Set Root Category for Store","Imposta la categoria Root per il negozio"
"Set root category for this store in the <a href=""%s"">configuration</a>","Imposta la categoria principale per questo negozio nella configurazione <a href=""%s""></a>"
"Set special price","Imposta il prezzo speciale"
"Settings","Impostazioni"
"Show","Mostra"
"Show count","Mostra contatore"
"Show Details","Mostra Dettagli"
"Show ID","Mostra Id"
"Show Tags","Mostra Etichette"
"Signals crawlers not to prioritize filter combination URLs.","Segnali crawler per non dare la priorità agli URL combinati filtri."
"Simple","Semplice"
"Site Map","Mappa Del Sito"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Salta riga di importazione, non è valore valido ""%s"" per il campo ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Salta riga di importazione, campo obbligatorio ""%s"" per il nuovo cliente non è definito."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Salta la riga di importazione, il valore ""%s"" non è valido per il campo ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Saltando la riga di importazione, il campo richiesto ""%s"" per i nuovi prodotti non è definito."
"Skipping import row, required field ""%s"" is not defined.","Saltando la riga di importazione, il campo richiesto ""%s"" non è definito."
"Skipping import row, store ""%s"" field does not exist.","Saltando la riga di importazione, memorizza il campo ""%s"" non esiste."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Saltando la riga di importazione, il valore ""%s"" non è valido per il campo ""%s""."
"SKU","SKU"
"SKU length should be %s characters maximum.","La lunghezza SKU deve essere massima di caratteri %s."
"Small Image Width","Larghezza Immagine Piccola"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Alcuni dei prodotti trasformati non hanno un valore SKU definito. Si prega di compilarlo prima di eseguire le operazioni su questi prodotti."
"Some of the selected item options are not currently available.","Alcune delle opzioni degli elementi selezionati non sono attualmente disponibili."
"Sort By","Ordina Per"
"Sort Order","Ordina"
"Special Expires On: %s","Scade Il: %s"
"Special Price:","Prezzo Speciale:"
"Special Price: %s","Prezzo Speciale: %s"
"Static","Statico"
"Static block and products","Blocco statico e prodotti"
"Static block only","Solo blocco statico"
"Status","Stato"
"Stock Availability","Disponibilità Stock"
"Store","Negozio"
"Store View","Vista Negozio"
"Stretch","Allungamento"
"Subscribe to RSS Feed","Iscriviti al feed RSS"
"Super product attributes configuration","Configurazione degli attributi super prodotto"
"Synonym For","Sinonimo Di"
"System Properties","Proprietà Di Sistema"
"Tag Name","Nome Tag"
"Tax","Tasse"
"Template","Modello"
"Text","Testo"
"The attribute code '%s' is reserved by system. Please try another attribute code","Il codice attributo '%s' è riservato dal sistema. Si prega di provare un altro codice attributo"
"The attribute model is not defined","Il modello di attributo non è definito"
"The attribute set has been saved.","Il set di attributi è stato salvato."
"The base directory to upload file is not specified.","La directory di base per caricare il file non è specificata."
"The category has been deleted.","La categoria è stata eliminata."
"The category has been saved.","La categoria è stata salvata."
"The comparison list was cleared.","La lista di confronto è stata cancellata."
"The file was only partially uploaded. Please try again.","Il file è stato caricato solo parzialmente. Riprova."
"The file you uploaded is larger than %s Megabytes allowed by server","Il file caricato è più grande di %s Megabyte consentito dal server"
"The filters must be an array.","I filtri devono essere un array."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Il modulo Catalogo piatto ha un limite di attributi filtrabili e/o ordinabili di %2$d . Attualmente ci sono %1$d di loro. Si prega di ridurre il numero di attributi filtrabili/ordinabili per utilizzare questo modulo"
"The following file extensions are not allowed for security reasons: %s","Le seguenti estensioni di file non sono consentite per motivi di sicurezza: %s"
"The From Date value should be less than or equal to the To Date value.","Il valore Da data deve essere minore o uguale al valore A data."
"The image contents is not valid base64 data.","I contenuti dell'immagine non sono dati base64 validi."
"The image is not specified.","L'immagine non è specificata."
"The model collection resource name is not defined.","Il nome della risorsa della collezione del modello non è definito."
"The product %s has been added to comparison list.","Il prodotto %s è stato aggiunto alla lista di confronto."
"The product %s has been removed from comparison list.","Il prodotto %s è stato rimosso dalla lista di confronto."
"The product attribute has been deleted.","L'attributo prodotto è stato eliminato."
"The product attribute has been saved.","L'attributo prodotto è stato salvato."
"The product has been created.","Il prodotto è stato creato."
"The product has been deleted.","Il prodotto è stato eliminato."
"The product has been duplicated.","Il prodotto è stato duplicato."
"The product has been saved.","Il prodotto è stato salvato."
"The product has required options","Il prodotto ha le opzioni richieste"
"There are no %s available.","Non ci sono %s disponibili."
"There are no customers for this alert","Non ci sono clienti per questo avviso"
"There are no customers for this alert.","Non ci sono clienti per questo avviso."
"There are no products matching the selection.","Non ci sono prodotti corrispondenti alla selezione."
"The review has been deleted","La recensione è stata cancellata"
"The review has been saved.","La recensione è stata salvata."
"The review was removed by another user or does not exist.","La recensione è stata rimossa da un altro utente o non esiste."
"There was an error while request processing.","Si è verificato un errore durante l'elaborazione delle richieste."
"The search was deleted.","La ricerca è stata eliminata."
"The text is too long","Il testo è troppo lungo"
"This attribute cannot be deleted.","Questo attributo non può essere eliminato."
"This attribute cannot be edited.","Questo attributo non può essere modificato."
"This attribute cannot be updated.","Questo attributo non può essere aggiornato."
"This attribute is used in configurable products.","Questo attributo è usato nei prodotti configurabili."
"This Attribute no longer exists","Questo attributo non esiste più"
"This attribute no longer exists","Questo attributo non esiste più"
"This attribute set no longer exists.","Questo set di attributi non esiste più."
"This category no longer exists.","Questa categoria non esiste più."
"This is a required option","Questa è un'opzione obbligatoria"
"This product no longer exists.","Questo prodotto non esiste più."
"This search no longer exists.","Questa ricerca non esiste più."
"This setting will be applied when all prices in the specific price interval are equal.","Questa impostazione verrà applicata quando tutti i prezzi nello specifico intervallo di prezzo sono uguali."
"Thumbnail","Thumbnail"
"Tier Pricing","Prezzi Di Livello"
"Tile","Piastrelle"
"Title","Titolo"
"To","A"
"Top/Left","Alto/Sinistra"
"Top/Right","Alto/Destra"
"To reindex the enabled product(s), the store or product must be specified","Per reindicizzare i prodotti abilitati, il negozio o il prodotto devono essere specificati"
"To see product price, add this item to your cart. You can always remove it later.","Per vedere il prezzo del prodotto, aggiungi questo articolo al tuo carrello. Puoi sempre rimuoverlo più tardi."
"Total incl. Tax: %1$s","Totale tasse incluse: %1$s"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Totale di %d record(s) sono stati aggiornati."
"Total of %d record(s) were updated","Totale dei record di %d sono stati aggiornati"
"Type","Tipo"
"Unable to complete this request.","Impossibile completare questa richiesta."
"Unable to find an attribute to delete.","Impossibile trovare un attributo da eliminare."
"Unable to find a search term to delete.","Impossibile trovare un termine di ricerca da eliminare."
"Unable to get the product ID.","Impossibile ottenere l'ID prodotto."
"Unassigned Attributes","Attributi Non Assegnati"
"Unknown EAV indexer type ""%s"".","Tipo di indicizzatore EAV sconosciuto ""%s""."
"unselect all","deseleziona tutto"
"Unsupported product type ""%s"".","Tipo di prodotto non supportato ""%s""."
"Up-sells","Up-sells"
"Update","Aggiorna"
"Update assigned product","Aggiorna prodotto assegnato"
"Update attribute","Aggiorna attributo"
"Update Attributes","Aggiorna Attributi"
"Update attributes","Aggiorna gli attributi"
"Update category","Aggiorna categoria"
"Update custom option of product","Aggiorna l'opzione personalizzata del prodotto"
"Update product","Aggiorna prodotto"
"Update product image","Aggiorna immagine prodotto"
"Update product link","Aggiorna link prodotto"
"Update product tier prices","Aggiorna i prezzi di livello del prodotto"
"Update Tier Price","Aggiorna Prezzo Di Livello"
"Update value of custom option","Aggiorna il valore dell'opzione personalizzata"
"Upload new product image ","Carica una nuova immagine del prodotto "
"URL Rewrite Management","URL Rewrite Management"
"Use Canonical Link Meta Tag For Categories","Usa Link Canonico Meta Tag Per Categorie"
"Use Canonical Link Meta Tag For Products","Utilizzare Canonical Link Meta Tag Per Prodotti"
"Use Categories Path for Product URLs","Usa percorso categorie per URL prodotto"
"Use config","Usa configurazione"
"Use Config Settings","Usa Impostazioni Di Configurazione"
"Use default","Usa predefinito"
"Use Default Value","Usa Valore Predefinito"
"Used for Sorting in Product Listing","Utilizzato per l'ordinamento nella lista prodotti"
"Used in Product Listing","Utilizzato nella lista prodotti"
"Used to fill the frame when Keep Frame is enabled","Usato per riempire il riquadro quando Mantieni il riquadro è abilitato"
"Use Flat Catalog Category","Usa Categoria Catalogo Piatto"
"Use Flat Catalog Product","Usa Prodotto Catalogo Piatto"
"Use for Promo Rule Conditions","Usa per le Condizioni Regola Promozionale"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Usa il formato anno a quattro cifre. Usato per gli attributi min/max sugli input nativi della data."
"Use in Advanced Search","Usa nella ricerca avanzata"
"Use In Layered Navigation","Usa Nella Navigazione A Livelli"
"Use in Layered Navigation","Usa nella navigazione a livelli"
"Use in Layered Navigation<br>(Can be used only with catalog input type 'Dropdown')","Usa nella navigazione a strati<br>(Può essere usato solo con il tipo di input del catalogo 'Dropdown')"
"Use in Quick Search","Usa in Ricerca Rapida"
"Use In Search Results Layered Navigation","Usa In Risultati Di Ricerca Navigazione A Livelli"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Usa URL statici per contenuti multimediali in WYSIWYG per il catalogo"
"Use To Create Configurable Product","Usa Per Creare Prodotto Configurabile"
"Use Tree Like Category Sitemap","Usa L'Albero Come Categoria Sitemap"
"Value for ""%s"" is invalid.","Il valore per ""%s"" non è valido."
"Value for ""%s"" is invalid: %s","Il valore per ""%s"" non è valido: %s"
"Varchar","Varchar"
"View All Products","Visualizza Tutti I Prodotti"
"View as","Visualizza come"
"View Details","Visualizza Dettagli"
"View image %s","Visualizza immagine %s"
"Virtual","Virtuale"
"Visibility","Visibilità"
"Visible","Visibile"
"Visible on Catalog Pages on Front-end","Visibile sulle pagine del catalogo sul front-end"
"Visible on Product View Page on Front-end","Visibile nella pagina di visualizzazione dei prodotti sul front-end"
"Watermark","Filigrana"
"Watermark Opacity, Percent","Opacità Filigrana, Percentuale"
"Watermark Position","Posizione Filigrana"
"Website","Sito"
"Websites","Siti Web"
"What's this?","Cos'è questo?"
"When enabled, associated products are automatically recalculated when reindex runs.","Se abilitata, i prodotti associati vengono ricalcolati automaticamente quando viene eseguito un reindicizzato."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Indica se mostrare l'opzione ""Tutto"" nel menu a discesa ""Mostra X Per Page""."
"Will make search for the query above return results for this search.","Farà ricerca per la query sopra restituisce i risultati di questa ricerca."
"Wrong BuyRequest instance in options group.","Istanza BuyRequest errata nel gruppo di opzioni."
"Wrong configuration item instance in options group.","istanza dell'elemento di configurazione errata nel gruppo di opzioni."
"Wrong configuration item option instance in options group.","istanza di opzione elemento di configurazione errata nel gruppo di opzioni."
"Wrong option instance type in options group.","Tipo di istanza di opzione errato nel gruppo di opzioni."
"Wrong option type to get group instance.","Tipo di opzione errato per ottenere l'istanza di gruppo."
"Wrong product instance type in options group.","Tipo di istanza di prodotto errato nel gruppo di opzioni."
"Wrong product type filter specified","Filtro del tipo di prodotto specificato errato"
"Wrong product type to extract configurable options.","Tipo di prodotto errato per estrarre le opzioni configurabili."
"WYSIWYG Editor","WYSIWYG Editor"
"x","x"
"Year Range","Intervallo Anno"
"Yes","Sì"
"Yes, with images","Sì, con immagini"
"You have no items to compare.","Non hai oggetti da confrontare."
"You may also be interested in the following product(s)","Puoi anche essere interessato ai seguenti prodotti"
"You saved the search term.","Hai salvato il termine di ricerca."
