"%d product(s) were updated","%d produto(s) foram atualizados"
"%s (Default Template from Locale)","%s (Modelo Padrão do Local)"
"%s cache type(s) disabled.","Tipo(s) de cache %s desativado."
"%s cache type(s) enabled.","Tipo(s) de cache %s habilitado."
"%s cache type(s) refreshed.","Tipo de cache %s atualizado."
"New Accounts","Novas Contas"
"New API Key","Nova chave de API"
"New Attribute","Novo Atributo"
"New Block","Novo Bloco"
"New block","Novo bloco"
"New Category","Adicionar categoria"
"New Class","Nova Classe"
"New Condition","Nova Condição"
"New Customer","Novo Cliente"
"New Customers","Novos Clientes"
"New Custom Variable","Nova Variável Personalizada"
"New Design Change","Nova Alteração de Design"
"New Email Template","Novo Modelo de Email"
"New Group","Novo Grupo"
"New Invoice","Nova fatura"
"New Memo","Novo memorando"
"New Memo for #%s","Novo memorando para #%s"
"New Page","Nova Página"
"New Password","Nova Palavra-Passe"
"New Password Confirmation","Confirmação da Nova Senha"
"New password field cannot be empty.","Campo de nova senha não pode estar vazio."
"New Profile","Novo Perfil"
"New Rate","Nova taxa"
"New Rating","Nova avaliação"
"New Review","Nova Revisão"
"New Role","Nova Permissão"
"New Rule","Nova Regra"
"New Search","Nova Busca"
"New Set","Novo Conjunto"
"New Shipment","Nova remessa"
"New Sitemap","Novo Sitemap"
"Newsletter","Boletim"
"Newsletter Problems","Problemas de Newsletter"
"Newsletter Queue","Fila de Newsletter"
"Newsletter Subscribers","Assinantes da Newsletter"
"Newsletter Templates","Modelos de Newsletter"
"New Store View","Nova Visão de Loja"
"New System Template","Novo Modelo de Sistema"
"New Tag","Nova Etiqueta"
"New Template","Novo Modelo"
"New User","Novo Usuário"
"New Variable","Nova Variável"
"New Website","Novo site"
"No","Não"
"No (price without tax)","Não (preço sem imposto)"
"No change","Nenhuma mudança"
"No customer id defined.","Nenhum ID de cliente definido."
"No Data Found","Nenhum dado encontrado"
"No information available.","Nenhuma informação disponível."
"None","Nenhuma"
"No Passkey Created","Nenhuma senha criada"
"No profile loaded...","Nenhum perfil carregado..."
"No records found.","Nenhum registro encontrado."
"No records found for this period.","Nenhum registro encontrado para este período."
"No report code specified.","Nenhum código de relatório especificado."
"No search keywords.","Nenhuma palavra-chave de busca."
"No search modules were registered","Nenhum módulo de pesquisa registrado"
"Not allowed","Não permitido"
"Not authenticated","Não autenticado"
"Note:","Nota:"
"No Templates Found","Nenhum modelo foi encontrado"
"NOTICE","NOTA"
"Notice","Observação"
"notice","(aviso)"
"Notifications","notificações"
"Number of Orders","Número de Pedidos"
"Number of records:","Número de registros:"
"Number of Uses","Número de Usos"
"Number of Views","Número de visualizações"
"OAuth authorization for admin","OAuth autorização admin"
"OAuth authorization simple for admin","Autorização OAuth simples para administrador"
"OAuth Consumers","Consumidores OAuth"
"Old rate:","Taxa antiga:"
"One or more of the Cache Types are invalidated:","Um ou mais dos tipos de cache estão invalidados:"
"Online Customers","Clientes Online"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Apenas atributos com escopo ""Global"", tipo de entrada ""Dropdown"" e Uso para Criar Produto Configurável ""Sim"" estão disponíveis."
"Only from same domain","Somente do mesmo domínio"
"Only mapped fields","Apenas campos mapeados"
"Only Once (version upgrade)","Apenas uma vez (versão atualizada)"
"Optional","Opcional"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Região opcional para provedores que a suportam (por exemplo, us-east-1 para AWS)"
"Options","Opções"
"Options is required","Opções é obrigatório"
"Order","Encomenda"
"Order #%s","Pedido #%s"
"Order #%s (%s)","Pedido #%s (%s)"
"Order Created Date","Data de criação do pedido"
"Order ID","ID da encomenda"
"Orders","Encomendas"
"Order Totals","Total do Pedido"
"Order Updated Date","Pedido atualizado data"
"Order Updated Date report is real-time, does not need statistics refreshing.","Relatório Data de Pedido Atualizada em tempo real, não é necessário atualizar as estatísticas."
"Original Magento attribute names in first row:","Nome original do atributo Magento na primeira linha:"
"Orphaned API Role Resource","Recurso de Função API Orphaned"
"Orphaned API Role Resources","Recursos de papel de API Orphaned"
"Orphaned Resources","Recursos órfãos"
"Orphaned Role Resource","Recurso de função órfã"
"Orphaned Role Resources","Recursos de papéis órfãos"
"Out of stock","Fora de estoque"
"Pages","páginas"
"Parent Product Thumbnail","Miniatura do Produto Principal"
"Parent Transaction ID","ID da transação pai"
"Passive mode","Modo passivo"
"Passkey Active","Senha ativa"
"Passkey Authentication","Autenticação de senha"
"Passkey credential already registered to another user.","Credencial de senha já registrada em outro usuário."
"Passkey will be deleted upon saving.","A chave de acesso será excluída ao salvar."
"Passkey will be registered upon saving.","A senha será registrada ao salvar."
"Password","Palavra-passe"
"Password:","Senha:"
"Password Confirmation","Confirmação da senha"
"Password confirmation must be same as password.","A confirmação de senha deve ser a mesma senha."
"Password must be at least of %d characters.","A senha deve ter pelo menos %d caracteres."
"Password must include both numeric and alphabetic characters.","Senha deve incluir caracteres numéricos e alfabéticos."
"Path:","Caminho:"
"Payment method instance is not available.","Instância do método de pagamento não está disponível."
"Payment method is not available.","O método de pagamento não está disponível."
"Payment method must be specified.","Método de pagamento deve ser especificado."
"Pending Reviews","Comentários pendentes"
"Pending Tags","Tags Pendentes"
"Percent","Porcentagem"
"Performed At","Realizado em"
"Period","Menstruação"
"Per Item","Por item"
"Permanent (301)","Permanente (301)"
"Permissions","Permissões"
"Per Order","Por pedido"
"Personal Information","Informações Pessoais"
"Phone:","Telefone:"
"PHP attribute recompilation failed: %s","Recompilação de atributos PHP falhou: %s"
"PHP attributes were recompiled.","Atributos PHP foram recalculados."
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme a mudança de site. Todos os dados que não foram salvos serão perdidos."
"Please enter 6 or more characters.","Por favor insira 6 ou mais caracteres."
"Please enter another credit card number to complete your purchase.","Por favor, insira outro número de cartão de crédito para concluir sua compra."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Informe um valor $ . Por exemplo, $100.00."
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid date.","Por favor, introduza uma data válida."
"Please enter a valid email.","Por favor insira um e-mail válido."
"Please enter a valid email address. For example johndoe@domain.com.","Informe um endereço de e-mail válido. Por exemplo, johndoe@domain.com."
"Please enter a valid number in this field.","Por favor insira um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo (+35) 21 1234 1234"
"Please enter a valid social security number. For example 123-45-6789.","Informe um CPF válido. Por exemplo, 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Informe uma URL válida. Por exemplo, http://www.example.com ou www.example.com"
"Please enter a valid URL. http:// is required","Por favor, insira uma URL válida. http:// é obrigatório"
"Please enter a valid zip code.","Informe um CEP válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Informe um CEP válido. Por exemplo, 90602 ou 90602-1234."
"Please enter valid password.","Por favor, insira uma senha válida."
"Please make sure that all global admin search modules are installed and activated.","Certifique-se de que todos os módulos globais de busca do admin estão instalados e ativados."
"Please make sure that your changes were saved before running the profile.","Certifique-se de que suas alterações foram salvas antes de executar o perfil."
"Please make sure your passwords match.","Certifique-se de que as senhas correspondem."
"Please Select","Selecione por favor"
"Please select a customer.","Por favor, selecione um cliente."
"Please select an option.","Por favor, selecione uma opção."
"Please select a store.","Por favor, selecione uma loja."
"Please select catalog searches.","Por favor selecione buscas de catálogo."
"Please select customer(s).","Por favor, selecione cliente(s)."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please select review(s).","Selecione avaliação(ões)"
"Please select State/Province.","Selecione um Estado."
"Please select tag(s).","Selecione tag(s)."
"Please select URL rewrite(s).","Por favor selecione a reescrita de URL."
"Please specify the admin custom URL.","Por favor, especifique uma URL personalizada para de admin."
"Please try to logout and sign in again.","Por favor, tente sair e entrar novamente."
"Please use in this field only ""a-z,0-9,_"".","Por favor, use apenas neste campo ""a-z, 0-9, _""."
"Please use letters only (a-z) in this field.","Utilize apenas letras (a-z) neste campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Use números somente neste campo. Evite espaços ou outros caracteres, como pontos ou vírgulas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilize apenas letras (a-z) ou números (0-9) neste campo. Espaços ou outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Utilize apenas letras (a-z) ou números (0-9) ou espaços e # apenas neste campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para 17 de março de 2006."
"Please wait, loading...","Por favor aguarde, carregando..."
"Please wait...","Por favor, aguarde..."
"Please wait while the indexes are being refreshed.","Aguarde enquanto os índices são atualizados."
"Popular","Populares"
"Position","Posição"
"Position of Watermark for %s","Posição da marca d'água para %s"
"Pregenerated configurable swatches image files.","Imagens de swatches pré-geradas"
"Pregenerated product images files.","Imagens de produtos pré-geradas"
"Preview","Pré-visualizar"
"Preview Template","Visualizar Modelo"
"Price","Quantidade"
"Price:","Preço:"
"Price alert subscription was saved.","Assinatura do Alerta de Preços foi salvo."
"Processed <strong>%s%% %s/%d</strong> records","Processado <strong>%s%% %s/%d</strong> registros"
"Processing","Processando"
"Product","Produto:"
"Product:","Produto:"
"Product is not loaded.","O produto não está carregado."
"Product Name","Nome do Produto"
"Product Reviews","Avaliações do Produto"
"Products","produtos"
"Products Bestsellers Report","Relatório Produtos Bestsellers"
"Products in Carts","Produtos nos Carrinhos"
"Products Most Viewed Report","Relatório de Produtos Mais Visualizados"
"Products Ordered","Produtos comprados"
"Product Tax Classes","Classes de Impostos do Produto"
"Product Thumbnail Itself","Miniatura do Produto"
"Profile Action","Ação de perfil"
"Profile Actions XML","Ações de Perfil XML"
"Profile Direction","Direção do perfil"
"Profile History","Histórico do Perfil"
"Profile Information","Informações do perfil"
"Profile Name","Nome do perfil"
"Profile Payments","Perfil de Pagamentos"
"Profiles","Profiles"
"Profile Schedule","Agenda de Perfil"
"Profile Wizard","Assistente de Perfil"
"Promo","Promoção"
"Promotions","Promoções"
"Purchased Item","Item Comprado"
"QR Code","QR Code"
"Quantity","Quantidade"
"Queued... Cancel","Fila... Cancelar"
"Queue Refresh","Atualização de Fila"
"Radio Buttons","Botões de Rádio"
"Rates","Taxas"
"Read details","Ler detalhes"
"Rebuild","Recriar"
"Rebuild Catalog Index","Reconstruir Índice de Catálogo"
"Rebuild Flat Catalog Category","Reconstruir Catálogo de Categorias Flat"
"Rebuild Flat Catalog Product","Reconstruir Catálogo de Produtos Flat"
"Recent Orders","Pedidos Recentes"
"Recent statistics have been updated.","Estatísticas recentes foram atualizadas."
"Recipient email address","Endereço de e-mail do destinatário"
"Recompile PHP Attributes","Recompilar Atributos PHP"
"Recurring Profile View","Vista de perfil recorrente"
"Redirect","Redirecionamento"
"Redirect to URL without trailing slash","Redirecionar para a URL sem barra no final"
"Redirect to URL with trailing slash","Redirecionar para a URL com barra à direita"
"Reference","Referência"
"Reference ID","ID de Referência"
"Refresh","atualizar"
"Refresh Now*","Atualizar Agora*"
"Refresh Roles","Atualizar Papéis"
"Refresh Statistics","Atualizar estatísticas"
"Region","Região"
"Region/State","Região/Estado"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","Registrar uma chave de acesso automaticamente desabilita a autenticação de senha. Por razões de segurança, recomendamos que a mantenha desativada, embora você possa reativá-la se necessário."
"Register New Passkey","Registrar Nova Senha"
"Register Passkey","Registrar Senha"
"Regular Price:","Preço Normal:"
"Reject","Rejeitar"
"Rejection Of Authorization","Rejeição de Autorização"
"Reject token authorization for admin","Rejeitar token de autorização p/ admin"
"Reject token authorization Pop Up for admin","Enviar pop-up de autorização de token rejeitado para administrador"
"Remote FTP","FTP remoto"
"Remove","Excluir"
"Remove Passkey","Remover a senha"
"Rename","Renomear"
"Reports","relatórios"
"Request Path","Caminho da Solicitação"
"Required","Obrigatório"
"Reset","Reset"
"Reset a Password","Redefinir uma senha"
"Reset Filter","Redefinir Filtro"
"Reset Password","Redefinir a senha"
"Resource Access","Acesso a Recursos"
"Resources","Recursos"
"REST Roles","REST Papéis"
"Results","Resultados"
"Retrieve Password","Recuperar senha"
"Return Html Version","Retornar versão Html"
"Revenue","Receita"
"Reviews","Avaliações"
"Reviews and Ratings","Avaliações e Avaliações"
"Rewrite Rules","Reescrever regras"
"Role ID","ID da Função"
"Role Info","Informação de Permissão"
"Role Information","Informação de Permissão"
"Role Name","Nome da Função"
"Role Resources","Permissões a Recursos"
"Roles","Papéis"
"Roles Resources","Funções Recursos"
"Role Users","Permissões a Usuários"
"Root Category","Categoria Raiz"
"Run","Executar"
"Running... Kill","Correndo... Matar"
"Run Profile","Executar Perfil"
"Run Profile in Popup","Executar Perfil em Popup"
"Sales","vendas"
"Sales Overview","Resumo de Vendas"
"Sales Report","Relatório de vendas"
"Samples","Amostras"
"Save","Guardar"
"Save & Generate","Salvar & Gerar"
"Save Account","Salvar Conta"
"Save and Continue Edit","Salvar e Continuar Editar"
"Save Block","Salvar Bloco"
"Save Cache Settings","Salvar configurações de cache"
"Save Config","Salvar Configuração"
"Save Currency Rates","Salvar taxas de câmbio"
"Save Profile","Salvar Perfil"
"Save Role","Salvar Permissão"
"Save Template","Salvar Modelo"
"Save User","Salvar Usuário"
"Save Variable","Salvar Variável"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Escaneie este código QR com o seu aplicativo de autenticador (Google Authenticator, Authy, etc.)"
"Search","Pesquisa"
"Search entire store here...","Pesquise toda a loja aqui..."
"Search Index","Índice de pesquisa"
"Search results","Resultados da pesquisa"
"Search Term","Termo para pesquisa"
"Search Terms","Buscar Termos"
"Select","Selecionar"
"Select All","Selecionar Todos"
"Select Category","Selecionar Categoria"
"selected","Selecionado"
"Selected allowed currency ""%s"" is not available in installed currencies.","Moeda permitida selecionada ""%s"" não está disponível em moedas instaladas."
"Selected base currency is not available in installed currencies.","Moeda base selecionada não está disponível em moedas instaladas."
"Selected default display currency is not available in allowed currencies.","Moeda de exibição padrão selecionada não está disponível em moedas permitidas."
"Selected default display currency is not available in installed currencies.","Moeda de exibição padrão selecionada não está disponível na instalação de moedas."
"Select Range","Selecione o intervalo"
"Self-assigned roles cannot be deleted.","Papéis auto-atribuídos não podem ser excluídos."
"Send","Mandar"
"Sender","Remetente"
"Sending...","Enviando..."
"Separate Email","Separar E-mail"
"Serialized data is incorrect","Dados serializados estão incorretos"
"Shipment #%s comment added","Envio #%s comentário adicionado"
"Shipment #%s created","Envio #%s criado"
"Shipment Comments","Comentários da expedição"
"Shipment History","Histórico de Embarque"
"Shipments","Envios"
"Shipping","Envio:"
"Shipping Address","Endereço de Entrega"
"Shipping Address: ","Endereço de entrega: "
"Shipping address selection is not applicable","Endereço de entrega selecionado não é aplicável"
"Shipping method must be specified.","Método de envio deve ser especificado."
"Shipping method selection is not applicable","Método de envio selecionado não é aplicável"
"Shipping Origin","Origem do envio"
"Shipping Price","Preço do Envio"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart from %s","Carrinho de compras da %s"
"Shopping Cart Price Rules","Regras de Preço do Carrinho"
"Show By","Exibir por"
"Show Report For:","Mostrar Relatório Para:"
"Show Reviews","Exibir Comentários"
"Sitemap Information","Informações do Sitemap"
"Size for %s","Tamanho para %s"
"Skip Category Selection","Pular Seleção de Categoria"
"SKU","Código"
"SKU:","REF:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens deste pedido possuem diferentes tipos de fatura e entrega. Você só pode criar entrega depois que a fatura for criada."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Alguns dos itens encomendados não existem mais no catálogo e serão removidos se você tentar editar o pedido."
"Special Price:","Preço Especial:"
"Specific Countries","Países específicos"
"Specified","Especificado"
"Specified profile does not exist.","Perfil especificado não existe."
"Spreadsheet Name:","Nome da Planilha:"
"Start Date","Data Inicial"
"Starting profile execution, please wait...","Iniciando execução do perfil, aguarde..."
"State/Province:","Estado/provação:"
"Static Blocks","Blocos estáticos"
"Status","SItuação"
"Status:","Estado:"
"Stock notification was saved.","Notificação de estoque foi salva."
"Stock Quantity:","Quantidade em Estoque:"
"Store","Armazém"
"store(%s) scope","escopo loja (%s)"
"Store:","Loja:"
"Stores","Lojas"
"Store View","Visão de Loja"
"Subject","Cargo"
"Submit","submeter"
"Subtotal","Sub-total"
"successful","sucesso"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"System","SISTEMA"
"System busy","Sistema ocupado"
"Tags","Etiquetas"
"Target Path","Caminho de destino"
"Tax","Imposto"
"Template","Modelo"
"Template Content","Conteúdo do Modelo"
"Template Information","Informações do Template"
"Template Name","Nome do modelo"
"Template Styles","Template Styles"
"Template Subject","Assunto do Modelo"
"Template Type","Tipo de modelo"
"Temporary (302)","Temporário (302)"
"Terms and Conditions","Termos e Condições"
"Test email sent successfully to %s.","E-mail de teste enviado com sucesso para %s."
"Test Email Settings","Testar configurações de e-mail"
"Text","texto"
"The account has been saved.","A conta foi salva."
"The attribute set has been removed.","O conjunto de atributos foi removido."
"The billing agreement has been canceled.","O termo de cobrança foi cancelado."
"The billing agreement has been deleted.","O termo de cobrança foi excluído."
"The block has been saved.","O bloco foi salvo."
"The cache storage has been flushed.","O cache foi limpo."
"The carrier needs to be specified.","A transportadora precisa ser especificada."
"The catalog index has been rebuilt.","O índice do catálogo foi reconstruído."
"The CatalogInventory Stock Status has been rebuilt.","O status de estoque do CatalogInventory foi reconstruído."
"The catalog rewrites have been refreshed.","A reescrita do catálogo foi atualizada."
"The Catalog Rewrites were refreshed.","O Catálogo de Reescritas foi atualizado."
"The Comment Text field cannot be empty.","O campo de texto de comentário não pode estar vazio."
"The configurable swatches image cache was cleaned.","O cache de imagens swatches foi limpo."
"The configuration has been saved.","A configuração foi salva."
"The credit memo has been canceled.","O memorando de crédito foi cancelado."
"The credit memo has been created.","O memorando de crédito foi criado."
"The credit memo has been voided.","O memorando de crédito foi anulado."
"The credit memo no longer exists.","O memorando de crédito já não existe."
" The customer does not exist in the system anymore."," O cliente não existe mais no sistema."
"The customer has been deleted.","O cliente foi excluído."
"The customer has been saved.","O cliente foi salvo."
"The custom variable has been deleted.","A variável personalizada foi excluída."
"The custom variable has been saved.","A variável personalizada foi salva."
"The design change has been deleted.","A alteração de design foi excluída."
"The design change has been saved.","A alteração de design foi salva."
"The email address has been updated successfully.","O endereço de e-mail foi atualizado com sucesso."
"The email address is empty.","O endereço de e-mail está vazio."
"The email template has been deleted.","O modelo de e-mail foi excluído."
"The email template has been saved.","O modelo de e-mail foi salvo."
"The flat catalog category has been rebuilt.","A categoria de catálogo plana foi reconstruída."
"The Flat Catalog Product was rebuilt","O Catálogo de Produtos Flat foi reconstruído"
"The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Os seguintes recursos de função API não estão mais disponíveis no sistema: %s. Você pode excluí-los por <a href=""%s"">clicando aqui</a>."
"The following role resource(s) are not orphaned: %s","Os seguintes recursos do papel não são órfãos: %s"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Os seguintes recursos de função não estão mais disponíveis no sistema: %s. Você pode excluí-los por <a href=""%s"">clicando aqui</a>."
"The group node name must be specified with field node name.","O nome do nó do grupo deve ser especificado com o nome do nó do campo."
"The image cache was cleaned.","O cache de imagens foi limpo."
"The image cache was cleared.","O cache de imagem foi limpo."
"The invoice and shipment have been created.","A fatura e entrega foram criadas."
"The invoice cannot be canceled.","A fatura não pode ser cancelada."
"The invoice cannot be captured.","A fatura não pode ser capturada."
"The invoice cannot be voided.","A fatura não pode ser anulada."
"The invoice has been canceled.","A fatura foi cancelada."
"The invoice has been captured.","A fatura foi capturada."
"The invoice has been created.","A fatura foi criada."
"The invoice has been voided.","A fatura foi anulada."
"The invoice no longer exists.","A fatura não existe mais."
"The item %s (SKU %s) does not exist in the catalog anymore.","O item %s (SKU %s) não existe mais no catálogo."
"The Layered Navigation indexing has been queued.","A indexação da Camada de Navegação foi colocada na fila."
"The Layered Navigation indexing queue has been canceled.","A fila de indexação da Camada de Navegação foi cancelada."
"The Layered Navigation indices were refreshed.","Os índices de Navegação em Camadas foram atualizados."
"The Layered Navigation process has been queued to be killed.","O processo de Navegação em Camadas foi colocado na fila para ser encerrado."
"The Maho cache has been flushed and updates applied.","O cache do Maho foi liberado e as atualizações aplicadas"
"The minified CSS/JS cache was cleaned.","O cache de CSS/JS minificado foi limpo."
"The order does not allow creating an invoice.","O pedido não permite criar uma fatura."
"The order no longer exists.","O pedido não existe mais."
"The profile has been deleted.","O perfil foi excluído."
"The profile has been saved.","O perfil foi salvo."
"The profile has been updated.","O perfil foi atualizado."
"The profile has no changes.","O perfil não possui alterações."
"The profile you are trying to save no longer exists","O perfil que você está tentando salvar não existe mais"
"The rating has been deleted.","A classificação foi excluída."
"The rating has been saved.","A avaliação foi salva."
"There is an error in one of the option rows.","Há um erro em uma das linhas de opções."
"The role has been deleted.","O cargo foi excluído."
"The role has been saved.","O cargo foi salvo."
"The role has been successfully saved.","O papel foi salvo com sucesso."
"The roles have been refreshed.","Os cargos foram atualizados."
"The search index has been rebuilt.","O índice de pesquisa foi reconstruído."
"The shipment has been created.","A remessa foi criada."
"The shipment has been sent.","A remessa foi enviada."
"The shipment no longer exists.","A remessa já não existe."
"The shipping label has been created.","A etiqueta foi criada."
"The Special Price is active only when lower than the Actual Price.","O preço especial é ativo apenas quando inferior ao preço real."
"The tag has been deleted.","A tag foi excluída."
"The tag has been saved.","A tag foi salva."
"The transaction details have been updated.","Os detalhes da transação foram atualizados."
"The URL Rewrite has been deleted.","A Reescrita de URL foi excluída."
"The URL Rewrite has been saved.","A Reescrita de URL foi salva."
"The user has been deleted.","O usuário foi excluído."
"The user has been saved.","O usuário foi salvo."
"The variable has been saved.","A variável foi salva."
"This Account is","Esta Conta é"
"This account is","Esta conta é"
"This account is inactive.","Esta conta está inativa."
"This attribute set does not have attributes which we can use for configurable product","Este conjunto de atributos não tem atributos que possamos usar para produtos configuráveis"
"This block no longer exists.","Este bloco não existe mais."
"This Email template no longer exists.","Este modelo de Email não existe mais."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma loja de demonstração. Quaisquer pedidos feitos por esta loja não serão honrados nem atendidos."
"This is a required field.","Este campo é obrigatório."
"This is a test email from Maho admin.","Este é um e-mail de teste do administrador Maho."
"This product is currently disabled.","Este produto está desativado no momento."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Este relatório depende da configuração do fuso horário. Quando o fuso horário é alterado, as estatísticas precisam ser atualizadas."
"This Role no longer exists","Este Cargo não existe mais"
"This Role no longer exists.","Esse cargo não existe mais."
"This section is not allowed.","Esta seção não é permitida."
"This user no longer exists.","Este usuário não existe mais."
"This variable no longer exists.","Essa variável não existe mais."
"Time","Horário"
"To","Para"
"to","para"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Para cancelar autorizações pendentes e liberar valores que já foram processados durante este pagamento, clique em Cancelar."
"Tools","Ferramentas"
"Top 5 Search Terms","Top 5 Termos Mais Procurados"
"Total","Total:"
"Total Invoiced","Total faturado"
"Total of %d record(s) have been deleted.","Total de %d registro(s) excluídos."
"Total of %d record(s) have been updated.","Total de %d registro(s) atualizados."
"Total of %d record(s) were deleted","Total de %d registro(s) excluído(s)"
"Total of %d record(s) were deleted.","Total de %d registro(s) excluídos."
"Total of %d record(s) were updated","Total de %d registro(s) atualizado(s)"
"Total of %d record(s) were updated.","Total de %d registro(s) atualizados."
"Total of %d URL rewrite(s) have been deleted.","Foram eliminados um total de reescrita de URL %d."
"Total Order Amount","Valor total do pedido"
"Total Refunded","Total reembolsado"
"Tracking number %s for %s assigned","Número de rastreamento %s para %s atribuído"
"Tracking number cannot be empty.","Número de rastreamento não pode ser vazio."
"Track Order","Acompanhar Pedido"
"Track this shipment","Rastrear esta remessa"
"Trailing Slash Behavior","Comportamento de Cortina"
"Transactional Emails","E-mails Transações"
"Transaction Data","Dados de transação"
"Transaction Details","Detalhes da transação"
"Transaction ID","ID da transação"
"Transactions","Transações"
"Transaction Type","Tipo de transação"
"Two-Factor Authentication","Autenticação dupla"
"Type","tipo"
"Type:","Tipo:"
"Unable to cancel the credit memo.","Não foi possível cancelar o memorando de crédito."
"Unable to find a block to delete.","Não foi possível encontrar um bloco para excluir."
"Unable to find a Email Template to delete.","Não foi possível encontrar um modelo de e-mail para excluir."
"Unable to find a tag to delete.","Não foi possível encontrar uma tag para excluir."
"Unable to find a user to delete.","Não foi possível encontrar um usuário para excluir."
"Unable to find a variable to delete.","Não foi possível encontrar uma variável para excluir."
"Unable to initialize import model","Não foi possível inicializar o modelo de importação"
"Unable to refresh lifetime statistics.","Não foi possível atualizar estatísticas de tempo de vida."
"Unable to refresh recent statistics.","Não foi possível atualizar as estatísticas recentes."
"Unable to save the cron expression.","Não foi possível salvar a expressão Cron."
"Unable to save the invoice.","Não é possível salvar a fatura."
"Unable to send the invoice email.","Não foi possível enviar o e-mail da fatura."
"Unable to send the shipment email.","Não foi possível enviar e-mail de entrega."
"Unable to update transaction details.","Não foi possível atualizar detalhes da transação."
"Unable to void the credit memo.","Não foi possível anular o memorando de crédito."
"Unknown","Desconhecido"
"Unlimited","Ilimitado"
"Update","Atualização"
"Updated At","Atualizado em"
"Uploaded file is larger than %.2f kilobytes allowed by server","O arquivo enviado é maior do que %.2f kilobytes permitidos pelo servidor"
"Upload File","Enviar Arquivo"
"Upload Files","Enviar Arquivos"
"URL Rewrite","Reescrita de URL"
"URL Rewrite Information","URL Reescrita de Informações"
"URL Rewrite Management","Reescrita de URL"
"Use All Available Attributes","Usar todos os atributos disponíveis"
"Use Config Settings","Usar Definições de Configuração"
"Used as Default For","Usado como padrão para"
"Used Currently For","Usado atualmente para"
"Use Default","Usar padrão"
"Use Default Value","Usar Valor Padrão"
"Use Default Variable Values","Usar Valores Padrão da Variável"
"User Email","Email do Usuário"
"User ID","ID de usuário"
"User Info","Informações do usuário"
"User Information","Informações do usuário"
"User Name","Nome de usuário"
"User name","Nome de usuário"
"User Name:","Nome de usuário:"
"User Name is required field.","O nome de usuário é obrigatório."
"User Password","Senha do usuário"
"User Role","Função do Usuário"
"User Roles","Papéis do Usuário"
"User Roles Information","Informações das Funções do Usuário"
"Users","Utilizadores"
"User Type Resources","Recursos do Tipo de Usuário"
"Use Website","Usar site"
"Validation Results","Resultados da validação"
"Value","Valor"
"Value Delimiter:","Valor Delimitador:"
"Variable","Variável"
"Variable Code","Código da variável"
"Variable Details","Detalhes da Variável"
"Variable has been deleted.","A variável foi excluída."
"Variable HTML Value","Valor da variável HTML"
"Variable ID","ID da Variável"
"Variable Name","Nome da Variável"
"Variable Name is incorrect.","Nome da variável está incorreto."
"Variable Name is required field.","Nome da variável é um campo obrigatório."
"Variable Plain Value","Valor Variável Simples"
"Variables","Variáveis"
"VAT Number is Invalid","Número VAT é inválido"
"VAT Number is Valid","Número VAT é válido"
"Verification Code","Código de verificação"
"Verifier code: %s","Código verificador: %s"
"View Actions XML","Ver Ações XML"
"View Full Size","Visualizar Tamanho Total"
"View Statistics For:","Ver Estatísticas Para:"
"Visibility:","Visibilidade:"
"Visible","Visível"
"Visitors","Visitantes"
"Warning","ATENÇÃO"
"Warning! Empty value can cause problems with CSV format.","Atenção! Valores vazios podem causar problemas com o formato CSV."
