"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl imposto."
"%s-%s of %s","%s-%s de %s"
"%s and above","%s e acima"
"%s Item(s)","%s item(ns)"
"Products per Page on Grid Allowed Values","Produtos por Página na Grade de Valores Permitidos"
"Products per Page on Grid Default Value","Valor pré-definido para Produtos por Página na Grade"
"Products per Page on List Allowed Values","Produtos por Página na Lista de Valores Permitidos"
"Products per Page on List Default Value","Valor pré-definido para Produtos por Página quando visto em Lista"
"Products Reviews","Avaliações de Produtos"
"Products Sitemap","Sitemap de Produtos"
"Product Tags","Tags de Produto"
"Product Tier Price API","API Faixa de Preço do Produto"
"Product Type","Tipo de Produto"
"Product types API","API Tipos de Produto"
"Product URL Suffix","Sufixo URL do produto"
"Product View Extra Hint","Ver dica extra do produto"
"Product with this combination of attributes already associated to configurable.","Produto com esta combinação de atributos já associado a configurável."
"Properties","propriedades"
"px.","px."
"Qty","Quantidade"
"Qty:","Qtd:"
"Qty for Item's Status to Become Out of Stock","Qtde Para Status do Item Ficar Sem Estoque"
"Qty Increments","Incrementos de Qtd"
"Qty Uses Decimals","Qtd Usa Casas Decimais"
"Quantity","Quantidade"
"Quick Create","Criação Rápida"
"Quick simple product creation","Criação rápida e simples de produto"
"Records for ""%s"" store found.","Registros para loja ""%s"" foram encontrados."
"Redirect","Redirecionamento"
"Redirect URL","URL de redirecionamento"
"Regular Price:","Preço Normal:"
"Related Products","Produtos Relacionados"
"Remove","Excluir"
"Remove attribute from attribute set","Remover atributo do grupo de atributos"
"Remove attribute set","Remover conjunto de atributos"
"Remove custom option","Remover opção personalizada"
"Remove filter: %s","Remover filtro: %s"
"Remove group from attribute set","Remover grupo do grupo de atributos"
"Remove option","Remover opção"
"Remove product assignment","Remover atribuição do produto"
"Remove Product From Websites","Remover Produto dos Websites"
"Remove product image","Remover imagem do produto"
"Remove product link","Remover link do produto"
"Remove value from custom option","Remover valor da opção personalizada"
"Rename existing group","Renomear grupo existente"
"Rename group","Renomear grupo"
"Reorganize EAV category structure to flat structure","Reorganizar estrutura EAV da categoria para estrutura flat"
"Reorganize EAV product structure to flat structure","Reorganizar a estrutura EAV do produto para estrutura plana"
"Reset","Reset"
"Results","Resultados"
"Results per page","Resultados por página"
"Retrieve attribute data","Recuperar dados de atributo"
"Retrieve attribute list","Recuperar lista de atributos"
"Retrieve attribute options","Recuperar opções de atributo"
"Retrieve categories tree","Recuperar árvore de categorias"
"Retrieve category attributes","Recuperar atributos de categoria"
"Retrieve category data","Recuperar dados da categoria"
"Retrieve hierarchical tree","Recuperar árvore hierárquica"
"Retrieve linked products","Recuperar produtos vinculados"
"Retrieve list of assigned products","Recuperar lista de produtos atribuídos"
"Retrieve list of option values","Recuperar lista de valores de opções"
"Retrieve list of product custom options","Recuperar lista de opções personalizadas do produto"
"Retrieve one level of categories by website/store view/parent category","Recuperar um nível de categorias por website/loja view/categoria pai"
"Retrieve option value info","Recuperar informações do valor da opção"
"Retrieve product","Recuperar produto"
"Retrieve product attribute sets","Recuperar conjuntos de atributos do produto"
"Retrieve product image","Recuperar imagem do produto"
"Retrieve product image list","Recuperar lista de imagens do produto"
"Retrieve product image types","Recuperar tipos de imagem do produto"
"Retrieve product link type attributes","Recuperar atributos do tipo de link do produto"
"Retrieve product link types","Recuperar tipos de link do produto"
"Retrieve products data","Recuperar dados de produtos"
"Retrieve products list by filters","Recuperar lista de produtos por filtros"
"Retrieve product tier prices","Recuperar níveis de produto"
"Retrieve product types","Recuperar tipos de produto"
"Reviews","Avaliações"
"Roll Over for preview","Role para a visualização"
"Root","raiz"
"Save","Guardar"
"save","Salvar"
"Save and Continue Edit","Salvar e Continuar Editar"
"Save Attribute","Salvar Atributo"
"Save Attribute Set","Salvar Conjunto de Atributos"
"Save Category","Salvar Categoria"
"Saved %d record(s)","Guardado %d registro(s)"
"Save Search","Salvar Pesquisa"
"Scope","Escopo"
"Scope must not be changed, because the attribute is used in configurable products.","Escopo não deve ser alterado, porque o atributo é usado em produtos configuráveis."
"Search","Pesquisa"
"Searchable","Pesquisável"
"Search Engine Optimizations","Otimizações para busca (SEO)"
"Search Information","Informação de Busca"
"Search Query","Consulta de Pesquisa"
"Search Term with such search query already exists.","Termo de pesquisa com essa consulta de pesquisa já existe."
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"select all","selecionar todos"
"Select Category...","Selecionar Categoria..."
"Select Configurable Attributes ","Selecionar Atributos Configuráveis "
"Selected Product Types","Tipos de Produto Selecionados"
"Select Product...","Seleccionar Produto..."
"Select type of option","Selecione o tipo de opção"
"Select type options required values rows.","Selecione opções de tipo necessárias linhas de valores."
"Send Count","Contagem de Envios"
"Set/Get current store view","Definir/Recuperar vista de loja atual"
"Set Ascending Direction","Definir Direção Crescente"
"Set Descending Direction","Direção Decrescente"
"Set Name","Nome do Conjunto"
"Set Root Category for Store","Definir Categoria Raiz para a Loja"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
"Set special price","Definir preço especial"
"Settings","Confirgurações"
"Show","Apresentar"
"Show count","Mostrar contagem"
"Show Details","Mostrar detalhes"
"Show ID","Mostrar ID"
"Show Tags","Exibir Etiquetas"
"Simple Product","Produto Simples"
"Site Map","Mapa do site"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ignorar linha, valor inválido ""%s"" para o campo ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Pular linha de importação, campo obrigatório ""%s"" para o novo cliente não está definido."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Pular linha de importação, o valor ""%s"" é inválido para o campo ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Ignorando linha de importação, campo obrigatório ""%s"" para novos produtos não está definido."
"Skipping import row, required field ""%s"" is not defined.","Ignorando linha de importação, campo obrigatório ""%s"" não está definido."
"Skipping import row, store ""%s"" field does not exist.","Ignorando linha de importação, loja ""%s"" campo não existe."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Ignorando a linha de importação, o valor ""%s"" não é válido para o campo ""%s""."
"SKU","Código"
"SKU length should be %s characters maximum.","Tamanho SKU deve ter no máximo %s caracteres."
"Small Image Width","Largura da imagem pequena"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Alguns dos produtos processados não têm nenhum valor SKU definido. Por favor, preencha antes de executar as operações sobre esses produtos."
"Some of the selected item options are not currently available.","Algumas das opções de itens selecionados não estão disponíveis no momento."
"Sort By","Classificar por"
"Sort Order","Ordem de classificação"
"Special Expires On: %s","Especial expira em: %s"
"Special Price:","Preço Especial:"
"Special Price: %s","Preço especial: %s"
"Static","Estático"
"Static block and products","Blocos e produtos estáticos"
"Static block only","Somente bloco estático"
"Status","SItuação"
"Stock Availability","Disponibilidade de Estoque"
"Store","Armazém"
"Store View","Visão de Loja"
"Stretch","Alongamento"
"Subscribe to RSS Feed","Assinar RSS Feed"
"Super product attributes configuration","Super configuração de atributos do produto"
"Synonym For","Sinônimo para"
"System Properties","Propriedades do Sistema"
"Tag Name","Nome do Marcador"
"Tax","Imposto"
"Template","Modelo"
"Text","texto"
"The attribute code '%s' is reserved by system. Please try another attribute code","O código do atributo '%s' é reservado pelo sistema. Por favor, tente outro código de atributo"
"The attribute model is not defined","O modelo de atributo não foi definido"
"The attribute set has been saved.","O conjunto de atributos foi salvo."
"The base directory to upload file is not specified.","O diretório base para upload de arquivo não foi especificado."
"The category has been deleted.","A categoria foi apagada."
"The category has been saved.","A categoria foi salva."
"The comparison list was cleared.","A lista de comparação foi apagada."
"The file was only partially uploaded. Please try again.","O arquivo foi enviado apenas parcialmente. Tente novamente."
"The file you uploaded is larger than %s Megabytes allowed by server","O arquivo que você enviou é maior do que os Megabytes %s permitidos pelo servidor"
"The filters must be an array.","Os filtros devem ser uma matriz."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The following file extensions are not allowed for security reasons: %s","As seguintes extensões de arquivos não são permitidas por motivos de segurança: %s"
"The From Date value should be less than or equal to the To Date value.","O valor de Data de Início deve ser menor ou igual à Data Final."
"The image contents is not valid base64 data.","O conteúdo da imagem não é válido em dados base64."
"The image is not specified.","A imagem não foi especificada."
"The model collection resource name is not defined.","O nome do recurso de coleção modelo não está definido."
"The product %s has been added to comparison list.","O produto %s foi adicionado à lista de comparação."
"The product %s has been removed from comparison list.","O produto %s foi removido da lista de comparação."
"The product attribute has been deleted.","O atributo do produto foi excluído."
"The product attribute has been saved.","O atributo do produto foi salvo."
"The product has been created.","O produto foi criado."
"The product has been deleted.","O produto foi excluído."
"The product has been duplicated.","O produto foi duplicado."
"The product has been saved.","O produto foi salvo."
"The product has required options","O produto tem as opções necessárias"
"There are no %s available.","Não há %s disponível."
"There are no customers for this alert","Não há clientes para este alerta"
"There are no customers for this alert.","Não há clientes para este alerta."
"There are no products matching the selection.","Não há produtos correspondentes à seleção."
"The review has been deleted","A avaliação foi excluída"
"The review has been saved.","A avaliação foi salva."
"The review was removed by another user or does not exist.","A avaliação foi removida por outro usuário ou não existe."
"There was an error while request processing.","Ocorreu um erro durante o processamento da solicitação."
"The search was deleted.","A busca foi excluída."
"The text is too long","O texto é muito longo"
"This attribute cannot be deleted.","Este atributo não pode ser excluído."
"This attribute cannot be edited.","Este atributo não pode ser editado."
"This attribute cannot be updated.","Este atributo não pode ser atualizado."
"This attribute is used in configurable products.","Este atributo é usado em produtos configuráveis."
"This Attribute no longer exists","Este Atributo não existe mais"
"This attribute no longer exists","Este atributo não existe mais"
"This attribute set no longer exists.","Este grupo de atributo não existe mais."
"This category no longer exists.","Esta categoria não existe mais."
"This is a required option","Esta é uma opção obrigatória"
"This product no longer exists.","Este produto não existe mais."
"This search no longer exists.","Esta busca não existe mais."
"This setting will be applied when all prices in the specific price interval are equal.","Esta configuração será aplicada quando todos os preços no intervalo de preços específico forem iguais."
"Thumbnail","Thumbnail"
"Tier Pricing","Nível de preços"
"Tile","Mosaico"
"Title","Título"
"To","Para"
"Top/Left","Superior/Esquerda"
"Top/Right","Superior/Direita"
"To reindex the enabled product(s), the store or product must be specified","Para reindexar os produtos ativados, a loja ou o produto deve ser especificado"
"To see product price, add this item to your cart. You can always remove it later.","Para ver o preço do produto, adicione este item ao carrinho. Você poderá removê-lo mais tarde."
"Total incl. Tax: %1$s","Total incl. Imposto: %1$s"
"Total of %d record(s) have been deleted.","Total de %d registro(s) excluídos."
"Total of %d record(s) have been updated.","Total de %d registro(s) atualizados."
"Total of %d record(s) were updated","Total de %d registro(s) atualizado(s)"
"Type","tipo"
"Unable to complete this request.","Não foi possível concluir esta solicitação."
"Unable to find an attribute to delete.","Não foi possível encontrar um atributo para excluir."
"Unable to find a search term to delete.","Não foi possível encontrar um termo de pesquisa para excluir."
"Unable to get the product ID.","Não é possível obter o ID do produto."
"Unassigned Attributes","Atributos não atribuídos"
"Unknown EAV indexer type ""%s"".","Tipo de indexador EAV desconhecido ""%s""."
"unselect all","desmarcar todos"
"Unsupported product type ""%s"".","Tipo de produto ""%s não suportado."
"Up-sells","Ofertas promocionais"
"Update","Atualização"
"Update assigned product","Atualizar produto atribuído"
"Update attribute","Atualizar atributo"
"Update Attributes","Atualizar Atributos"
"Update attributes","Atualizar atributos"
"Update category","Atualizar categoria"
"Update custom option of product","Atualizar opção personalizada do produto"
"Update product","Atualizar produto"
"Update product image","Atualizar imagem do produto"
"Update product link","Atualizar link do produto"
"Update product tier prices","Atualizar faixa de preços do produto"
"Update Tier Price","Atualizar Faixa de Preço"
"Update value of custom option","Atualizar valor da opção personalizada"
"Upload new product image ","Carregar nova imagem do produto "
"URL Rewrite Management","Reescrita de URL"
"Use Canonical Link Meta Tag For Categories","Usar o Link Meta Tag Canônico para Categorias"
"Use Canonical Link Meta Tag For Products","Usar o Link Meta Tag Canônico para Produtos"
"Use Categories Path for Product URLs","Usar o caminho de categorias para as URLs dos produtos"
"Use config","Utilizar configuração"
"Use Config Settings","Usar Definições de Configuração"
"Use default","Usar padrão"
"Use Default Value","Usar Valor Padrão"
"Used for Sorting in Product Listing","Usado para ordenar na listagem de produtos"
"Used in Product Listing","Usado na listagem de produtos"
"Used to fill the frame when Keep Frame is enabled","Usado para preencher o quadro quando o manter o quadro está ativado"
"Use Flat Catalog Category","Usar Catálogo de Categorias Flat"
"Use Flat Catalog Product","Usar Catálogo de Produtos Flat"
"Use for Promo Rule Conditions","Usar para condições de regras promocionais"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Usar formato de ano de quatro dígitos. Usado para min/max atributos em entradas de data nativa."
"Use in Advanced Search","Usar na Pesquisa Avançada"
"Use In Layered Navigation","Usar em Camadas de Navegação"
"Use in Layered Navigation","Usar em Navegação em Camadas"
"Use in Layered Navigation<br>(Can be used only with catalog input type 'Dropdown')","Utilizar na Navegação por Camadas<br>(Pode ser usado apenas com um dos tipos de campo de catálogos 'Menu Suspenso')"
"Use in Quick Search","Usar na Busca Rápida"
"Use In Search Results Layered Navigation","Usar Navegação em Camadas nos Resultados de Pesquisa"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Usar URLs estáticas para o Conteúdo de Mídia no WYSIWYG para o Catálogo"
"Use To Create Configurable Product","Use para criar produtos configuráveis"
"Use Tree Like Category Sitemap","Usar Sitemap Como Árvore de Categoria"
"Value for ""%s"" is invalid.","Valor para ""%s"" é inválido."
"Value for ""%s"" is invalid: %s","Valor de ""%s"" é inválido: %s"
"Varchar","Varchar"
"View All Products","Ver todos os produtos"
"View as","Visualizar como"
"View Details","Visualizar Detalhes"
"View image %s","Ver imagem %s"
"Virtual Product","Produto virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível nas páginas do catálogo no Front-end"
"Visible on Product View Page on Front-end","Visível na Página de Exibição do Produto no Front-end"
"Watermark","Marca d'água"
"Watermark Opacity, Percent","Marca d'água, porcento"
"Watermark Position","Posição da marca d'água"
"Website","site"
"Websites","Sites"
"What's this?","O que é isto?"
"When enabled, associated products are automatically recalculated when reindex runs.","Quando ativado, os produtos associados são recalculados automaticamente quando reindexar é executado."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Mostrar a opção ""Todos"" no menu suspenso ""Mostrar X por Página""."
"Will make search for the query above return results for this search.","Irá pesquisar a consulta acima retornará resultados para esta pesquisa."
"Wrong BuyRequest instance in options group.","Instância errada de BuyRequest no grupo de opções."
"Wrong configuration item instance in options group.","Erro na configuração do item no grupo de opções."
"Wrong configuration item option instance in options group.","Erro na configuração do item de instância de opção no grupo de opções."
"Wrong option instance type in options group.","Erro no tipo de opção no grupo de opções."
"Wrong option type to get group instance.","Tipo de opção errado para obter a instância do grupo."
"Wrong product instance type in options group.","Produto de tipo de instância errado no grupo de opções."
"Wrong product type filter specified","Filtro do tipo de produto errado especificado"
"Wrong product type to extract configurable options.","Tipo de produto errado para extrair opções configuráveis."
"WYSIWYG Editor","WYSIWYG Editor"
"x","x"
"Year Range","Intervalo de ano"
"Yes","sim"
"Yes, with images","Sim, com imagens"
"You have no items to compare.","Você não tem itens para comparar."
"You may also be interested in the following product(s)","Você também pode se interessar pelos seguintes produtos"
"You saved the search term.","Você salvou o termo de busca."
