"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s of %s"
"%s and above","%s and above"
"%s Item(s)","%s Item(s)"
"Save Attribute","Attribuut Opslaan"
"Save Attribute Set","Save Attribute Set"
"Save Category","Save Category"
"Saved %d record(s)","Saved %d record(s)"
"Save Search","Zoekopdracht opslaan"
"Scope","Bereik"
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"Search","Zoek"
"Searchable","Doorzoekbaar"
"Search Engine Optimizations","Search Engine Optimizations"
"Search Information","Zoekinformatie"
"Search Query","Zoekterm"
"Search Term with such search query already exists.","Search Term with such search query already exists."
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"select all","alles selecteren"
"Select Category...","Selecteer categorie..."
"Select Configurable Attributes ","Select Configurable Attributes "
"Selected Product Types","Selected Product Types"
"Select Product...","Selecteer product..."
"Select type of option","Select type of option"
"Select type options required values rows.","Rijen verplichte waarden voor type-opties selecteren"
"Send Count","Telling versturen"
"Set/Get current store view","Set/Get current store view"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Set Descending Direction","Van hoog naar laag sorteren"
"Set Name","Set Name"
"Set Root Category for Store","Set Root Category for Store"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
"Set special price","Set special price"
"Settings","Instellingen"
"Show","Toon"
"Show Details","Toon Details"
"Show Tags","Show Tags"
"Simple Product","Simple Product"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import row, required field ""%s"" for the new customer is not defined."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Skip import row, the value ""%s"" is invalid for field ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Skipping import row, required field ""%s"" for new products is not defined."
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, store ""%s"" field does not exist.","Skipping import row, store ""%s"" field does not exist."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
"SKU","Art.nr."
"SKU length should be %s characters maximum.","SKU length should be %s characters maximum."
"Small Image Width","Small Image Width"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the selected item options are not currently available.","Sommige van de geselecteerde item-opties zijn op dit moment niet beschikbaar"
"Sort By","Sorteer op"
"Sort Order","Sorteervolgorde"
"Special Expires On: %s","Special Expires On: %s"
"Special Price:","Special Price:"
"Special Price: %s","Special Price: %s"
"Static","Statisch"
"Static block and products","Statisch blok en producten"
"Static block only","Alleen statisch blok"
"Status","status"
"Stock Availability","Beschikbaarheid voorraad"
"Store","Winkel"
"Store View","Winkelweergave"
"Stretch","Uitrekken"
"Subscribe to RSS Feed","Abonneren op RSS-feed"
"Super product attributes configuration","Super product attributes configuration"
"Synonym For","Synonym For"
"System Properties","Systeemeigenschappen"
"Tag Name","Tag Name"
"Tax","BTW"
"Template","Sjabloon"
"Text","Tekst"
"The attribute code '%s' is reserved by system. Please try another attribute code","The attribute code '%s' is reserved by system. Please try another attribute code"
"The attribute model is not defined","The attribute model is not defined"
"The attribute set has been saved.","The attribute set has been saved."
"The base directory to upload file is not specified.","De basisfolder om het bestand te uploaden is niet opgegeven."
"The category has been deleted.","The category has been deleted."
"The category has been saved.","The category has been saved."
"The comparison list was cleared.","The comparison list was cleared."
"The file was only partially uploaded. Please try again.","The file was only partially uploaded. Please try again."
"The file you uploaded is larger than %s Megabytes allowed by server","The file you uploaded is larger than %s Megabytes allowed by server"
"The filters must be an array.","The filters must be an array."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The following file extensions are not allowed for security reasons: %s","The following file extensions are not allowed for security reasons: %s"
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The image contents is not valid base64 data.","The image contents is not valid base64 data."
"The image is not specified.","The image is not specified."
"The model collection resource name is not defined.","The model collection resource name is not defined."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"The product %s has been removed from comparison list.","The product %s has been removed from comparison list."
"The product attribute has been deleted.","The product attribute has been deleted."
"The product attribute has been saved.","The product attribute has been saved."
"The product has been created.","The product has been created."
"The product has been deleted.","The product has been deleted."
"The product has been duplicated.","The product has been duplicated."
"The product has been saved.","The product has been saved."
"The product has required options","The product has required options"
"There are no %s available.","There are no %s available."
"There are no customers for this alert","There are no customers for this alert"
"There are no customers for this alert.","Er zijn geen klanten voor deze waarschuwing"
"There are no products matching the selection.","There are no products matching the selection."
"The review has been deleted","The review has been deleted"
"The review has been saved.","The review has been saved."
"The review was removed by another user or does not exist.","De review is verwijderd door een andere gebruiker, of bestaat niet"
"There was an error while request processing.","There was an error while request processing."
"The search was deleted.","The search was deleted."
"The text is too long","The text is too long"
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be edited.","Dit attribuut kan niet bewerkt worden"
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is used in configurable products.","Deze attribuut wordt gebruikt in configureerbare producten."
"This Attribute no longer exists","This Attribute no longer exists"
"This attribute no longer exists","This attribute no longer exists"
"This attribute set no longer exists.","Deze attribuutset bestaat niet meer"
"This category no longer exists.","This category no longer exists."
"This is a required option","This is a required option"
"This product no longer exists.","This product no longer exists."
"This search no longer exists.","Deze zoekopdracht bestaat niet meer"
"This setting will be applied when all prices in the specific price interval are equal.","Deze instelling wordt toegepast wanneer alle prijzen in het specifieke prijsinterval gelijk zijn."
"Thumbnail","Mini-afbeelding"
"Tier Pricing","Staffelprijzen"
"Tile","Tegel"
"Title","Titel"
"To","Aan"
"Top/Left","Bovenaan/links"
"Top/Right","Bovenaan/rechts"
"To reindex the enabled product(s), the store or product must be specified","To reindex the enabled product(s), the store or product must be specified"
"To see product price, add this item to your cart. You can always remove it later.","Om de prijs van het product te zien, voeg dit product toe aan uw winkelwagen. U kunt het later altijd verwijderen."
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d record(s) were updated","Total of %d record(s) were updated"
"Type","Soort"
"Unable to complete this request.","Unable to complete this request."
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to find a search term to delete.","Unable to find a search term to delete."
"Unable to get the product ID.","Unable to get the product ID."
"Unassigned Attributes","Niet-toegewezen attributen"
"Unknown EAV indexer type ""%s"".","Unknown EAV indexer type ""%s""."
"unselect all","alles deselecteren"
"Unsupported product type ""%s"".","Unsupported product type ""%s""."
"Up-sells","verkoop van duurdere producten"
"Update","Bijwerken"
"Update assigned product","Update assigned product"
"Update attribute","Update attribute"
"Update Attributes","Attributen bijwerken"
"Update attributes","Atttributen bijwerken"
"Update category","Update category"
"Update custom option of product","Update custom option of product"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Update Tier Price","Update Tier Price"
"Update value of custom option","Update value of custom option"
"Upload new product image ","Upload new product image "
"URL Rewrite Management","URL-herschrijf beheer"
"Use Canonical Link Meta Tag For Categories","Canonical links voor categorieen"
"Use Canonical Link Meta Tag For Products","Canonical links voor producten"
"Use Categories Path for Product URLs","Categorieënpad voor product-URL’s gebruiken"
"Use config","Gebruik configuratie"
"Use Config Settings","Gebruik configuratiewaarden"
"Use default","Gebruik standaard"
"Use Default Value","Gebruik standaard waarde"
"Used for Sorting in Product Listing","Te gebruiken als sorteeroptie in categorieën"
"Used in Product Listing","Te gebruiken in categorieën"
"Used to fill the frame when Keep Frame is enabled","Used to fill the frame when Keep Frame is enabled"
"Use Flat Catalog Category","Gebruik platte catalogus categorie"
"Use Flat Catalog Product","Gebruik platte catalogus producten"
"Use for Promo Rule Conditions","Gebruik voor promotieregels"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Use four-digit year format. Used for min/max attributes on native date inputs."
"Use in Advanced Search","Use in Advanced Search"
"Use In Layered Navigation","Use In Layered Navigation"
"Use in Layered Navigation","Gebruik in gelaagde navigatie"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Use in Quick Search","Use in Quick Search"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"Use To Create Configurable Product","Use To Create Configurable Product"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Value for ""%s"" is invalid.","Value for ""%s"" is invalid."
"Value for ""%s"" is invalid: %s","Value for ""%s"" is invalid: %s"
"Varchar","Varchar"
"View All Products","View All Products"
"View as","Tonen als"
"View Details","Bekijk details"
"View image %s","View image %s"
"Virtual Product","Virtual Product"
"Visibility","Zichtbaarheid"
"Visible","Zichtbaar"
"Visible on Catalog Pages on Front-end","Visible on Catalog Pages on Front-end"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Watermark"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark Position","Watermark Position"
"Website","Website"
"Websites","Websites"
"What's this?","Wat is dit?"
"When enabled, associated products are automatically recalculated when reindex runs.","When enabled, associated products are automatically recalculated when reindex runs."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Will make search for the query above return results for this search.","Will make search for the query above return results for this search."
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Wrong configuration item instance in options group.","Wrong configuration item instance in options group."
"Wrong configuration item option instance in options group.","Wrong configuration item option instance in options group."
"Wrong option instance type in options group.","Wrong option instance type in options group."
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group.","Wrong product instance type in options group."
"Wrong product type filter specified","Wrong product type filter specified"
"Wrong product type to extract configurable options.","Wrong product type to extract configurable options."
"WYSIWYG Editor","WYSIWYG editor"
"x","x"
"Year Range","Jaar"
"Yes","Ja"
"Yes, with images","Yes, with images"
"You have no items to compare.","Geen producten geselecteerd."
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"You saved the search term.","U hebt de zoekterm opgeslagen."
