"""Remember Me"" Cookie Lifetime","""Onthoud mij"" Cookie Levensduur"
"Type","Type"
"Unable to create directory: %s","Kan map niet aanmaken: %s"
"Unable to delete store. Please, try again later.","Kan winkel niet verwijderen. Probeer het later opnieuw."
"Unable to delete store view. Please, try again later.","Kan winkelaanzicht niet verwijderen. Probeer het later opnieuw."
"Unable to delete website. Please, try again later.","Kan website niet verwijderen. Probeer het later opnieuw."
"Unable to proceed. Please, try again","Kan niet doorgaan. Probeer het opnieuw"
"Unable to proceed. Please, try again.","Kan niet doorgaan. Probeer het opnieuw."
"Unable to save file ""%s"" at ""%s""","Kan bestand ""%s"" niet opslaan op ""%s"""
"Unable to save file: %s","Kan bestand niet opslaan: %s"
"Unknown scope ""%s"".","Onbekende scope ""%s""."
"Unsecure","Onveilig"
"Url Options","URL opties"
"Use Custom Admin Path","Gebruik aangepast admin-pad"
"Use Custom Admin URL","Gebruik aangepaste admin-URL"
"Use HTTP Only","Alleen HTTP gebruiken"
"Use Secure URLs in Admin","Gebruik veilige URL's in Admin"
"Use Secure URLs in Frontend","Gebruik veilige URL's in de frontend"
"Use SID on Frontend","Gebruik SID in de frontend"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT valideren"
"Validate HTTP_VIA","HTTP_VIA valideren"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR valideren"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validation has failed.","Validatie is mislukt."
"Value must be a string.","Waarde moet een tekenreeks zijn."
"Value must be between %d and %d","Waarde moet liggen tussen %d en %d"
"Variable Code must be unique.","Variabele code moet uniek zijn."
"VAT Number","BTW nummer"
"View Entry","Vermelding weergeven"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Waarschuwing! Het inschakelen van deze functie wordt niet aanbevolen in productieomgevingen omdat dit een mogelijk beveiligingsrisico vormt."
"Web","Internet"
"Website","website"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","De website code mag alleen letters (a-z), cijfers (0-9) of een underscore (_) bevatten. Het eerste teken moet een letter zijn."
"Website Information","Website informatie"
"Website Name","Website naam"
"Website with the same code","Website met dezelfde code"
"Weekend Days","Weekend Dagen"
"Welcome Text","Welkom tekst"
"When enabled, all sent emails are logged for debugging and auditing purposes.","Wanneer ingeschakeld, worden alle verzonden e-mails vastgelegd voor doeleinden van debugging en auditing van e-mail."
"When enabled, emails are queued for background sending. Automatically disabled in developer mode for immediate feedback.","Wanneer ingeschakeld, worden e-mails in de wachtrij voor verzenden op de achtergrond. Automatisch uitgeschakeld in de ontwikkelaarsmodus voor onmiddellijke feedback."
"Without this setting, a page could be accessible with both URLs: ""example.com/category"" and ""example.com/category/"". This creates duplicate content issues for SEO. Use this setting to automatically redirect to a canonical URL format.","Zonder deze instelling kan een pagina toegankelijk zijn met beide URL's: ""example.com/category"" en ""example.com/category/"". Dit creëert dubbele inhoudsproblemen voor SEO. Gebruik deze instelling om automatisch door te verwijzen naar een canonical URL-formaat."
"Wrong file info format","Verkeerd bestandsinfo formaat"
"Wrong number of arguments for %s","Verkeerd aantal argumenten voor %s"
"XML data is invalid.","XML-gegevens zijn ongeldig."
"XML object is not instance of ""\Maho\Simplexml\Element"".","XML-object is geen instantie van ""\Maho\Simplexml\Element""."
"Yes","ja"
"Your design change for the specified store intersects with another one, please specify another date range.","Uw ontwerpwijziging voor de opgegeven winkel snijdt een ander datumbereik in."
"You will have to log in after you save your custom admin path.","U moet inloggen als u het custom admin-pad aanpast."
