"""Remember Me"" Default Value","""Onthoud mij"" standaardwaarde"
"You have exceeded magic link requests per hour from this email address.","U hebt de magische linkaanvragen per uur vanaf dit e-mailadres overschreden."
"You have exceeded magic link requests per hour from this IP address.","U heeft de magische linkverzoeken per uur vanaf dit IP adres overschreden."
"You have exceeded requests to times per 24 hours from 1 e-mail.","U heeft de aanvraag overschreden tot een keer per 24 uur per e-mail per e-mail."
"You have exceeded requests to times per hour from 1 IP.","Je hebt verzoeken overschreden tot keren per uur van 1 IP."
"You have logged out and will be redirected to our homepage in 5 seconds.","U bent uitgelogd en zult over 5 seconden naar onze homepage worden doorgestuurd."
"You have no additional address entries in your address book.","U heeft geen extra adresgegevens in uw adresboek."
"You have no default billing address in your address book.","U heeft geen standaard factuuradres in uw adresboek."
"You have no default shipping address in your address book.","U heeft geen standaard verzendadres in uw adresboek."
"You have not set a default billing address.","Je hebt geen standaard factuuradres ingesteld."
"You have not set a default shipping address.","U heeft geen standaard afleveradres ingevoerd."
"Your account balance is: %s","Uw accountsaldo is: %s"
"Your login link has expired. Please request a new one.","Uw login link is verlopen. Vraag een nieuwe aan."
"Your Tax ID cannot be validated.","Uw BTW-nummer kan niet worden gevalideerd."
"Your VAT ID was successfully validated.","Uw BTW-nummer is met succes gevalideerd."
"You will be charged tax.","Er zullen BTW kosten gerekend worden."
"You will not be charged tax.","Er zullen geen BTW kosten berekend worden."
"YYYY","JJJJ"
"ZIP","Postcode"
"Zip/Postal Code","Postcode"
"ZIP/Post Code","Postcode"
