"%d product(s) were updated","%d Produkt(e) wurden aktualisiert"
"%s (Default Template from Locale)","%s (Standardvorlage aus dem Gebiet)"
"%s cache type(s) disabled.","%s Cache-Typ(en) deaktiviert."
"%s cache type(s) enabled.","%s Cache-Typ(en) aktiviert."
"%s cache type(s) refreshed.","%s Cache-Typ(en) aktualisiert."
"Links with associated products will retain only after saving current product.","Links mit verknüpften Produkten werden nur nach dem Speichern des aktuellen Artikels gespeichert."
"List (default) / Grid","Liste (Standard) / Gitter"
"List Only","Nur Liste"
"Load default template","Standardvorlage laden"
"Loading...","Wird geladen..."
"Load Template","Vorlage laden"
"Local/Remote Server","Lokal/Remote-Server"
"Locale","Lokal"
"Local Server","Lokaler Server"
"Log In","Anmelden"
"Login","Anmelden"
"Log in to Admin Panel","Im Adminbereich anmelden"
"Log into Maho Admin Page","In Maho Admin Seite anmelden"
"Log in to use <strong>%s</strong>","Anmelden, um <strong>%s</strong> zu verwenden"
"Login with Passkey","Mit Passwort anmelden"
"Log Out","Abmelden"
"Low Stock","Niedriges Lager"
"Maho Admin","Maho-Admin"
"Maho Test Email","Maho Test E-Mail"
"MAJOR","MAJOR"
"major","wichtigsten"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Stellen Sie sicher, dass die Datenkodierung in der Datei konsistent ist und in einer der unterstützten Kodierungen (UTF-8 oder ANSI) gespeichert ist."
"Manage Attributes","Attribute verwalten"
"Manage Attribute Sets","Attributsets verwalten"
"Manage Categories","Kategorien verwalten"
"Manage Content","Inhalte verwalten"
"Manage Currency Rates","Währungskurse verwalten"
"Manage Customers","Kunden verwalten"
"Manage Options (values of your attribute)","Optionen verwalten (Werte Ihres Attributs)"
"Manage Ratings","Bewertungen verwalten"
"Manage Stores","Stores verwalten"
"Manage Tax Rules","Steuerregeln verwalten"
"Manage Tax Zones and Rates","Steuerzonen und Steuersätze verwalten"
"Manage Titles (Size, Color, etc.)","Titel verwalten (Größe, Farbe, etc.)"
"Manual","Manuell"
"Matched Expression","Passender Ausdruck"
"Maximum sender name length is 255. Please correct your settings.","Maximale Länge des Absendernamens ist 255. Bitte korrigieren Sie Ihre Einstellungen."
"Messages Inbox","Nachrichten Posteingang"
"Minified CSS and JavaScript files.","Minifizierte CSS- und JavaScript-Dateien."
"MINOR","MINO"
"minor","klein"
"Missing required fields","Erforderliche Felder fehlen"
"Month","Monat"
"Most Viewed","Meistangesehen"
"Most Viewed Products","Meistgesehene Produkte"
"MS Excel XML","MS Excel XML"
"Multiple Select","Mehrfachauswahl"
"My Account","Mein Konto"
"My Applications","Meine Anwendungen"
"N/A","N/A"
"Name","Name"
"Name:","Name:"
"Name on Card","Name auf Karte"
"Network Error. Please refresh the page.","Netzwerkfehler. Bitte aktualisieren Sie die Seite."
"Never (production)","Niemals (Produktion)"
"New ","Neu "
"New Accounts","Neue Konten"
"New API Key","Neuer API-Schlüssel"
"New Attribute","Neues Attribut"
"New Block","Neuer Block"
"New block","Neuer Block"
"New Category","Neue Kategorie"
"New Class","Neue Klasse"
"New Condition","Neue Bedingung"
"New Customer","Neuer Kunde"
"New Customers","Neue Kunden"
"New Custom Variable","Neue benutzerdefinierte Variable"
"New Design Change","Neue Designänderung"
"New Email Template","Neue E-Mail-Vorlage"
"New Group","Neue Gruppe"
"New Invoice","Neue Rechnung"
"New Memo","Neue Notiz"
"New Memo for #%s","Neue Nachricht für #%s"
"New Page","Neue Seite"
"New Password","Neues Passwort"
"New Password Confirmation","Bestätigung des neuen Passworts"
"New password field cannot be empty.","Neues Passwortfeld darf nicht leer sein."
"New Profile","Neues Profil"
"New Rate","Neuer Kurs"
"New Rating","Neue Bewertung"
"New Review","Neue Bewertung"
"New Role","Neue Rolle"
"New Rule","Neue Regel"
"New Search","Neue Suche"
"New Set","Neues Set"
"New Shipment","Neuer Versand"
"New Sitemap","Neue Sitemap"
"Newsletter","Newsletter"
"Newsletter Problems","Newsletter-Probleme"
"Newsletter Queue","Newsletter-Warteschlange"
"Newsletter Subscribers","Newsletter-Abonnenten"
"Newsletter Templates","Newslettervorlagen"
"New Store View","Neue Store-Ansicht"
"New System Template","Neue Systemvorlage"
"New Tag","Neues Tag"
"New Template","Neue Vorlage"
"New User","Neuer Benutzer"
"New Variable","Neue Variable"
"New Website","Neue Webseite"
"No","Nein"
"No (price without tax)","Nein (Preis ohne Steuer)"
"No change","Keine Änderung"
"No customer id defined.","Keine Kundennummer definiert."
"No Data Found","Keine Daten gefunden"
"No information available.","Keine Informationen verfügbar."
"None","Keine"
"No Passkey Created","Kein Passwort erstellt"
"No profile loaded...","Kein Profil geladen..."
"No records found.","Keine Einträge gefunden."
"No records found for this period.","Keine Datensätze für diesen Zeitraum gefunden."
"No report code specified.","Kein Berichtscode angegeben."
"No search keywords.","Keine Suchbegriffe."
"No search modules were registered","Es wurden keine Suchmodule registriert"
"Not allowed","Nicht erlaubt"
"Not authenticated","Nicht authentifiziert"
"Note:","Hinweis:"
"No Templates Found","Keine Vorlagen gefunden"
"NOTICE","HINWEISE"
"Notice","Hinweis"
"notice","benachrichtigen"
"Notifications","Benachrichtigungen"
"Number of Orders","Anzahl der Bestellungen"
"Number of records:","Anzahl der Datensätze:"
"Number of Uses","Anzahl der Verwendungen"
"Number of Views","Anzahl der Aufrufe"
"OAuth authorization for admin","OAuth Autorisierung für Admin"
"OAuth authorization simple for admin","OAuth Authorisierung einfach für Admin"
"OAuth Consumers","OAuth-Verbraucher"
"Old rate:","Alter Kurs:"
"One or more of the Cache Types are invalidated:","Einer oder mehrere Cache-Typen sind ungültig:"
"Online Customers","Online-Kunden"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Es stehen nur Attribute mit dem Bereich ""Global"" zur Verfügung, Eingabeart ""Dropdown"" und Benutzen, um konfigurierbares Produkt ""Ja"" zu erstellen."
"Only from same domain","Nur von derselben Domain"
"Only mapped fields","Nur zugeordnete Felder"
"Only Once (version upgrade)","Nur einmal (Version aktualisieren)"
"Optional","Optional"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Optionale Region für Provider, die sie unterstützen (z.B. us-east-1 für AWS)"
"Options","Optionen"
"Options is required","Optionen sind erforderlich"
"Order","Sortierung"
"Order #%s","Bestellung #%s"
"Order #%s (%s)","Bestellung Nr.%s (%s)"
"Order Created Date","Erstellungsdatum der Bestellung"
"Order ID","Bestell-ID"
"Orders","Bestellungen"
"Order Totals","Bestellsumme"
"Order Updated Date","Bestelldatum aktualisiert"
"Order Updated Date report is real-time, does not need statistics refreshing.","Auftragsaktualisierung Datumsbericht ist in Echtzeit, benötigt keine Statistiken aktualisieren."
"Original Magento attribute names in first row:","Original Magento-Attributnamen in der ersten Zeile:"
"Orphaned API Role Resource","Verwaiste API Rollenressource"
"Orphaned API Role Resources","Verwaiste API-Rollen-Ressourcen"
"Orphaned Resources","Verwaiste Ressourcen"
"Orphaned Role Resource","Verwaiste Rollen-Ressource"
"Orphaned Role Resources","Verwaiste Rollen-Ressourcen"
"Out of stock","Nicht auf Lager"
"Pages","Seiten"
"Parent Product Thumbnail","Vorschaubild für übergeordnete Produkte"
"Parent Transaction ID","Übergeordnete Transaktions-ID"
"Passive mode","Passiver Modus"
"Passkey Active","Passwort aktiv"
"Passkey Authentication","Passwort-Authentifizierung"
"Passkey credential already registered to another user.","Zugangsdaten sind bereits bei einem anderen Benutzer registriert."
"Passkey will be deleted upon saving.","Passwort wird beim Speichern gelöscht."
"Passkey will be registered upon saving.","Passwort wird beim Speichern registriert."
"Password","Passwort"
"Password:","Passwort:"
"Password Confirmation","Passwortbestätigung"
"Password confirmation must be same as password.","Passwortbestätigung muss dasselbe sein wie Passwort."
"Password must be at least of %d characters.","Das Passwort muss mindestens aus %d Zeichen bestehen."
"Password must include both numeric and alphabetic characters.","Passwort muss sowohl numerische als auch alphabetische Zeichen enthalten."
"Path:","Pfad:"
"Payment method instance is not available.","Zahlungsmethode Instanz ist nicht verfügbar."
"Payment method is not available.","Zahlungsart ist nicht verfügbar."
"Payment method must be specified.","Zahlungsart muss angegeben werden."
"Pending Reviews","Ausstehende Bewertungen"
"Pending Tags","Ausstehende Tags"
"Percent","Prozent"
"Performed At","Ausgeführt am"
"Period","Zeitraum"
"Per Item","Pro Artikel"
"Permanent (301)","Dauerhaft (301)"
"Permissions","Berechtigungen"
"Per Order","Pro Bestellung"
"Personal Information","Persönliche Informationen"
"Phone:","Telefon:"
"PHP attribute recompilation failed: %s","PHP-Attribut-Neukompilierung fehlgeschlagen: %s"
"PHP attributes were recompiled.","PHP-Attribute wurden neu kompiliert."
"Please confirm site switching. All data that hasn't been saved will be lost.","Bitte bestätigen Sie den Seitenwechsel. Alle noch nicht gespeicherten Daten gehen verloren."
"Please enter 6 or more characters.","Bitte geben Sie 6 oder mehr Zeichen ein."
"Please enter another credit card number to complete your purchase.","Bitte geben Sie eine andere Kreditkartennummer ein, um Ihren Kauf abzuschließen."
"Please enter a number greater than 0 in this field.","Bitte geben Sie eine Zahl größer 0 in dieses Feld ein."
"Please enter a valid $ amount. For example $100.00.","Bitte geben Sie einen gültigen $-Betrag ein. Zum Beispiel $100.00."
"Please enter a valid credit card number.","Bitte geben Sie eine gültige Kreditkartennummer ein."
"Please enter a valid date.","Bitte geben Sie ein gültiges Datum ein."
"Please enter a valid email.","Bitte geben Sie eine gültige E-Mail ein."
"Please enter a valid email address. For example johndoe@domain.com.","Bitte geben Sie eine gültige E-Mail-Adresse ein. Zum Beispiel johndoe@domain.com."
"Please enter a valid number in this field.","Bitte geben Sie eine gültige Zahl in dieses Feld ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte geben Sie eine gültige Telefonnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Bitte geben Sie eine gültige Sozialversicherungsnummer ein. Zum Beispiel 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Bitte geben Sie eine gültige URL ein. Zum Beispiel http://www.example.com oder www.example.com"
"Please enter a valid URL. http:// is required","Bitte geben Sie eine gültige URL ein. http:// ist erforderlich"
"Please enter a valid zip code.","Bitte geben Sie eine gültige Postleitzahl ein."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte geben Sie eine gültige Postleitzahl ein. Zum Beispiel 90602 oder 90602-1234."
"Please enter valid password.","Bitte geben Sie ein gültiges Passwort ein."
"Please make sure that all global admin search modules are installed and activated.","Bitte stellen Sie sicher, dass alle globalen Admin-Suchmodule installiert und aktiviert sind."
"Please make sure that your changes were saved before running the profile.","Bitte stellen Sie sicher, dass Ihre Änderungen gespeichert wurden, bevor Sie das Profil ausführen."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Passwörter übereinstimmen."
"Please Select","Bitte wählen"
"Please select a customer.","Bitte wählen Sie einen Kunden."
"Please select an option.","Bitte wählen Sie eine Option."
"Please select a store.","Bitte wählen Sie einen Shop."
"Please select catalog searches.","Bitte wählen Sie Katalogsuche."
"Please select customer(s).","Bitte Kunden(n) auswählen."
"Please select one of the above options.","Bitte wählen Sie eine der oben genannten Optionen."
"Please select one of the options.","Bitte wählen Sie eine der Optionen aus."
"Please select review(s).","Bitte Bewertung(en) auswählen."
"Please select State/Province.","Bitte Bundesland/Provinz auswählen."
"Please select tag(s).","Bitte Tag(s) auswählen."
"Please select URL rewrite(s).","Bitte URL-Umschreibung(en) auswählen."
"Please specify the admin custom URL.","Bitte geben Sie die benutzerdefinierte Admin-URL an."
"Please try to logout and sign in again.","Bitte versuchen Sie sich abzumelden und sich erneut anzumelden."
"Please use in this field only ""a-z,0-9,_"".","Bitte verwenden Sie in diesem Feld nur ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Bitte verwenden Sie nur Buchstaben (a-z) in diesem Feld."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Bitte verwenden Sie nur Zahlen in diesem Feld. Bitte vermeiden Sie Leerzeichen oder andere Zeichen wie Punkte oder Kommas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bitte verwenden Sie nur Buchstaben (a-z) oder Zahlen (0-9) in diesem Feld. Es sind keine Leerzeichen oder andere Zeichen erlaubt."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Bitte verwenden Sie nur Buchstaben (a-z) oder Zahlen (0-9) oder Leerzeichen und # nur in diesem Feld."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bitte verwenden Sie dieses Datumsformat: dd/mm/yyyy. Zum Beispiel 17/03/2006 für den 17. März 2006."
"Please wait, loading...","Bitte warten, lade..."
"Please wait...","Bitte warten..."
"Please wait while the indexes are being refreshed.","Bitte warten Sie, während die Indizes aktualisiert werden."
"Popular","Beliebt"
"Position","Position"
"Position of Watermark for %s","Position des Wasserzeichens für %s"
"Pregenerated configurable swatches image files.","Vorgenerierte konfigurierbare Swatchs-Bilddateien."
"Pregenerated product images files.","Vorgenerierte Produktbilderdateien."
"Preview","Vorschau"
"Preview Template","Vorschauvorlage"
"Price","Preis"
"Price:","Preis:"
"Price alert subscription was saved.","Preisbenachrichtigung wurde gespeichert."
"Processed <strong>%s%% %s/%d</strong> records","Verarbeitet <strong>%s%% %s/%d</strong> Datensätze"
"Processing","Verarbeitung"
"Product","Produkt"
"Product:","Produkt:"
"Product is not loaded.","Produkt ist nicht geladen."
"Product Name","Produktname"
"Product Reviews","Produktbewertungen"
"Products","Produkte"
"Products Bestsellers Report","Artikel Bestseller Bericht"
"Products in Carts","Produkte in Warenkörben"
"Products Most Viewed Report","Artikel die am meisten angesehen werden"
"Products Ordered","Bestellte Produkte"
"Product Tax Classes","Produkt-Steuerklassen"
"Product Thumbnail Itself","Produkt Miniaturbild selbst"
"Profile Action","Profil-Aktion"
"Profile Actions XML","Profil-Aktionen XML"
"Profile Direction","Profilrichtung"
"Profile History","Profilverlauf"
"Profile Information","Profilinformationen"
"Profile Name","Profilname"
"Profile Payments","Profil-Zahlungen"
"Profiles","Profiles"
"Profile Schedule","Profil-Zeitplan"
"Profile Wizard","Profil-Assistent"
"Promo","Werbeaktion"
"Promotions","Promotionen"
"Purchased Item","Kaufte Artikel"
"QR Code","QR Code"
"Quantity","Menge"
"Queued... Cancel","Warteschlange... Abbrechen"
"Queue Refresh","Warteschlange aktualisieren"
"Radio Buttons","Radio Tasten"
"Rates","Tarife"
"Read details","Details lesen"
"Rebuild","Neu aufbauen"
"Rebuild Catalog Index","Katalogindex neu aufbauen"
"Rebuild Flat Catalog Category","Flache Katalogkategorie neu aufbauen"
"Rebuild Flat Catalog Product","Flat Katalog Produkt neu aufbauen"
"Recent Orders","Neueste Bestellungen"
"Recent statistics have been updated.","Aktuelle Statistiken wurden aktualisiert."
"Recipient email address","E-Mail-Adresse des Empfängers"
"Recompile PHP Attributes","PHP-Attribute neu kompilieren"
"Recurring Profile View","Wiederkehrende Profilansicht"
"Redirect","Umleitung"
"Redirect to URL without trailing slash","Weiterleitung zu URL ohne Schrägstrich am Ende"
"Redirect to URL with trailing slash","Weiterleitung zu URL mit folgendem Schrägstrich"
"Reference","Referenz"
"Reference ID","Referenz-ID"
"Refresh","Aktualisieren"
"Refresh Now*","Aktualisiere jetzt*"
"Refresh Roles","Rollen aktualisieren"
"Refresh Statistics","Statistiken aktualisieren"
"Region","Region"
"Region/State","Region/Bundesland"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","Die Registrierung eines Passworts deaktiviert automatisch die Passwort-Authentifizierung. Aus Sicherheitsgründen empfehlen wir, dass es deaktiviert bleibt, obwohl Sie es bei Bedarf wieder aktivieren können."
"Register New Passkey","Neues Passwort registrieren"
"Register Passkey","Passwort registrieren"
"Regular Price:","Normaler Preis:"
"Reject","Ablehnen"
"Rejection Of Authorization","Autorisierung verweigern"
"Reject token authorization for admin","Token Autorisierung für Admin ablehnen"
"Reject token authorization Pop Up for admin","Token Autorisierung ablehnen PopUp für Admin"
"Remote FTP","Remote-FTP"
"Remove","Entfernen"
"Remove Passkey","Passwort entfernen"
"Rename","Umbenennen"
"Reports","Berichte"
"Request Path","Anfragepfad"
"Required","Benötigt"
"Reset","Reset"
"Reset a Password","Passwort zurücksetzen"
"Reset Filter","Filter zurücksetzen"
"Reset Password","Passwort zurücksetzen"
"Resource Access","Ressourcen-Zugriff"
"Resources","Ressourcen"
"REST (legacy)","REST (Legacy)"
"REST Roles","REST-Rollen"
"Results","Ergebnisse"
"Retrieve Password","Passwort abrufen"
"Return Html Version","Html-Version zurückgeben"
"Revenue","Umsatz"
"Reviews","Bewertungen"
"Reviews and Ratings","Bewertungen und Bewertungen"
"Rewrite Rules","Regeln umschreiben"
"Role ID","Rollen-ID"
"Role Info","Rolleninfo"
"Role Information","Rolleninformationen"
"Role Name","Rollenname"
"Role Resources","Rollenressourcen"
"Roles","Rollen"
"Roles Resources","Rollen-Ressourcen"
"Role Users","Rollen-Benutzer"
"Root Category","Hauptkategorie"
"Run","Ausführen"
"Running... Kill","Läuft... Töte"
"Run Profile","Profil ausführen"
"Run Profile in Popup","Profil in Popup ausführen"
"Sales","Verkäufe"
"Sales Overview","Verkaufsübersicht"
"Sales Report","Verkaufsbericht"
"Samples","Muster"
"Save","Speichern"
"Save & Generate","Speichern & Generieren"
"Save Account","Konto speichern"
"Save and Continue Edit","Speichern und Bearbeiten fortsetzen"
"Save Block","Block speichern"
"Save Cache Settings","Cache-Einstellungen speichern"
"Save Config","Konfiguration speichern"
"Save Currency Rates","Währungskurse speichern"
"Save Profile","Profil speichern"
"Save Role","Rolle speichern"
"Save Template","Vorlage speichern"
"Save User","Benutzer speichern"
"Save Variable","Variable speichern"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Scannen Sie diesen QR-Code mit Ihrer Authentifizierungs-App (Google Authenticator, Authy, etc.)"
"Search","Suchen"
"Search entire store here...","Suche den gesamten Shop hier..."
"Search Index","Suchindex"
"Search results","Suchergebnisse"
"Search Term","Suchbegriff"
"Search Terms","Suchbegriffe"
"Select","Auswählen"
"Select All","Alle auswählen"
"Select Category","Kategorie auswählen"
"selected","ausgewählt"
"Selected allowed currency ""%s"" is not available in installed currencies.","Ausgewählte erlaubte Währung ""%s"" ist in installierten Währungen nicht verfügbar."
"Selected base currency is not available in installed currencies.","Ausgewählte Basiswährung ist in installierten Währungen nicht verfügbar."
"Selected default display currency is not available in allowed currencies.","Ausgewählte Standard-Anzeigewährung ist in erlaubten Währungen nicht verfügbar."
"Selected default display currency is not available in installed currencies.","Ausgewählte Standard-Anzeigewährung ist in installierten Währungen nicht verfügbar."
"Select Range","Bereich auswählen"
"Self-assigned roles cannot be deleted.","Selbst zugewiesene Rollen können nicht gelöscht werden."
"Send","Senden"
"Sender","Absender"
"Sending...","Senden..."
"Separate Email","Separate E-Mail"
"Serialized data is incorrect","Serialisierte Daten sind falsch"
"Shipment #%s comment added","Versand #%s Kommentar hinzugefügt"
"Shipment #%s created","Versand #%s erstellt"
"Shipment Comments","Versandkommentare"
"Shipment History","Versandverlauf"
"Shipments","Sendungen"
"Shipping","Versand"
"Shipping Address","Lieferadresse"
"Shipping Address: ","Lieferadresse: "
"Shipping address selection is not applicable","Auswahl der Versandadresse ist nicht anwendbar"
"Shipping method must be specified.","Versandart muss angegeben werden."
"Shipping method selection is not applicable","Auswahl der Versandart ist nicht anwendbar"
"Shipping Origin","Versandherkunft"
"Shipping Price","Versandpreis"
"Shopping Cart","Warenkorb"
"Shopping Cart from %s","Warenkorb von %s"
"Shopping Cart Price Rules","Warenkorb-Preisregeln"
"Show By","Zeigen von"
"Show Report For:","Bericht anzeigen für:"
"Show Reviews","Bewertungen anzeigen"
"Sitemap Information","Sitemap Informationen"
"Size for %s","Größe für %s"
"Skip Category Selection","Kategorieauswahl überspringen"
"SKU","SKU"
"SKU:","SKU:"
"SOAP / XML-RPC (legacy)","SOAP / XML-RPC (legacy)"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Einige Artikel in dieser Bestellung haben unterschiedliche Rechnungs- und Versandarten. Sie können Sendung erst nach Erstellung der Rechnung erstellen."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Einige der bestellten Artikel sind nicht mehr im Katalog vorhanden und werden gelöscht, wenn Sie die Bestellung bearbeiten möchten."
"Special Price:","Sonderpreis:"
"Specific Countries","Bestimmte Länder"
"Specified","Angegeben"
"Specified profile does not exist.","Das angegebene Profil existiert nicht."
"Spreadsheet Name:","Tabellenname:"
"Start Date","Startdatum"
"Starting profile execution, please wait...","Starte Profilausführung, bitte warten..."
"State/Province:","Bundesland/Provinz:"
"Static Blocks","Statische Blöcke"
"Status","Status"
"Status:","Status:"
"Stock notification was saved.","Lagerbestand wurde gespeichert."
"Stock Quantity:","Lagermenge:"
"Store","Shop"
"store(%s) scope","store(%s) Bereich"
"Store:","Shop:"
"Stores","Filialen"
"Store View","Store-Ansicht"
"Subject","Betreff"
"Submit","Absenden"
"Subtotal","Zwischensumme"
"successful","erfolgreich"
"Switch/Solo/Maestro Only","Nur Switch/Solo/Maestro"
"System","System"
"System busy","System besetzt"
"Tags","Tags"
"Target Path","Zielpfad"
"Tax","Steuer"
"Template","Vorlage"
"Template Content","Vorlageninhalt"
"Template Information","Vorlageninformationen"
"Template Name","Vorlagenname"
"Template Styles","Template Styles"
"Template Subject","Template Betreff"
"Template Type","Vorlagentyp"
"Temporary (302)","Temporär (302)"
"Terms and Conditions","Allgemeine Geschäftsbedingungen"
"Test email sent successfully to %s.","Test-E-Mail erfolgreich an %s gesendet."
"Test Email Settings","E-Mail-Einstellungen testen"
"Text","Text"
"The account has been saved.","Das Konto wurde gespeichert."
"The attribute set has been removed.","Das Attributset wurde entfernt."
"The billing agreement has been canceled.","Die Abrechnungsvereinbarung wurde storniert."
"The billing agreement has been deleted.","Die Zahlungsvereinbarung wurde gelöscht."
"The block has been saved.","Der Block wurde gespeichert."
"The cache storage has been flushed.","Der Cache-Speicher wurde geleert."
"The carrier needs to be specified.","Der Versanddienst muss angegeben werden."
"The catalog index has been rebuilt.","Der Katalogindex wurde neu aufgebaut."
"The CatalogInventory Stock Status has been rebuilt.","Der Lagerbestand des Katalogbestands wurde neu aufgebaut."
"The catalog rewrites have been refreshed.","Die Katalog-Rewrites wurden aktualisiert."
"The Catalog Rewrites were refreshed.","Die Katalog-Rewrites wurden aktualisiert."
"The Comment Text field cannot be empty.","Das Kommentar-Textfeld darf nicht leer sein."
"The configurable swatches image cache was cleaned.","Der konfigurierbare Uhrenbildcache wurde bereinigt."
"The configuration has been saved.","Die Konfiguration wurde gespeichert."
"The credit memo has been canceled.","Die Rechnungskorrektur wurde storniert."
"The credit memo has been created.","Die Rechnungskorrektur wurde erstellt."
"The credit memo has been voided.","Die Rechnungskorrektur ist ungültig."
"The credit memo no longer exists.","Die Rechnungskorrektur existiert nicht mehr."
" The customer does not exist in the system anymore."," Der Kunde existiert nicht mehr im System."
"The customer has been deleted.","Der Kunde wurde gelöscht."
"The customer has been saved.","Der Kunde wurde gespeichert."
"The custom variable has been deleted.","Die benutzerdefinierte Variable wurde gelöscht."
"The custom variable has been saved.","Die benutzerdefinierte Variable wurde gespeichert."
"The design change has been deleted.","Die Designänderung wurde gelöscht."
"The design change has been saved.","Die Designänderung wurde gespeichert."
"The email address has been updated successfully.","Die E-Mail-Adresse wurde erfolgreich aktualisiert."
"The email address is empty.","Die E-Mail-Adresse ist leer."
"The email template has been deleted.","Die E-Mail-Vorlage wurde gelöscht."
"The email template has been saved.","Die E-Mail-Vorlage wurde gespeichert."
"The flat catalog category has been rebuilt.","Die flache Kategorie wurde neu aufgebaut."
"The Flat Catalog Product was rebuilt","Das Flat Katalog Produkt wurde neu aufgebaut"
"The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>."
"The following role resource(s) are not orphaned: %s","Die folgende Rollenressource(n) sind nicht verwaist: %s"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>."
"The group node name must be specified with field node name.","Der Gruppenknotenname muss mit Feldnamen angegeben werden."
"The image cache was cleaned.","Der Bild-Cache wurde bereinigt."
"The image cache was cleared.","Der Bild-Cache wurde geleert."
"The invoice and shipment have been created.","Die Rechnung und der Versand wurden erstellt."
"The invoice cannot be canceled.","Die Rechnung kann nicht storniert werden."
"The invoice cannot be captured.","Die Rechnung kann nicht erfasst werden."
"The invoice cannot be voided.","Die Rechnung kann nicht storniert werden."
"The invoice has been canceled.","Die Rechnung wurde storniert."
"The invoice has been captured.","Die Rechnung wurde erfasst."
"The invoice has been created.","Die Rechnung wurde erstellt."
"The invoice has been voided.","Die Rechnung wurde storniert."
"The invoice no longer exists.","Die Rechnung existiert nicht mehr."
"The item %s (SKU %s) does not exist in the catalog anymore.","Der Artikel %s (SKU %s) existiert nicht mehr im Katalog."
"The Layered Navigation indexing has been queued.","Die Indexierung der Filternavigation wurde in die Warteschlange gestellt."
"The Layered Navigation indexing queue has been canceled.","Die Warteschlange für die Indexierung der Filternavigation wurde abgebrochen."
"The Layered Navigation indices were refreshed.","Die Indizes für die Filternavigation wurden aktualisiert."
"The Layered Navigation process has been queued to be killed.","Der Prozess der Filternavigation wurde zum Beenden in der Warteschlange gestellt."
"The Maho cache has been flushed and updates applied.","Der Maho-Cache wurde geleert und Updates angewendet."
"The minified CSS/JS cache was cleaned.","Der minified CSS/JS-Cache wurde bereinigt."
"The order does not allow creating an invoice.","Die Bestellung erlaubt keine Rechnung."
"The order no longer exists.","Die Bestellung existiert nicht mehr."
"The profile has been deleted.","Das Profil wurde gelöscht."
"The profile has been saved.","Das Profil wurde gespeichert."
"The profile has been updated.","Das Profil wurde aktualisiert."
"The profile has no changes.","Das Profil hat keine Änderungen."
"The profile you are trying to save no longer exists","Das Profil, das Sie zu speichern versuchen, existiert nicht mehr"
"The rating has been deleted.","Die Bewertung wurde gelöscht."
"The rating has been saved.","Die Bewertung wurde gespeichert."
"There is an error in one of the option rows.","Es gibt einen Fehler in einer der Optionszeilen."
"The role has been deleted.","Die Rolle wurde gelöscht."
"The role has been saved.","Die Rolle wurde gespeichert."
"The role has been successfully saved.","Die Rolle wurde erfolgreich gespeichert."
"The roles have been refreshed.","Die Rollen wurden aktualisiert."
"The search index has been rebuilt.","Der Suchindex wurde neu aufgebaut."
"The shipment has been created.","Die Sendung wurde erstellt."
"The shipment has been sent.","Die Sendung wurde gesendet."
"The shipment no longer exists.","Die Sendung existiert nicht mehr."
"The shipping label has been created.","Der Versandaufkleber wurde erstellt."
"The Special Price is active only when lower than the Actual Price.","Der Sonderpreis ist nur gültig, wenn er unter dem aktuellen Preis liegt."
"The tag has been deleted.","Der Tag wurde gelöscht."
"The tag has been saved.","Das Tag wurde gespeichert."
"The transaction details have been updated.","Die Transaktionsdetails wurden aktualisiert."
"The URL Rewrite has been deleted.","Der URL-Rewrite wurde gelöscht."
"The URL Rewrite has been saved.","Der URL-Rewrite wurde gespeichert."
"The user has been deleted.","Der Benutzer wurde gelöscht."
"The user has been saved.","Der Benutzer wurde gespeichert."
"The variable has been saved.","Die Variable wurde gespeichert."
"This Account is","Dieses Konto ist"
"This account is","Dieses Konto ist"
"This account is inactive.","Dieses Konto ist inaktiv."
"This attribute set does not have attributes which we can use for configurable product","Dieses Attributset hat keine Attribute, die wir für konfigurierbare Produkte verwenden können"
"This block no longer exists.","Dieser Block existiert nicht mehr."
