"""Remember Me"" Cookie Lifetime","""Remember me"" Cookie Lebensdauer"
"The website has been deleted.","Die Website wurde gelöscht."
"The website has been saved.","Die Webseite wurde gespeichert."
"This date is a required value.","Dieses Datum ist ein notwendiger Wert."
"This email log entry no longer exists.","Dieser E-Mail-Logeintrag existiert nicht mehr."
"This functionality limits the number of requests a user (identified by IP address) can perform within a specific time frame, preventing excessive resources usage and maintaining system performance, stability and security.","Diese Funktionalität beschränkt die Anzahl der Anfragen die ein Benutzer (durch die IP-Adresse identifiziert) innerhalb eines bestimmten Zeitrahmens ausführen kann, Vermeidung übermäßiger Ressourcennutzung und Aufrechterhaltung der Systemleistung, Stabilität und Sicherheit."
"This is a required field.","Dies ist ein Pflichtfeld."
"This setting enable notification when new admin user created.","Diese Einstellung aktiviert die Benachrichtigung, wenn ein neuer Admin-Benutzer erstellt wurde."
"This store cannot be deleted.","Dieser Store kann nicht gelöscht werden."
"This store view cannot be deleted.","Diese Store-Ansicht kann nicht gelöscht werden."
"This website cannot be deleted.","Diese Website kann nicht gelöscht werden."
"This will be displayed just before body closing tag.","Dies wird kurz vor dem schließenden Body-Tag angezeigt."
"This will be included before head closing tag in page HTML.","Dies wird vor dem Schließen des Kopfes in Seite HTML aufgenommen."
"Timeframe","Timeframe"
"Timezone","Timezone"
"Title Prefix","Titelpräfix"
"Title Suffix","Titel Suffix"
"To","An"
"Too Soon: You are trying to perform this operation too frequently. Please wait a few seconds and try again.","Zu bald: Sie versuchen diese Operation zu oft auszuführen. Bitte warten Sie ein paar Sekunden und versuchen Sie es erneut."
"Transactional Emails","Transaktions-E-Mails"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Übersetzung, Blöcke und andere Output-Caches sollten sowohl für Frontend als auch für Admin-Inline-Übersetzungen deaktiviert werden."
"Translate Inline","Inline übersetzen"
"Translations","Übersetzungen"
"Transport","Transport"
"Two and more slashes together are not permitted in request path","Zwei und mehr Schrägstriche zusammen sind im Anfragepfad nicht erlaubt"
"Two and more slashes together are not permitted in url rewrite suffix","Zwei und mehr Schrägstriche zusammen sind im Url Rewrite Suffix nicht erlaubt"
"Type","Typ"
"Unable to create directory: %s","Verzeichnis kann nicht erstellt werden: %s"
"Unable to delete store. Please, try again later.","Store kann nicht gelöscht werden. Bitte versuchen Sie es später erneut."
"Unable to delete store view. Please, try again later.","StoreView konnte nicht gelöscht werden. Bitte versuchen Sie es später erneut."
"Unable to delete website. Please, try again later.","Website kann nicht gelöscht werden. Bitte versuchen Sie es später erneut."
"Unable to proceed. Please, try again","Kann nicht fortfahren. Bitte versuchen Sie es erneut"
"Unable to proceed. Please, try again.","Kann nicht fortfahren. Bitte versuchen Sie es erneut."
"Unable to save file ""%s"" at ""%s""","Datei ""%s"" unter ""%s "" konnte nicht gespeichert werden"
"Unable to save file: %s","Datei kann nicht gespeichert werden: %s"
"Unknown scope ""%s"".","Unbekannter Bereich ""%s""."
"Unsecure","Unsicher"
"Url Options","Url-Optionen"
"Use Custom Admin Path","Eigenen Adminpfad verwenden"
"Use Custom Admin URL","Eigene Admin-URL verwenden"
"Use HTTP Only","Nur HTTP verwenden"
"Use Secure URLs in Admin","Sichere URLs in Admin verwenden"
"Use Secure URLs in Frontend","Sichere URLs im Frontend verwenden"
"Use SID on Frontend","SID im Frontend verwenden"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT überprüfen"
"Validate HTTP_VIA","HTTP_VIA überprüfen"
"Validate HTTP_X_FORWARDED_FOR","Überprüfe HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validation has failed.","Validierung fehlgeschlagen."
"Value must be a string.","Wert muss ein String sein."
"Value must be between %d and %d","Wert muss zwischen %d und %d liegen"
"Variable Code must be unique.","Variablencode muss eindeutig sein."
"VAT Number","USt-IdNr."
"View Entry","Eintrag anzeigen"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warnung! Die Aktivierung dieser Funktion wird in Produktionsumgebungen nicht empfohlen, da sie ein potenzielles Sicherheitsrisiko darstellt."
"Web","Web"
"Website","Webseite"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Website-Code darf nur Buchstaben (a-z), Zahlen (0-9) oder Unterstrich (_) enthalten, das erste Zeichen muss ein Buchstabe sein"
"Website Information","Website-Informationen"
"Website Name","Name der Webseite"
"Website with the same code","Webseite mit dem gleichen Code"
"Weekend Days","Wochenendtage"
"Welcome Text","Willkommenstext"
"When enabled, all sent emails are logged for debugging and auditing purposes.","Wenn diese Option aktiviert ist, werden alle gesendeten E-Mails für Debugging- und Auditing-Zwecke protokolliert."
"When enabled, emails are queued for background sending. Automatically disabled in developer mode for immediate feedback.","Wenn aktiviert, werden E-Mails für den Hintergrundversand in der Warteschlange gewartet. Automatisch im Entwicklermodus deaktiviert, um sofortiges Feedback zu erhalten."
"Without this setting, a page could be accessible with both URLs: ""example.com/category"" and ""example.com/category/"". This creates duplicate content issues for SEO. Use this setting to automatically redirect to a canonical URL format.","Ohne diese Einstellung kann eine Seite mit beiden URLs erreichbar sein: ""example.com/category"" und ""example.com/category/"". Dies erzeugt doppelte Inhaltsprobleme für SEO. Verwenden Sie diese Einstellung, um automatisch auf ein kanonisches URL-Format umzuleiten."
"Wrong file info format","Falsches Dateiinfo-Format"
"Wrong number of arguments for %s","Falsche Anzahl von Argumenten für %s"
"XML data is invalid.","XML-Daten sind ungültig."
"XML object is not instance of ""\Maho\Simplexml\Element"".","XML Objekt ist keine Instanz von ""\Maho\Simplexml\Element""."
"Yes","Ja"
"Your design change for the specified store intersects with another one, please specify another date range.","Ihre Designänderung für den angegebenen Store schneidet mit einem anderen Shop, bitte geben Sie einen anderen Zeitraum an."
"You will have to log in after you save your custom admin path.","Sie müssen sich anmelden, nachdem Sie Ihren benutzerdefinierten Adminpfad gespeichert haben."
