"""Remember Me"" Default Value","Standardwert ""An mich erinnern"""
"VAT Number Validation","USt-Nummer-Validierung"
"VAT Request Date","Datum der USt.-Anfrage"
"VAT Request Identifier","USt.-Anfrage-Identifikator"
"VAT validation is not available for this country.","Die Überprüfung der Mehrwertsteuer ist für dieses Land nicht verfügbar."
"VIES service is unavailable. VAT format is valid.","VIES-Dienst ist nicht verfügbar. MwSt-Format ist gültig."
"View","Ansicht"
"View Order","Bestellung anzeigen"
"Visitor","Besucher"
"Visitors Only","Nur Besucher"
"Warning: email containing password in plaintext will be sent.","Warnung: E-Mail mit Passwort im Klartext wird gesendet."
"Website","Webseite"
"Welcome, %s!","Willkommen, %s!"
"Welcome Email","Willkommens-E-Mail"
"When disabled, only guest checkout is available. Customer registration, login, and account pages are disabled.","Wenn deaktiviert, ist nur Gastbestellung verfügbar. Kundenregistrierung, Login und Account-Seiten sind deaktiviert."
"Wishlist","Wunschliste"
"Wishlist - %d item(s)","Wunschliste - %d Item(n)"
"Would you like to change the Customer Group for this order?","Möchten Sie die Kundengruppe für diese Bestellung ändern?"
"Wrong confirmation key.","Falscher Bestätigungsschlüssel."
"Wrong customer account specified.","Falsches Kundenkonto angegeben."
"Wrong email.","Falsche E-Mail."
"Wrong transactional account email type","Falscher Kontotyp"
"Year","Jahr"
"You are currently subscribed to our newsletter.","Sie haben derzeit unseren Newsletter abonniert."
"You are not subscribed to our newsletter.","Sie haben unseren Newsletter nicht abonniert."
"You are now logged out","Sie sind jetzt abgemeldet"
"You have been successfully logged in.","Sie wurden erfolgreich eingeloggt."
"You have exceeded magic link requests per hour from this email address.","Sie haben die magischen Link-Anfragen pro Stunde von dieser E-Mail-Adresse überschritten."
"You have exceeded magic link requests per hour from this IP address.","Sie haben die magischen Link-Anfragen pro Stunde von dieser IP-Adresse überschritten."
"You have exceeded requests to times per 24 hours from 1 e-mail.","Sie haben die Anfragen pro 24 Stunden per E-Mail zu Zeiten überschritten."
"You have exceeded requests to times per hour from 1 IP.","Sie haben die Anfragen von 1 IP zu Zeiten pro Stunde überschritten."
"You have logged out and will be redirected to our homepage in 5 seconds.","Sie haben sich abgemeldet und werden in 5 Sekunden zu unserer Homepage weitergeleitet."
"You have no additional address entries in your address book.","Sie haben keine zusätzlichen Adresseinträge in Ihrem Adressbuch."
"You have no default billing address in your address book.","Sie haben keine Standard-Rechnungsadresse in Ihrem Adressbuch."
"You have no default shipping address in your address book.","Sie haben keine Standard-Lieferadresse in Ihrem Adressbuch."
"You have not set a default billing address.","Sie haben keine Standard-Rechnungsadresse festgelegt."
"You have not set a default shipping address.","Sie haben keine Standard-Lieferadresse festgelegt."
"Your account balance is: %s","Ihr Kontostand ist: %s"
"Your login link has expired. Please request a new one.","Ihr Login-Link ist abgelaufen. Bitte fordern Sie einen neuen an."
"Your Tax ID cannot be validated.","Ihre Steuer-ID kann nicht überprüft werden."
"Your VAT ID was successfully validated.","Ihre USt-ID wurde erfolgreich überprüft."
"You will be charged tax.","Ihnen wird eine Steuer berechnet."
"You will not be charged tax.","Ihnen wird keine Steuer berechnet."
"YYYY","JJJJ"
"ZIP","ZIP"
"Zip/Postal Code","Postleitzahl"
"ZIP/Post Code","Postleitzahl"
