"# of Use","# χρήσης"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s από %s"
"%s and above","%s και άνω"
"%s Item(s)","%s Item(s)"
"Invalid store specified, skipping the record.","Καθορίστηκε μη έγκυρο κατάστημα, παρακάμπτοντας την εγγραφή."
"Invalid Tier Prices","Μη Έγκυρες Τιμές Βαθμίδας"
"Invalid tier prices. The product is not associated to the requested website.","Μη έγκυρες τιμές βαθμίδας. Το προϊόν δεν είναι συσχετισμένο με την ιστοσελίδα που ζητήθηκε."
"Inventory","Απόθεμα"
"Is Default","Είναι Προεπιλογή"
"Is Required","Απαιτείται"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Στοιχεία που δεν θέλετε να εμφανίζονται στον κατάλογο ή τα αποτελέσματα αναζήτησης θα πρέπει να έχουν την κατάσταση 'Απενεργοποιημένο' στο επιθυμητό κατάστημα."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Στοιχεία που δεν θέλετε να εμφανίζονται στον κατάλογο ή τα αποτελέσματα αναζήτησης θα πρέπει να έχουν την κατάσταση 'Απενεργοποιημένο' στο επιθυμητό κατάστημα."
"Keep Frame","Διατήρηση Πλαισίου"
"Label","Ετικέτα"
"Last Name","Επώνυμο"
"Last Notification","Τελευταία Ειδοποίηση"
"Layered Navigation","Πολυεπίπεδη Πλοήγηση"
"Learn More","Μάθετε Περισσότερα"
"leave blank if its not an image","αφήστε κενό αν η εικόνα δεν είναι"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Γραμμή %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Σύνδεσμος (Related, Up sell, Cross sell)"
"Link product does not exist.","Το προϊόν σύνδεσης δεν υπάρχει."
"Link to a Specified Category","Σύνδεσμος σε καθορισμένη κατηγορία"
"Link to a Specified Product","Σύνδεσμος σε ένα συγκεκριμένο προϊόν"
"List","Λίστα"
"List Mode","Λειτουργία Λίστας"
"List of Products that are set as New","Λίστα Προϊόντων που έχουν οριστεί ως Νέα"
"List of types","Λίστα τύπων"
"Manage Attributes","Διαχείριση Χαρακτηριστικών"
"Manage Attribute Sets","Διαχείριση Συνόλων Χαρακτηριστικών"
"Manage Catalog Categories","Διαχείριση Κατηγοριών Καταλόγου"
"Manage Categories","Διαχείριση Κατηγοριών"
"Manage Label / Options","Διαχείριση Ετικέτας / Επιλογών"
"Manage Options (values of your attribute)","Διαχείριση επιλογών (τιμές του χαρακτηριστικού σας)"
"Manage Product Attributes","Διαχείριση Χαρακτηριστικών Προϊόντος"
"Manage Products","Διαχείριση Προϊόντων"
"Manage Product Sets","Διαχείριση Συνόλων Προϊόντων"
"Manage Stock","Διαχείριση Αποθέματος"
"Manage Titles (Size, Color, etc.)","Διαχείριση τίτλων (Μέγεθος, Χρώμα, κλπ.)"
"Max Characters","Μέγιστοι Χαρακτήρες"
"Maximal Depth","Μέγιστο Βάθος"
"Maximum allowed image size for '%s' is %sx%s px.","Το μέγιστο επιτρεπόμενο μέγεθος εικόνας για το '%s' είναι %sx%s px."
"Maximum file size","Μέγιστο μέγεθος αρχείου"
"Maximum image height","Μέγιστο ύψος εικόνας"
"Maximum Image Size","Μέγιστο Μέγεθος Εικόνας"
"Maximum image width","Μέγιστο πλάτος εικόνας"
"Maximum number of characters:","Μέγιστος αριθμός χαρακτήρων:"
"Maximum Number of Price Intervals","Μέγιστος αριθμός διαστημάτων τιμών"
"Maximum number of price intervals is 100","Μέγιστος αριθμός διαστημάτων τιμών είναι 100"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Maximum resolution for upload image","Μέγιστη ανάλυση για μεταφόρτωση εικόνας"
"Maximum width and height dimension for upload image is %s.","Μέγιστη διάσταση πλάτους και ύψους για μεταφόρτωση εικόνας είναι %s."
"Maximum width and height resolutions for upload image","Μέγιστο πλάτος και ύψος ανάλυσης για μεταφόρτωση εικόνας"
"Maximum width base product image will be scaled down to in pixels","Η εικόνα μέγιστου πλάτους βάσης του προϊόντος θα μειωθεί σε εικονοστοιχεία"
"Maximum width small product image will be scaled down to in pixels","Μέγιστο πλάτος εικόνας μικρού προϊόντος θα μειωθεί σε εικονοστοιχεία"
"Media Image","Εικόνα Πολυμέσων"
"Middle Name","Μεσαίο Όνομα"
"Minimum Advertised Price","Ελάχιστη Διαφημιζόμενη Τιμή"
"Minimum Lines per Page","Ελάχιστες γραμμές ανά σελίδα"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Minimum Qty for Item's Status to be Out of Stock","Ελάχιστη ποσότητα για την κατάσταση του στοιχείου να είναι εκτός αποθέματος"
"Missing SKU, skipping the record.","Λείπει SKU, παρακάμπτοντας την εγγραφή."
"Move","Μετακίνηση"
"Move category in tree","Μετακίνηση κατηγορίας στο δέντρο"
"Multi update product","Προϊόν πολλαπλών ενημερώσεων"
"Must be in the allowed values list.","Πρέπει να είναι στη λίστα επιτρεπόμενων τιμών."
"My Account","Ο Λογαριασμός Μου"
"N/A","Δ/Υ"
"Name","Όνομα"
"Name in %s","Όνομα σε %s"
"New Product","Νέο Προϊόν"
"New Product Attribute","Νέο Χαρακτηριστικό Προϊόντος"
"New Products","Νέα Προϊόντα"
"New products","Νέα προϊόντα"
"New Products Grid Template","Πρότυπο Πλέγματος Νέων Προϊόντων"
"New Products Images and Names Template","Νέο Πρότυπο Εικόνων Προϊόντων και Ονομάτων"
"New Products Images Only Template","Νέες Εικόνες Προϊόντων Μόνο Πρότυπο"
"New Products List Template","Πρότυπο Λίστας Νέων Προϊόντων"
"New Products Names Only Template","Νέα Ονόματα Προϊόντων Μόνο Πρότυπο"
"New Root Category","Νέα Βασική Κατηγορία"
"New Search","Νέα Αναζήτηση"
"New Subcategory","Νέα Υποκατηγορία"
"Next","Επόμενο"
"No","Όχι"
"No, without images","Όχι, χωρίς εικόνες"
"No image","Καμία εικόνα"
"No layout updates","Δεν υπάρχουν ενημερώσεις διάταξης"
"None","Κανένα"
"No options of this product are available.","Δεν υπάρχουν διαθέσιμες επιλογές για αυτό το προϊόν."
"No product collections found.","Δεν βρέθηκαν συλλογές προϊόντων."
"Notify for Quantity Below","Ειδοποίηση για ποσότητα κάτω από"
"Notify Low Stock RSS","Ειδοποίηση RSS Χαμηλού Αποθέματος"
"Not Individually","Δεν Ατομικά"
"Number of Products per Page","Αριθμός Προϊόντων ανά Σελίδα"
"Number of Products to Display","Αριθμός Προϊόντων προς Προβολή"
"Number of results","Αριθμός αποτελεσμάτων"
"Number of results (For the last time placed)","Αριθμός αποτελεσμάτων (για τελευταία φορά που τοποθετήθηκαν)"
"Number of Uses","Αριθμός χρήσεων"
"On Gesture","Χειρονομία Σε"
"Option:","Επιλογή:"
"Options","Επιλογές"
"Options Control","Έλεγχος Επιλογών"
"Options is required","Οι επιλογές είναι απαραίτητες"
"Option validation failed to add product to cart.","Η επικύρωση επιλογής απέτυχε να προστεθεί προϊόν στο καλάθι."
"Option values","Τιμές επιλογών"
"Out of Stock","Χωρίς απόθεμα"
"Out of stock","Χωρίς απόθεμα"
"Pad resized images to exact dimensions with background color","Pad μεγέθους εικόνων σε ακριβείς διαστάσεις με το χρώμα φόντου"
"Page Title Separator","Διαχωριστικό Τίτλου Σελίδας"
"Parent category is equal to child category.","Η γονική κατηγορία είναι ίση με την κατηγορία παιδιού."
"Parent category was not found.","Η γονική κατηγορία δεν βρέθηκε."
"Parent Products","Γονικά Προϊόντα"
"Pending","Εκκρεμεί"
"Pending Reviews RSS","Αξιολογήσεις Σε Αναμονή Rss"
"Percentage","Ποσοστό"
"per page","ανά σελίδα"
"Please add rows to option.","Παρακαλώ προσθέστε γραμμές στην επιλογή."
"Please click on the Close Window button if it is not closed automatically.","Κάντε κλικ στο κουμπί Κλείσιμο παραθύρου αν δεν κλείσει αυτόματα."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Παρακαλούμε ανανεώστε το ""Κατάλογος URL Rewrites"" και το ""Product Attributes"" στο Σύστημα -&gt; <a href=""%s"">Index Management</a>"
"Please select a file for the required option ""%s"".","Παρακαλώ επιλέξτε ένα αρχείο για την απαιτούμενη επιλογή ""%s""."
"Please select a parent category before adding a new one.","Παρακαλώ επιλέξτε μια γονική κατηγορία πριν προσθέσετε μια νέα."
"Please select a static block ...","Παρακαλώ επιλέξτε ένα στατικό μπλοκ..."
"Please select items.","Παρακαλώ επιλέξτε αντικείμενα."
"Please select one or more attributes.","Παρακαλώ επιλέξτε ένα ή περισσότερα χαρακτηριστικά."
"Please select product(s).","Παρακαλώ επιλέξτε προϊόν(τα)."
"Please select products for attributes update","Παρακαλώ επιλέξτε προϊόντα για ενημέρωση χαρακτηριστικών"
"Please specify date required option <em>%s</em>.","Καθορίστε την απαιτούμενη ημερομηνία επιλογή <em>%s</em>."
"Please specify the number of products, that will not be divided into subintervals.","Παρακαλείστε να προσδιορίσετε τον αριθμό των προϊόντων, που δεν θα διαιρεθούν σε υποδιαστήματα."
"Please specify the product's option(s).","Παρακαλούμε προσδιορίστε την επιλογή(ες) του προϊόντος."
"Please specify the product's required option(s).","Παρακαλούμε προσδιορίστε την απαιτούμενη επιλογή(ές) του προϊόντος."
"Please specify the product required option(s)","Παρακαλείστε να προσδιορίσετε την απαιτούμενη επιλογή(ές)"
"Please specify the product required option <em>%s</em>.","Καθορίστε την απαιτούμενη επιλογή <em>%s</em>."
"Please specify the quantity of product(s).","Παρακαλείστε να προσδιορίσετε την ποσότητα του(των) προϊόντος(-ων)."
"Please specify time required option <em>%s</em>.","Καθορίστε την απαιτούμενη επιλογή <em>%s</em>."
"Please wait...","Παρακαλώ περιμένετε..."
"Position","Θέση"
"Position in Layered Navigation","Θέση στην πολυεπίπεδη πλοήγηση"
"Position of attribute in layered navigation block","Θέση χαρακτηριστικού στο μπλοκ πολυεπίπεδης πλοήγησης"
"Prev","Προηγ."
"Prevents indexing of pages after the first page (p > 1).","Αποτρέπει την ευρετηρίαση σελίδων μετά την πρώτη σελίδα (p > 1)."
"Prevents indexing of pages with active filters to avoid duplicate content.","Αποτρέπει την ευρετηρίαση σελίδων με ενεργά φίλτρα για την αποφυγή διπλότυπων περιεχομένων."
"Previous","Προηγούμενο"
"Price","Τιμή"
"Price:","Τιμή:"
"Price: %s","Τιμή: %s"
"Price Navigation Step Calculation","Υπολογισμός Τιμής Βήματος Πλοήγησης"
"Price Type","Τύπος Τιμής"
"Price values for options should be specified in system base currency.","Οι τιμές τιμών για επιλογές θα πρέπει να καθορίζονται στο νόμισμα βάσης συστήματος."
"Product","Προϊόν"
"Product Alerts","Ειδοποιήσεις Προϊόντων"
"Product API","Προϊόν API"
"Product Attribute","Χαρακτηριστικό Προϊόντος"
"Product Attributes","Χαρακτηριστικά Προϊόντος"
"Product attributes API","Χαρακτηριστικά προϊόντος API"
"Product attribute sets API","Το χαρακτηριστικό προϊόντος ορίζει API"
"Product Categories","Κατηγορίες Προϊόντων"
"Product collection expected.","Αναμενόμενη συλλογή προϊόντων."
"Product Extra Info","Πρόσθετες Πληροφορίες Προϊόντος"
"Product Flat Data","Επίπεδα Δεδομένα Προϊόντος"
"Product ID","ID Προϊόντος"
"Product Image","Εικόνα Προϊόντος"
"Product Image Placeholders","Θέση Εικόνας Προϊόντος"
"Product Images","Εικόνες Προϊόντος"
"Product Images API","API Εικόνων Προϊόντος"
"Product Image Watermarks","Υδατογραφήματα Εικόνας Προϊόντος"
"Product Info Column","Στήλη Πληροφοριών Προϊόντος"
"Product Information","Πληροφορίες Προϊόντος"
"Product In Websites","Προϊόν Σε Ιστοσελίδες"
"Product is not loaded","Το προϊόν δεν έχει φορτωθεί"
"Product Link Block Template","Πρότυπο Μπλοκ Συνδέσμου Προϊόντος"
"Product Link Inline Template","Εσωτερικό Πρότυπο Συνδέσμου Προϊόντος"
"Product links API (related, cross sells, up sells)","Σύνδεσμοι προϊόντων API (σχετικές, διασταυρούμενες πωλήσεις, μέχρι πωλήσεις)"
"Product Listing Sort by","Ταξινόμηση λίστας προϊόντων κατά"
"Product Name","Όνομα Προϊόντος"
"Product Prices","Τιμές Προϊόντων"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Products","Προϊόντα"
"products","προϊόντα"
"Products Comparison List","Λίστα Σύγκρισης Προϊόντων"
"Products count","Αριθμός προϊόντων"
"Products Information","Πληροφορίες Προϊόντων"
"Products only","Μόνο προϊόντα"
"Products per Page on Grid Allowed Values","Προϊόντα ανά σελίδα σε Επιτρεπόμενες Τιμές Πλέγματος"
"Products per Page on Grid Default Value","Προϊόντα ανά σελίδα σε προεπιλεγμένη τιμή πλέγματος"
"Products per Page on List Allowed Values","Προϊόντα ανά σελίδα στη Λίστα Επιτρεπόμενων Τιμών"
"Products per Page on List Default Value","Προϊόντα ανά σελίδα στη Λίστα Προεπιλεγμένη Τιμή"
"Products Reviews","Κριτικές Προϊόντων"
"Products Sitemap","Χάρτης Ιστοσελίδας Προϊόντων"
"Product Tags","Ετικέτες Προϊόντος"
"Product Tier Price API","Βαθμίδα Τιμή Προϊόντος Api"
"Product Type","Τύπος Προϊόντος"
"Product types API","Τύποι προϊόντων API"
"Product URL Suffix","Επίθεμα URL Προϊόντος"
"Product View Extra Hint","Προβολή Προϊόντων Επιπλέον Υπόδειξη"
"Product with this combination of attributes already associated to configurable.","Προϊόν με αυτόν τον συνδυασμό ιδιοτήτων που έχουν ήδη συσχετιστεί με διαμορφώσιμο."
"Properties","Ιδιότητες"
"px.","px."
"Qty","Ποσότητα"
"Qty:","Ποσότητα:"
"Qty for Item's Status to Become Out of Stock","Ποσ. για την κατάσταση του στοιχείου για να γίνει εκτός αποθέματος"
"Qty Increments","Προσαυξήσεις Ποσ."
"Qty Uses Decimals","Ποσότητα Χρησιμοποιεί Δεκαδικά"
"Quantity","Ποσότητα"
"Quick Create","Γρήγορη Δημιουργία"
"Quick simple product creation","Γρήγορη απλή δημιουργία προϊόντων"
"Records for ""%s"" store found.","Βρέθηκαν εγγραφές για το κατάστημα ""%s""."
"Redirect","Ανακατεύθυνση"
"Redirect URL","URL Ανακατεύθυνσης"
"Regular Price:","Κανονική Τιμή:"
"Related Products","Σχετικά Προϊόντα"
"Remove","Αφαίρεση"
"Remove attribute from attribute set","Αφαίρεση χαρακτηριστικού από το σύνολο χαρακτηριστικών"
"Remove attribute set","Αφαίρεση συνόλου χαρακτηριστικών"
"Remove custom option","Αφαίρεση προσαρμοσμένης επιλογής"
"Remove filter: %s","Αφαίρεση φίλτρου: %s"
"Remove group from attribute set","Αφαίρεση ομάδας από σύνολο χαρακτηριστικών"
"Remove option","Κατάργηση επιλογής"
"Remove product assignment","Αφαίρεση εκχώρησης προϊόντος"
"Remove Product From Websites","Αφαίρεση Προϊόντος Από Ιστοσελίδες"
"Remove product image","Αφαίρεση εικόνας προϊόντος"
"Remove product link","Αφαίρεση συνδέσμου προϊόντος"
"Remove value from custom option","Αφαίρεση τιμής από προσαρμοσμένη επιλογή"
"Rename existing group","Μετονομασία υπάρχουσας ομάδας"
"Rename group","Μετονομασία ομάδας"
"Reorganize EAV category structure to flat structure","Αναδιοργάνωση δομής κατηγορίας EAV σε επίπεδη δομή"
"Reorganize EAV product structure to flat structure","Αναδιοργάνωση δομής προϊόντων EAV σε επίπεδη δομή"
"Reset","Reset"
"Results","Αποτελέσματα"
"Results per page","Αποτελέσματα ανά σελίδα"
"Retrieve attribute data","Ανάκτηση δεδομένων χαρακτηριστικών"
"Retrieve attribute list","Ανάκτηση λίστας χαρακτηριστικών"
"Retrieve attribute options","Ανάκτηση επιλογών χαρακτηριστικών"
"Retrieve categories tree","Ανάκτηση δέντρου κατηγοριών"
"Retrieve category attributes","Ανάκτηση ιδιοτήτων κατηγορίας"
"Retrieve category data","Ανάκτηση δεδομένων κατηγορίας"
"Retrieve hierarchical tree","Ανάκτηση ιεραρχικού δέντρου"
"Retrieve linked products","Ανάκτηση συνδεδεμένων προϊόντων"
"Retrieve list of assigned products","Ανάκτηση λίστας εκχωρημένων προϊόντων"
"Retrieve list of option values","Ανάκτηση λίστας τιμών επιλογών"
"Retrieve list of product custom options","Ανάκτηση λίστας προσαρμοσμένων επιλογών προϊόντος"
"Retrieve one level of categories by website/store view/parent category","Ανάκτηση ενός επιπέδου κατηγοριών ανά ιστοσελίδα/προβολή καταστήματος/γονική κατηγορία"
"Retrieve option value info","Ανάκτηση πληροφοριών τιμής επιλογής"
"Retrieve product","Ανάκτηση προϊόντος"
"Retrieve product attribute sets","Ανάκτηση συνόλων χαρακτηριστικών προϊόντος"
"Retrieve product image","Ανάκτηση εικόνας προϊόντος"
"Retrieve product image list","Ανάκτηση λίστας εικόνων προϊόντων"
"Retrieve product image types","Ανάκτηση τύπων εικόνας προϊόντος"
"Retrieve product link type attributes","Ανάκτηση χαρακτηριστικών τύπου συνδέσμου προϊόντος"
"Retrieve product link types","Ανάκτηση τύπων συνδέσμων προϊόντων"
"Retrieve products data","Ανάκτηση δεδομένων προϊόντων"
"Retrieve products list by filters","Ανάκτηση λίστας προϊόντων από φίλτρα"
"Retrieve product tier prices","Ανάκτηση τιμών βαθμίδας προϊόντων"
"Retrieve product types","Ανάκτηση τύπων προϊόντων"
"Reviews","Κριτικές"
"Roll Over for preview","Roll Over για προεπισκόπηση"
"Root","Ρίζα"
"Save","Αποθήκευση"
"save","αποθήκευση"
"Save and Continue Edit","Αποθήκευση και συνέχεια επεξεργασίας"
"Save Attribute","Αποθήκευση Χαρακτηριστικού"
"Save Attribute Set","Αποθήκευση Συνόλου Χαρακτηριστικών"
"Save Category","Αποθήκευση Κατηγορίας"
"Saved %d record(s)","Saved %d record(s)"
"Save Search","Αποθήκευση Αναζήτησης"
"Scope","Πεδίο"
"Scope must not be changed, because the attribute is used in configurable products.","Το πεδίο εφαρμογής δεν πρέπει να αλλάξει, επειδή το χαρακτηριστικό χρησιμοποιείται σε διαμορφώσιμα προϊόντα."
"Search","Αναζήτηση"
"Searchable","Αναζητήσιμο"
"Search Engine Optimizations","Βελτιστοποιήσεις Μηχανών Αναζήτησης"
"Search Information","Πληροφορίες Αναζήτησης"
"Search Query","Ερώτημα Αναζήτησης"
"Search Term with such search query already exists.","Όρος αναζήτησης με ένα τέτοιο ερώτημα υπάρχει ήδη."
"See price before order confirmation.","Δείτε την τιμή πριν από την επιβεβαίωση παραγγελίας."
"select all","επιλογή όλων"
"Select Category...","Επιλέξτε Κατηγορία..."
"Select Configurable Attributes ","Επιλέξτε Διαμορφώσιμα Χαρακτηριστικά "
"Selected Product Types","Επιλεγμένοι Τύποι Προϊόντων"
"Select Product...","Επιλογή Προϊόντος..."
"Select type of option","Επιλέξτε τύπο επιλογής"
"Select type options required values rows.","Επιλέξτε τις απαιτούμενες σειρές τιμών των επιλογών τύπου."
"Send Count","Αποστολή Πλήθους"
"Set/Get current store view","Ρύθμιση/Λήψη τρέχουσας προβολής καταστήματος"
"Set Ascending Direction","Ορισμός Αύξουσας Κατεύθυνσης"
"Set Descending Direction","Ορισμός Φθίνουσας Κατεύθυνσης"
"Set Name","Ορισμός Ονόματος"
"Set Root Category for Store","Ορισμός της ριζικής κατηγορίας για το κατάστημα"
"Set root category for this store in the <a href=""%s"">configuration</a>","Ορίστε την κατηγορία root για αυτό το κατάστημα στη διαμόρφωση <a href=""%s""></a>"
"Set special price","Ορισμός ειδικής τιμής"
"Settings","Ρυθμίσεις"
"Show","Εμφάνιση"
"Show count","Εμφάνιση αριθμού"
"Show Details","Εμφάνιση Λεπτομερειών"
"Show ID","Εμφάνιση ID"
"Show Tags","Εμφάνιση Ετικετών"
"Signals crawlers not to prioritize filter combination URLs.","Τα σήματα σέρνουν για να μην δίνουν προτεραιότητα στις διευθύνσεις URL συνδυασμού φίλτρων."
"Simple","Απλό"
"Site Map","Χάρτης Ιστοσελίδας"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Παράλειψη γραμμής εισαγωγής, δεν είναι έγκυρη τιμή ""%s"" για το πεδίο ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Παράλειψη γραμμής εισαγωγής, απαιτούμενο πεδίο ""%s"" για τον νέο πελάτη δεν έχει οριστεί."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Παράλειψη γραμμής εισαγωγής, η τιμή ""%s"" δεν είναι έγκυρη για το πεδίο ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Παράλειψη γραμμής εισαγωγής, απαιτούμενο πεδίο ""%s"" για νέα προϊόντα δεν έχει οριστεί."
"Skipping import row, required field ""%s"" is not defined.","Παράλειψη γραμμής εισαγωγής, το απαιτούμενο πεδίο ""%s"" δεν έχει οριστεί."
"Skipping import row, store ""%s"" field does not exist.","Παράλειψη γραμμής εισαγωγής, το πεδίο ""%s"" δεν υπάρχει."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Παράλειψη της γραμμής εισαγωγής, η τιμή ""%s"" δεν είναι έγκυρη για το πεδίο ""%s."
"SKU","SKU"
"SKU length should be %s characters maximum.","Το μήκος του SKU πρέπει να είναι %s χαρακτήρες μέγιστο."
"Small Image Width","Μικρό Πλάτος Εικόνας"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Μερικά από τα μεταποιημένα προϊόντα δεν έχουν ορισμένη τιμή SKU. Παρακαλούμε συμπληρώστε το πριν από την εκτέλεση των εργασιών σε αυτά τα προϊόντα."
"Some of the selected item options are not currently available.","Μερικές από τις επιλογές του επιλεγμένου αντικειμένου δεν είναι διαθέσιμες προς το παρόν."
"Sort By","Ταξινόμηση Κατά"
"Sort Order","Σειρά Ταξινόμησης"
"Special Expires On: %s","Ειδικά Λήγει Στις : %s"
"Special Price:","Ειδική Τιμή:"
"Special Price: %s","Ειδική Τιμή: %s"
"Static","Στατική"
"Static block and products","Στατικό μπλοκ και προϊόντα"
"Static block only","Στατικό μπλοκ μόνο"
"Status","Κατάσταση"
"Stock Availability","Διαθεσιμότητα Αποθέματος"
"Store","Κατάστημα"
"Store View","Προβολή Καταστήματος"
"Stretch","Τέντωμα"
"Subscribe to RSS Feed","Εγγραφείτε στο RSS Feed"
"Super product attributes configuration","Ρύθμιση ιδιοτήτων έξοχου προϊόντος"
"Synonym For","Συνώνυμο Για"
"System Properties","Ιδιότητες Συστήματος"
"Tag Name","Όνομα Ετικέτας"
"Tax","Φόρος"
"Template","Πρότυπο"
"Text","Κείμενο"
"The attribute code '%s' is reserved by system. Please try another attribute code","Ο κωδικός χαρακτηριστικού '%s' είναι δεσμευμένος από το σύστημα. Παρακαλώ δοκιμάστε έναν άλλο κωδικό χαρακτηριστικού"
"The attribute model is not defined","Το μοντέλο χαρακτηριστικού δεν έχει οριστεί"
"The attribute set has been saved.","Το σύνολο χαρακτηριστικών έχει αποθηκευτεί."
"The base directory to upload file is not specified.","Ο βασικός κατάλογος για μεταφόρτωση αρχείου δεν έχει καθοριστεί."
"The category has been deleted.","Η κατηγορία έχει διαγραφεί."
"The category has been saved.","Η κατηγορία έχει αποθηκευτεί."
"The comparison list was cleared.","Ο κατάλογος σύγκρισης εκκαθαρίστηκε."
"The file was only partially uploaded. Please try again.","Το αρχείο μεταφορτώθηκε μερικά. Παρακαλώ δοκιμάστε ξανά."
"The file you uploaded is larger than %s Megabytes allowed by server","Το αρχείο που ανεβάσατε είναι μεγαλύτερο από το %s Megabytes που επιτρέπεται από το διακομιστή"
"The filters must be an array.","Τα φίλτρα πρέπει να είναι πίνακας."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Η λειτουργική μονάδα επίπεδου καταλόγου έχει ένα όριο %2$d φιλτραρισμένα ή/και ταξινομημένα χαρακτηριστικά. Επί του παρόντος υπάρχουν %1$d από αυτά. Παρακαλώ μειώστε τον αριθμό των φιλτραρισμένων/ταξινομήσιμων χαρακτηριστικών για να χρησιμοποιήσετε αυτό το πρόσθετο"
"The following file extensions are not allowed for security reasons: %s","Οι παρακάτω επεκτάσεις αρχείων δεν επιτρέπονται για λόγους ασφαλείας: %s"
"The From Date value should be less than or equal to the To Date value.","Η τιμή της ημερομηνίας έναρξης πρέπει να είναι μικρότερη ή ίση με την τιμή της ημερομηνίας εως."
"The image contents is not valid base64 data.","Τα περιεχόμενα της εικόνας δεν είναι έγκυρα δεδομένα base64."
"The image is not specified.","Η εικόνα δεν έχει καθοριστεί."
"The model collection resource name is not defined.","Το όνομα πόρου συλλογής μοντέλου δεν έχει οριστεί."
"The product %s has been added to comparison list.","Το προϊόν %s έχει προστεθεί στη λίστα σύγκρισης."
"The product %s has been removed from comparison list.","Το προϊόν %s έχει αφαιρεθεί από τη λίστα σύγκρισης."
"The product attribute has been deleted.","Το χαρακτηριστικό προϊόντος έχει διαγραφεί."
"The product attribute has been saved.","Το χαρακτηριστικό προϊόντος έχει αποθηκευτεί."
"The product has been created.","Το προϊόν έχει δημιουργηθεί."
"The product has been deleted.","Το προϊόν έχει διαγραφεί."
"The product has been duplicated.","Το προϊόν έχει αντιγραφεί."
"The product has been saved.","Το προϊόν έχει αποθηκευτεί."
"The product has required options","Το προϊόν έχει απαιτούμενες επιλογές"
"There are no %s available.","Δεν υπάρχει διαθέσιμο %s."
"There are no customers for this alert","Δεν υπάρχουν πελάτες για αυτήν την ειδοποίηση"
"There are no customers for this alert.","Δεν υπάρχουν πελάτες για αυτήν την ειδοποίηση."
"There are no products matching the selection.","Δεν υπάρχουν προϊόντα που να ταιριάζουν με την επιλογή."
"The review has been deleted","Η αξιολόγηση έχει διαγραφεί"
"The review has been saved.","Η αξιολόγηση έχει αποθηκευτεί."
"The review was removed by another user or does not exist.","Η κριτική αφαιρέθηκε από άλλο χρήστη ή δεν υπάρχει."
"There was an error while request processing.","Παρουσιάστηκε σφάλμα κατά την επεξεργασία των αιτήσεων."
"The search was deleted.","Η αναζήτηση διαγράφηκε."
"The text is too long","Το κείμενο είναι πολύ μεγάλο"
"This attribute cannot be deleted.","Αυτό το χαρακτηριστικό δεν μπορεί να διαγραφεί."
"This attribute cannot be edited.","Αυτό το χαρακτηριστικό δεν μπορεί να επεξεργαστεί."
"This attribute cannot be updated.","Αυτό το χαρακτηριστικό δεν μπορεί να ενημερωθεί."
"This attribute is used in configurable products.","Αυτό το χαρακτηριστικό χρησιμοποιείται σε διαμορφώσιμα προϊόντα."
"This Attribute no longer exists","Αυτό το χαρακτηριστικό δεν υπάρχει πλέον"
"This attribute no longer exists","Αυτό το χαρακτηριστικό δεν υπάρχει πλέον"
"This attribute set no longer exists.","Αυτό το σύνολο χαρακτηριστικών δεν υπάρχει πλέον."
"This category no longer exists.","Αυτή η κατηγορία δεν υπάρχει πλέον."
"This is a required option","Αυτή είναι μια απαιτούμενη επιλογή"
"This product no longer exists.","Αυτό το προϊόν δεν υπάρχει πλέον."
"This search no longer exists.","Αυτή η αναζήτηση δεν υπάρχει πλέον."
"This setting will be applied when all prices in the specific price interval are equal.","Αυτή η ρύθμιση θα εφαρμοστεί όταν όλες οι τιμές στο συγκεκριμένο διάστημα τιμής είναι ίσες."
"Thumbnail","Thumbnail"
"Tier Pricing","Βαθμίδα Τιμολόγησης"
"Tile","Πλακίδιο"
"Title","Τίτλος"
"To","Προς"
"Top/Left","Πάνω/Αριστερά"
"Top/Right","Πάνω/Δεξιά"
"To reindex the enabled product(s), the store or product must be specified","Για να αναευρεθεί το ενεργοποιημένο προϊόν(τα) πρέπει να καθοριστεί το κατάστημα ή το προϊόν"
