"%d product(s) were updated","%d προϊόν(τα) ενημερώθηκαν"
"%s (Default Template from Locale)","%s (Προκαθορισμένο πρότυπο από την τοπική γλώσσα)"
"%s cache type(s) disabled.","Τύπος(οι) προσωρινής μνήμης %s απενεργοποιήθηκε."
"%s cache type(s) enabled.","Ο (οι) τύπος(οι) %s προσωρινής αποθήκευσης ενεργοποιήθηκε."
"%s cache type(s) refreshed.","Ο (οι) τύπος(οι) %s προσωρινής αποθήκευσης ανανεώθηκε."
"Flush Minified CSS/JS Cache","Εκκαθάριση Minified Css / Js Cache"
"Flush Swatch Images Cache","Εκκαθάριση Λανθάνουσας Μνήμης Εικόνων Swatch"
"For category","Για την κατηγορία"
"Forgot Admin Password","Ξέχασα Τον Κωδικό Διαχειριστή"
"Forgot your password?","Ξεχάσατε τον κωδικό σας?"
"Forgot your user name or password?","Ξεχάσατε το όνομα χρήστη ή τον κωδικό πρόσβασης?"
"For product","Για το προϊόν"
"From","Από"
"from","από"
"FTP Host[:Port]","Υπολογιστής FTP[:Θύρα]"
"General Information","Γενικές Πληροφορίες"
"Give the verifier code to application administrator","Δώστε τον κωδικό ελεγκτή στο διαχειριστή της εφαρμογής"
"GLOBAL","ΠΑΓΚΟΣΜΙΑ"
"Global Search","Καθολική Αναζήτηση"
"Google Sitemaps","Google Sitemaps"
"Go to messages inbox","Μετάβαση στα εισερχόμενα μηνύματα"
"Go to notifications","Μετάβαση στις ειδοποιήσεις"
"Grand Total","Γενικό Σύνολο"
"Grid (default) / List","Πλέγμα (προεπιλογή) / Λίστα"
"Grid Only","Μόνο Πλέγμα"
"Group:","Ομάδα:"
"Guest","Επισκέπτης"
"Health Check","Έλεγχος Υγείας"
"Helper attributes should not be used in custom layout updates.","Τα χαρακτηριστικά βοηθού δεν πρέπει να χρησιμοποιούνται σε προσαρμοσμένες ενημερώσεις διάταξης."
"Helper for options rendering doesn't implement required interface.","Βοηθός για επιλογές απόδοσης δεν εφαρμόζει την απαιτούμενη διασύνδεση."
"Home","Αρχική"
"HTTP (unsecure)","HTTP (μη ασφαλές)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Id","Id"
"ID Path","Διαδρομή ID"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Εάν υπάρχει ένας λογαριασμός που σχετίζεται με το %s θα λάβετε ένα email με ένα σύνδεσμο για να επαναφέρετε τον κωδικό πρόσβασής σας."
"If this message persists, please contact the store owner.","Εάν αυτό το μήνυμα επιμένει, παρακαλούμε επικοινωνήστε με τον ιδιοκτήτη του καταστήματος."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Εάν δεν καθορίσετε μια τιμή επιλογής για μια συγκεκριμένη προβολή καταστήματος, τότε θα χρησιμοποιηθεί η προεπιλεγμένη τιμή (Διαχειριστής)."
"Images Cache","Images Cache"
"Import","Εισαγωγή"
"Import/Export","Εισαγωγή/Εξαγωγή"
"Import/Export Advanced","Εισαγωγή/Εξαγωγή Για Προχωρημένους"
"Import/Export Profile","Εισαγωγή/Εξαγωγή Προφίλ"
"Import and Export","Εισαγωγή και εξαγωγή"
"Import and Export Tax Rates","Εισαγωγή και εξαγωγή φορολογικών συντελεστών"
"Imported <strong>%s</strong> records","Έγινε εισαγωγή εγγραφών <strong>%s</strong>"
"Import Service","Εισαγωγή Υπηρεσίας"
"Inactive","Ανενεργό"
"Incl. Tax","Με Φπα"
"Incl. Tax:","Με ΦΠΑ:"
"Incoming Message","Εισερχόμενο Μήνυμα"
"In Database:","Στη Βάση Δεδομένων:"
"In File:","Στο Αρχείο:"
"Informational","Πληροφοριακά"
"Input fields (from - to)","Πεδία εισαγωγής (από - έως)"
"Insert Variable...","Εισαγωγή Μεταβλητής..."
"Interactive","Διαδραστικό"
"Interface Locale: %s","Τοπική Διασύνδεση: %s"
"Internal Error","Εσωτερικό Σφάλμα"
"Invalid 2FA verification code","Μη έγκυρος κωδικός επαλήθευσης 2FA"
"Invalidated","Ακυρωμένο"
"Invalid current password.","Μη έγκυρος κωδικός πρόσβασης."
"Invalid data","Μη έγκυρα δεδομένα"
"Invalid email address ""%s"".","Μη έγκυρη διεύθυνση email ""%s""."
"Invalid email address.","Μη έγκυρη διεύθυνση email."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Μη έγκυρο όνομα πεδίου '%s', δεν πρέπει να είναι ένα από NOT, ΚΑΙ, OR, XOR"
"Invalid Form Key. Please refresh the page.","Μη έγκυρο κλειδί φόρμας. Παρακαλώ ανανεώστε τη σελίδα."
"Invalid Import Service Specified","Καθορίστηκε Μη Έγκυρη Υπηρεσία Εισαγωγής"
"Invalid input data for %s => %s rate","Μη έγκυρα δεδομένα εισόδου για %s => %s ποσοστό"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Μη έγκυρος χειριστής '%s', πρέπει να είναι ένας από NOT, ΚΑΙ, OR, XOR"
"Invalid parent block for this block","Μη έγκυρο γονικό μπλοκ για αυτό το μπλοκ"
"Invalid parent block for this block.","Μη έγκυρο γονικό μπλοκ για αυτό το μπλοκ."
"Invalid password reset token.","Μη έγκυρο διακριτικό επαναφοράς κωδικού πρόσβασης."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Μη έγκυρα δεδομένα POST (παρακαλώ ελέγξτε post_max_size και upload_max_filesize ρυθμίσεις στο αρχείο php.ini σας)."
"Invalid request method","Μη έγκυρη μέθοδος αιτήματος"
"Invalid response","Μη έγκυρη απάντηση"
"Invalid Secret Key. Please refresh the page.","Μη έγκυρο μυστικό κλειδί. Παρακαλώ ανανεώστε τη σελίδα."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Μη έγκυρο όνομα αποστολέα ""%s"". Παρακαλούμε χρησιμοποιήστε μόνο ορατούς χαρακτήρες και κενά."
"Invalid template data.","Μη έγκυρα δεδομένα προτύπου."
"Invalid template path used in layout update.","Μη έγκυρη διαδρομή προτύπου που χρησιμοποιήθηκε στην ενημέρωση διάταξης."
"Invalid timezone","Μη έγκυρη ζώνη ώρας"
"Invalid User Name or Password.","Μη έγκυρο όνομα χρήστη ή κωδικός πρόσβασης."
"Inventory Stock Status","Κατάσταση Αποθεμάτων"
"Invoice #%s comment added","Σχόλιο τιμολογίου #%s προστέθηκε"
"Invoice #%s created","Δημιουργήθηκε τιμολόγιο #%s"
"Invoice canceling error.","Τιμολόγιο ακύρωσης σφάλματος."
"Invoice capturing error.","Σφάλμα καταγραφής τιμολογίου."
"Invoice History","Ιστορικό Τιμολογίων"
"Invoices","Τιμολόγια"
"Invoice Totals","Σύνολα Τιμολογίων"
"Invoice voiding error.","Invoice voiding error."
"IP Address","Διεύθυνση IP"
"Is Allowed","Επιτρέπεται"
"Is Allowed is required field.","Επιτρέπεται να είναι υποχρεωτικό πεδίο."
"Is Closed","Είναι Κλειστό"
"Is Default","Είναι Προεπιλογή"
"Issue Number","Αριθμός Έκδοσης"
"Items","Στοιχεία"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Languages","Γλώσσες"
"Last 5 Orders","Τελευταίες 5 Παραγγελίες"
"Last 5 Search Terms","Τελευταίοι 5 Όροι Αναζήτησης"
"Last 7 Days","Τελευταίες 7 Ημέρες"
"Last 24 Hours","Τελευταίες 24 Ώρες"
"Last Credit Memo Created Date","Τελευταία Ημερομηνία Δημιουργίας Πιστωτικού Υπομνήματος"
"Last Invoice Created Date","Τελευταία Ημερομηνία Δημιουργίας Τιμολογίου"
"Last Logged In (%s):","Τελευταία Σύνδεση (%s):"
"Last Logged In:","Τελευταία Σύνδεση Στις:"
"Last Name","Επώνυμο"
"Last Name:","Επώνυμο:"
"Last Name is required field.","Το Επώνυμο είναι υποχρεωτικό πεδίο."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Τελευταία ενημέρωση: %s. Για ανανέωση των στατιστικών <a href=""%s"">της προηγούμενης ημέρας</a>, κάντε κλικ στο <a href=""%s"">εδώ</a>."
"Latest Message:","Τελευταίο Μήνυμα:"
"Layered Navigation Indices","Δείκτες Πολυεπίπεδης Πλοήγησης"
"Layered Navigation Indices were refreshed.","Πολυεπίπεδη πλοήγησης δείκτες ήταν ανανεωμένη."
"Leave empty to use tax identifier","Αφήστε κενό για να χρησιμοποιήσετε το αναγνωριστικό φόρου"
"Lifetime","Διάρκεια Ζωής"
"Lifetime Sales","Πωλήσεις Διάρκειας Ζωής"
"Lifetime statistics have been updated.","Τα στατιστικά διάρκεια ζωής έχουν ενημερωθεί."
"Links","Σύνδεσμοι"
"Links with associated products will retain only after saving current product.","Οι σύνδεσμοι με τα συσχετιζόμενα προϊόντα θα διατηρηθούν μόνο μετά την αποθήκευση του τρέχοντος προϊόντος."
"List (default) / Grid","Λίστα (προεπιλογή) / Κάνναβος"
"List Only","Λίστα Μόνο"
"Load default template","Φόρτωση προεπιλεγμένου προτύπου"
"Loading...","Φόρτωση..."
"Load Template","Φόρτωση Προτύπου"
"Local/Remote Server","Τοπικός/Απομακρυσμένος Διακομιστής"
"Locale","Τοπική"
"Local Server","Τοπικός Διακομιστής"
"Log In","Σύνδεση"
"Login","Είσοδος"
"Log in to Admin Panel","Συνδεθείτε στο Admin Panel"
"Log into Maho Admin Page","Συνδεθείτε στη σελίδα Maho Admin"
"Log in to use <strong>%s</strong>","Συνδεθείτε για να χρησιμοποιήσετε <strong>%s</strong>"
"Login with Passkey","Σύνδεση με κωδικό πρόσβασης"
"Log Out","Αποσύνδεση"
"Low Stock","Χαμηλό Απόθεμα"
"Maho Admin","Maho Διαχειριστής"
"Maho Test Email","Δοκιμαστικό Email Maho"
"MAJOR","MAJOR"
"major","σημαντικό"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Βεβαιωθείτε ότι η κωδικοποίηση δεδομένων στο αρχείο είναι συνεπής και αποθηκευμένη σε μία από τις υποστηριζόμενες κωδικοποιήσεις (UTF-8 ή ANSI)."
"Manage Attributes","Διαχείριση Χαρακτηριστικών"
"Manage Attribute Sets","Διαχείριση Συνόλων Χαρακτηριστικών"
"Manage Categories","Διαχείριση Κατηγοριών"
"Manage Content","Διαχείριση Περιεχομένου"
"Manage Currency Rates","Διαχείριση Ισοτιμιών Νομισμάτων"
"Manage Customers","Διαχείριση Πελατών"
"Manage Options (values of your attribute)","Διαχείριση επιλογών (τιμές του χαρακτηριστικού σας)"
"Manage Ratings","Διαχείριση Αξιολογήσεων"
"Manage Stores","Διαχείριση Καταστημάτων"
"Manage Tax Rules","Διαχείριση Φορολογικών Κανόνων"
"Manage Tax Zones and Rates","Διαχείριση φορολογικών ζωνών και συντελεστών"
"Manage Titles (Size, Color, etc.)","Διαχείριση τίτλων (Μέγεθος, Χρώμα, κλπ.)"
"Manual","Χειροκίνητα"
"Matched Expression","Αντιστοιχισμένη Έκφραση"
"Maximum sender name length is 255. Please correct your settings.","Το μέγιστο μήκος ονόματος αποστολέα είναι 255. Παρακαλώ διορθώστε τις ρυθμίσεις σας."
"Messages Inbox","Εισερχόμενα Μηνύματα"
"Minified CSS and JavaScript files.","Μικρά αρχεία CSS και JavaScript."
"MINOR","ΜΙΛΟΣ"
"minor","μικρότερα"
"Missing required fields","Λείπει τα απαιτούμενα πεδία"
"Month","Μήνας"
"Most Viewed","Πιο Προβεβλημένα"
"Most Viewed Products","Περισσότερα Προβεβλημένα Προϊόντα"
"MS Excel XML","MS Excel XML"
"Multiple Select","Πολλαπλή Επιλογή"
"My Account","Ο Λογαριασμός Μου"
"My Applications","Οι Εφαρμογές Μου"
"N/A","Δ/Υ"
"Name","Όνομα"
"Name:","Όνομα:"
"Name on Card","Όνομα στην κάρτα"
"Network Error. Please refresh the page.","Σφάλμα δικτύου. Παρακαλώ ανανεώστε τη σελίδα."
"Never (production)","Ποτέ (παραγωγή)"
"New ","Νέο "
"New Accounts","Νέοι Λογαριασμοί"
"New API Key","Νέο Κλειδί Api"
"New Attribute","Νέο Χαρακτηριστικό"
"New Block","Νέο Μπλοκ"
"New block","Νέο μπλοκ"
"New Category","Νέα Κατηγορία"
"New Class","Νέα Τάξη"
"New Condition","Νέα Προϋπόθεση"
"New Customer","Νέος Πελάτης"
"New Customers","Νέοι Πελάτες"
"New Custom Variable","Νέα Προσαρμοσμένη Μεταβλητή"
"New Design Change","Νέα Αλλαγή Σχεδίασης"
"New Email Template","Νέο Πρότυπο Email"
"New Group","Νέα Ομάδα"
"New Invoice","Νέο Τιμολόγιο"
"New Memo","Νέο Υπόμνημα"
"New Memo for #%s","Νέο υπόμνημα για #%s"
"New Page","Νέα Σελίδα"
"New Password","Νέος Κωδικός Πρόσβασης"
"New Password Confirmation","Επιβεβαίωση Νέου Κωδικού"
"New password field cannot be empty.","Νέο πεδίο κωδικού πρόσβασης δεν μπορεί να είναι κενό."
"New Profile","Νέο Προφίλ"
"New Rate","Νέα Τιμή"
"New Rating","Νέα Βαθμολογία"
"New Review","Νέα Αξιολόγηση"
"New Role","Νέος Ρόλος"
"New Rule","Νέος Κανόνας"
"New Search","Νέα Αναζήτηση"
"New Set","Νέο Σύνολο"
"New Shipment","Νέα Αποστολή"
"New Sitemap","Νέος Χάρτης Ιστοτόπου"
"Newsletter","Ενημερωτικό Δελτίο"
"Newsletter Problems","Προβλήματα Ενημερωτικού Δελτίου"
"Newsletter Queue","Ουρά Ενημερωτικού Δελτίου"
"Newsletter Subscribers","Συνδρομητές Ενημερωτικού Δελτίου"
"Newsletter Templates","Πρότυπα Ενημερωτικού Δελτίου"
"New Store View","Νέα Προβολή Καταστήματος"
"New System Template","Νέο Πρότυπο Συστήματος"
"New Tag","Νέα Ετικέτα"
"New Template","Νέο Πρότυπο"
"New User","Νέος Χρήστης"
"New Variable","Νέα Μεταβλητή"
"New Website","Νέα Ιστοσελίδα"
"No","Όχι"
"No (price without tax)","Όχι (τιμή χωρίς ΦΠΑ)"
"No change","Καμία αλλαγή"
"No customer id defined.","Δεν ορίστηκε id πελάτη."
"No Data Found","Δεν Βρέθηκαν Δεδομένα"
"No information available.","Δεν υπάρχουν διαθέσιμες πληροφορίες."
"None","Κανένα"
"No Passkey Created","Δεν Δημιουργήθηκε Συνθηματικό"
"No profile loaded...","Κανένα προφίλ δεν φορτώθηκε..."
"No records found.","Δεν βρέθηκαν εγγραφές."
"No records found for this period.","Δεν βρέθηκαν εγγραφές για την περίοδο αυτή."
"No report code specified.","Δεν καθορίστηκε κωδικός αναφοράς."
"No search keywords.","Χωρίς λέξεις-κλειδιά αναζήτησης."
"No search modules were registered","Δεν καταχωρήθηκαν ενότητες αναζήτησης"
"Not allowed","Δεν επιτρέπεται"
"Not authenticated","Δεν έχει πιστοποιηθεί"
"Note:","Σημείωση:"
"No Templates Found","Δεν Βρέθηκαν Πρότυπα"
"NOTICE","ΣΗΜΕΙΩΣΗ"
"Notice","Σημείωση"
"notice","ειδοποίηση"
"Notifications","Ειδοποιήσεις"
"Number of Orders","Αριθμός παραγγελιών"
"Number of records:","Αριθμός εγγραφών:"
"Number of Uses","Αριθμός χρήσεων"
"Number of Views","Αριθμός προβολών"
"OAuth authorization for admin","OAuth εξουσιοδότηση για διαχειριστή"
"OAuth authorization simple for admin","OAuth εξουσιοδότηση απλό για διαχειριστή"
"OAuth Consumers","Oauth Καταναλωτές"
"Old rate:","Παλιά τιμή:"
"One or more of the Cache Types are invalidated:","Ένας ή περισσότεροι από τους τύπους της κρύπτης είναι άκυροι:"
"Online Customers","Συνδεδεμένοι Πελάτες"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Μόνο χαρακτηριστικά με εμβέλεια ""Καθολικό"", τύπου εισόδου ""Dropdown"" και Χρησιμοποιήστε για να δημιουργήσετε διαμορφώσιμο προϊόν ""Ναι"" είναι διαθέσιμα."
"Only from same domain","Μόνο από τον ίδιο τομέα"
"Only mapped fields","Μόνο χαρτογραφημένα πεδία"
"Only Once (version upgrade)","Μόνο μία φορά (αναβάθμιση έκδοσης)"
"Optional","Προαιρετικό"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Προαιρετική περιφέρεια για παρόχους που την υποστηρίζουν (π.χ. us-east-1 για AWS)"
"Options","Επιλογές"
"Options is required","Οι επιλογές είναι απαραίτητες"
"Order","Σειρά"
"Order #%s","Παραγγελία #%s"
"Order #%s (%s)","Παραγγελία #%s (%s)"
"Order Created Date","Ημερομηνία Δημιουργίας Παραγγελίας"
"Order ID","Κωδικός Παραγγελίας"
"Orders","Παραγγελίες"
"Order Totals","Σύνολα Παραγγελιών"
"Order Updated Date","Ημερομηνία Ενημέρωσης Παραγγελίας"
"Order Updated Date report is real-time, does not need statistics refreshing.","Η αναφορά ημερομηνίας ενημέρωσης παραγγελίας είναι σε πραγματικό χρόνο, δεν χρειάζεται ανανέωση στατιστικών."
"Original Magento attribute names in first row:","Αρχικά ονόματα χαρακτηριστικών Magento στην πρώτη γραμμή:"
"Orphaned API Role Resource","Orphaned API Ρόλος Πόρος"
"Orphaned API Role Resources","Ορφανά Πόροι Ρόλου Api"
"Orphaned Resources","Ορφανείς Πόροι"
"Orphaned Role Resource","Ορφανός Ρόλος Πόρος"
"Orphaned Role Resources","Ορφανά Πόροι Ρόλου"
"Out of stock","Χωρίς απόθεμα"
"Pages","Σελίδες"
"Parent Product Thumbnail","Μικρογραφία Γονικού Προϊόντος"
"Parent Transaction ID","Κωδικός Γονικής Συναλλαγής"
"Passive mode","Παθητική λειτουργία"
"Passkey Active","Κωδικός Ενεργό"
"Passkey Authentication","Πιστοποίηση Κωδικού Πρόσβασης"
"Passkey credential already registered to another user.","Τα διαπιστευτήρια πρόσβασης έχουν ήδη εγγραφεί σε άλλο χρήστη."
"Passkey will be deleted upon saving.","Ο κωδικός πρόσβασης θα διαγραφεί κατά την αποθήκευση."
"Passkey will be registered upon saving.","Το Passkey θα εγγραφεί κατά την αποθήκευση."
"Password","Κωδικός"
"Password:","Κωδικός:"
"Password Confirmation","Επιβεβαίωση Κωδικού"
"Password confirmation must be same as password.","Η επιβεβαίωση κωδικού πρόσβασης πρέπει να είναι ίδια με τον κωδικό πρόσβασης."
"Password must be at least of %d characters.","Ο κωδικός πρόσβασης πρέπει να είναι τουλάχιστον από %d χαρακτήρες."
"Password must include both numeric and alphabetic characters.","Ο κωδικός πρόσβασης πρέπει να περιλαμβάνει και αριθμητικούς και αλφαβητικούς χαρακτήρες."
"Path:","Διαδρομή:"
"Payment method instance is not available.","Παρουσία μεθόδου πληρωμής δεν είναι διαθέσιμη."
"Payment method is not available.","Η μέθοδος πληρωμής δεν είναι διαθέσιμη."
"Payment method must be specified.","Πρέπει να καθοριστεί η μέθοδος πληρωμής."
"Pending Reviews","Αξιολογήσεις Σε Εκκρεμότητα"
"Pending Tags","Εκκρεμείς Ετικέτες"
"Percent","Ποσοστό"
"Performed At","Εκτελέστηκε Στις"
"Period","Περίοδος"
"Per Item","Ανά Στοιχείο"
"Permanent (301)","Μόνιμο (301)"
"Permissions","Δικαιώματα"
"Per Order","Ανά Παραγγελία"
"Personal Information","Προσωπικές Πληροφορίες"
"Phone:","Τηλ.:"
"PHP attribute recompilation failed: %s","Αποτυχία επανακατάρτισης χαρακτηριστικού PHP: %s"
"PHP attributes were recompiled.","Τα χαρακτηριστικά PHP μεταγλωττίσθηκαν."
"Please confirm site switching. All data that hasn't been saved will be lost.","Επιβεβαιώστε την εναλλαγή ιστότοπου. Όλα τα δεδομένα που δεν έχουν αποθηκευτεί θα χαθούν."
"Please enter 6 or more characters.","Παρακαλώ εισάγετε 6 ή περισσότερους χαρακτήρες."
"Please enter another credit card number to complete your purchase.","Παρακαλούμε εισάγετε έναν άλλο αριθμό πιστωτικής κάρτας για να ολοκληρώσετε την αγορά σας."
"Please enter a number greater than 0 in this field.","Παρακαλώ εισάγετε έναν αριθμό μεγαλύτερο από 0 σε αυτό το πεδίο."
"Please enter a valid $ amount. For example $100.00.","Παρακαλώ εισάγετε ένα έγκυρο $ ποσό. Για παράδειγμα $100.00."
"Please enter a valid credit card number.","Παρακαλώ εισάγετε έναν έγκυρο αριθμό πιστωτικής κάρτας."
"Please enter a valid date.","Παρακαλώ εισάγετε μια έγκυρη ημερομηνία."
"Please enter a valid email.","Παρακαλώ εισάγετε ένα έγκυρο email."
"Please enter a valid email address. For example johndoe@domain.com.","Παρακαλώ εισάγετε μια έγκυρη διεύθυνση email. Για παράδειγμα johndoe@domain.com."
"Please enter a valid number in this field.","Παρακαλώ εισάγετε έναν έγκυρο αριθμό σε αυτό το πεδίο."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Παρακαλώ εισάγετε έναν έγκυρο αριθμό τηλεφώνου. Για παράδειγμα (123) 456-7890 ή 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Παρακαλώ εισάγετε έναν έγκυρο αριθμό κοινωνικής ασφάλισης. Για παράδειγμα 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Παρακαλώ εισάγετε μια έγκυρη διεύθυνση URL. Για παράδειγμα http://www.example.com ή www.example.com"
"Please enter a valid URL. http:// is required","Παρακαλώ εισάγετε μια έγκυρη διεύθυνση URL. Απαιτείται http://"
"Please enter a valid zip code.","Παρακαλώ δώστε έναν έγκυρο ταχυδρομικό κώδικα."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Παρακαλώ εισάγετε έναν έγκυρο ταχυδρομικό κώδικα. Για παράδειγμα 90602 ή 90602-1234."
"Please enter valid password.","Παρακαλώ εισάγετε έγκυρο κωδικό πρόσβασης."
"Please make sure that all global admin search modules are installed and activated.","Παρακαλώ σιγουρευτείτε ότι όλα τα πρόσθετα αναζήτησης καθολικού διαχειριστή είναι εγκατεστημένα και ενεργοποιημένα."
"Please make sure that your changes were saved before running the profile.","Παρακαλώ βεβαιωθείτε ότι οι αλλαγές σας αποθηκεύτηκαν πριν εκτελέσετε το προφίλ."
"Please make sure your passwords match.","Παρακαλώ σιγουρευτείτε ότι οι κωδικοί σας ταιριάζουν."
"Please Select","Παρακαλώ Επιλέξτε"
"Please select a customer.","Παρακαλώ επιλέξτε έναν πελάτη."
"Please select an option.","Παρακαλώ επιλέξτε μια επιλογή."
"Please select a store.","Παρακαλώ επιλέξτε ένα κατάστημα."
"Please select catalog searches.","Παρακαλώ επιλέξτε αναζητήσεις καταλόγου."
"Please select customer(s).","Παρακαλώ επιλέξτε πελάτη(ες)."
"Please select one of the above options.","Παρακαλώ επιλέξτε μία από τις παραπάνω επιλογές."
"Please select one of the options.","Παρακαλώ επιλέξτε μία από τις επιλογές."
"Please select review(s).","Παρακαλώ επιλέξτε αξιολόγηση(εις)."
"Please select State/Province.","Παρακαλώ επιλέξτε νομό/επαρχία."
"Please select tag(s).","Παρακαλώ επιλέξτε ετικέτα(ες)."
"Please select URL rewrite(s).","Παρακαλώ επιλέξτε URL επανεγγραφή(ες)."
"Please specify the admin custom URL.","Παρακαλούμε προσδιορίστε το προσαρμοσμένο URL του διαχειριστή."
"Please try to logout and sign in again.","Παρακαλώ προσπαθήστε να αποσυνδεθείτε και να συνδεθείτε ξανά."
"Please use in this field only ""a-z,0-9,_"".","Παρακαλούμε χρησιμοποιήστε μόνο σε αυτό το πεδίο ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (α-ω) σε αυτό το πεδίο."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Παρακαλούμε χρησιμοποιήστε μόνο αριθμούς σε αυτό το πεδίο. Παρακαλώ αποφύγετε κενά διαστήματα ή άλλους χαρακτήρες, όπως τελείες ή κόμματα."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (α-ω) ή αριθμούς (0-9) μόνο σε αυτό το πεδίο. Δεν επιτρέπονται κενά διαστήματα ή άλλοι χαρακτήρες."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (a-z) ή αριθμούς (0-9) ή κενά διαστήματα και # μόνο σε αυτό το πεδίο."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Παρακαλούμε χρησιμοποιήστε αυτή τη μορφή ημερομηνίας: ηη/μμ/εεεε. Για παράδειγμα 17/03/2006 για την 17η Μαρτίου, 2006."
"Please wait, loading...","Παρακαλώ περιμένετε, φόρτωση..."
"Please wait...","Παρακαλώ περιμένετε..."
"Please wait while the indexes are being refreshed.","Παρακαλώ περιμένετε όσο ανανεώνονται τα ευρετήρια."
"Popular","Δημοφιλή"
"Position","Θέση"
"Position of Watermark for %s","Θέση υδατογραφήματος για %s"
"Pregenerated configurable swatches image files.","Pregenerated διαμορφώσιμα αρχεία εικόνας ρολόγια ."
"Pregenerated product images files.","Αρχεία εικόνων προϊόντος Pregenerated."
"Preview","Προεπισκόπηση"
"Preview Template","Προεπισκόπηση Προτύπου"
"Price","Τιμή"
"Price:","Τιμή:"
"Price alert subscription was saved.","Τιμή ειδοποίησης συνδρομής αποθηκεύτηκε."
"Processed <strong>%s%% %s/%d</strong> records","Έγινε επεξεργασία εγγραφών <strong>%s%% %s/%d</strong>"
"Processing","Επεξεργασία"
"Product","Προϊόν"
"Product:","Προϊόν:"
"Product is not loaded.","Το προϊόν δεν έχει φορτωθεί."
"Product Name","Όνομα Προϊόντος"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Products","Προϊόντα"
"Products Bestsellers Report","Έκθεση Προϊόντων Bestsellers"
"Products in Carts","Προϊόντα σε Καλάθια"
"Products Most Viewed Report","Έκθεση Περισσότερων Προβληθέντων Προϊόντων"
"Products Ordered","Προϊόντα Που Παραγγέλθηκαν"
"Product Tax Classes","Φορολογικές Κατηγορίες Προϊόντων"
"Product Thumbnail Itself","Μικρογραφία Προϊόντος"
"Profile Action","Ενέργεια Προφίλ"
"Profile Actions XML","Xml Ενεργειών Προφίλ"
"Profile Direction","Κατεύθυνση Προφίλ"
"Profile History","Ιστορικό Προφίλ"
"Profile Information","Πληροφορίες Προφίλ"
"Profile Name","Όνομα Προφίλ"
"Profile Payments","Προφίλ Πληρωμών"
"Profiles","Profiles"
"Profile Schedule","Χρονοδιάγραμμα Προφίλ"
"Profile Wizard","Οδηγός Προφίλ"
"Promo","Promo"
"Promotions","Προσφορές"
"Purchased Item","Αγορασμένο Αντικείμενο"
"QR Code","QR Code"
"Quantity","Ποσότητα"
"Queued... Cancel","Αναμονή... Ακύρωση"
"Queue Refresh","Ανανέωση Ουράς"
"Radio Buttons","Κουμπιά Επιλογής"
"Rates","Συντελεστές"
"Read details","Διαβάστε λεπτομέρειες"
"Rebuild","Αναδόμηση"
"Rebuild Catalog Index","Αναδόμηση Ευρετηρίου Καταλόγου"
"Rebuild Flat Catalog Category","Ανοικοδόμηση Επίπεδης Κατηγορίας Καταλόγου"
"Rebuild Flat Catalog Product","Ανοικοδόμηση Επίπεδου Προϊόντος Καταλόγου"
"Recent Orders","Πρόσφατες Παραγγελίες"
"Recent statistics have been updated.","Πρόσφατα στατιστικά έχουν ενημερωθεί."
"Recipient email address","Διεύθυνση email παραλήπτη"
"Recompile PHP Attributes","Προτείνετε Χαρακτηριστικά PHP"
"Recurring Profile View","Επαναλαμβανόμενη Προβολή Προφίλ"
"Redirect","Ανακατεύθυνση"
"Redirect to URL without trailing slash","Ανακατεύθυνση σε URL χωρίς να γίνει τελική κάθετος"
"Redirect to URL with trailing slash","Ανακατεύθυνση σε URL με τελική κάθετο"
"Reference","Αναφορά"
"Reference ID","ID Αναφοράς"
"Refresh","Ανανέωση"
"Refresh Now*","Ανανέωση Τώρα*"
