"# of Use","Antal användningar"
"%1$s incl tax.","%1$s inkl moms."
"%s-%s of %s","%s-%s av %s"
"%s and above","%s och högre"
"%s Item(s)","%s objekt"
"Qty","Antal"
"Qty:","Antal:"
"Qty for Item's Status to Become Out of Stock","Antal för Föremåls status att bli slut på lager"
"Qty Increments","Ökning av antal"
"Qty Uses Decimals","Antal använder decimaler"
"Quantity","Kvantitet"
"Quick Create","Skapa snabbt"
"Quick simple product creation","Snabb enkel produktskapande"
"Records for ""%s"" store found.","Poster för ""%s"" butik hittades."
"Redirect","Omdirigera"
"Redirect URL","Omdirigera URL"
"Regular Price:","Ordinarie pris:"
"Related Products","Relaterade produkter"
"Remove","Radera"
"Remove attribute from attribute set","Ta bort attribut från attributset"
"Remove attribute set","Ta bort attributset"
"Remove custom option","Ta bort anpassat alternativ"
"Remove filter: %s","Ta bort filter: %s"
"Remove group from attribute set","Ta bort grupp från attributset"
"Remove option","Ta bort alternativ"
"Remove product assignment","Ta bort produktuppgift"
"Remove Product From Websites","Ta bort produkt från webbplatser"
"Remove product image","Ta bort produktbild"
"Remove product link","Ta bort produktlänk"
"Remove value from custom option","Ta bort värde från anpassat alternativ"
"Rename existing group","Byt namn på befintlig grupp"
"Rename group","Döp om grupp"
"Reorganize EAV category structure to flat structure","Omorganisera EAV kategori struktur till plan struktur"
"Reorganize EAV product structure to flat structure","Omorganisera EAV produktstruktur till platt struktur"
"Reset","Reset"
"Results","Resultat"
"Results per page","Resultat per sida"
"Retrieve attribute data","Hämta attributdata"
"Retrieve attribute list","Hämta attributlista"
"Retrieve attribute options","Hämta attributalternativ"
"Retrieve categories tree","Hämta kategoriträd"
"Retrieve category attributes","Hämta kategoriattribut"
"Retrieve category data","Hämta kategoridata"
"Retrieve hierarchical tree","Hämta hierarkiskt träd"
"Retrieve linked products","Hämta länkade produkter"
"Retrieve list of assigned products","Hämta lista över tilldelade produkter"
"Retrieve list of option values","Hämta lista över optionsvärden"
"Retrieve list of product custom options","Hämta lista över produktanpassade alternativ"
"Retrieve one level of categories by website/store view/parent category","Hämta en nivå av kategorier med webbplats/butiksvy/överordnad kategori"
"Retrieve option value info","Hämta alternativ värdeinfo"
"Retrieve product","Hämta produkt"
"Retrieve product attribute sets","Hämta produktattributuppsättningar"
"Retrieve product image","Hämta produktbild"
"Retrieve product image list","Hämta produktbildslistan"
"Retrieve product image types","Hämta produkttyper"
"Retrieve product link type attributes","Hämta produktlänksattribut"
"Retrieve product link types","Hämta produktlänktyper"
"Retrieve products data","Hämta produktdata"
"Retrieve products list by filters","Hämta produktlista med filter"
"Retrieve product tier prices","Hämta produktnivåpriser"
"Retrieve product types","Hämta produkttyper"
"Reviews","Recensioner"
"Roll Over for preview","Rulla över för förhandsgranskning"
"Root","Rot"
"Save","Spara"
"save","spara"
"Save and Continue Edit","Spara och fortsätt redigera"
"Save Attribute","Spara attribut"
"Save Attribute Set","Spara attributset"
"Save Category","Spara kategori"
"Saved %d record(s)","Sparade %d post(er)"
"Save Search","Spara sökning"
"Scope","Omfattning"
"Scope must not be changed, because the attribute is used in configurable products.","Området får inte ändras eftersom attributet används i konfigurerbara produkter."
"Search","Sök"
"Searchable","Sökbar"
"Search Engine Optimizations","Sökmotoroptimeringar"
"Search Information","Sök information"
"Search Query","Sök fråga"
"Search Term with such search query already exists.","Söktermen med sådan sökfråga finns redan."
"See price before order confirmation.","Se pris innan orderbekräftelse."
"select all","välj alla"
"Select Category...","Välj kategori..."
"Select Configurable Attributes ","Välj konfigurerbara attribut "
"Selected Product Types","Valda produkttyper"
"Select Product...","Välj produkt..."
"Select type of option","Välj typ av alternativ"
"Select type options required values rows.","Välj typalternativ obligatoriska värden rader."
"Send Count","Skicka antal"
"Set/Get current store view","Set/Hämta nuvarande butiksvy"
"Set Ascending Direction","Ställ stigande riktning"
"Set Descending Direction","Ange fallande riktning"
"Set Name","Ange namn"
"Set Root Category for Store","Ange rotkategori för butik"
"Set root category for this store in the <a href=""%s"">configuration</a>","Ange rotkategori för denna butik i <a href=""%s"">konfigurationen</a>"
"Set special price","Ange specialpris"
"Settings","Inställningar"
"Show","Visa"
"Show count","Visa antal"
"Show Details","Visa detaljer"
"Show ID","Visa ID"
"Show Tags","Visa taggar"
"Simple Product","Enkel produkt"
"Site Map","Webbplatsens karta"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Hoppa över importraden, är inte giltigt värde ""%s"" för fält ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Hoppa över importraden, obligatoriskt fält ""%s"" för den nya kunden är inte definierad."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Hoppa över importraden, värdet ""%s"" är ogiltigt för fältet ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Hoppar över importraden, obligatoriskt fält ""%s"" för nya produkter är inte definierat."
"Skipping import row, required field ""%s"" is not defined.","Hoppar över importraden, obligatoriskt fält ""%s"" är inte definierat."
"Skipping import row, store ""%s"" field does not exist.","Hoppar över importraden, lagra fältet ""%s"" finns inte."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Hoppar över importraden, värdet ""%s"" är inte giltigt för fältet ""%s"" ."
"SKU","Artikelnr"
"SKU length should be %s characters maximum.","Artikelbeteckningens längd bör vara högst %s tecken."
"Small Image Width","Liten bildbredd"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Vissa av de bearbetade produkterna har inget SKU-värde definierat. Vänligen fyll i det innan du utför operationer på dessa produkter."
"Some of the selected item options are not currently available.","Några av de valda objektalternativen är för närvarande inte tillgängliga."
"Sort By","Sortera efter"
"Sort Order","Sortera efter"
"Special Expires On: %s","Special upphör att gälla: %s"
"Special Price:","Särskild pris:"
"Special Price: %s","Specialpris: %s"
"Static","Statisk"
"Static block and products","Statiska block och produkter"
"Static block only","Endast statiskt block"
"Status","Status"
"Stock Availability","Lager tillgänglighet"
"Store","Butik"
"Store View","Butiksvy"
"Stretch","Sträck"
"Subscribe to RSS Feed","Prenumerera på RSS-flöde"
"Super product attributes configuration","Konfiguration av superproduktattribut"
"Synonym For","Synonym för"
"System Properties","Systemets egenskaper"
"Tag Name","Taggens namn"
"Tax","Skatt"
"Template","Mall"
"Text","Text"
"The attribute code '%s' is reserved by system. Please try another attribute code","Attributkoden '%s' är reserverad av systemet. Försök med en annan attributkod"
"The attribute model is not defined","Attributmodellen är inte definierad"
"The attribute set has been saved.","Attributuppsättningen sparades framgångsrikt."
"The base directory to upload file is not specified.","Baskatalogen för uppladdning av fil är inte angiven."
"The category has been deleted.","Kategorin har tagits bort."
"The category has been saved.","Kategorin har sparats."
"The comparison list was cleared.","Jämförelselistan har rensats."
"The file was only partially uploaded. Please try again.","Filen laddades bara delvis upp. Försök igen."
"The file you uploaded is larger than %s Megabytes allowed by server","Filen du laddat upp är större än %s Megabyte tillåts av servern"
"The filters must be an array.","Filtren måste vara en samling."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Flat Catalog modulen har en gräns för %2$d filtrerbara och/eller sorterbara attribut. För närvarande finns det %1$d av dem. Minska antalet filtrerbara/sorterbara attribut för att använda denna modul"
"The following file extensions are not allowed for security reasons: %s","Följande filtillägg är inte tillåtna av säkerhetsskäl: %s"
"The From Date value should be less than or equal to the To Date value.","Värdet Från datum bör vara mindre än eller lika med värdet Till datum ."
"The image contents is not valid base64 data.","Bildens innehåll är inte giltigt base64-data."
"The image is not specified.","Bilden är inte angiven."
"The model collection resource name is not defined.","Namnet på modellsamlingsresursen är inte definierat."
"The product %s has been added to comparison list.","Produkten %s har lagts till jämförelselistan."
"The product %s has been removed from comparison list.","Produkten %s har tagits bort från jämförelselistan."
"The product attribute has been deleted.","Produktattributet har tagits bort."
"The product attribute has been saved.","Produktattributet sparades framgångsrikt."
"The product has been created.","Produkten har skapats."
"The product has been deleted.","Produkten har tagits bort."
"The product has been duplicated.","Produkten har duplicerats."
"The product has been saved.","Produkten sparades framgångsrikt."
"The product has required options","Produkten har obligatoriska alternativ"
"There are no %s available.","Det finns inga %s tillgängliga."
"There are no customers for this alert","Det finns inga kunder för denna varning"
"There are no customers for this alert.","Det finns inga kunder för denna varning."
"There are no products matching the selection.","Det finns inga produkter som matchar urvalet."
"The review has been deleted","Granskningen har tagits bort"
"The review has been saved.","Granskningen har sparats."
"The review was removed by another user or does not exist.","Granskningen har tagits bort av en annan användare eller finns inte."
"There was an error while request processing.","Det gick inte att begära behandling."
"The search was deleted.","Sökningen har tagits bort."
"The text is too long","Texten är för lång"
"This attribute cannot be deleted.","Detta attribut kan inte raderas."
"This attribute cannot be edited.","Detta attribut kan inte redigeras."
"This attribute cannot be updated.","Detta attribut kan inte uppdateras."
"This attribute is used in configurable products.","Detta attribut används i konfigurerbara produkter."
"This Attribute no longer exists","Detta attribut finns inte längre"
"This attribute no longer exists","Detta attribut finns inte längre"
"This attribute set no longer exists.","Detta attribut finns inte längre."
"This category no longer exists.","Denna kategori finns inte längre."
"This is a required option","Detta är ett obligatoriskt alternativ"
"This product no longer exists.","Denna produkt finns inte längre."
"This search no longer exists.","Denna sökning finns inte längre."
"This setting will be applied when all prices in the specific price interval are equal.","Denna inställning kommer att tillämpas när alla priser i det specifika prisintervallet är lika."
"Thumbnail","Thumbnail"
"Tier Pricing","Nivå prissättning"
"Tile","Kakel"
"Title","Titel"
"To","Till"
"Top/Left","Topp/vänster"
"Top/Right","Topp/Höger"
"To reindex the enabled product(s), the store or product must be specified","För att indexera om aktiverade produkter måste butiken eller produkten anges"
"To see product price, add this item to your cart. You can always remove it later.","För att se produktpris, lägg till denna artikel i din varukorg. Du kan alltid ta bort den senare."
"Total incl. Tax: %1$s","Totalt inkl. moms: %1$s"
"Total of %d record(s) have been deleted.","Totalt antal %d post(er) har tagits bort."
"Total of %d record(s) have been updated.","Totalt antal %d post(er) har uppdaterats."
"Total of %d record(s) were updated","Totalt antal %d poster har uppdaterats"
"Type","Typ"
"Unable to complete this request.","Det gick inte att slutföra denna begäran."
"Unable to find an attribute to delete.","Det går inte att hitta ett attribut att ta bort."
"Unable to find a search term to delete.","Det går inte att hitta en sökterm att ta bort."
"Unable to get the product ID.","Det går inte att hämta produkt-ID."
"Unassigned Attributes","Otilldelade attribut"
"Unknown EAV indexer type ""%s"".","Okänd EAV indexerartyp ""%s""."
"unselect all","avmarkera alla"
"Unsupported product type ""%s"".","Produkttypen ""%s stöds inte."
"Up-sells","Up-sells"
"Update","Uppdatera"
"Update assigned product","Uppdatering tilldelad produkt"
"Update attribute","Uppdatera attribut"
"Update Attributes","Uppdatera attribut"
"Update attributes","Uppdatera attribut"
"Update category","Uppdatera kategori"
"Update custom option of product","Uppdatera anpassat alternativ för produkt"
"Update product","Uppdatera produkt"
"Update product image","Uppdatera produktbild"
"Update product link","Uppdatera produktlänk"
"Update product tier prices","Uppdatera priser på produktnivå"
"Update Tier Price","Uppdatera skiktets pris"
"Update value of custom option","Uppdatera värdet för anpassat alternativ"
"Upload new product image ","Ladda upp ny produktbild "
"URL Rewrite Management","Hantera URL-omskrivning"
"Use Canonical Link Meta Tag For Categories","Använd kanonisk länk Metatagg för kategorier"
"Use Canonical Link Meta Tag For Products","Använd kanonisk länk Metatagg för produkter"
"Use Categories Path for Product URLs","Använd sökväg för kategorier för produkt-URLer"
"Use config","Använd konfiguration"
"Use Config Settings","Använd konfigurationsinställningar"
"Use default","Använd standard"
"Use Default Value","Använd standardvärde"
"Used for Sorting in Product Listing","Används för sortering i produktlistning"
"Used in Product Listing","Används i produktlistan"
"Used to fill the frame when Keep Frame is enabled","Används för att fylla ramen när Behåll ram är aktiverad"
"Use Flat Catalog Category","Använd platt katalog kategori"
"Use Flat Catalog Product","Använd Flat Catalog Product"
"Use for Promo Rule Conditions","Använd för kampanjregler villkor"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Använd fyrsiffrigt årsformat. Används för min/max-attribut på inmatade datum."
"Use in Advanced Search","Använd i avancerad sökning"
"Use In Layered Navigation","Använd i filternavigering"
"Use in Layered Navigation","Använd i filternavigering"
"Use in Layered Navigation<br>(Can be used only with catalog input type 'Dropdown')","Använd i Layered Navigation<br>(Kan endast användas med katalogens indatatyp 'Dropdown')"
"Use in Quick Search","Använd i snabbsökning"
"Use In Search Results Layered Navigation","Använd i sökresultat Layered navigering"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Använd statiska webbadresser för medieinnehåll i WYSIWYG för katalog"
"Use To Create Configurable Product","Använd för att skapa konfigurerbar produkt"
"Use Tree Like Category Sitemap","Använd träd som kategori Sitemap"
"Value for ""%s"" is invalid.","Värdet för ""%s"" är ogiltigt."
"Value for ""%s"" is invalid: %s","Värdet för ""%s"" är ogiltigt: %s"
"Varchar","Varchar"
"View All Products","Visa alla produkter"
"View as","Visa som"
"View Details","Visa detaljer"
"View image %s","Visa bild %s"
"Virtual Product","Virtuell produkt"
"Visibility","Synlighet"
"Visible","Synlig"
"Visible on Catalog Pages on Front-end","Synlig på katalogsidor på front-end"
"Visible on Product View Page on Front-end","Synlig på produktvisningssidan på Front-end"
"Watermark","Vattenstämpel"
"Watermark Opacity, Percent","Vattenstämpel Opacitet, Procent"
"Watermark Position","Vattenstämpel position"
"Website","Webbplats"
"Websites","Webbplatser"
"What's this?","Vad är detta?"
"When enabled, associated products are automatically recalculated when reindex runs.","När detta är aktiverat räknas associerade produkter om automatiskt när reindex körs."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Om du vill visa ""Alla"" i rullgardinsmenyn ""Visa X per sida""."
"Will make search for the query above return results for this search.","Kommer att göra sökning efter frågan ovan returnera resultat för denna sökning."
"Wrong BuyRequest instance in options group.","Fel köp-instans i alternativ-gruppen."
"Wrong configuration item instance in options group.","Fel instans för konfigurationsobjekt i inställningsgruppen."
"Wrong configuration item option instance in options group.","Fel instans för konfigurationsobjekt i inställningsgruppen."
"Wrong option instance type in options group.","Fel instans typ av alternativ i gruppen"
"Wrong option type to get group instance.","Fel alternativtyp för att få gruppinstans."
"Wrong product instance type in options group.","Fel typ av produktinstans i alternativgruppen."
"Wrong product type filter specified","Fel produkttypfilter angivet"
"Wrong product type to extract configurable options.","Fel produkttyp att extrahera konfigurerbara alternativ."
"WYSIWYG Editor","WYSIWYG Editor"
"x","x"
"Year Range","År intervall"
"Yes","Ja"
"Yes, with images","Ja, med bilder"
"You have no items to compare.","Du har inga objekt att jämföra."
"You may also be interested in the following product(s)","Du kan också vara intresserad av följande produkt(er)"
"You saved the search term.","Du har sparat söktermen."
