"""Remember Me"" Default Value","""Kom ihåg mig"" standardvärde"
"VAT number is required.","Momsregistreringsnummer krävs."
"VAT number is valid.","Momsregistreringsnummer är giltigt"
"VAT Number Validation","Validering av momsnummer"
"VAT Request Date","Datum för momsförfrågan"
"VAT Request Identifier","Momsregistreringsnummer för begäran"
"VAT validation is not available for this country.","Momsvalidering är inte tillgänglig för detta land."
"Verification Code","Verifieringskod"
"VIES service is unavailable. VAT format is valid.","VIES tjänsten är inte tillgänglig. Momsformat är giltigt."
"View","Visa"
"View Order","Visa beställning"
"Visitor","Besökare"
"Visitors Only","Endast besökare"
"Warning: email containing password in plaintext will be sent.","Varning: e-post med lösenord i klartext kommer att skickas."
"Website","Webbplats"
"Welcome, %s!","Välkommen, %s!"
"Welcome Email","Välkommen e-post"
"When disabled, only guest checkout is available. Customer registration, login, and account pages are disabled.","När inaktiverad är endast gästkassan tillgänglig. Kundregistrering, inloggning och kontosidor är inaktiverade."
"Wishlist","Önskelista"
"Wishlist - %d item(s)","Önskelista - %d objekt"
"Would you like to change the Customer Group for this order?","Vill du ändra kundgruppen för denna beställning?"
"Wrong confirmation key.","Fel bekräftelseknapp."
"Wrong customer account specified.","Fel kundkonto angivet."
"Wrong email.","Fel e-post."
"Wrong transactional account email type","Fel typ av transaktionskonto"
"Year","År"
"You are currently subscribed to our newsletter.","Du prenumererar för närvarande på vårt nyhetsbrev."
"You are not subscribed to our newsletter.","Du prenumererar inte på vårt nyhetsbrev."
"You are now logged out","Du är nu utloggad"
"You have been successfully logged in.","Du har loggats in."
"You have exceeded magic link requests per hour from this email address.","Du har överskridit magiska länkförfrågningar per timme från denna e-postadress."
"You have exceeded magic link requests per hour from this IP address.","Du har överskridit magiska länkförfrågningar per timme från denna IP-adress."
"You have exceeded requests to times per 24 hours from 1 e-mail.","Du har överskridit förfrågningar till tider per 24 timmar från 1 e-post."
"You have exceeded requests to times per hour from 1 IP.","Du har överskridit förfrågningar till tider per timme från 1 IP."
"You have logged out and will be redirected to our homepage in 5 seconds.","Du har loggat ut och kommer att omdirigeras till vår hemsida om 5 sekunder."
"You have no additional address entries in your address book.","Du har inga ytterligare adressposter i din adressbok."
"You have no default billing address in your address book.","Du har ingen standard faktureringsadress i din adressbok."
"You have no default shipping address in your address book.","Du har ingen standard leveransadress i din adressbok."
"You have not set a default billing address.","Du har inte angett en standard faktureringsadress."
"You have not set a default shipping address.","Du har inte angett en standardleveransadress."
"Your account balance is: %s","Ditt kontosaldo är: %s"
"Your login link has expired. Please request a new one.","Din inloggningslänk har löpt ut. Vänligen begär en ny."
"Your Tax ID cannot be validated.","Ditt moms-ID kan inte valideras."
"Your VAT ID was successfully validated.","Ditt VAT-ID har validerats."
"You will be charged tax.","Du kommer att debiteras skatt."
"You will not be charged tax.","Du kommer inte att debiteras skatt."
"YYYY","ÅÅÅÅ"
"ZIP","Postnummer"
"Zip/Postal Code","Postnummer"
"ZIP/Post Code","Postnummer / Postnummer"
