"%d product(s) were updated","%d produkt(er) uppdaterades"
"%s (Default Template from Locale)","%s (standardmall från lokalt)"
"%s cache type(s) disabled.","%s cachetyper inaktiverade."
"%s cache type(s) enabled.","%s cachetyper aktiverade."
"%s cache type(s) refreshed.","%s cache typ(er) uppdaterade."
"New Class","Ny klass"
"New Condition","Nytt villkor"
"New Customer","Ny kund"
"New Customers","Nya kunder"
"New Custom Variable","Ny anpassad variabel"
"New Design Change","Ny designändring"
"New Email Template","Ny e-postmall"
"New Group","Ny grupp"
"New Invoice","Ny faktura"
"New Memo","Nytt memo"
"New Memo for #%s","Nytt memo för #%s"
"New Page","Ny sida"
"New Password","Nytt lösenord"
"New Password Confirmation","Bekräftelse av nytt lösenord"
"New password field cannot be empty.","Nytt lösenordsfält får inte vara tomt."
"New Profile","Ny profil"
"New Rate","Nytt pris"
"New Rating","Nytt betyg"
"New Review","Ny recension"
"New Role","Ny roll"
"New Rule","Ny regel"
"New Search","Ny sökning"
"New Set","Ny uppsättning"
"New Shipment","Ny leverans"
"New Sitemap","Ny Sitemap"
"Newsletter","Nyhetsbrev"
"Newsletter Problems","Problem med nyhetsbrev"
"Newsletter Queue","Nyhetsbrev kö"
"Newsletter Subscribers","Prenumeranter av nyhetsbrev"
"Newsletter Templates","Mallar för nyhetsbrev"
"New Store View","Ny butiksvy"
"New System Template","Ny systemmall"
"New Tag","Ny tagg"
"New Template","Ny mall"
"New User","Ny användare"
"New Variable","Ny variabel"
"New Website","Ny webbplats"
"No","Nej"
"No (price without tax)","Nej (pris utan moms)"
"No change","Ingen ändring"
"No customer id defined.","Inget kund-id angivet."
"No Data Found","Inga data hittades"
"No information available.","Ingen information tillgänglig."
"None","Ingen"
"No Passkey Created","Ingen Passkey skapad"
"No profile loaded...","Ingen profil laddad..."
"No records found.","Inga poster hittades."
"No records found for this period.","Inga poster hittades för denna period."
"No report code specified.","Ingen rapportkod angiven."
"No search keywords.","Inga sökord."
"No search modules were registered","Inga sökmoduler registrerade"
"Not allowed","Inte tillåtet"
"Not authenticated","Inte autentiserad"
"Note:","Notera:"
"No Templates Found","Inga mallar hittades"
"NOTICE","NOTISK"
"Notice","Notis"
"notice","notis"
"Notifications","Aviseringar"
"Number of Orders","Antal beställningar"
"Number of records:","Antal poster:"
"Number of Uses","Antal användningsområden"
"Number of Views","Antal visningar"
"OAuth authorization for admin","OAuth auktorisering för admin"
"OAuth authorization simple for admin","OAuth auktorisering enkel för admin"
"OAuth Consumers","OAuth konsumenter"
"Old rate:","Gammal pris:"
"One or more of the Cache Types are invalidated:","En eller flera av cachetyperna är ogiltiga:"
"Online Customers","Kunder online"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Endast attribut med omfattningen ""Global"", indatatypen ""Dropdown"" och ""Use To Create Configurable Product ""Ja"" är tillgängliga."
"Only from same domain","Endast från samma domän"
"Only mapped fields","Endast mappade fält"
"Only Once (version upgrade)","Endast en gång (versionsuppgradering)"
"Optional","Valfri"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Valfri region för leverantörer som stöder den (t.ex. us-east-1 för AWS)"
"Options","Alternativ"
"Options is required","Alternativ krävs"
"Order","Beställning"
"Order #%s","Beställning #%s"
"Order #%s (%s)","Beställning #%s (%s)"
"Order Created Date","Datum för skapande av order"
"Order ID","Order-ID"
"Orders","Beställningar"
"Order Totals","Ordersumma"
"Order Updated Date","Datum för orderuppdatering"
"Order Updated Date report is real-time, does not need statistics refreshing.","Order Uppdaterad Datumrapport är i realtid, behöver inte statistik uppdateras."
"Original Magento attribute names in first row:","Original Magento attribut namn i första raden:"
"Orphaned API Role Resource","Övergiven API-roll resurs"
"Orphaned API Role Resources","Övergivna API-rollresurser"
"Orphaned Resources","Övergivna resurser"
"Orphaned Role Resource","Övergiven roll resurs"
"Orphaned Role Resources","Övergivna rollresurser"
"Out of stock","Slut i lager"
"Pages","Sidor"
"Parent Product Thumbnail","Överordnad produktminiatyrbild"
"Parent Transaction ID","Överordnat transaktions-ID"
"Passive mode","Passiv läge"
"Passkey Active","Passkey aktiv"
"Passkey Authentication","Passkey autentisering"
"Passkey credential already registered to another user.","Passkey-autentiseringen är redan registrerad till en annan användare."
"Passkey will be deleted upon saving.","Passkey kommer att raderas när du sparar."
"Passkey will be registered upon saving.","Passkey kommer att registreras vid sparande."
"Password","Lösenord"
"Password:","Lösenord:"
"Password Confirmation","Lösenord Bekräftelse"
"Password confirmation must be same as password.","Lösenordsbekräftelse måste vara samma som lösenord."
"Password must be at least of %d characters.","Lösenordet måste vara minst av %d tecken."
"Password must include both numeric and alphabetic characters.","Lösenordet måste innehålla både numeriska och alfabetiska tecken."
"Path:","Sökväg:"
"Payment method instance is not available.","instans för betalningsmetod är inte tillgänglig."
"Payment method is not available.","Betalningsmetod är inte tillgänglig."
"Payment method must be specified.","Betalningsmetod måste anges."
"Pending Reviews","Väntande recensioner"
"Pending Tags","Väntande taggar"
"Percent","Procent"
"Performed At","Utförs vid"
"Period","Period"
"Per Item","Per artikel"
"Permanent (301)","Permanent (301)"
"Permissions","Behörigheter"
"Per Order","Per beställning"
"Personal Information","Personlig information"
"Phone:","Telefon:"
"PHP attribute recompilation failed: %s","PHP attribut omkompilering misslyckades: %s"
"PHP attributes were recompiled.","PHP-attribut har kompilerats om."
"Please confirm site switching. All data that hasn't been saved will be lost.","Vänligen bekräfta att webbplatsen byts. Alla data som inte har sparats kommer att försvinna."
"Please enter 6 or more characters.","Ange 6 eller fler tecken."
"Please enter another credit card number to complete your purchase.","Ange ett annat kreditkortsnummer för att slutföra ditt köp."
"Please enter a number greater than 0 in this field.","Ange ett tal som är större än 0 i detta fält."
"Please enter a valid $ amount. For example $100.00.","Ange ett giltigt belopp på $. Till exempel $100.00."
"Please enter a valid credit card number.","Ange ett giltigt kreditkortsnummer."
"Please enter a valid date.","Ange ett giltigt datum."
"Please enter a valid email.","Ange en giltig e-postadress."
"Please enter a valid email address. For example johndoe@domain.com.","Ange en giltig e-postadress, till exempel johndoe@domain.com."
"Please enter a valid number in this field.","Ange ett giltigt nummer i det här fältet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ange ett giltigt telefonnummer. Till exempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Ange ett giltigt personnummer. Till exempel 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Ange en giltig URL. Till exempel http://www.example.com eller www.example.com"
"Please enter a valid URL. http:// is required","Ange en giltig URL. http:// krävs"
"Please enter a valid zip code.","Ange en giltig postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Ange en giltig postnummer, till exempel 90602 eller 90602-1234."
"Please enter valid password.","Ange ett giltigt lösenord."
"Please make sure that all global admin search modules are installed and activated.","Se till att alla globala admin-sökmoduler är installerade och aktiverade."
"Please make sure that your changes were saved before running the profile.","Kontrollera att dina ändringar sparades innan du körde profilen."
"Please make sure your passwords match.","Se till att dina lösenord matchar."
"Please Select","Vänligen välj"
"Please select a customer.","Välj en kund."
"Please select an option.","Välj ett alternativ."
"Please select a store.","Välj en butik."
"Please select catalog searches.","Välj katalogsökningar."
"Please select customer(s).","Välj kund(er)."
"Please select one of the above options.","Välj ett av ovanstående alternativ."
"Please select one of the options.","Välj ett av alternativen."
"Please select review(s).","Välj recension(er)."
"Please select State/Province.","Välj delstat/provins."
"Please select tag(s).","Välj tagg(ar)."
"Please select URL rewrite(s).","Välj omskrivning av URL-adresser."
"Please specify the admin custom URL.","Vänligen ange administratörens anpassade URL."
"Please try to logout and sign in again.","Försök att logga ut och logga in igen."
"Please use in this field only ""a-z,0-9,_"".","Vänligen använd i detta fält endast ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Använd endast bokstäver (a-z) i detta fält."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Använd endast siffror i det här fältet. Undvik mellanslag eller andra tecken som prickar eller kommatecken."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Använd endast bokstäver (a-z) eller siffror (0-9) i detta fält. Inga mellanslag eller andra tecken är tillåtna."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Använd endast bokstäver (a-z) eller siffror (0-9) eller mellanslag och # endast i detta fält."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Använd detta datumformat: dd/mm/yyyy. Till exempel 17/03/2006 för den 17 mars 2006."
"Please wait, loading...","Vänligen vänta, laddar..."
"Please wait...","Vänligen vänta..."
"Please wait while the indexes are being refreshed.","Vänligen vänta medan indexen uppdateras."
"Popular","Populär"
"Position","Befattning"
"Position of Watermark for %s","Vattenstämpel för %s"
"Pregenerated configurable swatches image files.","Förgenererade konfigurerbara swatch-bildfiler."
"Pregenerated product images files.","Förgenererade produktbilder filer."
"Preview","Förhandsgranska"
"Preview Template","Förhandsgranska mall"
"Price","Pris"
"Price:","Pris:"
"Price alert subscription was saved.","Prenumeration på prisavisering har sparats."
"Processed <strong>%s%% %s/%d</strong> records","Bearbetade <strong>%s%% %s/%d</strong> poster"
"Processing","Bearbetar"
"Product","Produkt"
"Product:","Produkt:"
"Product is not loaded.","Produkten är inte laddad."
"Product Name","Produktens namn"
"Product Reviews","Produktrecensioner"
"Products","Produkter"
"Products Bestsellers Report","Bästsäljare av produkter"
"Products in Carts","Produkter i varukorgar"
"Products Most Viewed Report","Mest visade produkter rapport"
"Products Ordered","Produkter beställda"
"Product Tax Classes","Produktens momsklasser"
"Product Thumbnail Itself","Produktens miniatyrbild själv"
"Profile Action","Profilens åtgärd"
"Profile Actions XML","Profilens åtgärder XML"
"Profile Direction","Profilens riktning"
"Profile History","Profilens historik"
"Profile Information","Profilinformation"
"Profile Name","Profilens namn"
"Profile Payments","Profilbetalningar"
"Profiles","Profiles"
"Profile Schedule","Profilens schema"
"Profile Wizard","Profilguide"
"Promo","Reklam"
"Promotions","Kampanjer"
"Purchased Item","Köpt objekt"
"QR Code","QR Code"
"Quantity","Kvantitet"
"Queued... Cancel","Köad... Avbryt"
"Queue Refresh","Uppdatera kön"
"Radio Buttons","Radioknappar"
"Rates","Priser"
"Read details","Läs detaljer"
"Rebuild","Återskapa"
"Rebuild Catalog Index","Återskapa katalogindex"
"Rebuild Flat Catalog Category","Bygg om Flat Catalog kategori"
"Rebuild Flat Catalog Product","Återskapa Flat Katalog Produkt"
"Recent Orders","Senaste beställningar"
"Recent statistics have been updated.","Den senaste statistiken har uppdaterats."
"Recipient email address","Mottagarens e-postadress"
"Recompile PHP Attributes","Recompile PHP attribut"
"Recurring Profile View","Återkommande profilvy"
"Redirect","Omdirigera"
"Redirect to URL without trailing slash","Omdirigera till URL utan avslutande snedstreck"
"Redirect to URL with trailing slash","Omdirigera till URL med avslutande snedstreck"
"Reference","Referens"
"Reference ID","Referens ID"
"Refresh","Uppdatera"
"Refresh Now*","Uppdatera nu*"
"Refresh Roles","Uppdatera roller"
"Refresh Statistics","Uppdatera statistik"
"Region","Region"
"Region/State","Region/Län"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","Registrering av ett lösenord inaktiverar automatiskt lösenordsautentisering. Av säkerhetsskäl rekommenderar vi att du behåller det inaktiverat, men du kan återaktivera det om det behövs."
"Register New Passkey","Registrera nytt lösenord"
"Register Passkey","Registrera lösenord"
"Regular Price:","Ordinarie pris:"
"Reject","Avvisa"
"Rejection Of Authorization","Avvisande av tillstånd"
"Reject token authorization for admin","Avvisa tillstånd för token för admin"
"Reject token authorization Pop Up for admin","Avvisa tillstånd för token Pop Up för admin"
"Remote FTP","Fjärrkontroll FTP"
"Remove","Radera"
"Remove Passkey","Ta bort lösenord"
"Rename","Döp om"
"Reports","Rapporter"
"Request Path","Sökväg för begäran"
"Required","Krävs"
"Reset","Reset"
"Reset a Password","Återställ ett lösenord"
"Reset Filter","Återställ filter"
"Reset Password","Återställ lösenord"
"Resource Access","Åtkomst till resurs"
"Resources","Resurser"
"REST (legacy)","ÅTERSTÄLL (arv)"
"REST Roles","ÅTERSTÄLL roller"
"Results","Resultat"
"Retrieve Password","Hämta lösenord"
"Return Html Version","Retur Html-version"
"Revenue","Intäkter"
"Reviews","Recensioner"
"Reviews and Ratings","Recensioner och betyg"
"Rewrite Rules","Skriv om regler"
"Role ID","Roll-ID"
"Role Info","Rollinformation"
"Role Information","Information om roll"
"Role Name","Rollens namn"
"Role Resources","Roll resurser"
"Roles","Roller"
"Roles Resources","Roller Resurser"
"Role Users","Användare av roll"
"Root Category","Rot Kategori"
"Run","Kör"
"Running... Kill","Kör... Döda"
"Run Profile","Kör profil"
"Run Profile in Popup","Kör profil i Popup"
"Sales","Försäljning"
"Sales Overview","Försäljning översikt"
"Sales Report","Rapport försäljning"
"Samples","Prov"
"Save","Spara"
"Save & Generate","Spara & Generera"
"Save Account","Spara konto"
"Save and Continue Edit","Spara och fortsätt redigera"
"Save Block","Spara block"
"Save Cache Settings","Spara cache-inställningar"
"Save Config","Spara konfiguration"
"Save Currency Rates","Spara valutakurser"
"Save Profile","Spara profil"
"Save Role","Spara roll"
"Save Template","Spara mall"
"Save User","Spara användare"
"Save Variable","Spara variabel"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Skanna den här QR-koden med din autentiseringsapp (Google Authenticator, Authy, etc.)"
"Search","Sök"
"Search entire store here...","Sök i hela butiken här..."
"Search Index","Sök Index"
"Search results","Sökresultat"
"Search Term","Sökord"
"Search Terms","Sök villkor"
"Select","Välj"
"Select All","Markera alla"
"Select Category","Välj kategori"
"selected","vald"
"Selected allowed currency ""%s"" is not available in installed currencies.","Vald tillåten valuta ""%s"" är inte tillgänglig i installerade valutor."
"Selected base currency is not available in installed currencies.","Vald basvaluta är inte tillgänglig i installerade valutor."
"Selected default display currency is not available in allowed currencies.","Vald standardvaluta är inte tillgänglig i tillåtna valutor."
"Selected default display currency is not available in installed currencies.","Vald standardvisningsvaluta är inte tillgänglig i installerade valutor."
"Select Range","Välj intervall"
"Self-assigned roles cannot be deleted.","Kan inte ta bort självtilldelade roller."
"Send","Skicka"
"Sender","Avsändare"
"Sending...","Skickar..."
"Separate Email","Separera e-post"
"Serialized data is incorrect","Serialiserad data är felaktig"
"Shipment #%s comment added","Paket #%s kommentar tillagd"
"Shipment #%s created","Paket #%s skapad"
"Shipment Comments","Kommentarer till försändelsen"
"Shipment History","Paketets historik"
"Shipments","Leveranser"
"Shipping","Frakt"
"Shipping Address","Leveransadress"
"Shipping Address: ","Frakt Adress: "
"Shipping address selection is not applicable","Val av leveransadress är inte tillämplig"
"Shipping method must be specified.","Leveranssätt måste anges."
"Shipping method selection is not applicable","Val av fraktmetod är inte tillämplig"
"Shipping Origin","Frakt ursprung"
"Shipping Price","Pris för frakt"
"Shopping Cart","Kundvagn"
"Shopping Cart from %s","Kundvagn från %s"
"Shopping Cart Price Rules","Prisregler för kundvagn"
"Show By","Visa av"
"Show Report For:","Visa rapport för:"
"Show Reviews","Visa recensioner"
"Sitemap Information","Webbplatskarta Information"
"Size for %s","Storlek för %s"
"Skip Category Selection","Hoppa över kategorival"
"SKU","Artikelnr"
"SKU:","Artikelnr:"
"SOAP / XML-RPC (legacy)","SOAP / XML-RPC (legacy)"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Vissa artiklar i denna ordning har olika faktura och försändelstyper. Du kan skapa försändelsen först efter att fakturan har skapats."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Vissa av de beställda artiklarna finns inte längre i katalogen och kommer att tas bort om du försöker redigera beställningen."
"Special Price:","Särskild pris:"
"Specific Countries","Specifika länder"
"Specified","Angivet"
"Specified profile does not exist.","Den angivna profilen finns inte."
"Spreadsheet Name:","Kalkylbladets namn:"
"Start Date","Startdatum"
"Starting profile execution, please wait...","Startar genomförandet av profilen, var god vänta..."
"State/Province:","Län/Provins:"
"Static Blocks","Statiska block"
"Status","Status"
"Status:","Status:"
"Stock notification was saved.","Lagersaldo sparades."
"Stock Quantity:","Lagerkvantitet:"
"Store","Butik"
"store(%s) scope","butik(%s) omfattning"
"Store:","Butik:"
"Stores","Butiker"
"Store View","Butiksvy"
"Subject","Ämne"
"Submit","Skicka"
"Subtotal","Delsumma"
"successful","Lyckad"
"Switch/Solo/Maestro Only","Växla/Solo/Maestro endast"
"System","System"
"System busy","Systemet är upptaget"
"Tags","Taggar"
"Target Path","Målets sökväg"
"Tax","Skatt"
"Template","Mall"
"Template Content","Mallens innehåll"
"Template Information","Mall Information"
"Template Name","Mall Namn"
"Template Styles","Template Styles"
"Template Subject","Mall ämne"
"Template Type","Typ av mall"
"Temporary (302)","Tillfällig (302)"
"Terms and Conditions","Regler och villkor"
"Test email sent successfully to %s.","Testmeddelandet har skickats till %s."
"Test Email Settings","Testa e-postinställningar"
"Text","Text"
"The account has been saved.","Kontot har sparats."
"The attribute set has been removed.","Attributet har tagits bort."
"The billing agreement has been canceled.","Faktureringsavtalet har annullerats."
"The billing agreement has been deleted.","Faktureringsavtalet har tagits bort."
"The block has been saved.","Blocket har sparats."
"The cache storage has been flushed.","Cache-lagringen har rensats."
"The carrier needs to be specified.","Transportören måste anges."
"The catalog index has been rebuilt.","Katalogindexet har byggts om."
"The CatalogInventory Stock Status has been rebuilt.","Den KatalogInventering Lagerstatus har byggts om."
"The catalog rewrites have been refreshed.","Katalogen har uppdaterats."
"The Catalog Rewrites were refreshed.","Katalogen Omskrivning har uppdaterats."
"The Comment Text field cannot be empty.","Fältet Kommentarstexten kan inte vara tomt."
"The configurable swatches image cache was cleaned.","Den konfigurerbara swatch-cache rensades."
"The configuration has been saved.","Konfigurationen har sparats."
"The credit memo has been canceled.","Kreditnotan har avbrutits."
"The credit memo has been created.","Kreditnotan har skapats."
"The credit memo has been voided.","Kreditnotan har annullerats."
"The credit memo no longer exists.","Kreditnotan finns inte längre."
" The customer does not exist in the system anymore."," Kunden finns inte längre i systemet."
"The customer has been deleted.","Kunden har tagits bort."
"The customer has been saved.","Kunden har sparats."
"The custom variable has been deleted.","Den anpassade variabeln har tagits bort."
"The custom variable has been saved.","Anpassad variabel har sparats."
"The design change has been deleted.","Ändringen av designen har tagits bort."
"The design change has been saved.","Ändringen av designen har sparats."
"The email address has been updated successfully.","E-postadressen har uppdaterats."
"The email address is empty.","E-postadressen är tom."
"The email template has been deleted.","E-postmallen har tagits bort."
"The email template has been saved.","E-postmallen har sparats."
"The flat catalog category has been rebuilt.","Den platta katalogkategorin har byggts om."
"The Flat Catalog Product was rebuilt","Flat Catalog Product har byggts om"
"The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Följande API-rollresurser är inte längre tillgängliga i systemet: %s. Du kan ta bort dem genom att <a href=""%s"">klicka här</a>."
"The following role resource(s) are not orphaned: %s","Följande rollresurser är inte föräldralösa: %s"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Följande rollresurser är inte längre tillgängliga i systemet: %s. Du kan ta bort dem genom att <a href=""%s"">klicka här</a>."
"The group node name must be specified with field node name.","Gruppnodens namn måste anges med fältnodens namn."
"The image cache was cleaned.","Bildcachen har rensats."
"The image cache was cleared.","Bildcachen har rensats."
"The invoice and shipment have been created.","Faktura och leverans har skapats."
"The invoice cannot be canceled.","Fakturan kan inte avbrytas."
"The invoice cannot be captured.","Fakturan kan inte tas bort."
"The invoice cannot be voided.","Fakturan kan inte annulleras."
"The invoice has been canceled.","Fakturan har avbrutits."
"The invoice has been captured.","Fakturan har tagits bort."
"The invoice has been created.","Fakturan har skapats."
"The invoice has been voided.","Fakturan har annullerats."
"The invoice no longer exists.","Fakturan finns inte längre."
"The item %s (SKU %s) does not exist in the catalog anymore.","Objektet %s (SKU %s) finns inte längre i katalogen."
"The Layered Navigation indexing has been queued.","Indexeringen för filternavigering har köats."
"The Layered Navigation indexing queue has been canceled.","Kön för indexering av filternavigering har avbrutits."
"The Layered Navigation indices were refreshed.","Indexen för filternavigering uppdaterades."
"The Layered Navigation process has been queued to be killed.","Processen för filternavigering har köats för att dödas."
"The Maho cache has been flushed and updates applied.","Maho cache har rensats och uppdateringar har använts."
"The minified CSS/JS cache was cleaned.","Den minifierade CSS/JS-cachen har rensats."
"The order does not allow creating an invoice.","Ordern tillåter inte att skapa en faktura."
"The order no longer exists.","Ordern finns inte längre."
"The profile has been deleted.","Profilen har tagits bort."
"The profile has been saved.","Profilen har sparats."
"The profile has been updated.","Profilen har uppdaterats."
"The profile has no changes.","Profilen har inga ändringar."
"The profile you are trying to save no longer exists","Profilen du försöker spara finns inte längre"
"The rating has been deleted.","Betyget har tagits bort."
"The rating has been saved.","Betyget har sparats."
"There is an error in one of the option rows.","Det finns ett fel i en av alternativen rader."
"The role has been deleted.","Rollen har tagits bort."
"The role has been saved.","Rollen har sparats."
"The role has been successfully saved.","Rollen har sparats."
"The roles have been refreshed.","Rollerna har uppdaterats."
"The search index has been rebuilt.","Sökindexet har byggts om."
"The shipment has been created.","Paketet har skapats."
"The shipment has been sent.","Paketet har skickats."
"The shipment no longer exists.","Paketet finns inte längre."
"The shipping label has been created.","Fraktetiketten har skapats."
"The Special Price is active only when lower than the Actual Price.","Specialpriset är aktiv endast när lägre än den faktiska priset."
"The tag has been deleted.","Taggen har tagits bort."
"The tag has been saved.","Taggen har sparats."
"The transaction details have been updated.","Detaljerna för transaktionen har uppdaterats."
"The URL Rewrite has been deleted.","URL-omskrivning har tagits bort."
"The URL Rewrite has been saved.","URL-omskrivning har sparats."
"The user has been deleted.","Användaren har tagits bort."
"The user has been saved.","Användaren har sparats"
"The variable has been saved.","Variabeln har sparats."
"This Account is","Detta konto är"
"This account is","Detta konto är"
"This account is inactive.","Detta konto är inaktivt."
"This attribute set does not have attributes which we can use for configurable product","Denna attributuppsättning har inte attribut som vi kan använda för konfigurerbar produkt"
"This block no longer exists.","Detta block finns inte längre."
"This Email template no longer exists.","Denna e-postmall finns inte längre."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Detta är en demo butik. Alla beställningar som görs via denna butik kommer inte att hedras eller uppfyllas."
"This is a required field.","Detta är ett obligatoriskt fält."
"This is a test email from Maho admin.","Detta är ett test e-post från Maho admin."
"This product is currently disabled.","Denna produkt är för närvarande inaktiverad."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Denna rapport beror på tidszonkonfigurationen. När tidszonen har ändrats måste livstidsstatistiken uppdateras."
"This Role no longer exists","Denna roll finns inte längre"
"This Role no longer exists.","Denna roll existerar inte längre."
"This section is not allowed.","Detta avsnitt är inte tillåtet."
"This user no longer exists.","Denna användare finns inte längre."
"This variable no longer exists.","Denna variabel finns inte längre."
"Time","Tid"
"To","Till"
"to","till"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","För att avbryta väntande tillstånd och frisläppande belopp som redan har behandlats under denna betalning, klicka på Avbryta."
"Tools","Verktyg"
"Top 5 Search Terms","Topp 5 söktermer"
"Total","Totalt"
"Total Invoiced","Totalt fakturerat"
"Total of %d record(s) have been deleted.","Totalt antal %d post(er) har tagits bort."
"Total of %d record(s) have been updated.","Totalt antal %d post(er) har uppdaterats."
"Total of %d record(s) were deleted","Totalt antal %d poster har tagits bort"
"Total of %d record(s) were deleted.","Totalt antal %d poster har tagits bort."
"Total of %d record(s) were updated","Totalt antal %d poster har uppdaterats"
"Total of %d record(s) were updated.","Totalt antal %d poster uppdaterades."
"Total of %d URL rewrite(s) have been deleted.","Totalt antal %d URL omskrivning(ar) har tagits bort."
"Total Order Amount","Totalt orderbelopp"
"Total Refunded","Totalt återbetalat"
"Tracking number %s for %s assigned","Spårningsnummer %s för %s tilldelad"
"Tracking number cannot be empty.","Spårningsnummer kan inte vara tomt."
"Track Order","Spåra order"
"Track this shipment","Spåra detta paket"
"Trailing Slash Behavior","Försläpande Slash Beteende"
"Transactional Emails","Transaktionella e-postmeddelanden"
"Transaction Data","Transaktion Data"
"Transaction Details","Transaktion Detaljer"
"Transaction ID","Transaktions ID"
"Transactions","Transaktioner"
"Transaction Type","Transaktionstyp"
"Two-Factor Authentication","Tvåfaktorsautentisering"
"Type","Typ"
"Type:","Typ:"
"Unable to cancel the credit memo.","Det går inte att avbryta kreditnotan."
"Unable to find a block to delete.","Det gick inte att hitta ett block att ta bort."
"Unable to find a Email Template to delete.","Det gick inte att hitta en e-postmall att ta bort."
"Unable to find a tag to delete.","Det gick inte att hitta en tagg att ta bort."
"Unable to find a user to delete.","Det gick inte att hitta en användare att ta bort."
"Unable to find a variable to delete.","Det gick inte att hitta en variabel att ta bort."
"Unable to initialize import model","Det går inte att initiera importmodell"
"Unable to refresh lifetime statistics.","Det går inte att uppdatera livstids statistik."
"Unable to refresh recent statistics.","Det går inte att uppdatera aktuell statistik."
"Unable to save the cron expression.","Det går inte att spara cron-uttrycket."
"Unable to save the invoice.","Det går inte att spara fakturan."
"Unable to send the invoice email.","Det gick inte att skicka fakturans e-post."
"Unable to send the shipment email.","Det går inte att skicka leveransen."
"Unable to update transaction details.","Det gick inte att uppdatera transaktionsdetaljer."
"Unable to void the credit memo.","Det går inte att annullera kreditnotan."
"Unknown","Okänd"
"Unlimited","Obegränsad"
"Update","Uppdatera"
"Updated At","Uppdaterad vid"
"Uploaded file is larger than %.2f kilobytes allowed by server","Den uppladdade filen är större än %.2f kilobyte som tillåts av servern"
"Upload File","Ladda upp fil"
"Upload Files","Ladda upp filer"
"URL Rewrite","URL omskrivning"
"URL Rewrite Information","URL skriva om information"
"URL Rewrite Management","Hantera URL-omskrivning"
"Use All Available Attributes","Använd alla tillgängliga attribut"
"Use Config Settings","Använd konfigurationsinställningar"
"Used as Default For","Används som standard för"
"Used Currently For","Används för närvarande för"
"Use Default","Använd standard"
"Use Default Value","Använd standardvärde"
"Use Default Variable Values","Använd standardvariabelvärden"
"User Email","Användarens e-postadress"
"User ID","Användar-ID"
"User Info","Användarinformation"
"User Information","Användarinformation"
"User Name","Användarnamn"
"User name","Användarnamn"
"User Name:","Användarens namn:"
"User Name is required field.","Användarnamn är obligatoriskt fält."
"User Password","Användarens lösenord"
"User Role","Användarens roll"
"User Roles","Användarens roller"
"User Roles Information","Information om användarroller"
"Users","Användare"
"User Type Resources","Resurser för användare"
"Use Website","Använd webbplats"
"Validation Results","Valideringsresultat"
"Value","Värde"
"Value Delimiter:","Avgränsare för värde:"
"Variable","Variabel"
"Variable Code","Variabel kod"
"Variable Details","Variabel Detaljer"
"Variable has been deleted.","Variabeln har tagits bort."
"Variable HTML Value","Variabelt HTML-värde"
"Variable ID","Variabelt ID"
"Variable Name","Variabelt namn"
"Variable Name is incorrect.","Variabelnamn är felaktigt."
"Variable Name is required field.","Variabelnamn är obligatoriskt fält."
"Variable Plain Value","Variabelt enkelt värde"
"Variables","Variabler"
"VAT Number is Invalid","Momsregistreringsnummer är ogiltigt"
"VAT Number is Valid","Momsregistreringsnummer är giltigt"
"Verification Code","Verifieringskod"
"Verifier code: %s","Verifieringskod: %s"
"View Actions XML","Visa åtgärder XML"
"View Full Size","Visa full storlek"
"View Statistics For:","Visa statistik för:"
"Visibility:","Synlighet:"
"Visible","Synlig"
"Visitors","Besökare"
"Warning","Varning"
"Warning! Empty value can cause problems with CSV format.","Varning! Tomma värden kan orsaka problem med CSV-format."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Varning!\r\nDenna åtgärd kommer att ta bort denna användare från redan tilldelad roll\r\nÄr du säker?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Varning!\r\nDenna åtgärd kommer att ta bort dessa användare från redan tilldelade roller\r\nÄr du säker?"
