"""Remember Me"" Default Value","Valoarea implicită ""Ține-mă minte"""
"Use as My Default Shipping Address","Foloseste ca adresa mea de livrare implicita"
"Use as my default shipping address","Utilizați ca adresă de livrare implicită"
"Validate on Each Transaction","Validați pe fiecare Tranzacție"
"Validate VAT Number","Validare cod TVA"
"Validate VAT numbers against the EU VIES service in real time on address forms.","Validarea în timp real a numerelor de TVA împotriva serviciului VIES al UE pe formularele de adresă."
"Validation Error Group","Grupul de erori de validare"
"VAT Number","Număr TVA"
"VAT number format is valid.","Formatul numărului de TVA este valid."
"VAT number format is valid. VIES validation is not available for this country.","Formatul de număr TVA este valid. Validarea VIES nu este disponibilă pentru această țară."
"VAT number is not valid.","Numărul de TVA nu este valid."
"VAT number is required.","Este necesar numărul de TVA."
"VAT number is valid.","Numărul de TVA este valid."
"VAT Number Validation","Validare număr TVA"
"VAT Request Date","Data cererii de TVA"
"VAT Request Identifier","Identificator solicitare TVA"
"VAT validation is not available for this country.","Validarea TVA nu este disponibilă pentru această țară."
"Verification Code","Cod de verificare"
"VIES service is unavailable. VAT format is valid.","Serviciul VIES nu este disponibil. Formatul TVA este valid."
"View","Vizualizare"
"View Order","Vezi comanda"
"Visitor","Vizitator"
"Visitors Only","Doar vizitatori"
"Warning: email containing password in plaintext will be sent.","Avertisment: va fi trimis un e-mail cu parola în plaintext."
"Website","Website"
"Welcome, %s!","Bun venit, %s!"
"Welcome Email","E-mail de întâmpinare"
"When disabled, only guest checkout is available. Customer registration, login, and account pages are disabled.","Atunci când este dezactivată, este disponibilă doar finalizarea comenzii oaspeților. Înregistrarea clienților, autentificarea și paginile contului sunt dezactivate."
"Wishlist","Listă dorințe"
"Wishlist - %d item(s)","Listă de dorințe - articol(e) %d"
"Would you like to change the Customer Group for this order?","Doriți să schimbați Grupul de Clienți pentru această comandă?"
"Wrong confirmation key.","Cheie de confirmare greșită."
"Wrong customer account specified.","Cont de client specificat greșit."
"Wrong email.","E-mail greșit."
"Wrong transactional account email type","Tip de e-mail de cont tranzacție greșit"
"Year","An"
"You are currently subscribed to our newsletter.","Ești abonat la newsletter-ul nostru."
"You are not subscribed to our newsletter.","Nu sunteți abonat la buletinul nostru informativ."
"You are now logged out","Acum ești deconectat"
"You have been successfully logged in.","Ai fost autentificat cu succes."
"You have exceeded magic link requests per hour from this email address.","Ați depășit cererile de link-uri magice pe oră de la această adresă de e-mail."
"You have exceeded magic link requests per hour from this IP address.","Ați depășit cererile de link-uri magice pe oră de la această adresă IP."
"You have exceeded requests to times per 24 hours from 1 e-mail.","Ați depășit numărul de solicitări în 24 de ore de la 1 e-mail."
"You have exceeded requests to times per hour from 1 IP.","Ai depășit cererile de la 1 IP la o oră pe oră."
"You have logged out and will be redirected to our homepage in 5 seconds.","V-ați deconectat și veți fi redirecționat către pagina noastră de start în 5 secunde."
"You have no additional address entries in your address book.","Nu aveți înregistrări de adrese suplimentare în agenda dvs."
"You have no default billing address in your address book.","Nu aveți o adresă de facturare implicită în agenda dvs."
"You have no default shipping address in your address book.","Nu aveți o adresă de livrare implicită în agenda dvs."
"You have not set a default billing address.","Nu ați setat o adresă de facturare implicită."
"You have not set a default shipping address.","Nu aţi setat o adresă de livrare implicită."
"Your account balance is: %s","Soldul contului tău este: %s"
"Your login link has expired. Please request a new one.","Link-ul de conectare a expirat. Vă rugăm să solicitaţi unul nou."
"Your Tax ID cannot be validated.","ID-ul fiscal nu poate fi validat."
"Your VAT ID was successfully validated.","ID-ul tau de TVA a fost validat cu succes."
"You will be charged tax.","Vi se va percepe taxa."
"You will not be charged tax.","Nu vei fi taxat."
"YYYY","AAAA"
"ZIP","ZIP"
"Zip/Postal Code","Cod poștal"
"ZIP/Post Code","Cod poștal"
