"%d product(s) were updated","%d produs(e) au fost actualizate"
"%s (Default Template from Locale)","%s (Șablon defect de la Local)"
"%s cache type(s) disabled.","Tip(uri) de cache %s dezactivate."
"%s cache type(s) enabled.","Tip(uri) de cache %s activate."
"%s cache type(s) refreshed.","Tip(uri) de cache %s reîmprospătate."
"My Applications","Aplicațiile mele"
"N/A","N/A"
"Name","Nume"
"Name:","Nume:"
"Name on Card","Numele de pe card"
"Network Error. Please refresh the page.","Eroare de rețea. Reîmprospătați pagina."
"Never (production)","Niciodată (producție)"
"New ","Nou "
"New Accounts","Conturi noi"
"New API Key","Cheie API nouă"
"New Attribute","Atribut Nou"
"New Block","Bloc nou"
"New block","Bloc nou"
"New Category","Categorie nouă"
"New Class","Clasa Nouă"
"New Condition","Condiție nouă"
"New Customer","Client nou"
"New Customers","Clienți noi"
"New Custom Variable","Variabilă nouă personalizată"
"New Design Change","Schimbare design nou"
"New Email Template","Şablon de e-mail nou"
"New Group","Grup nou"
"New Invoice","Factură nouă"
"New Memo","Notă nouă"
"New Memo for #%s","Notă nouă pentru #%s"
"New Page","Pagină nouă"
"New Password","Parolă nouă"
"New Password Confirmation","Confirmare parolă nouă"
"New password field cannot be empty.","Câmpul pentru parola nouă nu poate fi gol."
"New Profile","Profil nou"
"New Rate","Rată nouă"
"New Rating","Evaluare nouă"
"New Review","Recenzie Noua"
"New Role","Rol nou"
"New Rule","Regulă nouă"
"New Search","Căutare nouă"
"New Set","Set nou"
"New Shipment","Livrare nouă"
"New Sitemap","Harta site nouă"
"Newsletter","Newsletter"
"Newsletter Problems","Probleme la newsletter"
"Newsletter Queue","Coada newsletterului"
"Newsletter Subscribers","Abonați la newsletter"
"Newsletter Templates","Șabloane newsletter"
"New Store View","Vedere magazin nou"
"New System Template","Șablon de sistem nou"
"New Tag","Etichetă nouă"
"New Template","Șablon nou"
"New User","Utilizator Nou"
"New Variable","Variabilă nouă"
"New Website","Site nou"
"No","Nr"
"No (price without tax)","Nu (preț fără taxe)"
"No change","Nicio schimbare"
"No customer id defined.","Nici un ID client definit."
"No Data Found","Nu s-au găsit date"
"No information available.","Nu există informații disponibile."
"None","Niciunul"
"No profile loaded...","Niciun profil încărcat..."
"No records found.","Nicio înregistrare găsită."
"No records found for this period.","Nu au fost găsite înregistrări pentru această perioadă."
"No report code specified.","Nici un cod de raport specificat."
"No search keywords.","Nu există cuvinte cheie căutate."
"No search modules were registered","Nu au fost înregistrate module de căutare"
"Not allowed","Nu este permis"
"Not authenticated","Nu este autentificat"
"Note:","Notă:"
"No Templates Found","Nici un șablon găsit"
"NOTICE","NOTIFICARE"
"Notice","Notificare"
"notice","înștiințare"
"Notifications","Notificări"
"Number of Orders","Număr de Comenzi"
"Number of records:","Numărul de înregistrări:"
"Number of Uses","Număr de utilizări"
"Number of Views","Număr de vizualizări"
"OAuth authorization for admin","Autorizare OAuth pentru administrator"
"OAuth authorization simple for admin","Autorizarea OAuth simplă pentru administrator"
"OAuth Consumers","Consumatori OAuth"
"Old rate:","Rata veche:"
"One or more of the Cache Types are invalidated:","Unul sau mai multe tipuri de cache sunt invalidate:"
"Online Customers","Clienți online"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Sunt disponibile numai atributele cu domeniul de aplicare ""Global"", tipul de introducere ""Dropdown"" şi utilizarea pentru a crea un produs configurabil ""Da""."
"Only from same domain","Doar din acelaşi domeniu"
"Only mapped fields","Numai câmpuri mapate"
"Only Once (version upgrade)","Doar odată (actualizare versiune)"
"Optional","Opţional"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Regiune opțională pentru furnizorii care o sprijină (de exemplu, us-east-1 pentru WSA)"
"Options","Opţiuni"
"Options is required","Opțiunile sunt necesare"
"Order","Comanda"
"Order #%s","Comanda #%s"
"Order #%s (%s)","Comanda #%s (%s)"
"Order Created Date","Comanda Creata Data"
"Order ID","ID Comandă"
"Orders","Comenzi"
"Order Totals","Totalul Comenzilor"
"Order Updated Date","Data actualizarii comenzii"
"Order Updated Date report is real-time, does not need statistics refreshing.","Raportul de dată actualizat este în timp real, nu necesită actualizarea statisticilor."
"Original Magento attribute names in first row:","Numele atributului Magento original în primul rând:"
"Orphaned API Role Resource","Resursă rol API Orphaned"
"Orphaned API Role Resources","Resurse de rol Orphaned API"
"Orphaned Resources","Resurse orfane"
"Orphaned Role Resource","Resurse de rol orfane"
"Orphaned Role Resources","Resurse de rol orfane"
"Out of stock","Nu este în stoc"
"Pages","Pagini"
"Parent Product Thumbnail","Imagine produs părinte"
"Parent Transaction ID","ID Tranzacție părinte"
"Passive mode","Mod pasiv"
"Passkey Active","Parolă activă"
"Passkey Authentication","Autentificare Passkey"
"Passkey credential already registered to another user.","Parola de acreditare deja înregistrată la un alt utilizator."
"Passkey will be deleted upon saving.","Parola va fi ștearsă după salvare."
"Passkey will be registered upon saving.","Parola va fi înregistrată după salvare."
"Password","Parolă"
"Password:","Parola:"
"Password Confirmation","Confirmare parolă"
"Password confirmation must be same as password.","Confirmarea parolei trebuie să fie identică cu parola."
"Password must be at least of %d characters.","Parola trebuie să conțină cel puțin %d caractere."
"Password must include both numeric and alphabetic characters.","Parola trebuie să conțină atât caractere numerice, cât și alfabetice."
"Path:","Cale:"
"Payment method instance is not available.","Instanța metodei de plată nu este disponibilă."
"Payment method is not available.","Metoda de plată nu este disponibilă."
"Payment method must be specified.","Metoda de plată trebuie specificată."
"Pending Reviews","Recenzii în așteptare"
"Pending Tags","Etichete în așteptare"
"Percent","Procent"
"Performed At","Efectuat la"
"Period","Perioadă"
"Per Item","Per articol"
"Permanent (301)","Permanent (301)"
"Permissions","Permisiuni"
"Per Order","Per comandă"
"Personal Information","Informaţii personale"
"Phone:","Telefon:"
"PHP attribute recompilation failed: %s","Recompilarea atributului PHP a eșuat: %s"
"PHP attributes were recompiled.","Atributele PHP au fost recompilate."
"Please confirm site switching. All data that hasn't been saved will be lost.","Vă rugăm să confirmaţi comutarea site-ului. Toate datele care nu au fost salvate vor fi pierdute."
"Please enter 6 or more characters.","Te rog introdu 6 sau mai multe caractere."
"Please enter another credit card number to complete your purchase.","Vă rugăm să introduceţi un alt număr de card de credit pentru a finaliza achiziţia."
"Please enter a number greater than 0 in this field.","Vă rugăm să introduceţi un număr mai mare de 0 în acest câmp. (Automatic Translation)"
"Please enter a valid $ amount. For example $100.00.","Te rugăm să introduci o sumă de $ validă. De exemplu, $100.00."
"Please enter a valid credit card number.","Te rog introdu un numar de card de credit valid."
"Please enter a valid date.","Te rog introdu o data valida."
"Please enter a valid email.","Te rugăm să introduci un e-mail valid."
"Please enter a valid email address. For example johndoe@domain.com.","Vă rugăm să introduceți o adresă de e-mail validă. De exemplu, johndoe@domain.com."
"Please enter a valid number in this field.","Te rog introdu un numar valid in acest camp."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Introduceți un număr de telefon valid. De exemplu (123) 456-7890 sau 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Introduceți un număr valid de securitate socială. De exemplu, 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Te rugăm să introduci un URL valid. De exemplu http://www.example.com sau www.example.com"
"Please enter a valid URL. http:// is required","Te rog introdu un URL valid. http:// este necesar"
"Please enter a valid zip code.","Te rog introdu un cod postal valid."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Te rog introdu un cod zip valid. De exemplu 90602 sau 90602-1234."
"Please enter valid password.","Te rog introdu o parola valida."
"Please make sure that all global admin search modules are installed and activated.","Te rugam sa te asiguri ca toate modulele globale de cautare ale administratorului sunt instalate si activate."
"Please make sure that your changes were saved before running the profile.","Asigurați-vă că modificările dvs. au fost salvate înainte de a rula profilul."
"Please make sure your passwords match.","Asigură-te că parolele tale se potrivesc."
"Please Select","Te rog selecteaza"
"Please select a customer.","Vă rugăm să selectaţi un client."
"Please select an option.","Vă rugăm să selectaţi o opţiune."
"Please select a store.","Vă rugăm să selectați un magazin."
"Please select catalog searches.","Vă rugăm să selectaţi căutarea catalogului."
"Please select customer(s).","Vă rugăm să selectaţi clientul."
"Please select one of the above options.","Vă rugăm să selectaţi una dintre opţiunile de mai sus."
"Please select one of the options.","Vă rugăm să selectaţi una dintre opţiuni."
"Please select review(s).","Vă rugăm să selectați review(urile)."
"Please select State/Province.","Vă rugăm să selectaţi Statul/Provincia."
"Please select tag(s).","Vă rugăm să selectaţi eticheta(e)."
"Please select URL rewrite(s).","Vă rugăm să selectaţi URL rewrite(s)."
"Please specify the admin custom URL.","Vă rugăm să specificați adresa URL personalizată a administratorului."
"Please try to logout and sign in again.","Vă rugăm să încercați să vă deconectați și să vă conectați din nou."
"Please use in this field only ""a-z,0-9,_"".","Te rugăm să folosești în acest câmp doar ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Te rugăm să folosești doar litere (a-z) în acest câmp."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Vă rugăm să utilizaţi numere numai în acest câmp. Vă rugăm să evitaţi spaţiile sau alte caractere, cum ar fi puncte sau virgule."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Te rugăm să folosești doar litere (a-z) sau numere (0-9) în acest câmp. Nu sunt permise spații sau alte caractere."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Vă rugăm să utilizaţi doar litere (a-z) sau numere (0-9) sau spaţii şi # numai în acest câmp."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vă rugăm să utilizaţi acest format de dată: zz/ll/aaaa. De exemplu, 17/03/2006 pentru data de 17 martie 2006."
"Please wait, loading...","Vă rugăm așteptați, se încarcă..."
"Please wait...","Vă rugăm așteptați..."
"Please wait while the indexes are being refreshed.","Te rugăm să aștepți cât indexul este reîmprospătat."
"Popular","Populare"
"Position","Poziție"
"Position of Watermark for %s","Poziția filigranului pentru %s"
"Pregenerated configurable swatches image files.","Fişiere de ceas configurabile Pregenerabile."
"Pregenerated product images files.","Fișiere imagini ale produsului regenerate."
"Preview","Previzualizare"
"Preview Template","Previzualizare șablon"
"Price","Preț"
"Price:","Preț:"
"Price alert subscription was saved.","Abonamentul pentru alertă de preț a fost salvat."
"Processed <strong>%s%% %s/%d</strong> records","Înregistrări procesate <strong>%s%% %s/%d</strong>"
"Processing","Prelucrare"
"Product","Produs"
"Product:","Produs:"
"Product is not loaded.","Produsul nu este încărcat."
"Product Name","Nume produs"
"Product Reviews","Recenzii produs"
"Products","Produse"
"Products Bestsellers Report","Raport Bestsellers produse"
"Products in Carts","Produse în coș"
"Products Most Viewed Report","Raport Produse Cele mai Vizualizate"
"Products Ordered","Produse comandate"
"Product Tax Classes","Clase Taxe Produs"
"Product Thumbnail Itself","Pictograma de produs"
"Profile Action","Acțiune profil"
"Profile Actions XML","Profilul Acțiuni XML"
"Profile Direction","Direcție profil"
"Profile History","Istoric profil"
"Profile Information","Informații profil"
"Profile Name","Nume profil"
"Profile Payments","Plăți din Profil"
"Profiles","Profiles"
"Profile Schedule","Profil planificat"
"Profile Wizard","Asistent profil"
"Promo","Promo"
"Promotions","Promoții"
"Purchased Item","Articol cumpărat"
"QR Code","QR Code"
"Quantity","Cantitate"
"Queued... Cancel","În așteptare... Anulează"
"Queue Refresh","Reîmprospătare coadă"
"Radio Buttons","Butoane radio"
"Rates","Tarife"
"Read details","Citește detaliile"
"Rebuild","Reconstruieşte"
"Rebuild Catalog Index","Reconstruieste Index Catalog"
"Rebuild Flat Catalog Category","Reconstruieşte categoria de Catalog Flat"
"Rebuild Flat Catalog Product","Reconstruieşte produsul din Catalog Plat"
"Recent Orders","Comenzi recente"
"Recent statistics have been updated.","Recentele statistici au fost actualizate."
"Recipient email address","Adresa de e-mail destinatar"
"Recompile PHP Attributes","Recompilează atributele PHP"
"Recurring Profile View","Vizualizare Abonament Profil"
"Redirect","Redirecționare"
"Redirect to URL without trailing slash","Redirectioneaza la URL fara slash"
"Redirect to URL with trailing slash","Redirecționare la URL cu trailing slash"
"Reference","Referință"
"Reference ID","ID referință"
"Refresh","Împrospătează"
"Refresh Now*","Reîmprospătează acum"
"Refresh Roles","Reîmprospătare roluri"
"Refresh Statistics","Reîmprospătare statistici"
"Region","Regiune"
"Region/State","Regiune/Stat"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","Înregistrarea unei chei de trecere dezactivează automat autentificarea cu parola. Din motive de securitate, vă recomandăm să o păstrați dezactivată, deși o puteți reactiva dacă este necesar."
"Register New Passkey","Înregistrare parolă nouă"
"Register Passkey","Înregistrare parolă"
"Regular Price:","Preț regulat:"
"Reject","Respingere"
"Rejection Of Authorization","Respingerea autorizației"
"Reject token authorization for admin","Respingere autorizare token pentru administrator"
"Reject token authorization Pop Up for admin","Respingere autorizare token, Pop Up pentru administrator"
"Remote FTP","FTP la distanță"
"Remove","Elimină"
"Remove Passkey","Elimină parola"
"Rename","Redenumire"
"Reports","Rapoarte"
"Request Path","Cale de solicitare"
"Required","Necesar"
"Reset","Reset"
"Reset a Password","Resetează o parolă"
"Reset Filter","Resetare filtru"
"Reset Password","Resetare parolă"
"Resource Access","Acces resurse"
"Resources","Resurse"
"REST Roles","Roluri REST"
"Results","Rezultate"
"Retrieve Password","Recuperează parola"
"Return Html Version","Versiune de returnare Html"
"Revenue","Venituri"
"Reviews","Recenzii"
"Reviews and Ratings","Evaluări și evaluări"
"Rewrite Rules","Reguli de Rescriere"
"Role ID","ID Rol"
"Role Info","Informații despre rol"
"Role Information","Informații despre rol"
"Role Name","Nume rol"
"Role Resources","Resurse de rol"
"Roles","Roluri"
"Roles Resources","Resurse de rol"
"Role Users","Utilizatori roluri"
"Root Category","Categorie rădăcină"
"Run","Rulează"
"Running... Kill","Rulează... Ucide"
"Run Profile","Rulează profilul"
"Run Profile in Popup","Rulează profilul în Popup"
"Sales","Vânzări"
"Sales Overview","Prezentare generală vânzări"
"Sales Report","Raport vânzări"
"Samples","Mostre"
"Save","Salvează"
"Save & Generate","Salveaza & Genereaza"
"Save Account","Salvează contul"
"Save and Continue Edit","Salvează și continuă editarea"
"Save Block","Salveaza bloc"
"Save Cache Settings","Salvează Setările Cache"
"Save Config","Salvează configurația"
"Save Currency Rates","Salvează ratele Valutelor"
"Save Profile","Salvează profilul"
"Save Role","Salvare rol"
"Save Template","Salvează șablon"
"Save User","Salvează utilizator"
"Save Variable","Salvează variabila"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Scanați acest cod QR cu aplicația de autentificare (Google Authenticator, Authy, etc.)"
"Search","Caută"
"Search entire store here...","Caută în tot magazinul aici..."
"Search Index","Căutare Index"
"Search Term","Termenul de căutare"
"Search Terms","Termeni de căutare"
"Select","Selectare"
"Select All","Selectează tot"
"Select Category","Selectaţi categoria"
"Selected allowed currency ""%s"" is not available in installed currencies.","Moneda permisă selectată ""%s"" nu este disponibilă în valutele instalate."
"Selected base currency is not available in installed currencies.","Moneda de bază selectată nu este disponibilă în valutele instalate."
"Selected default display currency is not available in allowed currencies.","Moneda implicită selectată nu este disponibilă în valutele permise."
"Selected default display currency is not available in installed currencies.","Moneda implicită selectată nu este disponibilă în valutele instalate."
"Select Range","Selectare interval"
"Self-assigned roles cannot be deleted.","Rolurile auto-atribuite nu pot fi șterse."
"Send","Trimite"
"Sender","Expeditor"
"Sending...","Trimitere..."
"Separate Email","E-mail separat"
"Serialized data is incorrect","Datele serializate sunt incorecte"
"Shipment #%s comment added","Expediere # Comentariu%s adăugat"
"Shipment #%s created","Livrare #%s creată"
"Shipment Comments","Comentarii expediere"
"Shipment History","Istoricul livrărilor"
"Shipments","Expedieri"
"Shipping","Livrare"
"Shipping Address","Adresa de livrare"
"Shipping Address: ","Adresa de livrare: "
"Shipping address selection is not applicable","Selectarea adresei de livrare nu este aplicabilă"
"Shipping method must be specified.","Metoda de livrare trebuie specificată."
"Shipping method selection is not applicable","Selectarea metodei de livrare nu este aplicabilă"
"Shipping Origin","Origine de livrare"
"Shipping Price","Preț de livrare"
"Shopping Cart","Coș de cumpărături"
"Shopping Cart from %s","Coșul de cumpărături de la %s"
"Shopping Cart Price Rules","Reguli pret cos cumparaturi"
"Show By","Arată după"
"Show Report For:","Arată raportul pentru:"
"Show Reviews","Arată Recenzii"
"Sitemap Information","Informații hartă site"
"Size for %s","Dimensiune pentru %s"
"Skip Category Selection","Sari peste Selectarea Categoriilor"
"SKU","SKU"
"SKU:","SKU:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Unele articole din această comandă au tipuri diferite de facturare și livrare. Puteți crea transport numai după ce factura a a fost creată."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Unele dintre produsele comandate nu mai există în catalog și vor fi eliminate dacă încercați să editați comanda."
"Special Price:","Preț special:"
"Specific Countries","Țări specifice"
"Specified","Specificat"
"Specified profile does not exist.","Profilul specificat nu există."
"Spreadsheet Name:","Numele filei:"
"Start Date","Data de început"
"Starting profile execution, please wait...","Pornire execuție profil, vă rugăm așteptați..."
"State/Province:","Județ/provincie:"
"Static Blocks","Blocuri statice"
"Status","Status"
"Status:","Stare:"
"Stock notification was saved.","Notificarea stocului a fost salvata."
"Stock Quantity:","Cantitate Stocuri:"
"Store","Magazin"
"store(%s) scope","domeniu magazin(%s)"
"Store:","Magazin:"
"Stores","Magazine"
"Store View","Vedere magazin"
"Subject","Subiect"
"Submit","Trimiteți"
"Subtotal","Subtotal"
"successful","succes"
"Switch/Solo/Maestro Only","Comutați/Solo/Maestro numai"
"System","Sistem"
"System busy","Sistem ocupat"
"Tags","Etichete"
"Target Path","Calea țintă"
"Tax","Taxa"
"Template","Șablon"
"Template Content","Conținut șablon"
"Template Information","Informații șablon"
"Template Name","Nume șablon"
"Template Styles","Template Styles"
"Template Subject","Tema şablon"
"Template Type","Tip șablon"
"Temporary (302)","Temporar (302)"
"Terms and Conditions","Termeni și condiții"
"Test email sent successfully to %s.","Test email trimis cu succes la %s."
"Test Email Settings","Testează setările de e-mail"
"Text","Text"
"The account has been saved.","Contul a fost salvat."
"The attribute set has been removed.","Setul de atribut a fost șters."
"The billing agreement has been canceled.","Acordul de facturare a fost anulat."
"The billing agreement has been deleted.","Acordul de facturare a fost eliminat."
"The block has been saved.","Blocul a fost salvat."
"The cache storage has been flushed.","Spațiul de stocare cache a fost spălat."
"The carrier needs to be specified.","Transportatorul trebuie specificat."
"The catalog index has been rebuilt.","Indicele de catalog a fost reconstruit."
"The CatalogInventory Stock Status has been rebuilt.","Starea de inventar a fost reconstruită pentru CatalogInventar."
"The catalog rewrites have been refreshed.","Rescrierile din catalog au fost reîmprospătate."
"The Catalog Rewrites were refreshed.","Rescrierile Catalogului au fost reîmprospătate."
"The Comment Text field cannot be empty.","Câmpul Comentariu text nu poate fi gol."
"The configurable swatches image cache was cleaned.","Cache-ul configurabil al imaginii a fost curățat."
"The configuration has been saved.","Configurația a fost salvată."
"The credit memo has been canceled.","Nota de credit a fost anulată."
"The credit memo has been created.","Nota de credit a fost creată."
"The credit memo has been voided.","Nota de credit a fost anulată."
"The credit memo no longer exists.","Nota de credit nu mai există."
" The customer does not exist in the system anymore."," Clientul nu mai există în sistem."
"The customer has been deleted.","Clientul a fost șters."
"The customer has been saved.","Clientul a fost salvat."
"The custom variable has been deleted.","Variabila particularizată a fost ștearsă."
"The custom variable has been saved.","Variabila particularizată a fost salvată."
"The design change has been deleted.","Modificarea design-ului a fost ștearsă."
"The design change has been saved.","Schimbarea design-ului a fost salvată."
"The email address has been updated successfully.","Adresa de e-mail a fost actualizată cu succes."
"The email address is empty.","Adresa de e-mail este goală."
"The email template has been deleted.","Șablonul de e-mail a fost șters."
"The email template has been saved.","Şablonul de e-mail a fost salvat."
"The flat catalog category has been rebuilt.","Categoria plană de catalog a fost reconstruită."
"The Flat Catalog Product was rebuilt","Produsul din Catalog Plat a fost reconstruit"
"The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Următoarele resurse de rol API nu mai sunt disponibile în sistem: %s. Le puteți șterge cu <a href=""%s"">dând clic aici</a>."
"The following role resource(s) are not orphaned: %s","Următoarele resurse de rol nu sunt orfane: %s"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Următoarele resurse de rol nu mai sunt disponibile în sistem: %s. Le puteți șterge cu <a href=""%s"">dând clic aici</a>."
"The group node name must be specified with field node name.","Numele modulului de grup trebuie specificat cu numele modulului de câmp."
"The image cache was cleaned.","Geocutia imaginii a fost curăţată."
"The image cache was cleared.","Cache-ul imaginii a fost golit."
"The invoice and shipment have been created.","Factura și livrarea au fost create."
"The invoice has been canceled.","Factura a fost anulata."
"The invoice has been captured.","Factura a fost capturată."
"The invoice has been created.","Factura a fost creata."
"The invoice has been voided.","Factura a fost anulată."
"The invoice no longer exists.","Factura nu mai există."
"The item %s (SKU %s) does not exist in the catalog anymore.","Articolul %s (SKU %s) nu mai există în catalog."
"The Layered Navigation indexing has been queued.","Indexarea navigării în straturi a fost în coada de așteptare."
"The Layered Navigation indexing queue has been canceled.","Coada de indexare a navigării în straturi a fost anulată."
"The Layered Navigation indices were refreshed.","Indicii de navigare în straturi au fost reîmprospătaţi."
"The Layered Navigation process has been queued to be killed.","Procesul de navigare în straturi a fost pus în coadă pentru a fi omorât."
"The Maho cache has been flushed and updates applied.","Geocutia Maho a fost spălată şi au fost aplicate actualizări."
"The minified CSS/JS cache was cleaned.","Cache-ul miniaturat CSS/JS a fost curățat."
"The order does not allow creating an invoice.","Comanda nu permite crearea unei facturi."
"The order no longer exists.","Comanda nu mai există."
"The profile has been deleted.","Profilul a fost șters."
"The profile has been saved.","Profilul a fost salvat."
"The profile has been updated.","Profilul a fost actualizat."
"The profile has no changes.","Profilul nu are modificări."
"The profile you are trying to save no longer exists","Profilul pe care încercați să îl salvați nu mai există"
"The rating has been deleted.","Ratingul a fost șters."
"The rating has been saved.","Evaluarea a fost salvată."
"There is an error in one of the option rows.","Există o eroare în unul dintre rândurile de opțiuni."
"The role has been deleted.","Rolul a fost șters."
"The role has been saved.","Rolul a fost salvat."
"The role has been successfully saved.","Rolul a fost salvat cu succes."
"The roles have been refreshed.","Rolurile au fost actualizate."
"The search index has been rebuilt.","Indicele de căutare a fost reconstruit."
"The shipment has been created.","Transportul a fost creat."
"The shipment has been sent.","Transportul a fost trimis."
"The shipment no longer exists.","Transportul nu mai există."
"The shipping label has been created.","Eticheta de livrare a fost creata."
"The Special Price is active only when lower than the Actual Price.","Prețul special este activ numai atunci când este mai mic decât prețul efectiv."
"The tag has been deleted.","Eticheta a fost ștearsă."
"The tag has been saved.","Eticheta a fost salvată."
"The transaction details have been updated.","Detaliile tranzacției au fost actualizate."
"The URL Rewrite has been deleted.","Rescrierea adresei URL a fost ștearsă."
"The URL Rewrite has been saved.","Rescrierea URL a fost salvată."
"The user has been deleted.","Utilizatorul a fost șters."
"The user has been saved.","Utilizatorul a fost salvat."
"The variable has been saved.","Variabila a fost salvată."
"This Account is","Acest cont este"
"This account is","Acest cont este"
"This account is inactive.","Acest cont este inactiv."
"This attribute set does not have attributes which we can use for configurable product","Acest set de atribute nu are atribute pe care le putem folosi pentru configurarea produsului"
"This block no longer exists.","Acest bloc nu mai există."
"This Email template no longer exists.","Acest șablon de e-mail nu mai există."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Acesta este un magazin demo. Orice comenzi plasate în acest magazin nu vor fi onorate sau îndeplinite."
"This is a required field.","Acesta este un câmp obligatoriu."
"This is a test email from Maho admin.","Acesta este un e-mail de test de la administratorul Maho."
"This product is currently disabled.","Acest produs este momentan dezactivat."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Acest raport depinde de configurarea fusului orar. Odată ce fusul orar este schimbat, statisticile pe durata vieții trebuie să fie actualizate."
"This Role no longer exists","Acest rol nu mai există"
"This Role no longer exists.","Acest rol nu mai există."
"This section is not allowed.","Această secţiune nu este permisă."
"This user no longer exists.","Acest utilizator nu mai există."
"This variable no longer exists.","Această variabilă nu mai există."
"Time","Timp"
"To","La"
"to","către"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Pentru a anula autorizațiile în așteptare și pentru a elibera sume care au fost deja procesate în timpul acestei plăți, faceți clic pe Anulare."
"Tools","Unelte"
"Top 5 Search Terms","Top 5 termeni de căutare"
"Total","Total"
"Total Invoiced","Total facturat"
"Total of %d record(s) have been deleted.","Totalul de %d înregistrări au fost șterse."
"Total of %d record(s) have been updated.","Totalul înregistrărilor %d au fost actualizate."
"Total of %d record(s) were deleted","Totalul de %d înregistrări au fost șterse"
"Total of %d record(s) were deleted.","Totalul de %d înregistrări au fost șterse."
"Total of %d record(s) were updated","Totalul înregistrărilor %d au fost actualizate"
"Total of %d record(s) were updated.","Totalul înregistrărilor %d au fost actualizate."
"Total of %d URL rewrite(s) have been deleted.","Totalul de scriere %d URL au fost șterse."
"Total Order Amount","Suma totală a comenzii"
"Total Refunded","Total rambursat"
"Tracking number %s for %s assigned","Număr de urmărire %s pentru %s atribuit"
"Tracking number cannot be empty.","Numărul de urmărire nu poate fi gol."
"Track Order","Urmărire comandă"
"Track this shipment","Urmărește această expediere"
"Trailing Slash Behavior","Comportament pe slash"
"Transactional Emails","E-mailuri de tranzacționare"
"Transaction Data","Date tranzacție"
"Transaction Details","Detalii tranzacție"
"Transaction ID","ID Tranzacție"
"Transactions","Tranzacții"
"Transaction Type","Tipul tranzacției"
"Two-Factor Authentication","Autentificare în doi pași"
"Type","Tip"
"Type:","Tip:"
"Unable to cancel the credit memo.","Imposibil de anulat nota de credit."
"Unable to find a block to delete.","Imposibil de găsit un bloc de șters."
"Unable to find a Email Template to delete.","Imposibil de găsit un șablon de e-mail pentru ștergere."
"Unable to find a tag to delete.","Nu s-a putut găsi eticheta de șters."
"Unable to find a user to delete.","Imposibil de găsit un utilizator pentru ștergere."
"Unable to find a variable to delete.","Imposibil de găsit o variabilă de șters."
"Unable to initialize import model","Imposibil de inițializat modelul de import"
"Unable to refresh lifetime statistics.","Imposibil de reîmprospătat statisticile privind durata de viață."
"Unable to refresh recent statistics.","Imposibil de reîmprospătat statisticile recente."
"Unable to save the cron expression.","Nu s-a putut salva cron expression."
"Unable to save the invoice.","Imposibil de salvat factura."
"Unable to send the invoice email.","Nu s-a putut trimite e-mailul facturii."
"Unable to send the shipment email.","Imposibil de trimis e-mailul de expediere."
"Unable to update transaction details.","Imposibil de actualizat detaliile tranzacției."
"Unable to void the credit memo.","Imposibil de anulat nota de credit."
"Unknown","Necunoscut"
"Unlimited","Nelimitat"
"Update","Actualizare"
"Updated At","Actualizat la"
"Uploaded file is larger than %.2f kilobytes allowed by server","Fișierul încărcat este mai mare de %.2f kilobytes permis de server"
"Upload File","Incarca fisier"
"Upload Files","Încarcă fişiere"
"URL Rewrite","Rescriere URL"
"URL Rewrite Information","Informatii Rescriere URL"
"URL Rewrite Management","Gestionare Rescriere URL"
"Use All Available Attributes","Folosește toate atributele disponibile"
"Use Config Settings","Folosește setările de configurare"
"Used as Default For","Folosit ca implicit pentru"
"Used Currently For","Folosit în prezent pentru"
"Use Default","Foloseste Implicit"
"Use Default Value","Folosește valoarea implicită"
"Use Default Variable Values","Folosește valori variabile implicite"
"User Email","E-mail utilizator"
"User ID","ID Utilizator"
"User Info","Informaţii utilizator"
"User Information","Informații utilizator"
"User Name","Nume Utilizator"
"User name","Nume utilizator"
"User Name:","Nume utilizator:"
"User Name is required field.","Numele de utilizator este câmp obligatoriu."
"User Password","Parola Utilizator"
"User Role","Rolul utilizatorului"
"User Roles","Roluri utilizator"
"User Roles Information","Informații utilizator"
"Users","Utilizatori"
