"# of Use","# użycia"
"%1$s incl tax.","%1$s podatek."
"%s-%s of %s","%s-%s z %s"
"%s and above","%s i więcej"
"%s Item(s)","%s Item(s)"
"Please add rows to option.","Proszę dodać wiersze do opcji."
"Please click on the Close Window button if it is not closed automatically.","Proszę kliknąć przycisk Zamknij Okno jeśli nie jest automatycznie zamknięte."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Odśwież ""Przekierowanie URL katalogu"" i ""Atrybuty produktu"" w systemie -&gt; <a href=""%s"">Zarządzanie indeksami</a>"
"Please select a file for the required option ""%s"".","Proszę wybrać plik dla wymaganej opcji ""%s""."
"Please select a parent category before adding a new one.","Proszę wybrać kategorię nadrzędną przed dodaniem nowej."
"Please select a static block ...","Proszę wybrać blok statyczny..."
"Please select items.","Proszę wybrać elementy."
"Please select one or more attributes.","Wybierz jeden lub więcej atrybutów."
"Please select product(s).","Proszę wybrać produkty."
"Please select products for attributes update","Proszę wybrać produkty do aktualizacji atrybutów"
"Please specify date required option <em>%s</em>.","Proszę określić datę wymaganą opcję <em>%s</em>."
"Please specify the number of products, that will not be divided into subintervals.","Proszę podać liczbę produktów, które nie zostaną podzielone na podzakresy."
"Please specify the product's option(s).","Proszę określić opcję(y) produktu."
"Please specify the product's required option(s).","Proszę określić wymagane opcje produktu."
"Please specify the product required option(s)","Proszę określić wymagane opcje produktu"
"Please specify the product required option <em>%s</em>.","Proszę określić wymaganą opcję produktu <em>%s</em>."
"Please specify the quantity of product(s).","Proszę określić ilość produktu(-ów)."
"Please specify time required option <em>%s</em>.","Proszę określić czas wymagany dla opcji <em>%s</em>."
"Please wait...","Proszę czekać..."
"Position","Położenie"
"Position in Layered Navigation","Pozycja w warstwowej nawigacji"
"Position of attribute in layered navigation block","Pozycja atrybutu w warstwowym bloku nawigacyjnym"
"Prev","Poprzedni"
"Prevents indexing of pages after the first page (p > 1).","Zapobiega indeksowaniu stron po pierwszej stronie (p > 1)."
"Prevents indexing of pages with active filters to avoid duplicate content.","Zapobiega indeksowaniu stron z aktywnymi filtrami, aby uniknąć powielania treści."
"Previous","Poprzedni"
"Price","Cena"
"Price:","Cena"
"Price: %s","Cena: %s"
"Price Navigation Step Calculation","Obliczanie Kroku Nawigacji Cen"
"Price Type","Typ ceny"
"Price values for options should be specified in system base currency.","Wartości cen dla opcji powinny być określone w walucie bazowej systemu."
"Product","Produkt"
"Product Alerts","Ostrzeżenia o produkcie"
"Product API","API produktu"
"Product Attribute","Atrybut produktu"
"Product Attributes","Atrybuty produktu"
"Product attributes API","API atrybutów produktu"
"Product attribute sets API","API zestawów atrybutów produktu"
"Product Categories","Kategorie produktów"
"Product collection expected.","Oczekiwana kolekcja produktów."
"Product Extra Info","Dodatkowe informacje o produkcie"
"Product Flat Data","Płaskie dane produktu"
"Product ID","Identyfikator produktu"
"Product Image","Obraz produktu"
"Product Image Placeholders","Plakietki obrazu produktu"
"Product Images","Obrazy produktu"
"Product Images API","API zdjęć produktu"
"Product Image Watermarks","Znaki wodne obrazu produktu"
"Product Info Column","Kolumna informacji o produkcie"
"Product Information","Informacje o produkcie"
"Product In Websites","Produkt na stronach internetowych"
"Product is not loaded","Produkt nie jest załadowany"
"Product Link Block Template","Szablon bloku linku produktu"
"Product Link Inline Template","Szablon linku produktu"
"Product links API (related, cross sells, up sells)","Interfejs API linków do produktów (powiązana, krzyżowa sprzedaż, sprzedaż)"
"Product Listing Sort by","Sortowanie produktów według"
"Product Name","Nazwa produktu"
"Product Prices","Ceny produktu"
"Product Reviews","Opinie o produkcie"
"Products","Produkty"
"products","produkty"
"Products Comparison List","Lista porównań produktów"
"Products count","Liczba produktów"
"Products Information","Informacje o produktach"
"Products only","Tylko produkty"
"Products per Page on Grid Allowed Values","Produkty na stronie w siatce Dozwolone wartości"
"Products per Page on Grid Default Value","Produkty na stronie w siatce domyślnej wartości"
"Products per Page on List Allowed Values","Produkty na stronie na liście dozwolone wartości"
"Products per Page on List Default Value","Domyślna wartość produktów na stronie listy"
"Products Reviews","Recenzje produktów"
"Products Sitemap","Mapa strony produktów"
"Product Tags","Tagi produktu"
"Product Tier Price API","API poziomu ceny produktu"
"Product Type","Typ produktu"
"Product types API","API typów produktów"
"Product URL Suffix","Sufiks URL produktu"
"Product View Extra Hint","Dodatkowa podpowiedź widoku produktu"
"Product with this combination of attributes already associated to configurable.","Produkt z tą kombinacją atrybutów jest już powiązany z konfigurowalnymi."
"Properties","Właściwości"
"px.","px."
"Qty","Ilość"
"Qty:","Ilość:"
"Qty for Item's Status to Become Out of Stock","Ilość aby produkt stał się niedostępny"
"Qty Increments","Przyrost ilości"
"Qty Uses Decimals","Ilość użyta po przecinku"
"Quantity","Ilość"
"Quick Create","Szybkie tworzenie"
"Quick simple product creation","Szybkie tworzenie prostych produktów"
"Records for ""%s"" store found.","Znaleziono rekordy dla sklepu ""%s""."
"Redirect","Przekieruj"
"Redirect URL","Przekieruj URL"
"Regular Price:","Cena standardowa:"
"Related Products","Powiązane produkty"
"Remove","Usuń"
"Remove attribute from attribute set","Usuń atrybut z zestawu atrybutów"
"Remove attribute set","Usuń zestaw atrybutów"
"Remove custom option","Usuń niestandardową opcję"
"Remove filter: %s","Usuń filtr: %s"
"Remove group from attribute set","Usuń grupę z zestawu atrybutów"
"Remove option","Usuń opcję"
"Remove product assignment","Usuń przypisanie produktu"
"Remove Product From Websites","Usuń produkt z witryn"
"Remove product image","Usuń obraz produktu"
"Remove product link","Usuń link do produktu"
"Remove value from custom option","Usuń wartość z opcji niestandardowej"
"Rename existing group","Zmień nazwę istniejącej grupy"
"Rename group","Zmień nazwę grupy"
"Reorganize EAV category structure to flat structure","Przeorganizuj strukturę kategorii EAV na płaską strukturę"
"Reorganize EAV product structure to flat structure","Przeorganizuj strukturę produktu EAV na płaską strukturę"
"Reset","Reset"
"Results","Wyniki"
"Results per page","Wyniki na stronie"
"Retrieve attribute data","Pobierz dane atrybutów"
"Retrieve attribute list","Pobierz listę atrybutów"
"Retrieve attribute options","Pobierz opcje atrybutu"
"Retrieve categories tree","Pobierz drzewo kategorii"
"Retrieve category attributes","Pobierz atrybuty kategorii"
"Retrieve category data","Pobierz dane kategorii"
"Retrieve hierarchical tree","Pobierz drzewo hierarchiczne"
"Retrieve linked products","Pobierz powiązane produkty"
"Retrieve list of assigned products","Pobierz listę przypisanych produktów"
"Retrieve list of option values","Pobierz listę wartości opcji"
"Retrieve list of product custom options","Pobierz listę niestandardowych opcji produktu"
"Retrieve one level of categories by website/store view/parent category","Pobierz jeden poziom kategorii według widoku strony/sklepu / nadrzędnej kategorii"
"Retrieve option value info","Pobierz informacje o wartości opcji"
"Retrieve product","Pobierz produkt"
"Retrieve product attribute sets","Pobierz zestawy atrybutów produktu"
"Retrieve product image","Pobierz obraz produktu"
"Retrieve product image list","Pobierz listę obrazów produktu"
"Retrieve product image types","Pobierz typy obrazów produktu"
"Retrieve product link type attributes","Pobierz atrybuty typu linku produktu"
"Retrieve product link types","Pobierz typy linków do produktu"
"Retrieve products data","Pobierz dane produktów"
"Retrieve products list by filters","Pobierz listę produktów według filtrów"
"Retrieve product tier prices","Pobierz poziom cen produktów"
"Retrieve product types","Pobierz typy produktów"
"Reviews","Recenzje"
"Roll Over for preview","Przewiń do podglądu"
"Root","Główny"
"Save","Zapisz"
"save","zapisz"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save Attribute","Zapisz atrybut"
"Save Attribute Set","Zapisz zestaw cech"
"Save Category","Zapisz kategorię"
"Saved %d record(s)","Zapisano %d rekord(y)"
"Save Search","Zapisz wyszukiwanie"
"Scope","Niniejsze rozporządzenie stosuje się od dnia 1 stycznia 2018 r."
"Scope must not be changed, because the attribute is used in configurable products.","Zakres nie może być zmieniony, ponieważ atrybut jest używany w konfigurowalnych produktach."
"Search","Szukaj"
"Searchable","Wyszukiwalne"
"Search Engine Optimizations","Optymalizacja wyszukiwarki"
"Search Information","Informacje o wyszukiwaniu"
"Search Query","Szukaj zapytania"
"Search Term with such search query already exists.","Wyrażenie wyszukiwania z takim zapytaniem już istnieje."
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"select all","zaznacz wszystkie"
"Select Category...","Wybierz kategorię..."
"Select Configurable Attributes ","Wybierz konfigurowalne atrybuty "
"Selected Product Types","Wybrane typy produktów"
"Select Product...","Wybierz produkt..."
"Select type of option","Wybierz typ opcji"
"Select type options required values rows.","Wybierz opcje typu wymagane wartości wierszy."
"Send Count","Liczba wysłanych"
"Set/Get current store view","Ustaw/Pobierz bieżący widok sklepu"
"Set Ascending Direction","Ustaw kierunek rosnący"
"Set Descending Direction","Ustaw kierunek malejący"
"Set Name","Ustaw nazwę"
"Set Root Category for Store","Ustaw kategorię główną dla sklepu"
"Set root category for this store in the <a href=""%s"">configuration</a>","Ustaw kategorię główną dla tego sklepu w konfiguracji <a href=""%s""></a>"
"Set special price","Ustaw cenę specjalną"
"Settings","Ustawienia"
"Show","Pokaż"
"Show count","Pokaż liczbę"
"Show Details","Pokaż szczegóły"
"Show ID","Pokaż ID"
"Show Tags","Pokaż tagi"
"Signals crawlers not to prioritize filter combination URLs.","Sygnały krawlery aby nie traktować priorytetowo kombinacji filtrów URL."
"Simple","Prosty"
"Site Map","Mapa witryny"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Pomiń wiersz importu, nie jest poprawną wartością ""%s"" dla pola ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Pomiń wiersz importu, wymagane pole ""%s"" dla nowego klienta nie jest zdefiniowane."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Pomiń wiersz importu, wartość ""%s"" jest nieprawidłowa dla pola ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Pominięcie wiersza importu, wymagane pole ""%s"" dla nowych produktów nie jest zdefiniowane."
"Skipping import row, required field ""%s"" is not defined.","Pominięcie wiersza importu, wymagane pole ""%s"" nie jest zdefiniowane."
"Skipping import row, store ""%s"" field does not exist.","Pominięcie wiersza importu, pole sklepu ""%s"" nie istnieje."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Pominięcie wiersza importu, wartość ""%s"" nie jest prawidłowa dla pola ""%s"""
"SKU","SKU"
"SKU length should be %s characters maximum.","SKU length should be %s characters maximum."
"Small Image Width","Szerokość małego obrazu"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Niektóre z przetworzonych produktów nie mają zdefiniowanej wartości SKU. Proszę wypełnić ją przed wykonaniem operacji na tych produktach."
"Some of the selected item options are not currently available.","Niektóre z wybranych opcji nie są obecnie dostępne."
"Sort By","Sortuj wg"
"Sort Order","Kolejność sortowania"
"Special Expires On: %s","Specjalne wygasa: %s"
"Special Price:","Cena specjalna:"
"Special Price: %s","Cena specjalna: %s"
"Static","Statyczne"
"Static block and products","Blok statyczny i produkty"
"Static block only","Tylko blok statyczny"
"Status","Status"
"Stock Availability","Dostępność zapasów"
"Store","Sklep"
"Store View","Widok sklepu"
"Stretch","Rozciągnięcie"
"Subscribe to RSS Feed","Subskrybuj kanał RSS"
"Super product attributes configuration","Konfiguracja atrybutów super produktu"
"Synonym For","Synonim dla"
"System Properties","Właściwości systemu"
"Tag Name","Nazwa tagu"
"Tax","Podatek"
"Template","Szablon"
"Text","Tekst"
"The attribute code '%s' is reserved by system. Please try another attribute code","Kod atrybutu '%s' jest zarezerwowany przez system. Proszę spróbować innego kodu atrybutu"
"The attribute model is not defined","Model atrybutu nie jest zdefiniowany"
"The attribute set has been saved.","Zestaw atrybutów został zapisany."
"The base directory to upload file is not specified.","Katalog podstawowy do przesłania pliku nie został określony."
"The category has been deleted.","Kategoria została usunięta."
"The category has been saved.","Kategoria została zapisana."
"The comparison list was cleared.","Lista porównań została wyczyszczona."
"The file claims to be an image but does not contain valid image data.","Plik uważa się za obraz, ale nie zawiera prawidłowych danych obrazu."
"The file content type ""%s"" is not allowed for security reasons.","Typ zawartości pliku ""%s"" jest niedozwolony ze względów bezpieczeństwa."
"The file was only partially uploaded. Please try again.","Plik został tylko częściowo przesłany. Spróbuj ponownie."
"The file you uploaded is larger than %s Megabytes allowed by server","Wgrany plik jest większy niż %s megabajtów dozwolonych przez serwer"
"The filters must be an array.","Filtry muszą być tablicą."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Moduł płaskiego katalogu ma limit Atrybutów %2$d filtrowanych i/lub sortowalnych. Obecnie jest %1$d z nich. Proszę zmniejszyć liczbę filtrowalnych/sortowalnych atrybutów, aby użyć tego modułu"
"The following file extensions are not allowed for security reasons: %s","Następujące rozszerzenia plików nie są dozwolone ze względów bezpieczeństwa: %s"
"The From Date value should be less than or equal to the To Date value.","Wartość Od Data powinna być mniejsza lub równa wartości Do daty."
"The image contents is not valid base64 data.","Zawartość obrazu nie jest prawidłowymi danymi base64."
"The image is not specified.","Obraz nie został określony."
"The model collection resource name is not defined.","Nazwa zasobu modelu kolekcji nie jest zdefiniowana."
"The product %s has been added to comparison list.","Produkt %s został dodany do listy porównań."
"The product %s has been removed from comparison list.","Produkt %s został usunięty z listy porównań."
"The product attribute has been deleted.","Atrybut produktu został usunięty."
"The product attribute has been saved.","Atrybut produktu został zapisany."
"The product has been created.","Produkt został utworzony."
"The product has been deleted.","Produkt został usunięty."
"The product has been duplicated.","Produkt został zduplikowany."
"The product has been saved.","Produkt został zapisany."
"The product has required options","Produkt posiada wymagane opcje"
"There are no %s available.","Brak dostępnych %s."
"There are no customers for this alert","Brak klientów dla tego powiadomienia"
"There are no customers for this alert.","Brak klientów dla tego powiadomienia."
"There are no products matching the selection.","Brak produktów pasujących do wyboru."
"The review has been deleted","Opinia została usunięta"
"The review has been saved.","Recenzja została zapisana."
"The review was removed by another user or does not exist.","Opinia została usunięta przez innego użytkownika lub nie istnieje."
"There was an error while request processing.","Wystąpił błąd podczas przetwarzania żądania."
"The search was deleted.","Wyszukiwanie zostało usunięte."
"The text is too long","Tekst jest zbyt długi"
"This attribute cannot be deleted.","Ten atrybut nie może zostać usunięty."
"This attribute cannot be edited.","Ten atrybut nie może być edytowany."
"This attribute cannot be updated.","Ten atrybut nie może zostać zaktualizowany."
"This attribute is used in configurable products.","Ten atrybut jest używany w konfigurowalnych produktach."
"This Attribute no longer exists","Ten atrybut już nie istnieje"
"This attribute no longer exists","Ten atrybut już nie istnieje"
"This attribute set no longer exists.","Ten zestaw cech już nie istnieje."
"This category no longer exists.","Ta kategoria już nie istnieje."
"This is a required option","To jest wymagana opcja"
"This product no longer exists.","Ten produkt już nie istnieje."
"This search no longer exists.","To wyszukiwanie już nie istnieje."
"This setting will be applied when all prices in the specific price interval are equal.","To ustawienie zostanie zastosowane, gdy wszystkie ceny w określonym przedziale cenowym będą takie same."
"Thumbnail","Thumbnail"
"Tier Pricing","Poziom cenowy"
"Tile","Kafel"
"Title","Rozporządzenie Rady (EWG) nr 2658/87 z dnia 23 lipca 1987 r. w sprawie nomenklatury taryfowej i statystycznej oraz w sprawie Wspólnej Taryfy Celnej (Dz.U. L 256 z 7.9.1987, s. 1)."
"To","Do"
"Top/Left","Góra/Lewo"
"Top/Right","Góra/Prawo"
"To reindex the enabled product(s), the store or product must be specified","Aby przeindeksować włączone produkty, należy określić sklep lub produkt"
"To see product price, add this item to your cart. You can always remove it later.","Aby zobaczyć cenę produktu, dodaj ten element do koszyka. Zawsze możesz go później usunąć."
"Total incl. Tax: %1$s","Razem z podatkiem: %1$s"
"Total of %d record(s) have been deleted.","Łącznie %d rekord(y) zostały usunięte."
"Total of %d record(s) have been updated.","Całkowita liczba rekordów %d została zaktualizowana."
"Total of %d record(s) were updated","Całkowita liczba rekordów %d została zaktualizowana"
"Type","Typ"
"Unable to complete this request.","Nie można ukończyć tego żądania."
"Unable to find an attribute to delete.","Nie można znaleźć atrybutu do usunięcia."
"Unable to find a search term to delete.","Nie można znaleźć wyszukiwanego hasła do usunięcia."
"Unable to get the product ID.","Nie można uzyskać ID produktu."
"Unassigned Attributes","Nieprzypisane atrybuty"
"Unknown EAV indexer type ""%s"".","Nieznany typ indeksatora EAV ""%s""."
"unselect all","odznacz wszystkie"
"Unsupported product type ""%s"".","Nieobsługiwany typ produktu ""%s""."
"Up-sells","Sprzedaż górna"
"Update","Aktualizuj"
"Update assigned product","Aktualizuj przypisany produkt"
"Update attribute","Aktualizuj atrybut"
"Update Attributes","Aktualizuj atrybuty"
"Update attributes","Aktualizuj atrybuty"
"Update category","Aktualizuj kategorię"
"Update custom option of product","Aktualizuj niestandardową opcję produktu"
"Update product","Aktualizuj produkt"
"Update product image","Aktualizuj obraz produktu"
"Update product link","Aktualizuj link do produktu"
"Update product tier prices","Aktualizuj ceny poziomu produktu"
"Update Tier Price","Aktualizuj cenę poziomu"
"Update value of custom option","Aktualizuj wartość opcji niestandardowej"
"Upload new product image ","Prześlij nowy obraz produktu "
"URL Rewrite Management","Zarządzanie Przekierowaniem URL"
"Use Canonical Link Meta Tag For Categories","Użyj meta Tag Canonical Link dla kategorii"
"Use Canonical Link Meta Tag For Products","Użyj Meta Tag Canonical dla produktów"
"Use Categories Path for Product URLs","Użyj ścieżki kategorii dla adresów URL produktu"
"Use config","Użyj konfiguracji"
"Use Config Settings","Użyj ustawień konfiguracyjnych"
"Use default","Użyj domyślnego"
"Use Default Value","Użyj wartości domyślnej"
"Used for Sorting in Product Listing","Używane do sortowania na liście produktów"
"Used in Product Listing","Używane na liście produktów"
"Used to fill the frame when Keep Frame is enabled","Używane do wypełniania ramki, gdy Trzymaj ramkę jest włączona"
"Use Flat Catalog Category","Użyj kategorii płaskiego katalogu"
"Use Flat Catalog Product","Użyj produktu płaskiego katalogu"
"Use for Promo Rule Conditions","Użyj do warunków reguł promocyjnych"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Użyj czterocyfrowego formatu roku. Używane do min/max atrybutów na natywnych wejściach daty."
"Use in Advanced Search","Użyj w wyszukiwarce zaawansowanej"
"Use In Layered Navigation","Użyj w warstwowej nawigacji"
"Use in Layered Navigation","Użyj w warstwowej nawigacji"
"Use in Layered Navigation<br>(Can be used only with catalog input type 'Dropdown')","Użyj w warstwowej nawigacji<br>(Może być używany tylko z typem 'rozwijanym')"
"Use in Quick Search","Użyj w Szybkim Wyszukiwaniu"
"Use In Search Results Layered Navigation","Użyj w warstwowej nawigacji wyników wyszukiwania"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Użyj statycznych adresów URL dla zawartości multimediów w WYSIWYG dla katalogu"
"Use To Create Configurable Product","Użyj do tworzenia konfigurowalnego produktu"
"Use Tree Like Category Sitemap","Użyj mapy strony dla drzewa polubienia kategorii"
"Value for ""%s"" is invalid.","Wartość dla ""%s"" jest nieprawidłowa."
"Value for ""%s"" is invalid: %s","Wartość dla ""%s"" jest nieprawidłowa: %s"
"Varchar","Varchar"
"View All Products","Zobacz wszystkie produkty"
"View as","Zobacz jako"
"View Details","Zobacz szczegóły"
"View image %s","Zobacz obraz %s"
"Virtual","Wirtualny"
"Visibility","Widoczność"
"Visible","Widoczny"
"Visible on Catalog Pages on Front-end","Widoczne na stronach katalogu na stronie głównej"
"Visible on Product View Page on Front-end","Widoczne na stronie widoku produktu na stronie głównej"
"Watermark","Znak wodny"
"Watermark Opacity, Percent","Nieprzezroczystość znaku wodnego, Procent"
"Watermark Position","Pozycja znaku wodnego"
"Website","Strona internetowa"
"Websites","Strony internetowe"
"What's this?","Co to jest?"
"When enabled, associated products are automatically recalculated when reindex runs.","Gdy włączone, powiązane produkty są automatycznie przeliczane po reindeksowaniu."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Czy pokazać opcję ""Wszystkie"" na liście rozwijanej ""Pokaż X na stronę""."
"Will make search for the query above return results for this search.","Wyszukiwanie powyższego zapytania zwróci wyniki dla tego wyszukiwania."
"Wrong BuyRequest instance in options group.","Nieprawidłowa instancja „BuyRequest” w grupie opcji."
"Wrong configuration item instance in options group.","Nieprawidłowa instancja elementu konfiguracji w grupie opcji."
"Wrong configuration item option instance in options group.","Niepoprawna instancja opcji konfiguracji elementu w grupie opcji."
"Wrong option instance type in options group.","Nieprawidłowy typ instancji opcji w grupie opcji."
"Wrong option type to get group instance.","Nieprawidłowy typ opcji, aby uzyskać instancję grupy."
"Wrong product instance type in options group.","Nieprawidłowy typ instancji produktu w grupie opcji."
"Wrong product type filter specified","Określono nieprawidłowy filtr typu produktu"
"Wrong product type to extract configurable options.","Nieprawidłowy typ produktu, aby wyodrębnić opcje konfigurowalne."
"WYSIWYG Editor","WYSIWYG Editor"
"x","x"
"Year Range","Zakres letni"
"Yes","Tak"
"Yes, with images","Tak, z obrazkami"
"You have no items to compare.","Nie masz żadnych przedmiotów do porównania."
"You may also be interested in the following product(s)","Możesz również być zainteresowany następującymi produktami:"
"You saved the search term.","Zapisano wyszukiwane hasło."
