"""Remember Me"" Default Value","Domyślna wartość ""Zapamiętaj mnie"""
"When disabled, only guest checkout is available. Customer registration, login, and account pages are disabled.","Po wyłączeniu, dostępne są tylko zamówienia gościa. Rejestracja klienta, logowanie i strony konta są wyłączone."
"Wishlist","Schowek"
"Wishlist - %d item(s)","Schowek - %d element(ów)"
"Would you like to change the Customer Group for this order?","Czy chcesz zmienić grupę klientów dla tego zamówienia?"
"Wrong confirmation key.","Nieprawidłowy klucz potwierdzający."
"Wrong customer account specified.","Określono nieprawidłowe konto klienta."
"Wrong email.","Błędny e-mail."
"Wrong transactional account email type","Nieprawidłowy typ adresu e-mail konta transakcyjnego"
"Year","W związku z tym Komisja stwierdza, że środek 1 stanowi pomoc państwa w rozumieniu art. 107 ust. 1 Traktatu."
"You are currently subscribed to our newsletter.","Jesteś obecnie zapisany do naszego newslettera."
"You are not subscribed to our newsletter.","Nie subskrybujesz naszego newslettera."
"You are now logged out","Zostałeś wylogowany"
"You have been successfully logged in.","Zostałeś pomyślnie zalogowany."
"You have exceeded magic link requests per hour from this email address.","Przekroczyłeś magiczne żądania linku na godzinę z tego adresu e-mail."
"You have exceeded magic link requests per hour from this IP address.","Przekroczyłeś magiczne żądania linku na godzinę z tego adresu IP."
"You have exceeded requests to times per 24 hours from 1 e-mail.","Przekroczyłeś liczbę żądań w ciągu 24 godzin od 1 e-maila."
"You have exceeded requests to times per hour from 1 IP.","Przekroczono liczbę żądań na godzinę od 1 IP."
"You have logged out and will be redirected to our homepage in 5 seconds.","Wylogowałeś się i za 5 sekund zostanie przekierowany na naszą stronę główną."
"You have no additional address entries in your address book.","Nie masz żadnych dodatkowych wpisów adresu w książce adresowej."
"You have no default billing address in your address book.","Nie masz domyślnego adresu rozliczeniowego w książce adresowej."
"You have no default shipping address in your address book.","Nie masz domyślnego adresu wysyłki w książce adresowej."
"You have not set a default billing address.","Nie ustawiłeś domyślnego adresu rozliczeniowego."
"You have not set a default shipping address.","Nie ustawiłeś domyślnego adresu dostawy."
"Your account balance is: %s","Saldo Twojego konta to: %s"
"Your login link has expired. Please request a new one.","Twój link logowania wygasł. Proszę, poproś o nowy."
"Your Tax ID cannot be validated.","Twój identyfikator podatku nie może zostać zweryfikowany."
"Your VAT ID was successfully validated.","Twój numer VAT został pomyślnie zweryfikowany."
"You will be charged tax.","Zostaniesz obciążony podatkiem."
"You will not be charged tax.","Podatek nie zostanie naliczony."
"YYYY","RRRR"
"ZIP","ZIP"
"Zip/Postal Code","Kod pocztowy"
"ZIP/Post Code","Kod pocztowy"
