"%d product(s) were updated","%d produktów zostało zaktualizowanych"
"%s (Default Template from Locale)","%s (domyślny szablon z języka)"
"%s cache type(s) disabled.","%s cache type(s) disabled."
"%s cache type(s) enabled.","%s cache type(s) enabled."
"%s cache type(s) refreshed.","%s cache type(s) refreshed."
"Lifetime Sales","Dożywotnia sprzedaż"
"Lifetime statistics have been updated.","Dożywotnie statystyki zostały zaktualizowane."
"Links","Linki"
"Links with associated products will retain only after saving current product.","Linki z powiązanymi produktami zostaną zachowane tylko po zapisaniu bieżącego produktu."
"List (default) / Grid","Lista (domyślna) / Siatka"
"List Only","Tylko lista"
"Load default template","Załaduj domyślny szablon"
"Loading...","Ładowanie..."
"Load Template","Załaduj szablon"
"Local/Remote Server","Serwer lokalny/zdalny"
"Locale","Język"
"Local Server","Serwer lokalny"
"Log In","Zaloguj się"
"Login","Logowanie"
"Log in to Admin Panel","Zaloguj się do panelu administracyjnego"
"Log into Maho Admin Page","Zaloguj się do strony administracyjnej Maho"
"Log in to use <strong>%s</strong>","Zaloguj się, aby użyć <strong>%s</strong>"
"Login with Passkey","Zaloguj się za pomocą Passkey"
"Log Out","Wyloguj"
"Low Stock","Niski stan"
"Maho Admin","Administrator Maho"
"Maho Test Email","Wiadomość testowa Maho"
"MAJOR","GŁÓWNY"
"major","duży"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Upewnij się, że kodowanie danych w pliku jest spójne i zapisane w jednym z obsługiwanych kodowań (UTF-8 lub ANSI)."
"Manage Attributes","Zarządzaj atrybutami"
"Manage Attribute Sets","Zarządzaj zestawami atrybutów"
"Manage Categories","Zarządzaj kategoriami"
"Manage Content","Zarządzaj zawartością"
"Manage Currency Rates","Zarządzaj kursami walut"
"Manage Customers","Zarządzaj klientami"
"Manage Options (values of your attribute)","Zarządzaj opcjami (wartościami atrybutu)"
"Manage Ratings","Zarządzaj ocenami"
"Manage Stores","Zarządzaj sklepami"
"Manage Tax Rules","Zarządzaj regułami podatkowymi"
"Manage Tax Zones and Rates","Zarządzaj strefami i stawkami podatkowymi"
"Manage Titles (Size, Color, etc.)","Zarządzaj tytułami (Rozmiar, Kolor itp.)"
"Manual","Ręcznie"
"Matched Expression","Dopasowane wyrażenie"
"Maximum sender name length is 255. Please correct your settings.","Maksymalna długość nazwy nadawcy to 255. Proszę poprawić ustawienia."
"Messages Inbox","Skrzynka odbiorcza wiadomości"
"Minified CSS and JavaScript files.","Zminimalizowane pliki CSS i JavaScript."
"MINOR","MIEJSCO"
"minor","niewielki"
"Missing required fields","Brakujące wymagane pola"
"Month","Miesiąc"
"Most Viewed","Najczęściej oglądane"
"Most Viewed Products","Najczęściej oglądane produkty"
"MS Excel XML","MS Excel XML"
"Multiple Select","Wielokrotny wybór"
"My Account","Moje konto"
"My Applications","Moje aplikacje"
"N/A","Nie dotyczy."
"Name","Nazwisko"
"Name:","Nazwa:"
"Name on Card","Imię na karcie"
"Network Error. Please refresh the page.","Błąd sieci. Odśwież stronę."
"Never (production)","Nigdy (produkcja)"
"New ","Nowy "
"New Accounts","Nowe konta"
"New API Key","Nowy klucz API"
"New Attribute","Nowy atrybut"
"New Block","Nowy blok"
"New block","Nowy blok"
"New Category","Nowa kategoria"
"New Class","Nowa klasa"
"New Condition","Nowy warunek"
"New Customer","Nowy Klient"
"New Customers","Nowi klienci"
"New Custom Variable","Nowa zmienna niestandardowa"
"New Design Change","Nowa zmiana projektu"
"New Email Template","Nowy szablon wiadomości e-mail"
"New Group","Nowa grupa"
"New Invoice","Nowa faktura"
"New Memo","Nowa notatka"
"New Memo for #%s","Nowa notatka dla #%s"
"New Page","Nowa strona"
"New Password","Nowe hasło"
"New Password Confirmation","Potwierdzenie nowego hasła"
"New password field cannot be empty.","Nowe hasło nie może być puste."
"New Profile","Nowy profil"
"New Rate","Nowa stawka"
"New Rating","Nowa ocena"
"New Review","Nowa recenzja"
"New Role","Nowa rola"
"New Rule","Nowa reguła"
"New Search","Nowe wyszukiwanie"
"New Set","Nowy zestaw"
"New Shipment","Nowa dostawa"
"New Sitemap","Nowa mapa strony"
"Newsletter","Newsletter"
"Newsletter Problems","Problemy z newsletterami"
"Newsletter Queue","Kolejka newslettera"
"Newsletter Subscribers","Subskrybenci newslettera"
"Newsletter Templates","Szablony newslettera"
"New Store View","Nowy widok sklepu"
"New System Template","Nowy szablon systemowy"
"New Tag","Nowy tag"
"New Template","Nowy szablon"
"New User","Nowy użytkownik"
"New Variable","Nowa zmienna"
"New Website","Nowa strona internetowa"
"No","Nie"
"No (price without tax)","Nie (cena bez podatku)"
"No change","Bez zmian"
"No customer id defined.","Nie zdefiniowano identyfikatora klienta."
"No Data Found","Nie znaleziono danych"
"No information available.","Brak dostępnych informacji."
"None","Brak"
"No Passkey Created","Nie utworzono Passkey"
"No profile loaded...","Nie załadowano profilu..."
"No records found.","Nie znaleziono rekordów."
"No records found for this period.","Nie znaleziono rekordów dla tego okresu."
"No report code specified.","Nie określono kodu raportu."
"No search keywords.","Brak słów kluczowych."
"No search modules were registered","Żaden moduł wyszukiwania nie został zarejestrowany"
"Not allowed","Niedozwolone"
"Not authenticated","Nie uwierzytelniono"
"Note:","Uwaga:"
"No Templates Found","Nie znaleziono szablonów"
"NOTICE","POWIADOMIENIE"
"Notice","Zawiadomienie"
"notice","Ogłoszenie"
"Notifications","Powiadomienia"
"Number of Orders","Liczba zamówień"
"Number of records:","Liczba rekordów:"
"Number of Uses","Liczba zastosowań"
"Number of Views","Liczba wyświetleń"
"OAuth authorization for admin","Autoryzacja OAuth dla administratora"
"OAuth authorization simple for admin","Autoryzacja OAuth prosta dla administratora"
"OAuth Consumers","Konsumenci OAuth"
"Old rate:","Stara stawka:"
"One or more of the Cache Types are invalidated:","Jeden lub więcej typów pamięci podręcznej są nieważne:"
"Online Customers","Klienci online"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Dostępne są tylko atrybuty z zakresem ""Global"", wpisz ""Rozwijanie"" i użyj do tworzenia konfigurowalnego produktu ""Tak""."
"Only from same domain","Tylko z tej samej domeny"
"Only mapped fields","Tylko pola mapowane"
"Only Once (version upgrade)","Tylko raz (aktualizacja wersji)"
"Optional","Opcjonalnie"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Region fakultatywny dla usługodawców, którzy go wspierają (np. „Wschód” dla AWS)"
"Options","Opcje"
"Options is required","Opcje są wymagane"
"Order","Zamówienie"
"Order #%s","Zamówienie nr%s"
"Order #%s (%s)","Zamówienie nr%s%s)"
"Order Created Date","Data utworzenia zamówienia"
"Order ID","Identyfikator zamówienia"
"Orders","Zamówienia"
"Order Totals","Suma zamówienia"
"Order Updated Date","Data aktualizacji zamówienia"
"Order Updated Date report is real-time, does not need statistics refreshing.","Raport daty aktualizacji zamówienia jest w czasie rzeczywistym, nie wymaga odświeżania statystyk."
"Original Magento attribute names in first row:","Oryginalny atrybut Magento w pierwszym rzędzie:"
"Orphaned API Role Resource","Zdobyte Zasoby Roli API"
"Orphaned API Role Resources","Zdobyte Zasoby Roli API"
"Orphaned Resources","Zasoby osierocone"
"Orphaned Role Resource","Zasób osieroconej roli"
"Orphaned Role Resources","Zasoby osieroconych ról"
"Out of stock","Brak na stanie"
"Pages","Strony"
"Parent Product Thumbnail","Miniaturka produktu nadrzędnego"
"Parent Transaction ID","ID Transakcji nadrzędnej"
"Passive mode","Tryb pasywny"
"Passkey Active","Passkey aktywny"
"Passkey Authentication","Autoryzacja Passkey"
"Passkey credential already registered to another user.","Passkey dane logowania są już zarejestrowane w innym użytkowniku."
"Passkey will be deleted upon saving.","Hasło zostanie usunięte po zapisaniu."
"Passkey will be registered upon saving.","Passkey zostanie zarejestrowany po zapisaniu."
"Password","Hasło"
"Password:","Hasło:"
"Password Confirmation","Potwierdzenie hasła"
"Password confirmation must be same as password.","Potwierdzenie hasła musi być takie samo jak hasło."
"Password must be at least of %d characters.","Hasło musi składać się co najmniej z %d znaków."
"Password must include both numeric and alphabetic characters.","Hasło musi zawierać zarówno znaki liczbowe, jak i alfabetyczne."
"Path:","Ścieżka:"
"Payment method instance is not available.","Instancja metody płatności jest niedostępna."
"Payment method is not available.","Metoda płatności jest niedostępna."
"Payment method must be specified.","Metoda płatności musi być określona."
"Pending Reviews","Oczekujące opinie"
"Pending Tags","Oczekujące tagi"
"Percent","Procent"
"Performed At","Wykonane w"
"Period","Okres"
"Per Item","Na przedmiot"
"Permanent (301)","Stała (301)"
"Permissions","Uprawnienia"
"Per Order","Na zamówienie"
"Personal Information","Informacje osobiste"
"Phone:","Telefon:"
"PHP attribute recompilation failed: %s","Przekompilacja atrybutów PHP nie powiodła się: %s"
"PHP attributes were recompiled.","Atrybuty PHP zostały przekompilowane."
"Please confirm site switching. All data that hasn't been saved will be lost.","Potwierdź zmianę witryny. Wszystkie dane, które nie zostały zapisane, zostaną utracone."
"Please enter 6 or more characters.","Wprowadź 6 lub więcej znaków."
"Please enter another credit card number to complete your purchase.","Wprowadź inny numer karty kredytowej, aby zakończyć zakup."
"Please enter a number greater than 0 in this field.","Wprowadź liczbę większą niż 0 w tym polu."
"Please enter a valid $ amount. For example $100.00.","Wprowadź prawidłową $ kwot. Na przykład $100.00."
"Please enter a valid credit card number.","Wprowadź prawidłowy numer karty kredytowej."
"Please enter a valid date.","Wprowadź prawidłową datę."
"Please enter a valid email.","Wprowadź poprawny adres e-mail."
"Please enter a valid email address. For example johndoe@domain.com.","Wprowadź poprawny adres e-mail. Na przykład johndoe@domain.com."
"Please enter a valid number in this field.","Wprowadź poprawny numer w tym polu."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Wprowadź poprawny numer telefonu. Na przykład (123) 456-7890 lub 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Wprowadź poprawny numer ubezpieczenia społecznego. Na przykład 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Wprowadź poprawny adres URL. Na przykład http://www.example.com lub www.example.com"
"Please enter a valid URL. http:// is required","Wprowadź poprawny adres URL. http:// jest wymagany"
"Please enter a valid zip code.","Wprowadź prawidłowy kod pocztowy."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Wprowadź poprawny kod pocztowy. Na przykład 90602 lub 90602-1234."
"Please enter valid password.","Wprowadź prawidłowe hasło."
"Please make sure that all global admin search modules are installed and activated.","Upewnij się, że wszystkie globalne moduły wyszukiwania administratora są zainstalowane i aktywowane."
"Please make sure that your changes were saved before running the profile.","Upewnij się, że zmiany zostały zapisane przed uruchomieniem profilu."
"Please make sure your passwords match.","Upewnij się, że hasła są identyczne."
"Please Select","Proszę wybrać"
"Please select a customer.","Wybierz klienta."
"Please select an option.","Proszę wybrać opcję."
"Please select a store.","Wybierz sklep."
"Please select catalog searches.","Proszę wybrać wyszukiwanie w katalogu."
"Please select customer(s).","Proszę wybrać klienta."
"Please select one of the above options.","Proszę wybrać jedną z powyższych opcji."
"Please select one of the options.","Proszę wybrać jedną z opcji."
"Please select review(s).","Proszę wybrać recenzje(y)."
"Please select State/Province.","Wybierz województwo."
"Please select tag(s).","Proszę wybrać tag(y)."
"Please select URL rewrite(s).","Proszę wybrać przekierowanie URL."
"Please specify the admin custom URL.","Proszę podać niestandardowy adres URL administratora."
"Please try to logout and sign in again.","Spróbuj wylogować się i zalogować ponownie."
"Please use in this field only ""a-z,0-9,_"".","Proszę użyć tylko w tym polu ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Proszę używać tylko liter (a-z) w tym polu."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Proszę używać liczb tylko w tym polu. Proszę unikać spacji lub innych znaków, takich jak kropki lub przecinki."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Proszę używać tylko liter (a-z) lub cyfr (0-9) w tym polu. Spacje lub inne znaki nie są dozwolone."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Proszę używać tylko liter (a-z) lub cyfr (0-9) lub spacji i # w tym polu."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Proszę użyć tego formatu daty: dd/mm/rrrr. Na przykład 17/03/2006 dla 17 marca 2006 r."
"Please wait, loading...","Proszę czekać, ładowanie..."
"Please wait...","Proszę czekać..."
"Please wait while the indexes are being refreshed.","Proszę czekać, indeksy są odświeżane."
"Popular","Popularne"
"Position","Położenie"
"Position of Watermark for %s","Pozycja znaku wodnego dla %s"
"Pregenerated configurable swatches image files.","Pregenerowane konfigurowalne pliki obrazów."
"Pregenerated product images files.","Pregowane pliki obrazów produktów."
"Preview","Podgląd"
"Preview Template","Podgląd szablonu"
"Price","Cena"
"Price:","Cena"
"Price alert subscription was saved.","Subskrypcja alertu cenowego została zapisana."
"Processed <strong>%s%% %s/%d</strong> records","Przetworzono <strong>%s%% %s/%d</strong> rekordy"
"Processing","Przetwarzanie"
"Product","Produkt"
"Product:","Produkt:"
"Product is not loaded.","Produkt nie jest załadowany."
"Product Name","Nazwa produktu"
"Product Reviews","Opinie o produkcie"
"Products","Produkty"
"Products Bestsellers Report","Raport Bestsellerów produktów"
"Products in Carts","Produkty w koszykach"
"Products Most Viewed Report","Raport najczęściej oglądanych produktów"
"Products Ordered","Zamówione produkty"
"Product Tax Classes","Klasy podatku produktu"
"Product Thumbnail Itself","Miniaturka produktu"
"Profile Action","Akcja profilu"
"Profile Actions XML","XML akcji profilu"
"Profile Direction","Kierunek profilu"
"Profile History","Historia profilu"
"Profile Information","Informacje o profilu"
"Profile Name","Nazwa profilu"
"Profile Payments","Płatności profilowe"
"Profiles","Profiles"
"Profile Schedule","Harmonogram profilu"
"Profile Wizard","Kreator profilu"
"Promo","Promocja"
"Promotions","Promocje"
"Purchased Item","Zakupiony przedmiot"
"QR Code","QR Code"
"Quantity","Ilość"
"Queued... Cancel","Kolejkowane... Anuluj"
"Queue Refresh","Odśwież kolejkę"
"Radio Buttons","Przyciski radiowe"
"Rates","Stawki"
"Read details","Przeczytaj szczegóły"
"Rebuild","Odbuduj"
"Rebuild Catalog Index","Przebuduj indeks katalogu"
"Rebuild Flat Catalog Category","Przebuduj płaski katalog kategorii"
"Rebuild Flat Catalog Product","Przebuduj płaski katalog produktów"
"Recent Orders","Ostatnie zamówienia"
"Recent statistics have been updated.","Ostatnie statystyki zostały zaktualizowane."
"Recipient email address","Adres e-mail odbiorcy"
"Recompile PHP Attributes","Rekompiluj atrybuty PHP"
"Recurring Profile View","Widok profilu cyklicznego"
"Redirect","Przekieruj"
"Redirect to URL without trailing slash","Przekieruj na adres URL bez ukośnika"
"Redirect to URL with trailing slash","Przekieruj na adres URL z ukośnikiem"
"Reference","Odniesienie"
"Reference ID","ID referencji"
"Refresh","Odśwież"
"Refresh Now*","Odśwież teraz*"
"Refresh Roles","Odśwież role"
"Refresh Statistics","Odśwież statystyki"
"Region","Region"
"Region/State","Region/województwo"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","Rejestracja hasła automatycznie wyłącza uwierzytelnianie hasła. Ze względów bezpieczeństwa zalecamy pozostawienie go wyłączone, chociaż w razie potrzeby można go ponownie włączyć."
"Register New Passkey","Zarejestruj nowe Passkey"
"Register Passkey","Zarejestruj Passkey"
"Regular Price:","Cena standardowa:"
"Reject","Odrzuć"
"Rejection Of Authorization","Odrzucenie autoryzacji"
"Reject token authorization for admin","Odrzuć autoryzację tokenu dla administratora"
"Reject token authorization Pop Up for admin","Odrzuć wyskakujące okno autoryzacji dla administratora"
"Remote FTP","Zdalny FTP"
"Remove","Usuń"
"Remove Passkey","Usuń hasło"
"Rename","Zmień nazwę"
"Reports","Raporty"
"Request Path","Ścieżka żądania"
"Required","Wymagane"
"Reset","Reset"
"Reset a Password","Resetuj hasło"
"Reset Filter","Resetuj filtr"
"Reset Password","Resetuj hasło"
"Resource Access","Dostęp do zasobów"
"Resources","Zasoby"
"REST (legacy)","REST (starsze)"
"REST Roles","Role REST"
"Results","Wyniki"
"Retrieve Password","Pobierz hasło"
"Return Html Version","Zwróć wersję Html"
"Revenue","Dochody"
"Reviews","Recenzje"
"Reviews and Ratings","Recenzje i oceny"
"Rewrite Rules","Przepisz reguły"
"Role ID","ID roli"
"Role Info","Informacje o roli"
"Role Information","Informacje o roli"
"Role Name","Nazwa roli"
"Role Resources","Zasoby roli"
"Roles","Role"
"Roles Resources","Zasoby ról"
"Role Users","Użytkownicy Roli"
"Root Category","Kategoria główna"
"Run","Uruchom"
"Running... Kill","Uruchamianie... Zabójstwo"
"Run Profile","Uruchom Profil"
"Run Profile in Popup","Uruchom profil w wyskakującym okienku"
"Sales","Sprzedaż"
"Sales Overview","Przegląd sprzedaży"
"Sales Report","Raport sprzedaży"
"Samples","Próbki"
"Save","Zapisz"
"Save & Generate","Zapisz i generuj"
"Save Account","Zapisz konto"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save Block","Zapisz blok"
"Save Cache Settings","Zapisz ustawienia pamięci podręcznej"
"Save Config","Zapisz konfigurację"
"Save Currency Rates","Zapisz kursy walut"
"Save Profile","Zapisz profil"
"Save Role","Zapisz rolę"
"Save Template","Zapisz szablon"
"Save User","Zapisz użytkownika"
"Save Variable","Zapisz zmienną"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Zeskanuj ten kod QR za pomocą aplikacji uwierzytelniającej (Google Authenticator, Authy, itp.)"
"Search","Szukaj"
"Search entire store here...","Szukaj w całym sklepie tutaj..."
"Search Index","Indeks wyszukiwania"
"Search results","Wyniki wyszukiwania"
"Search Term","Wyszukaj wyrażenie"
"Search Terms","Szukaj frazy"
"Select","Wybierz"
"Select All","Zaznacz wszystko"
"Select Category","Wybierz kategorię"
"selected","zaznaczone"
"Selected allowed currency ""%s"" is not available in installed currencies.","Wybrana dozwolona waluta ""%s"" nie jest dostępna w zainstalowanych walutach."
"Selected base currency is not available in installed currencies.","Wybrana waluta bazowa nie jest dostępna w zainstalowanych walutach."
"Selected default display currency is not available in allowed currencies.","Wybrana domyślna waluta wyświetlana nie jest dostępna w dozwolonych walutach."
"Selected default display currency is not available in installed currencies.","Wybrana domyślna waluta wyświetlana nie jest dostępna w zainstalowanych walutach."
"Select Range","Wybierz zakres"
"Self-assigned roles cannot be deleted.","Samodzielnie przypisane role nie mogą zostać usunięte."
"Send","Wyślij"
"Sender","Nadawca"
"Sending...","Wysyłanie..."
"Separate Email","Oddzielny e-mail"
"Serialized data is incorrect","Dane seryjne są nieprawidłowe"
"Shipment #%s comment added","Komentarz do dostawy #%s został dodany"
"Shipment #%s created","Dostawa #%s utworzona"
"Shipment Comments","Komentarze do wysyłki"
"Shipment History","Historia wysyłki"
"Shipments","Przesyłki"
"Shipping","Dostawa"
"Shipping Address","Adres dostawy"
"Shipping Address: ","Adres wysyłki: "
"Shipping address selection is not applicable","Wybór adresu wysyłki nie ma zastosowania"
"Shipping method must be specified.","Metoda wysyłki musi być określona."
"Shipping method selection is not applicable","Wybór metody wysyłki nie ma zastosowania"
"Shipping Origin","Pochodzenie dostawy"
"Shipping Price","Cena wysyłki"
"Shopping Cart","Koszyk"
"Shopping Cart from %s","Shopping Cart from %s"
"Shopping Cart Price Rules","Reguły cenowe koszyka"
"Show By","Pokaż wg"
"Show Report For:","Pokaż raport dla:"
"Show Reviews","Pokaż recenzje"
"Sitemap Information","Informacje o mapie strony"
"Size for %s","Rozmiar dla %s"
"Skip Category Selection","Pomiń wybór kategorii"
"SKU","SKU"
"SKU:","SKU:"
"SOAP / XML-RPC (legacy)","SOAP / XML-RPC (legacy)"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Niektóre produkty w tym zamówieniu mają różne rodzaje faktury i wysyłki. Możesz utworzyć dostawę tylko po utworzeniu faktury."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Niektóre z zamówionych produktów nie istnieją już w katalogu i zostaną usunięte, jeśli spróbujesz edytować zamówienie."
"Special Price:","Cena specjalna:"
"Specific Countries","Określone kraje"
"Specified","Określony"
"Specified profile does not exist.","Określony profil nie istnieje."
"Spreadsheet Name:","Nazwa arkusza kalkulacyjnego."
"Start Date","Data rozpoczęcia"
"Starting profile execution, please wait...","Rozpoczęcie wykonywania profilu, proszę czekać..."
"State/Province:","Państwo/prowincja:"
"Static Blocks","Bloki statyczne"
"Status","Status"
"Status:","Stan:"
"Stock notification was saved.","Powiadomienie o magazynie zostało zapisane."
"Stock Quantity:","Ilość magazynów:"
"Store","Sklep"
"store(%s) scope","zakres sklepu(%s)"
"Store:","Sklep:"
"Stores","Sklepy"
"Store View","Widok sklepu"
"Subject","Temat"
"Submit","Prześlij"
"Subtotal","Suma częściowa"
"successful","udane"
"Switch/Solo/Maestro Only","Tylko Switch/Solo/Maestro"
"System","System"
"System busy","System zajęty"
"Tags","Tagi"
"Target Path","Ścieżka docelowa"
"Tax","Podatek"
"Template","Szablon"
"Template Content","Zawartość szablonu"
"Template Information","Informacje o szablonie"
"Template Name","Nazwa szablonu"
"Template Styles","Template Styles"
"Template Subject","Temat szablonu"
"Template Type","Typ szablonu"
"Temporary (302)","Tymczasowy (302)"
"Terms and Conditions","Regulamin"
"Test email sent successfully to %s.","Wiadomość testowa wysłana pomyślnie do %s."
"Test Email Settings","Testuj ustawienia e-mail"
"Text","Tekst"
"The account has been saved.","Konto zostało zapisane."
"The attribute set has been removed.","Zestaw atrybutów został usunięty."
"The billing agreement has been canceled.","Umowa rozliczeniowa została anulowana."
"The billing agreement has been deleted.","Umowa rozliczeniowa została usunięta."
"The block has been saved.","Blok został zapisany."
"The cache storage has been flushed.","Pamięć podręczna została spłukiwana."
"The carrier needs to be specified.","Należy określić przewoźnika."
"The catalog index has been rebuilt.","Indeks katalogu został przebudowany."
"The CatalogInventory Stock Status has been rebuilt.","Stan zapasów został przebudowany."
"The catalog rewrites have been refreshed.","Przekierowanie katalogu zostało odświeżone."
"The Catalog Rewrites were refreshed.","Przekierowanie katalogu zostało odświeżone."
"The Comment Text field cannot be empty.","Pole tekstowe komentarza nie może być puste."
"The configurable swatches image cache was cleaned.","Konfigurowalna pamięć podręczna obrazów została wyczyszczona."
"The configuration has been saved.","Konfiguracja została zapisana."
"The credit memo has been canceled.","Faktura korygująca została anulowana."
"The credit memo has been created.","Nota korygująca została utworzona."
"The credit memo has been voided.","Nota korygująca została unieważniona."
"The credit memo no longer exists.","Faktura korygująca już nie istnieje."
" The customer does not exist in the system anymore."," Klient nie istnieje już w systemie."
"The customer has been deleted.","Klient został usunięty."
"The customer has been saved.","Klient został zapisany."
"The custom variable has been deleted.","Zmienna niestandardowa została usunięta."
"The custom variable has been saved.","Zmienna niestandardowa została zapisana."
"The design change has been deleted.","Zmiana wyglądu została usunięta."
"The design change has been saved.","Zmiana projektu została zapisana."
"The email address has been updated successfully.","Adres e-mail został pomyślnie zaktualizowany."
"The email address is empty.","Adres e-mail jest pusty."
"The email template has been deleted.","Szablon e-mail został usunięty."
"The email template has been saved.","Szablon e-mail został zapisany."
"The flat catalog category has been rebuilt.","płaski katalog kategorii został przebudowany."
"The Flat Catalog Product was rebuilt","Płaski katalog produktów został przebudowany"
"The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Następujące zasoby roli API nie są już dostępne w systemie: %s. Możesz je usunąć przez <a href=""%s"">klikając tutaj</a>."
"The following role resource(s) are not orphaned: %s","Następujące zasob(y) roli nie są osierocone: %s"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Następujące zasoby roli nie są już dostępne w systemie: %s. Możesz je usunąć przez <a href=""%s"">klikając tutaj</a>."
"The group node name must be specified with field node name.","Nazwa węzła grupy musi być określona z nazwą węzła polowego."
"The image cache was cleaned.","Pamięć podręczna obrazu została wyczyszczona."
"The image cache was cleared.","Pamięć podręczna obrazu została wyczyszczona."
"The invoice and shipment have been created.","Faktura i dostawa zostały utworzone."
"The invoice cannot be canceled.","Faktura nie może zostać anulowana."
"The invoice cannot be captured.","Faktura nie może być przechwycona."
"The invoice cannot be voided.","Faktura nie może być unieważniona."
"The invoice has been canceled.","Faktura została anulowana."
"The invoice has been captured.","Faktura została przechwycona."
"The invoice has been created.","Faktura została utworzona."
"The invoice has been voided.","Faktura została unieważniona."
"The invoice no longer exists.","Faktura już nie istnieje."
"The item %s (SKU %s) does not exist in the catalog anymore.","Element %s (SKU %s) już nie istnieje w katalogu."
"The Layered Navigation indexing has been queued.","Indeksowanie warstwowej nawigacji zostało dodane."
"The Layered Navigation indexing queue has been canceled.","Indeksowanie warstwowej nawigacji zostało anulowane."
"The Layered Navigation indices were refreshed.","Wskaźniki nawigacji warstwowej zostały odświeżone."
"The Layered Navigation process has been queued to be killed.","Proces nawigacji warstwowej został umieszczony w kolejce do zabicia."
"The Maho cache has been flushed and updates applied.","Pamięć podręczna Maho została wyczyszczona i zaktualizowana."
"The minified CSS/JS cache was cleaned.","Zminifikowana pamięć podręczna CSS/JS została wyczyszczona."
"The order does not allow creating an invoice.","Zamówienie nie pozwala na tworzenie faktury."
"The order no longer exists.","Zamówienie już nie istnieje."
"The profile has been deleted.","Profil został usunięty."
"The profile has been saved.","Profil został zapisany."
"The profile has been updated.","Profil został zaktualizowany."
"The profile has no changes.","Profil nie ma żadnych zmian."
"The profile you are trying to save no longer exists","Profil który próbujesz zapisać już nie istnieje"
"The rating has been deleted.","Ocena została usunięta."
"The rating has been saved.","Ocena została zapisana."
"There is an error in one of the option rows.","W jednym z wierszy opcji jest błąd."
"The role has been deleted.","Rola została usunięta."
"The role has been saved.","Rola została zapisana."
"The role has been successfully saved.","Rola została pomyślnie zapisana."
"The roles have been refreshed.","Role zostały odświeżone."
"The search index has been rebuilt.","Indeks wyszukiwania został przebudowany."
"The shipment has been created.","Dostawa została utworzona."
"The shipment has been sent.","Dostawa została wysłana."
"The shipment no longer exists.","Dostawa już nie istnieje."
"The shipping label has been created.","Etykieta wysyłkowa została utworzona."
"The Special Price is active only when lower than the Actual Price.","Cena Specjalna jest aktywna tylko wtedy, gdy jest niższa niż rzeczywista cena."
"The tag has been deleted.","Tag został usunięty."
"The tag has been saved.","Tag został zapisany."
"The transaction details have been updated.","Szczegóły transakcji zostały zaktualizowane."
"The URL Rewrite has been deleted.","Przekierowanie URL zostało usunięte."
"The URL Rewrite has been saved.","Przekierowanie URL zostało zapisane."
"The user has been deleted.","Użytkownik został usunięty."
"The user has been saved.","Użytkownik został zapisany."
"The variable has been saved.","Zmienna została zapisana."
"This Account is","To konto jest"
"This account is","To konto jest"
"This account is inactive.","To konto jest nieaktywne."
"This attribute set does not have attributes which we can use for configurable product","Ten zestaw atrybutów nie posiada atrybutów, których możemy użyć dla konfigurowalnego produktu"
"This block no longer exists.","Ten blok już nie istnieje."
"This Email template no longer exists.","Ten szablon e-mail już nie istnieje."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","To jest sklep demo. Żadne zamówienia złożone przez ten sklep nie będą honorowane ani wypełniane."
"This is a required field.","To pole jest wymagane."
"This is a test email from Maho admin.","To jest wiadomość testowa od administratora Maho."
"This product is currently disabled.","Ten produkt jest obecnie wyłączony."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Ten raport zależy od konfiguracji strefy czasowej. Gdy strefa czasowa zostanie zmieniona, należy odświeżyć statystyki życia."
"This Role no longer exists","Ta rola już nie istnieje"
"This Role no longer exists.","Ta rola już nie istnieje."
"This section is not allowed.","Ta sekcja jest niedozwolona."
"This user no longer exists.","Ten użytkownik już nie istnieje."
"This variable no longer exists.","Ta zmienna już nie istnieje."
"Time","Czas"
"To","Do"
"to","do"
