"%d product(s) were updated","%d product(s) were updated"
"%s (Default Template from Locale)","%s (Modèle par défaut à partir de la région)"
"%s cache type(s) disabled.","Type de cache %s désactivé."
"%s cache type(s) enabled.","Type de cache %s activé."
"%s cache type(s) refreshed.","%s type(s) de cache actualisé."
"Manage Titles (Size, Color, etc.)","Gérer les titres (taille, couleur, etc.)"
"Manual","Manuelle"
"Matched Expression","Expression correspondante"
"Maximum sender name length is 255. Please correct your settings.","La longueur maximale du nom de l'expéditeur est de 255. Veuillez corriger vos paramètres."
"Messages Inbox","Boîte de réception des messages"
"Minified CSS and JavaScript files.","Fichiers CSS et JavaScript minifiés."
"MINOR","MINEUR"
"minor","mineur"
"Missing required fields","Champs obligatoires manquants"
"Month","Mois"
"Most Viewed","Les plus consultés"
"Most Viewed Products","Produits les plus consultés"
"MS Excel XML","MS Excel XML"
"Multiple Select","Sélection multiple"
"My Account","Mon Compte"
"My Applications","Mes applications"
"N/A","N/A"
"Name","Nom"
"Name:","Nom:"
"Name on Card","Nom sur la carte"
"Network Error. Please refresh the page.","Erreur de réseau. Veuillez actualiser la page."
"Never (production)","Jamais (production)"
"New ","Nouveau "
"New Accounts","Nouveaux comptes"
"New API Key","Nouvelle clé API"
"New Attribute","Nouvel attribut"
"New Block","Nouveau bloc"
"New block","Nouveau bloc"
"New Category","Nouvelle catégorie"
"New Class","Nouvelle classe"
"New Condition","Nouvelle condition"
"New Customer","Nouveau client"
"New Customers","Nouveaux clients"
"New Custom Variable","Nouvelle variable personnalisée"
"New Design Change","Nouveau changement de design"
"New Email Template","Nouveau modèle d'email"
"New Group","Nouveau groupe"
"New Invoice","Nouvelle facture"
"New Memo","Nouveau Mémo"
"New Memo for #%s","Nouveau Mémo pour%s"
"New Page","Nouvelle page"
"New Password","Nouveau mot de passe"
"New Password Confirmation","Confirmation du nouveau mot de passe"
"New password field cannot be empty.","Le champ Nouveau mot de passe ne peut pas être vide."
"New Profile","Nouveau profil"
"New Rate","Nouveau taux"
"New Rating","Nouvelle note"
"New Review","Nouveau commentaire"
"New Role","Nouveau rôle"
"New Rule","Nouvelle règle"
"New Search","Nouvelle recherche"
"New Set","Nouveau lot"
"New Shipment","Nouvel envoi"
"New Sitemap","Nouveau plan du site"
"Newsletter","Newsletter"
"Newsletter Problems","Problèmes de newsletter"
"Newsletter Queue","File d'attente de la newsletter"
"Newsletter Subscribers","Inscrits à la newsletter"
"Newsletter Templates","Modèles de newsletter"
"New Store View","Nouvelle vue magasin"
"New System Template","Nouveau modèle de système"
"New Tag","Nouveau Tag"
"New Template","Nouveau modèle"
"New User","Nouvel utilisateur"
"New Variable","Nouvelle variable"
"New Website","Nouveau site web"
"No","Non"
"No (price without tax)","Non (prix hors taxe)"
"No change","Pas de changement"
"No customer id defined.","Aucun identifiant client défini."
"No Data Found","Aucune donnée trouvée"
"No information available.","Aucune information disponible."
"None","Aucun"
"No Passkey Created","Aucun mot de passe créé"
"No profile loaded...","Aucun profil chargé..."
"No records found.","Aucun enregistrement trouvé."
"No records found for this period.","Aucun enregistrement trouvé pour cette période."
"No report code specified.","Aucun code de rapport spécifié."
"No search keywords.","Aucun mot clé de recherche."
"No search modules were registered","Aucun module de recherche n'a été enregistré"
"Not allowed","Non autorisé"
"Not authenticated","Non authentifié"
"Note:","Note :"
"No Templates Found","Aucun modèle trouvé"
"NOTICE","AVIS"
"Notice","Annonce"
"notice","Avis"
"Notifications","Notifications"
"Number of Orders","Nombre de commandes"
"Number of records:","Nombre d'enregistrements :"
"Number of Uses","Nombre d'utilisations"
"Number of Views","Nombre de vues"
"OAuth authorization for admin","Autorisation OAuth pour l'administrateur"
"OAuth authorization simple for admin","Autorisation OAuth simple pour l'administrateur"
"OAuth Consumers","Consommateurs OAuth"
"Old rate:","Ancien taux :"
"One or more of the Cache Types are invalidated:","Un ou plusieurs types de cache sont invalidés :"
"Online Customers","Clients en ligne"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Seuls les attributs avec la portée ""Global"", le type d'entrée ""Liste déroulante"" et ""Utiliser pour créer un produit configurable ""Oui"" sont disponibles."
"Only from same domain","Seulement à partir du même domaine"
"Only mapped fields","Seulement les champs mappés"
"Only Once (version upgrade)","Une seule fois (mise à jour de version)"
"Optional","Optionnel"
"Optional region for providers that support it (e.g. us-east-1 for AWS)","Région optionnelle pour les fournisseurs qui le supportent (par exemple, us-east-1 pour AWS)"
"Options","Options"
"Options is required","Les options sont requises"
"Order","Commandes"
"Order #%s","Commande n°%s"
"Order #%s (%s)","Commande n°%s (%s)"
"Order Created Date","Date de création de la commande"
"Order ID","ID de la commande"
"Orders","Commandes"
"Order Totals","Totaux de la commande"
"Order Updated Date","Date de mise à jour de la commande"
"Order Updated Date report is real-time, does not need statistics refreshing.","Le rapport de la date de mise à jour de la commande est en temps réel, il n'est pas nécessaire de rafraîchir les statistiques."
"Original Magento attribute names in first row:","Noms d'attributs originaux Magento dans la première ligne:"
"Orphaned API Role Resource","Ressource de rôle de l'API Orphane"
"Orphaned API Role Resources","Ressources du rôle de l'API Orphane"
"Orphaned Resources","Ressources orphelines"
"Orphaned Role Resource","Ressource de rôle orphelin"
"Orphaned Role Resources","Ressources pour les rôles orphelins"
"Out of stock","En rupture de stock"
"Pages","Pages"
"Parent Product Thumbnail","Vignette du produit parent"
"Parent Transaction ID","ID de transaction parent"
"Passive mode","Mode passif"
"Passkey Active","Mot de passe actif"
"Passkey Authentication","Authentification du mot de passe"
"Passkey credential already registered to another user.","Les informations d'identification du mot de passe sont déjà enregistrées à un autre utilisateur."
"Passkey will be deleted upon saving.","Le mot de passe sera supprimé lors de l'enregistrement."
"Passkey will be registered upon saving.","Le mot de passe sera enregistré lors de la sauvegarde."
"Password","Mot de passe"
"Password:","Mot de passe :"
"Password Confirmation","Confirmation du mot de passe"
"Password confirmation must be same as password.","La confirmation du mot de passe doit être identique au mot de passe."
"Password must be at least of %d characters.","Password must be at least of %d characters."
"Password must include both numeric and alphabetic characters.","Le mot de passe doit contenir des caractères numériques et alphabétiques."
"Path:","Chemin d'accès :"
"Payment method instance is not available.","L'instance de méthode de paiement n'est pas disponible."
"Payment method is not available.","Le mode de paiement n'est pas disponible."
"Payment method must be specified.","Le mode de paiement doit être spécifié."
"Pending Reviews","Avis en attente"
"Pending Tags","Tags en attente"
"Percent","Pourcentage"
"Performed At","Effectuée à"
"Period","Période"
"Per Item","Par article"
"Permanent (301)","Permanent (301)"
"Permissions","Permissions"
"Per Order","Par commande"
"Personal Information","Informations personnelles"
"Phone:","Téléphone :"
"PHP attribute recompilation failed: %s","Échec de la recompilation de l'attribut PHP : %s"
"PHP attributes were recompiled.","Les attributs PHP ont été recompilés."
"Please confirm site switching. All data that hasn't been saved will be lost.","Veuillez confirmer le changement de site. Toutes les données qui n'ont pas été enregistrées seront perdues."
"Please enter 6 or more characters.","Veuillez entrer 6 caractères ou plus."
"Please enter another credit card number to complete your purchase.","Veuillez entrer un autre numéro de carte de crédit pour finaliser votre achat."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please enter a valid $ amount. For example $100.00.","Veuillez entrer un montant de $ valide. Par exemple $100.00."
"Please enter a valid credit card number.","Veuillez entrer un numéro de carte de crédit valide."
"Please enter a valid date.","Veuillez entrer une date valide."
"Please enter a valid email.","Veuillez entrer une adresse e-mail valide."
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez entrer une adresse e-mail valide. Par exemple johndoe@domain.com."
"Please enter a valid number in this field.","Veuillez entrer un nombre valide dans ce champ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez entrer un numéro de téléphone valide. Par exemple (123) 456-7890 ou 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Veuillez entrer un numéro de sécurité sociale valide. Par exemple 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez entrer une URL valide. Par exemple http://www.example.com ou www.example.com"
"Please enter a valid URL. http:// is required","Veuillez entrer une URL valide. http:// est requis"
"Please enter a valid zip code.","Veuillez entrer un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez entrer un code postal valide. Par exemple 90602 ou 90602-1234."
"Please enter valid password.","Veuillez entrer un mot de passe valide."
"Please make sure that all global admin search modules are installed and activated.","Veuillez vous assurer que tous les modules de recherche admin sont installés et activés."
"Please make sure that your changes were saved before running the profile.","Veuillez vous assurer que vos modifications ont été enregistrées avant d'exécuter le profil."
"Please make sure your passwords match.","Veuillez vous assurer que vos mots de passe correspondent."
"Please Select","Veuillez sélectionner"
"Please select a customer.","Veuillez sélectionner un client."
"Please select an option.","Veuillez sélectionner une option."
"Please select a store.","Veuillez sélectionner un magasin."
"Please select catalog searches.","Veuillez sélectionner les recherches du catalogue."
"Please select customer(s).","Veuillez sélectionner le(s) client(s)."
"Please select one of the above options.","Veuillez sélectionner une des options ci-dessus."
"Please select one of the options.","Veuillez sélectionner une des options."
"Please select review(s).","Veuillez sélectionner le(s) commentaire(s)."
"Please select State/Province.","Veuillez sélectionner État/Province."
"Please select tag(s).","Veuillez sélectionner le(s) tag(s)."
"Please select URL rewrite(s).","Veuillez sélectionner une réécriture d'URL."
"Please specify the admin custom URL.","Veuillez spécifier l'URL personnalisée de l'admin."
"Please try to logout and sign in again.","Veuillez essayer de vous déconnecter et de vous reconnecter."
"Please use in this field only ""a-z,0-9,_"".","Veuillez utiliser dans ce champ uniquement ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Veuillez utiliser uniquement des lettres (a-z) dans ce champ."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Veuillez utiliser des chiffres uniquement dans ce champ. Veuillez éviter des espaces ou d'autres caractères tels que des points ou des virgules."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez utiliser uniquement des lettres (a-z) ou des chiffres (0-9) dans ce champ. Aucun espace ou autre caractère n'est autorisé."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez utiliser uniquement des lettres (a-z) ou des chiffres (0-9) ou des espaces et # seulement dans ce champ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser ce format de date : jj/mm/aaaa. Par exemple 17/03/2006 pour le 17 mars 2006."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Please wait...","Veuillez patienter..."
"Please wait while the indexes are being refreshed.","Veuillez patienter pendant que les index sont actualisés."
"Popular","Populaire"
"Position","Position"
"Position of Watermark for %s","Position du filigrane pour %s"
"Pregenerated configurable swatches image files.","Fichiers image d'échantillons configurables pré-générés."
"Pregenerated product images files.","Fichiers d'images de produits pré-générés."
"Preview","Aperçu"
"Preview Template","Aperçu du modèle"
"Price","Prix"
"Price:","Prix :"
"Price alert subscription was saved.","L'abonnement aux alertes de prix a été enregistré."
"Processed <strong>%s%% %s/%d</strong> records","Processed <strong>%s%% %s/%d</strong> records"
"Processing","Traitement en cours"
"Product","Produit"
"Product:","Produit :"
"Product is not loaded.","Le produit n'est pas chargé."
"Product Name","Nom du produit"
"Product Reviews","Avis sur les produits"
"Products","Produits"
"Products Bestsellers Report","Rapport des meilleures ventes de produits"
"Products in Carts","Produits dans les paniers"
"Products Most Viewed Report","Rapport des produits les plus consultés"
"Products Ordered","Produits commandés"
"Product Tax Classes","Classes de taxe de produit"
"Product Thumbnail Itself","Vignette du produit"
"Profile Action","Action du profil"
"Profile Actions XML","XML des actions du profil"
"Profile Direction","Direction du profil"
"Profile History","Historique du profil"
"Profile Information","Informations sur le profil"
"Profile Name","Nom du profil"
"Profile Payments","Paiements de profil"
"Profiles","Profiles"
"Profile Schedule","Calendrier du profil"
"Profile Wizard","Assistant de profil"
"Promo","Promo"
"Promotions","Promotions"
"Purchased Item","Objet acheté"
"QR Code","QR Code"
"Quantity","Quantité"
"Queued... Cancel","En attente... Annuler"
"Queue Refresh","Rafraîchir la file d'attente"
"Radio Buttons","Boutons radio"
"Rates","Tarifs"
"Read details","Lire les détails"
"Rebuild","Reconstruire"
"Rebuild Catalog Index","Reconstruire l'index du catalogue"
"Rebuild Flat Catalog Category","Reconstruire la catégorie du catalogue plat"
"Rebuild Flat Catalog Product","Reconstruire le produit du catalogue plat"
"Recent Orders","Commandes récentes"
"Recent statistics have been updated.","Les statistiques récentes ont été mises à jour."
"Recipient email address","Adresse e-mail du destinataire"
"Recompile PHP Attributes","Recompiler les attributs PHP"
"Recurring Profile View","Vue de profil récurrente"
"Redirect","Rediriger"
"Redirect to URL without trailing slash","Rediriger vers une URL sans slash final"
"Redirect to URL with trailing slash","Rediriger vers l'URL avec barre oblique de fin"
"Reference","Référence"
"Reference ID","ID de référence"
"Refresh","Rafraîchir"
"Refresh Now*","Rafraîchir maintenant*"
"Refresh Roles","Rafraîchir les rôles"
"Refresh Statistics","Rafraîchir les statistiques"
"Region","Région"
"Region/State","Région/État"
"Registering a passkey automatically disables password authentication. For security reasons, we recommend keeping it disabled, though you can re-enable it if necessary.","L'enregistrement d'une clé d'accès désactive automatiquement l'authentification par mot de passe. Pour des raisons de sécurité, nous vous recommandons de la garder désactivée, bien que vous puissiez la réactiver si nécessaire."
"Register New Passkey","Enregistrer un nouveau mot de passe"
"Register Passkey","Enregistrer le mot de passe"
"Regular Price:","Prix normal :"
"Reject","Refuser"
"Rejection Of Authorization","Rejet d'autorisation"
"Reject token authorization for admin","Rejeter l'autorisation de jeton pour l'administrateur"
"Reject token authorization Pop Up for admin","Rejeter le pop d'autorisation de jeton pour l'administrateur"
"Remote FTP","FTP distant"
"Remove","Retirer"
"Remove Passkey","Supprimer le mot de passe"
"Rename","Renommer"
"Reports","Rapports"
"Request Path","Chemin de la requête"
"Required","Requis"
"Reset","Reset"
"Reset a Password","Réinitialiser un mot de passe"
"Reset Filter","Réinitialiser le filtre"
"Reset Password","Réinitialiser le mot de passe"
"Resource Access","Accès aux ressources"
"Resources","Ressource"
"REST (legacy)","REST (hérité)"
"REST Roles","Rôles REST"
"Results","Résultats"
"Retrieve Password","Récupérer le mot de passe"
"Return Html Version","Retourner la version Html"
"Revenue","Revenus"
"Reviews","Revues"
"Reviews and Ratings","Avis et évaluations"
"Rewrite Rules","Règles de réécriture"
"Role ID","ID du rôle"
"Role Info","Infos sur le rôle"
"Role Information","Informations sur le rôle"
"Role Name","Nom du rôle"
"Role Resources","Ressources du rôle"
"Roles","Rôles"
"Roles Resources","Ressources Rôles"
"Role Users","Utilisateurs du rôle"
"Root Category","Catégorie racine"
"Run","Exécuter"
"Running... Kill","En cours... Tuer"
"Run Profile","Lancer le profil"
"Run Profile in Popup","Lancer le profil dans la fenêtre pop-up"
"Sales","Ventes"
"Sales Overview","Aperçu des ventes"
"Sales Report","Rapport des ventes"
"Samples","Échantillons"
"Save","Enregistrer"
"Save & Generate","Enregistrer & Générer"
"Save Account","Enregistrer le compte"
"Save and Continue Edit","Enregistrer et continuer l'édition"
"Save Block","Enregistrer le bloc"
"Save Cache Settings","Enregistrer les paramètres de cache"
"Save Config","Enregistrer la configuration"
"Save Currency Rates","Enregistrer les taux de change"
"Save Profile","Enregistrer le profil"
"Save Role","Enregistrer le rôle"
"Save Template","Enregistrer le modèle"
"Save User","Enregistrer l'utilisateur"
"Save Variable","Enregistrer la variable"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.)","Scannez ce code QR avec votre application d'authentification (Google Authenticator, Authy, etc.)"
"Search","Chercher"
"Search entire store here...","Rechercher dans toute la boutique ici..."
"Search Index","Index de recherche"
"Search results","Résultats de recherche"
"Search Term","Terme de recherche"
"Search Terms","Termes de recherche"
"Select","Sélectionner"
"Select All","Tout sélectionner"
"Select Category","Sélectionner une catégorie"
"selected","slectionns"
"Selected allowed currency ""%s"" is not available in installed currencies.","La devise autorisée «%s» sélectionnée n'est pas disponible dans les devises installées."
"Selected base currency is not available in installed currencies.","La devise de base sélectionnée n'est pas disponible dans les devises installées."
"Selected default display currency is not available in allowed currencies.","La devise d'affichage par défaut sélectionnée n'est pas disponible dans les devises autorisées."
"Selected default display currency is not available in installed currencies.","La devise d'affichage par défaut sélectionnée n'est pas disponible dans les devises installées."
"Select Range","Sélectionner la plage"
"Self-assigned roles cannot be deleted.","Les rôles auto-assignés ne peuvent pas être supprimés."
"Send","Envoyer"
"Sender","Expéditeur"
"Sending...","Envoi..."
"Separate Email","Email séparé"
"Serialized data is incorrect","Les données sérialisées sont incorrectes"
"Shipment #%s comment added","Commentaire%s ajouté"
"Shipment #%s created","Expédition #%s créée"
"Shipment Comments","Commentaires d'expédition"
"Shipment History","Historique d'expédition"
"Shipments","Expéditions"
"Shipping","Expédition"
"Shipping Address","Adresse de livraison"
"Shipping Address: ","Adresse de livraison : "
"Shipping address selection is not applicable","La sélection de l'adresse de livraison n'est pas applicable"
"Shipping method must be specified.","Le mode de livraison doit être spécifié."
"Shipping method selection is not applicable","La sélection du mode de livraison n'est pas applicable"
"Shipping Origin","Origine de la livraison"
"Shipping Price","Frais de port"
"Shopping Cart","Panier"
"Shopping Cart from %s","Panier de %s"
"Shopping Cart Price Rules","Règles de prix du panier"
"Show By","Afficher par"
"Show Report For:","Afficher le rapport pour:"
"Show Reviews","Afficher les commentaires"
"Sitemap Information","Informations sur le plan du site"
"Size for %s","Taille pour %s"
"Skip Category Selection","Ignorer la sélection de catégorie"
"SKU","UGS"
"SKU:","REF :"
"SOAP / XML-RPC (legacy)","SOAP / XML-RPC (legacy)"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Certains articles de cette commande ont des types de facture et d'expédition différents. Vous ne pouvez créer d'expédition qu'après la création de la facture."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Certains des articles commandés n'existent plus dans le catalogue et seront supprimés si vous essayez de modifier la commande."
"Special Price:","Prix spécial :"
"Specific Countries","Pays spécifiques"
"Specified","Spécifié"
"Specified profile does not exist.","Le profil spécifié n'existe pas."
"Spreadsheet Name:","Nom de la feuille de calcul :"
"Start Date","Date de début"
"Starting profile execution, please wait...","Démarrage de l'exécution du profil, veuillez patienter..."
"State/Province:","État/Province :"
"Static Blocks","Blocs statiques"
"Status","Statut"
"Status:","Statut :"
"Stock notification was saved.","La notification de stock a été enregistrée."
"Stock Quantity:","Quantité en stock :"
"Store","Magasin"
"store(%s) scope","Portée du magasin (%s)"
"Store:","Magasin :"
"Stores","Magasins"
"Store View","Vue magasin"
"Subject","Sujet"
"Submit","Soumettre"
"Subtotal","Sous-total"
"successful","réussi"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro uniquement"
"System","Système"
"System busy","Système occupé"
"Tags","Tags"
"Target Path","Chemin de la cible"
"Tax","Taxe"
"Template","Gabarit"
"Template Content","Contenu du modèle"
"Template Information","Informations sur le modèle"
"Template Name","Nom du modèle"
"Template Styles","Template Styles"
"Template Subject","Objet du modèle"
"Template Type","Type de modèle"
"Temporary (302)","Temporaire (302)"
"Terms and Conditions","Termes et Conditions"
"Test email sent successfully to %s.","E-mail de test envoyé avec succès à %s."
"Test Email Settings","Tester les paramètres de messagerie"
"Text","Texte du texte"
"The account has been saved.","Le compte a été enregistré."
"The attribute set has been removed.","L'ensemble d'attributs a été supprimé."
"The billing agreement has been canceled.","Le contrat de facturation a été annulé."
"The billing agreement has been deleted.","L'accord de facturation a été supprimé."
"The block has been saved.","Le bloc a été enregistré."
"The cache storage has been flushed.","Le stockage du cache a été vidé."
"The carrier needs to be specified.","Le transporteur doit être spécifié."
"The catalog index has been rebuilt.","L'index du catalogue a été reconstruit."
"The CatalogInventory Stock Status has been rebuilt.","Le statut du stock du catalogue a été reconstruit."
"The catalog rewrites have been refreshed.","Les réécritures du catalogue ont été actualisées."
"The Catalog Rewrites were refreshed.","Les réécritures du catalogue ont été actualisées."
"The Comment Text field cannot be empty.","Le champ texte du commentaire ne peut pas être vide."
"The configurable swatches image cache was cleaned.","Le cache des images d'échantillons configurables a été nettoyé."
"The configuration has been saved.","La configuration a été sauvegardée."
"The credit memo has been canceled.","L'avoir a été annulé."
"The credit memo has been created.","L'avoir a été créé."
"The credit memo has been voided.","L'avoir a été annulé."
"The credit memo no longer exists.","L'avoir n'existe plus."
" The customer does not exist in the system anymore."," Le client n'existe plus dans le système."
"The customer has been deleted.","Le client a été supprimé."
"The customer has been saved.","Le client a été enregistré."
"The custom variable has been deleted.","La variable personnalisée a été supprimée."
"The custom variable has been saved.","La variable personnalisée a été enregistrée."
"The design change has been deleted.","Le changement de design a été supprimé."
"The design change has been saved.","Le changement de design a été enregistré."
"The email address has been updated successfully.","L'adresse e-mail a été mise à jour avec succès."
"The email address is empty.","L'adresse e-mail est vide."
"The email template has been deleted.","Le modèle d'e-mail a été supprimé."
"The email template has been saved.","Le modèle d'e-mail a été enregistré."
"The flat catalog category has been rebuilt.","La catégorie de catalogue à plat a été reconstruite."
"The Flat Catalog Product was rebuilt","Le produit du catalogue plat a été reconstruit"
"The following API role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Les ressources de rôle API suivantes ne sont plus disponibles dans le système : %s. Vous pouvez les supprimer par <a href=""%s"">en cliquant ici</a>."
"The following role resource(s) are not orphaned: %s","Les ressources de rôle suivantes ne sont pas orphelines : %s"
"The following role resources are no longer available in the system: %s. You can delete them by <a href=""%s"">clicking here</a>.","Les ressources de rôle suivantes ne sont plus disponibles dans le système : %s. Vous pouvez les supprimer par <a href=""%s"">en cliquant ici</a>."
"The group node name must be specified with field node name.","Le nom du noeud de groupe doit être spécifié avec le nom du noeud de champ."
"The image cache was cleaned.","Le cache des images a été nettoyé."
"The image cache was cleared.","Le cache des images a été effacé."
"The invoice and shipment have been created.","La facture et l'expédition ont été créées."
"The invoice cannot be canceled.","La facture ne peut pas être annulée."
"The invoice cannot be captured.","La facture ne peut pas être capturée."
"The invoice cannot be voided.","La facture ne peut pas être annulée."
"The invoice has been canceled.","La facture a été annulée."
"The invoice has been captured.","La facture a été capturée."
"The invoice has been created.","La facture a été créée."
"The invoice has been voided.","La facture a été annulée."
"The invoice no longer exists.","La facture n'existe plus."
"The item %s (SKU %s) does not exist in the catalog anymore.","L'article %s (SKU %s) n'existe plus dans le catalogue."
"The Layered Navigation indexing has been queued.","L'indexation de la navigation par filtres a été mise en attente."
"The Layered Navigation indexing queue has been canceled.","La file d'indexation de navigation à facettes a été annulée."
"The Layered Navigation indices were refreshed.","Les indices de navigation à facettes ont été actualisés."
"The Layered Navigation process has been queued to be killed.","Le processus de navigation à facettes a été mis en file d'attente pour être tué."
"The Maho cache has been flushed and updates applied.","Le cache Maho a été vidé et les mises à jour ont été appliquées."
"The minified CSS/JS cache was cleaned.","Le cache CSS/JS minifié a été nettoyé."
"The order does not allow creating an invoice.","La commande ne permet pas de créer une facture."
"The order no longer exists.","La commande n'existe plus."
"The profile has been deleted.","Le profil a été supprimé."
"The profile has been saved.","Le profil a été enregistré."
"The profile has been updated.","Le profil a été mis à jour."
"The profile has no changes.","Le profil n'a pas de modifications."
"The profile you are trying to save no longer exists","Le profil que vous essayez d'enregistrer n'existe plus"
"The rating has been deleted.","L'évaluation a été supprimée."
"The rating has been saved.","L'évaluation a été enregistrée."
"There is an error in one of the option rows.","Il y a une erreur dans une des lignes d'options."
"The role has been deleted.","Le rôle a été supprimé."
"The role has been saved.","Le rôle a été sauvegardé."
"The role has been successfully saved.","Le rôle a été enregistré avec succès."
"The roles have been refreshed.","Les rôles ont été actualisés."
"The search index has been rebuilt.","L'index de recherche a été reconstruit."
"The shipment has been created.","L'expédition a été créée."
"The shipment has been sent.","L'envoi a été envoyé."
"The shipment no longer exists.","L'expédition n'existe plus."
"The shipping label has been created.","L'étiquette d'expédition a été créée."
"The Special Price is active only when lower than the Actual Price.","Le prix spécial est actif uniquement lorsque le prix réel est inférieur."
"The tag has been deleted.","Le tag a été supprimé."
"The tag has been saved.","Le tag a été enregistré."
"The transaction details have been updated.","Les détails de la transaction ont été mis à jour."
"The URL Rewrite has been deleted.","La réécriture d'URL a été supprimée."
"The URL Rewrite has been saved.","La réécriture d'URL a été enregistrée."
"The user has been deleted.","L'utilisateur a été supprimé."
"The user has been saved.","L'utilisateur a été enregistré."
"The variable has been saved.","La variable a été enregistrée."
"This Account is","Ce compte est"
"This account is","Ce compte est"
"This account is inactive.","Ce compte est inactif."
"This attribute set does not have attributes which we can use for configurable product","Cet ensemble d'attributs n'a pas d'attributs que nous pouvons utiliser pour le produit configurable"
"This block no longer exists.","Ce bloc n'existe plus."
"This Email template no longer exists.","Ce modèle d'e-mail n'existe plus."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Toute commande passée sur ce magasin ne sera pas honorée ou exécutée."
"This is a required field.","Ce champ est obligatoire."
"This is a test email from Maho admin.","Ceci est un email de test de l'administrateur Maho."
"This product is currently disabled.","Ce produit est actuellement désactivé."
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Ce rapport dépend de la configuration du fuseau horaire. Une fois le fuseau horaire modifié, les statistiques de vie doivent être actualisées."
"This Role no longer exists","Ce rôle n'existe plus"
"This Role no longer exists.","Ce rôle n'existe plus."
"This section is not allowed.","Cette section n'est pas autorisée."
"This user no longer exists.","Cet utilisateur n'existe plus."
"This variable no longer exists.","Cette variable n'existe plus."
"Time","Date et heure"
"To","À"
"to","à"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Pour annuler les autorisations en attente et libérer les montants qui ont déjà été traités pendant ce paiement, cliquez sur Annuler."
"Tools","Outils"
"Top 5 Search Terms","Les 5 meilleurs termes de recherche"
"Total","Total"
"Total Invoiced","Total facturé"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d record(s) were deleted","Total of %d record(s) were deleted"
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated","Total of %d record(s) were updated"
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"Total of %d URL rewrite(s) have been deleted.","Le total des réécritures %d ont été supprimés."
"Total Order Amount","Montant total de la commande"
"Total Refunded","Total remboursé"
"Tracking number %s for %s assigned","Numéro de suivi %s assigné à %s"
"Tracking number cannot be empty.","Le numéro de suivi ne peut pas être vide."
"Track Order","Suivre la commande"
"Track this shipment","Suivre cette livraison"
"Trailing Slash Behavior","Comportement de Slash Trailing"
"Transactional Emails","E-mails transactionnels"
"Transaction Data","Données de la transaction"
"Transaction Details","Détails de la transaction"
"Transaction ID","ID de la transaction"
"Transactions","Transactions"
"Transaction Type","Type de transaction"
"Two-Factor Authentication","Authentification à deux facteurs"
"Type","Type de texte"
"Type:","Type :"
"Unable to cancel the credit memo.","Impossible d'annuler l'avoir."
"Unable to find a block to delete.","Impossible de trouver un bloc à supprimer."
"Unable to find a Email Template to delete.","Impossible de trouver un modèle d'e-mail à supprimer."
"Unable to find a tag to delete.","Impossible de trouver un tag à supprimer."
"Unable to find a user to delete.","Impossible de trouver un utilisateur à supprimer."
"Unable to find a variable to delete.","Impossible de trouver une variable à supprimer."
"Unable to initialize import model","Impossible d'initialiser le modèle d'importation"
"Unable to refresh lifetime statistics.","Impossible d'actualiser les statistiques à vie."
"Unable to refresh recent statistics.","Impossible d'actualiser les statistiques récentes."
"Unable to save the cron expression.","Impossible d'enregistrer l'expression cron."
"Unable to save the invoice.","Impossible d'enregistrer la facture."
"Unable to send the invoice email.","Impossible d'envoyer l'e-mail de la facture."
"Unable to send the shipment email.","Impossible d'envoyer l'e-mail d'expédition."
"Unable to update transaction details.","Impossible de mettre à jour les détails de la transaction."
"Unable to void the credit memo.","Impossible d'annuler l'avoir."
