"# of Use","# d'utilisation"
"%1$s incl tax.","Taxe %1$s TTC"
"%s-%s of %s","%s-%s of %s"
"%s and above","%s et plus"
"%s Item(s)","Objet %s"
"Product ID","ID du produit"
"Product Image","Image du produit"
"Product Image Placeholders","Placeholders de l'image du produit"
"Product Images","Images du produit"
"Product Images API","API Images de produit"
"Product Image Watermarks","Filigranes de l'image du produit"
"Product Info Column","Colonne d'information sur le produit"
"Product Information","Informations sur le produit"
"Product In Websites","Produit dans les sites Web"
"Product is not loaded","Le produit n'est pas chargé"
"Product Link Block Template","Modèle de bloc de lien produit"
"Product Link Inline Template","Modèle de lien produit en ligne"
"Product links API (related, cross sells, up sells)","API de liens de produits (liés, ventes croisées, ventes forfaitaires)"
"Product Listing Sort by","Trier la liste des produits par"
"Product Name","Nom du produit"
"Product Prices","Prix du produit"
"Product Reviews","Avis sur les produits"
"Products","Produits"
"products","produits"
"Products Comparison List","Liste de comparaison de produits"
"Products count","Nombre de produits"
"Products Information","Informations sur les produits"
"Products only","Produits uniquement"
"Products per Page on Grid Allowed Values","Valeurs autorisées des produits par page sur la grille"
"Products per Page on Grid Default Value","Produits par page sur la grille valeur par défaut"
"Products per Page on List Allowed Values","Produits par page dans la liste des valeurs autorisées"
"Products per Page on List Default Value","Valeur par défaut des produits par page dans la liste"
"Products Reviews","Avis sur les produits"
"Products Sitemap","Plan du site des produits"
"Product Tags","Balises de produit"
"Product Tier Price API","API de prix de niveau produit"
"Product Type","Type de produit"
"Product types API","API de types de produits"
"Product URL Suffix","Suffixe d'URL du produit"
"Product View Extra Hint","Astuce supplémentaire pour la vue produit"
"Product with this combination of attributes already associated to configurable.","Produit avec cette combinaison d'attributs déjà associés à configurable."
"Properties","Propriétés"
"px.","px."
"Qty","Qté"
"Qty:","Qté:"
"Qty for Item's Status to Become Out of Stock","Quantité pour que le statut de l'article soit épuisé"
"Qty Increments","Incréments de quantité"
"Qty Uses Decimals","Qté utilise des décimales"
"Quantity","Quantité"
"Quick Create","Création rapide"
"Quick simple product creation","Création rapide et simple de produit"
"Records for ""%s"" store found.","Enregistrements pour la boutique ""%s"" trouvés."
"Redirect","Rediriger"
"Redirect URL","URL de redirection"
"Regular Price:","Prix normal :"
"Related Products","Produits connexes"
"Remove","Retirer"
"Remove attribute from attribute set","Supprimer l'attribut du jeu d'attributs"
"Remove attribute set","Supprimer l'ensemble d'attributs"
"Remove custom option","Supprimer l'option personnalisée"
"Remove filter: %s","Supprimer le filtre : %s"
"Remove group from attribute set","Supprimer le groupe du jeu d'attributs"
"Remove option","Supprimer l'option"
"Remove product assignment","Supprimer l'affectation de produit"
"Remove Product From Websites","Supprimer le produit des sites Web"
"Remove product image","Supprimer l'image du produit"
"Remove product link","Supprimer le lien produit"
"Remove value from custom option","Supprimer la valeur de l'option personnalisée"
"Rename existing group","Renommer le groupe existant"
"Rename group","Renommer le groupe"
"Reorganize EAV category structure to flat structure","Réorganiser la structure des catégories EAV en structure plate"
"Reorganize EAV product structure to flat structure","Réorganiser la structure du produit EAV en structure plate"
"Reset","Reset"
"Results","Résultats"
"Results per page","Résultats par page"
"Retrieve attribute data","Récupérer les données d'attribut"
"Retrieve attribute list","Récupérer la liste d'attributs"
"Retrieve attribute options","Récupérer les options d'attribut"
"Retrieve categories tree","Récupérer l'arborescence des catégories"
"Retrieve category attributes","Récupérer les attributs de la catégorie"
"Retrieve category data","Récupérer les données de la catégorie"
"Retrieve hierarchical tree","Récupérer l'arborescence hiérarchique"
"Retrieve linked products","Récupérer les produits liés"
"Retrieve list of assigned products","Récupérer la liste des produits assignés"
"Retrieve list of option values","Récupérer la liste des valeurs d'options"
"Retrieve list of product custom options","Récupérer la liste des options personnalisées du produit"
"Retrieve one level of categories by website/store view/parent category","Récupérer un niveau de catégories par site web/boutique vue/catégorie parent"
"Retrieve option value info","Récupérer les informations de la valeur de l'option"
"Retrieve product","Récupérer le produit"
"Retrieve product attribute sets","Récupérer les jeux d'attributs de produits"
"Retrieve product image","Récupérer l'image du produit"
"Retrieve product image list","Récupérer la liste des images du produit"
"Retrieve product image types","Récupérer les types d'image du produit"
"Retrieve product link type attributes","Récupérer les attributs de type de lien de produit"
"Retrieve product link types","Récupérer les types de liens de produit"
"Retrieve products data","Récupérer les données des produits"
"Retrieve products list by filters","Récupérer la liste des produits par filtres"
"Retrieve product tier prices","Récupérer les prix des paliers de produit"
"Retrieve product types","Récupérer les types de produits"
"Reviews","Revues"
"Roll Over for preview","Rouler pour un aperçu"
"Root","Racine"
"Save","Enregistrer"
"save","économiser"
"Save and Continue Edit","Enregistrer et continuer l'édition"
"Save Attribute","Enregistrer l'attribut"
"Save Attribute Set","Enregistrer le jeu d'attributs"
"Save Category","Enregistrer la catégorie"
"Saved %d record(s)","Saved %d record(s)"
"Save Search","Enregistrer la recherche"
"Scope","Périmètre d'application"
"Scope must not be changed, because the attribute is used in configurable products.","La portée ne doit pas être modifiée, car l'attribut est utilisé dans les produits configurables."
"Search","Chercher"
"Searchable","Recherchable"
"Search Engine Optimizations","Optimisations des moteurs de recherche"
"Search Information","Rechercher des informations"
"Search Query","Requête de recherche"
"Search Term with such search query already exists.","Un terme de recherche avec cette requête existe déjà."
"See price before order confirmation.","Voir le prix avant la confirmation de commande."
"select all","sélectionner tout"
"Select Category...","Sélectionner une catégorie..."
"Select Configurable Attributes ","Sélectionner les attributs configurables "
"Selected Product Types","Types de produits sélectionnés"
"Select Product...","Sélectionner un produit..."
"Select type of option","Sélectionnez le type d'option"
"Select type options required values rows.","Sélectionnez les lignes des valeurs des options de type."
"Send Count","Nombre d'envoi"
"Set/Get current store view","Définir/Obtenir la vue magasin en cours"
"Set Ascending Direction","Définir la direction ascendante"
"Set Descending Direction","Régler la direction décroissante"
"Set Name","Définir le nom"
"Set Root Category for Store","Définir la catégorie racine pour le magasin"
"Set root category for this store in the <a href=""%s"">configuration</a>","Définir la catégorie racine de ce magasin dans la configuration <a href=""%s""></a>"
"Set special price","Fixer un prix spécial"
"Settings","Réglages"
"Show","Afficher"
"Show count","Afficher le nombre"
"Show Details","Afficher les détails"
"Show ID","Afficher l'ID"
"Show Tags","Afficher les tags"
"Simple Product","Produit simple"
"Site Map","Plan du site"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ignorer la ligne d'importation, n'est pas une valeur valide «%s» pour le champ «%s»"
"Skip import row, required field ""%s"" for the new customer is not defined.","Ligne d'importation ignorée, le champ «%s» obligatoire pour le nouveau client n'est pas défini."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Ligne d'importation ignorée, la valeur «%s» n'est pas valide pour le champ «%s»"
"Skipping import row, required field ""%s"" for new products is not defined.","La ligne d'importation ignorée, le champ «%s» pour les nouveaux produits n'est pas défini."
"Skipping import row, required field ""%s"" is not defined.","La ligne d'importation ignorée, le champ «%s» n'est pas défini."
"Skipping import row, store ""%s"" field does not exist.","Ligne ignorée, le champ ""%s"" du magasin n'existe pas."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Ligne d'importation ignorée, la valeur «%s» n'est pas valide pour le champ «%s»."
"SKU","UGS"
"SKU length should be %s characters maximum.","SKU length should be %s characters maximum."
"Small Image Width","Largeur de la petite image"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Certains des produits transformés n'ont aucune valeur de REF définie. Veuillez le renseigner avant d'effectuer des opérations sur ces produits."
"Some of the selected item options are not currently available.","Certaines des options sélectionnées ne sont pas disponibles pour le moment."
"Sort By","Trier par"
"Sort Order","Ordre de tri"
"Special Expires On: %s","Expire le : %s"
"Special Price:","Prix spécial :"
"Special Price: %s","Prix spécial : %s"
"Static","Statique"
"Static block and products","Bloc statique et produits"
"Static block only","Bloc statique uniquement"
"Status","Statut"
"Stock Availability","Disponibilité des stocks"
"Store","Magasin"
"Store View","Vue magasin"
"Stretch","Étirer"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Super product attributes configuration","Configuration des attributs de super produit"
"Synonym For","Synonyme pour"
"System Properties","Propriétés du système"
"Tag Name","Nom de l'étiquette"
"Tax","Taxe"
"Template","Gabarit"
"Text","Texte du texte"
"The attribute code '%s' is reserved by system. Please try another attribute code","Le code d'attribut '%s' est réservé par le système. Veuillez essayer un autre code d'attribut"
"The attribute model is not defined","Le modèle d'attribut n'est pas défini"
"The attribute set has been saved.","L'ensemble d'attributs a été enregistré."
"The base directory to upload file is not specified.","Le répertoire de base pour télécharger le fichier n'est pas spécifié."
"The category has been deleted.","La catégorie a été supprimée."
"The category has been saved.","La catégorie a été enregistrée."
"The comparison list was cleared.","La liste de comparaison a été effacée."
"The file was only partially uploaded. Please try again.","Le fichier n'a été que partiellement téléchargé. Veuillez réessayer."
"The file you uploaded is larger than %s Megabytes allowed by server","Le fichier que vous avez téléchargé est plus grand que %s mégaoctets autorisés par le serveur"
"The filters must be an array.","Les filtres doivent être un tableau."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Le module Catalogue plat a une limite d'attributs filtrables et/ou triables %2$d . Il y a actuellement %1$d d'entre eux. Veuillez réduire le nombre d'attributs filtrables/triables afin d'utiliser ce module"
"The following file extensions are not allowed for security reasons: %s","Les extensions de fichier suivantes ne sont pas autorisées pour des raisons de sécurité : %s"
"The From Date value should be less than or equal to the To Date value.","La valeur de la date de début doit être inférieure ou égale à la date de fin."
"The image contents is not valid base64 data.","Le contenu de l'image n'est pas des données base64 valides."
"The image is not specified.","L'image n'est pas spécifiée."
"The model collection resource name is not defined.","Le nom de la ressource de collection de modèles n'est pas défini."
"The product %s has been added to comparison list.","Le produit %s a été ajouté à la liste de comparaisons."
"The product %s has been removed from comparison list.","Le produit %s a été retiré de la liste de comparaisons."
"The product attribute has been deleted.","L'attribut produit a été supprimé."
"The product attribute has been saved.","L'attribut produit a été enregistré."
"The product has been created.","Le produit a été créé."
"The product has been deleted.","Le produit a été supprimé."
"The product has been duplicated.","Le produit a été dupliqué."
"The product has been saved.","Le produit a été enregistré."
"The product has required options","Le produit a des options requises"
"There are no %s available.","Il n'y a pas de %s disponible."
"There are no customers for this alert","Il n'y a pas de clients pour cette alerte"
"There are no customers for this alert.","Il n'y a pas de clients pour cette alerte."
"There are no products matching the selection.","Il n'y a aucun produit correspondant à la sélection."
"The review has been deleted","La revue a été supprimée"
"The review has been saved.","La révision a été enregistrée."
"The review was removed by another user or does not exist.","La revue a été supprimée par un autre utilisateur ou n'existe pas."
"There was an error while request processing.","Une erreur s'est produite lors du traitement de la requête."
"The search was deleted.","La recherche a été supprimée."
"The text is too long","Le texte est trop long"
"This attribute cannot be deleted.","Cet attribut ne peut pas être supprimé."
"This attribute cannot be edited.","Cet attribut ne peut pas être modifié."
"This attribute cannot be updated.","Cet attribut ne peut pas être mis à jour."
"This attribute is used in configurable products.","Cet attribut est utilisé dans les produits configurables."
"This Attribute no longer exists","Cet attribut n'existe plus"
"This attribute no longer exists","Cet attribut n'existe plus"
"This attribute set no longer exists.","Ce jeu d'attributs n'existe plus."
"This category no longer exists.","Cette catégorie n'existe plus."
"This is a required option","Ceci est une option requise"
"This product no longer exists.","Ce produit n'existe plus."
"This search no longer exists.","Cette recherche n'existe plus."
"This setting will be applied when all prices in the specific price interval are equal.","Ce paramètre sera appliqué lorsque tous les prix dans l'intervalle de prix spécifique sont égaux."
"Thumbnail","Thumbnail"
"Tier Pricing","Tarification par palier"
"Tile","Tuile"
"Title","Titre de la page"
"To","À"
"Top/Left","Haut/Gauche"
"Top/Right","Haut/Droite"
"To reindex the enabled product(s), the store or product must be specified","Pour réindexer le(s) produit(s) activé(s), le magasin ou le produit doit être spécifié"
"To see product price, add this item to your cart. You can always remove it later.","Pour voir le prix du produit, ajoutez cet article à votre panier. Vous pourrez toujours le supprimer plus tard."
"Total incl. Tax: %1$s","Total TTC : %1$s"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d record(s) were updated","Total of %d record(s) were updated"
"Type","Type de texte"
"Unable to complete this request.","Impossible de compléter cette demande."
"Unable to find an attribute to delete.","Impossible de trouver un attribut à supprimer."
"Unable to find a search term to delete.","Impossible de trouver un terme de recherche à supprimer."
"Unable to get the product ID.","Impossible d'obtenir l'ID du produit."
"Unassigned Attributes","Attributs non assignés"
"Unknown EAV indexer type ""%s"".","Type d'indexeur EAV inconnu «%s»."
"unselect all","désélectionner tout"
"Unsupported product type ""%s"".","Type de produit «%s» non pris en charge."
"Up-sells","Ventes incitatives"
"Update","Mise à jour"
"Update assigned product","Mettre à jour le produit assigné"
"Update attribute","Mettre à jour l'attribut"
"Update Attributes","Mettre à jour les attributs"
"Update attributes","Mettre à jour les attributs"
"Update category","Mettre à jour la catégorie"
"Update custom option of product","Mettre à jour l'option personnalisée du produit"
"Update product","Mettre à jour le produit"
"Update product image","Mettre à jour l'image du produit"
"Update product link","Mettre à jour le lien du produit"
"Update product tier prices","Mettre à jour les prix des paliers de produit"
"Update Tier Price","Mettre à jour le prix des paliers"
"Update value of custom option","Mettre à jour la valeur de l'option personnalisée"
"Upload new product image ","Télécharger une nouvelle image de produit "
"URL Rewrite Management","Gestion de la réécriture d'URL"
"Use Canonical Link Meta Tag For Categories","Utiliser la balise meta du lien canonique pour les catégories"
"Use Canonical Link Meta Tag For Products","Utiliser la balise meta du lien canonical pour les produits"
"Use Categories Path for Product URLs","Utiliser le chemin des catégories pour les URL des produits"
"Use config","Utiliser la configuration"
"Use Config Settings","Utiliser les paramètres de configuration"
"Use default","Utiliser la valeur par défaut"
"Use Default Value","Utiliser la valeur par défaut"
"Used for Sorting in Product Listing","Utilisé pour le tri dans la liste des produits"
"Used in Product Listing","Utilisé dans la liste des produits"
"Used to fill the frame when Keep Frame is enabled","Utilisé pour remplir le cadre lorsque le maintien du cadre est activé"
"Use Flat Catalog Category","Utiliser une catégorie de catalogue plat"
"Use Flat Catalog Product","Utiliser un produit de catalogue plat"
"Use for Promo Rule Conditions","Utiliser pour les conditions de règles promotionnelles"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Utiliser le format de l'année à quatre chiffres. Utilisé pour les attributs min/max sur les entrées de date natives."
"Use in Advanced Search","Utiliser dans la recherche avancée"
"Use In Layered Navigation","Utiliser dans la navigation par filtres"
"Use in Layered Navigation","Utiliser dans la navigation par filtres"
"Use in Layered Navigation<br>(Can be used only with catalog input type 'Dropdown')","Utiliser dans la navigation à facettes<br>(Ne peut être utilisé qu'avec le type d'entrée de catalogue 'Dropdown')"
"Use in Quick Search","Utiliser dans la recherche rapide"
"Use In Search Results Layered Navigation","Utiliser dans la navigation par filtres des résultats de recherche"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utiliser les URL statiques pour le contenu multimédia dans WYSIWYG pour le catalogue"
"Use To Create Configurable Product","Utiliser pour créer un produit configurable"
"Use Tree Like Category Sitemap","Utiliser l'arborescence comme le plan du site de la catégorie"
"Value for ""%s"" is invalid.","La valeur pour ""%s"" n'est pas valide."
"Value for ""%s"" is invalid: %s","La valeur pour ""%s"" est invalide : %s"
"Varchar","Varchar"
"View All Products","Voir tous les produits"
"View as","Voir en tant que"
"View Details","Voir les détails"
"View image %s","Voir l'image %s"
"Virtual Product","Produit virtuel"
"Visibility","Visibilité"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible sur les pages du catalogue en front-end"
"Visible on Product View Page on Front-end","Visible sur la page de la vue produit en frontal"
"Watermark","Filigrane"
"Watermark Opacity, Percent","Opacité du filigrane, Pourcentage"
"Watermark Position","Position du filigrane"
"Website","Site Web"
"Websites","Sites web"
"What's this?","Qu'est-ce que c'est?"
"When enabled, associated products are automatically recalculated when reindex runs.","Lorsque cette option est activée, les produits associés sont automatiquement recalculés lors de l'exécution de la réindexation."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Afficher/Masquer l'option ""Tous"" dans le menu déroulant ""Afficher X par page""."
"Will make search for the query above return results for this search.","Effectuera une recherche pour la requête ci-dessus retournera les résultats pour cette recherche."
"Wrong BuyRequest instance in options group.","Mauvaise instance BuyRequest dans le groupe d'options."
"Wrong configuration item instance in options group.","Mauvaise instance d'élément de configuration dans le groupe d'options."
"Wrong configuration item option instance in options group.","Mauvaise instance d'option d'élément de configuration dans le groupe d'options."
"Wrong option instance type in options group.","Mauvais type d'instance d'option dans le groupe d'options."
"Wrong option type to get group instance.","Type d'option incorrect pour obtenir l'instance de groupe."
"Wrong product instance type in options group.","Mauvais type d'instance de produit dans le groupe d'options."
"Wrong product type filter specified","Mauvais filtre de type produit spécifié"
"Wrong product type to extract configurable options.","Mauvais type de produit pour extraire les options configurables."
"WYSIWYG Editor","WYSIWYG Editor"
"x","x"
"Year Range","Portée de l'année"
"Yes","Oui"
"Yes, with images","Oui, avec des images"
"You have no items to compare.","Vous n'avez aucun élément à comparer."
"You may also be interested in the following product(s)","Vous pouvez également être intéressé par le(s) produit(s) suivant(s)"
"You saved the search term.","Vous avez sauvegardé le terme recherché."
